#prot1 prot2 sim-domain sim-global
P30619 Q9C5P7 0.6345882352941177 0.6345882352941177
P30619 Q9SZ77 0.5698823529411765 0.5660588235294117
P20795 Q9C5P7 0.5804117647058824 0.5804117647058824
P20795 Q9SZ77 0.6576470588235295 0.6576470588235295
Q9C5P7 Q9SZ77 0.7626470588235295 0.7626470588235295
P32891 P46681 0.6676470588235295 0.6676470588235295
P32891 Q94AX4 0.8448235294117648 0.7509411764705882
P32891 O23240 0.7326470588235294 0.6942941176470588
P32891 O29853 0.6891764705882353 0.37617647058823533
P32891 Q86WU2 0.630235294117647 0.5002352941176471
P32891 Q8N465 0.6970588235294117 0.6691176470588236
P32891 A1L258 0.6959411764705883 0.6787058823529412
P32891 Q7TNG8 0.7791764705882354 0.5263529411764706
P32891 Q8CIM3 0.6872941176470588 0.6834117647058824
P46681 Q94AX4 0.6792941176470588 0.6792941176470588
P46681 O23240 0.8274705882352942 0.749235294117647
P46681 O29853 0.7437647058823529 0.4784117647058823
P46681 Q86WU2 0.622235294117647 0.622235294117647
P46681 Q8N465 0.809235294117647 0.809235294117647
P46681 A1L258 0.818529411764706 0.8123529411764706
P46681 Q7TNG8 0.663235294117647 0.6523529411764706
P46681 Q8CIM3 0.8294705882352942 0.8164705882352941
Q94AX4 O23240 0.7470588235294118 0.7080588235294117
Q94AX4 O29853 0.7482941176470588 0.35311764705882354
Q94AX4 Q86WU2 0.7182941176470587 0.48705882352941177
Q94AX4 Q8N465 0.736764705882353 0.6742941176470588
Q94AX4 A1L258 0.7298823529411764 0.6985882352941176
Q94AX4 Q7TNG8 0.7876470588235294 0.5103529411764706
Q94AX4 Q8CIM3 0.7161176470588235 0.7142352941176471
O23240 O29853 0.7179411764705883 0.3787058823529412
O23240 Q86WU2 0.6562941176470588 0.5085294117647059
O23240 Q8N465 0.8271176470588235 0.7531764705882353
O23240 A1L258 0.8369411764705883 0.7884117647058824
O23240 Q7TNG8 0.6862941176470588 0.5388823529411765
O23240 Q8CIM3 0.848 0.7867647058823529
O29853 Q86WU2 0.7004117647058823 0.7004117647058823
O29853 Q8N465 0.7452941176470589 0.49129411764705877
O29853 A1L258 0.7444117647058823 0.4546470588235294
O29853 Q7TNG8 0.7535294117647059 0.679
O29853 Q8CIM3 0.724764705882353 0.44629411764705884
Q86WU2 Q8N465 0.6912941176470588 0.6358235294117647
Q86WU2 A1L258 0.7138235294117647 0.601764705882353
Q86WU2 Q7TNG8 0.8204705882352941 0.8204705882352941
Q86WU2 Q8CIM3 0.6805294117647058 0.5947058823529412
Q8N465 A1L258 0.8959411764705882 0.8221764705882353
Q8N465 Q7TNG8 0.7287058823529412 0.6667647058823529
Q8N465 Q8CIM3 0.9057647058823529 0.8585294117647059
A1L258 Q7TNG8 0.7326470588235294 0.6134117647058823
A1L258 Q8CIM3 0.8931764705882352 0.8721176470588236
Q7TNG8 Q8CIM3 0.7154705882352941 0.6210588235294118
P19414 P39533 0.853764705882353 0.853764705882353
P19414 Q54XS2 0.889 0.8805294117647059
P19414 C8VG90 0.9251764705882353 0.8614705882352941
P19414 Q92412 0.6988823529411765 0.6988823529411765
P19414 Q99KI0 0.903 0.8775882352941177
P19414 P34455 0.9045294117647059 0.845764705882353
P39533 Q54XS2 0.863 0.863
P39533 C8VG90 0.8725882352941177 0.8279411764705882
P39533 Q92412 0.7038235294117647 0.687235294117647
P39533 Q99KI0 0.8591764705882353 0.8334705882352942
P39533 P34455 0.8791764705882353 0.8334117647058823
Q54XS2 C8VG90 0.897235294117647 0.848
Q54XS2 Q92412 0.6934117647058824 0.6934117647058824
Q54XS2 Q99KI0 0.9044117647058824 0.8463529411764705
Q54XS2 P34455 0.9054705882352941 0.8494705882352941
C8VG90 Q92412 0.7418823529411764 0.7418823529411764
C8VG90 Q99KI0 0.9115294117647059 0.8301176470588235
C8VG90 P34455 0.8927058823529412 0.889235294117647
Q92412 Q99KI0 0.6922352941176471 0.6922352941176471
Q92412 P34455 0.7495882352941177 0.7495882352941177
Q99KI0 P34455 0.9123529411764706 0.8226470588235294
Q6P1J6 Q3TTY0 0.8659411764705882 0.6968235294117647
P40796 Q0V7U7 0.6575294117647059 0.29770588235294115
P40796 Q93ZV7 0.6798823529411765 0.3269411764705883
P40796 P28048 0.6072352941176471 0.32605882352941173
P40796 P28049 0.6328235294117648 0.35735294117647054
P40796 Q4G0J3 0.4236470588235294 0.14688235294117646
P40796 P05455 0.6547647058823529 0.3930588235294118
P40796 Q7ZWE3 0.6578235294117647 0.12882352941176467
P40796 P32067 0.6544705882352941 0.38935294117647057
P40796 Q05CL8 0.42523529411764704 0.10711764705882354
Q0V7U7 Q93ZV7 0.7595882352941177 0.5064117647058823
Q0V7U7 P28048 0.5744117647058824 0.46799999999999997
Q0V7U7 P28049 0.6657058823529411 0.4944705882352941
Q0V7U7 Q4G0J3 0.5875294117647059 0.2790588235294118
Q0V7U7 P05455 0.6735294117647059 0.5173529411764706
Q0V7U7 Q7ZWE3 0.610235294117647 0.28441176470588236
Q0V7U7 P32067 0.6656470588235295 0.47329411764705887
Q0V7U7 Q05CL8 0.5758235294117646 0.27517647058823524
Q93ZV7 P28048 0.5715294117647058 0.4244117647058824
Q93ZV7 P28049 0.6324705882352941 0.45429411764705885
Q93ZV7 Q4G0J3 0.3700588235294118 0.26311764705882357
Q93ZV7 P05455 0.6806470588235294 0.4698823529411764
Q93ZV7 Q7ZWE3 0.5918235294117646 0.2750588235294118
Q93ZV7 P32067 0.6651176470588236 0.45676470588235296
Q93ZV7 Q05CL8 0.4068235294117647 0.24464705882352944
P28048 P28049 0.826764705882353 0.8038823529411765
P28048 Q4G0J3 0.4058235294117647 0.18294117647058827
P28048 P05455 0.7234705882352941 0.7234705882352941
P28048 Q7ZWE3 0.5872352941176471 0.1866470588235294
P28048 P32067 0.6882941176470588 0.5963529411764705
P28048 Q05CL8 0.4294117647058824 0.17000000000000004
P28049 Q4G0J3 0.4370588235294117 0.2076470588235294
P28049 P05455 0.8197058823529412 0.7724117647058824
P28049 Q7ZWE3 0.6046470588235294 0.20594117647058818
P28049 P32067 0.8121764705882353 0.618
P28049 Q05CL8 0.5185882352941176 0.1989411764705883
Q4G0J3 P05455 0.45899999999999996 0.1968823529411765
Q4G0J3 Q7ZWE3 0.8364705882352941 0.5360588235294117
Q4G0J3 P32067 0.4506470588235294 0.17117647058823526
Q4G0J3 Q05CL8 0.8824117647058823 0.7796470588235294
P05455 Q7ZWE3 0.5720000000000001 0.20258823529411762
P05455 P32067 0.8847058823529412 0.6445294117647059
P05455 Q05CL8 0.5318235294117647 0.18005882352941172
Q7ZWE3 P32067 0.5551764705882353 0.19229411764705884
Q7ZWE3 Q05CL8 0.8119411764705882 0.5655882352941177
P32067 Q05CL8 0.5311176470588235 0.15694117647058825
P52917 Q9ZNT0 0.891235294117647 0.811235294117647
P52917 Q54PT2 0.9061176470588235 0.7807058823529411
P52917 Q54KQ7 0.781235294117647 0.2994117647058824
P52917 Q9UN37 0.9068823529411765 0.8029999999999999
P52917 Q6NW58 0.7673529411764706 0.43223529411764705
Q9ZNT0 Q54PT2 0.8951176470588236 0.807235294117647
Q9ZNT0 Q54KQ7 0.7876470588235294 0.29452941176470593
Q9ZNT0 Q9UN37 0.8991764705882352 0.8027058823529412
Q9ZNT0 Q6NW58 0.7901176470588236 0.41700000000000004
Q54PT2 Q54KQ7 0.7847647058823529 0.30729411764705883
Q54PT2 Q9UN37 0.8894705882352941 0.7900588235294117
Q54PT2 Q6NW58 0.7834705882352941 0.42694117647058827
