Homolog, Bit Score
1, 27.7
1, 118
1, 130
1, 35.4
1, 36.2
1, 785
1, 170
1, 353
1, 159
1, 167
1, 305
1, 165
1, 177
1, 319
1, 163
1, 155
1, 516
1, 167
1, 152
1, 511
1, 503
1, 158
1, 506
1, 147
1, 181
1, 385
1, 157
1, 172
1, 406
1, 154
1, 174
1, 137
1, 549
1, 558
1, 147
1, 547
1, 164
1, 155
1, 146
1, 171
1, 145
1, 153
1, 162
1, 842
1, 164
1, 690
1, 165
1, 858
1, 166
1, 707
1, 158
1, 854
1, 1061
1, 1187
1, 163
1, 1077
1, 1079
1, 858
1, 818
1, 163
1, 815
1, 823
1, 1072
1, 160
1, 1094
1, 1078
1, 149
1, 1086
1, 1090
1, 159
1, 147
1, 1159
1, 2051
1, 55.5
1, 65.9
1, 159
1, 159
1, 89.0
1, 180
1, 75.1
1, 165
1, 91.3
1, 298
1, 69.3
1, 66.6
1, 57.8
1, 62.4
1, 61.6
1, 54.7
1, 57.4
1, 64.7
1, 62.8
1, 68.9
1, 64.7
1, 77.8
1, 47.8
1, 68.2
1, 719
1, 69.3
1, 464
1, 72.8
1, 422
1, 72.4
1, 74.7
1, 472
1, 76.6
1, 433
1, 75.5
1, 79.0
1, 519
1, 72.8
1, 833
1, 84.0
1, 656
1, 84.3
1, 78.6
1, 540
1, 79.0
1, 466
1, 513
1, 240
1, 521
1, 238
1, 427
1, 235
1, 452
1, 234
1, 223
1, 523
1, 242
1, 212
1, 338
1, 238
1, 659
1, 657
1, 344
1, 928
1, 399
1, 595
1, 300
1, 710
1, 342
1, 359
1, 692
1, 282
1, 365
1, 225
1, 539
1, 16.2
1, 551
1, 14.6
1, 18.5
1, 18.1
1, 16.5
1, 23.9
1, 16.5
1, 15.8
1, 16.9
1, 678
1, 13.5
1, 21.9
1, 16.9
1, 20.4
1, 16.2
1, 20.0
1, 19.6
1, 16.9
1, 20.4
1, 21.9
1, 16.9
1, 13.9
1, 17.3
1, 16.2
1, 18.9
1, 28.5
1, 16.5
1, 18.9
1, 16.9
1, 17.7
1, 18.1
1, 21.6
1, 18.9
1, 21.9
1, 16.9
1, 17.3
1, 18.5
1, 15.0
1, 20.4
1, 16.2
1, 18.1
1, 11.9
1, 18.9
1, 16.9
1, 16.2
1, 15.0
1, 14.2
1, 19.6
1, 528
1, 17.7
1, 20.4
1, 18.9
1, 20.0
1, 18.5
1, 20.4
1, 16.2
1, 23.5
1, 18.1
1, 16.9
1, 15.4
1, 16.2
1, 15.4
1, 17.3
1, 23.1
1, 16.9
1, 16.9
1, 16.2
1, 16.2
1, 19.6
1, 17.7
1, 14.2
1, 18.5
1, 19.2
1, 18.5
1, 16.5
1, 15.4
1, 18.1
1, 16.2
1, 22.3
1, 15.8
1, 25.0
1, 18.1
1, 17.3
1, 18.1
1, 18.9
1, 26.2
1, 18.9
1, 16.5
1, 22.3
1, 18.1
1, 17.7
1, 15.0
1, 29.3
1, 17.7
1, 13.9
1, 15.4
1, 14.2
1, 19.2
1, 18.5
1, 15.0
1, 23.1
1, 14.2
1, 21.9
1, 62.8
1, 14.6
1, 19.2
1, 19.6
1, 12.7
1, 67.8
1, 21.9
1, 19.2
1, 19.6
1, 15.0
1, 16.5
1, 17.7
1, 18.1
1, 13.9
1, 18.1
1, 19.2
1, 15.4
1, 18.9
1, 21.2
1, 476
1, 15.4
1, 16.5
1, 17.3
1, 17.3
1, 17.7
1, 20.8
1, 20.0
1, 16.9
1, 19.6
1, 18.5
1, 14.6
1, 17.3
1, 17.7
1, 14.6
1, 16.2
1, 17.3
1, 14.6
1, 16.2
1, 23.9
1, 16.2
1, 22.7
1, 16.5
1, 14.2
1, 16.2
1, 20.0
1, 17.3
1, 21.6
1, 16.9
1, 16.9
1, 94.0
1, 18.9
1, 162
1, 17.7
1, 18.1
1, 18.5
1, 83.2
1, 94.0
1, 97.4
1, 12.7
1, 14.2
1, 67.4
1, 16.2
1, 91.3
1, 16.9
1, 16.9
1, 16.9
1, 121
1, 716
1, 713
1, 17.7
1, 15.4
1, 395
1, 14.2
1, 17.7
1, 18.5
1, 23.1
1, 17.3
1, 18.9
1, 18.9
1, 17.3
1, 18.5
1, 15.0
1, 17.3
1, 20.4
1, 16.5
1, 129
1, 90.1
1, 88.6
1, 16.5
1, 21.9
1, 87.4
1, 18.9
1, 17.7
1, 20.4
1, 15.0
1, 17.3
1, 12.3
1, 20.4
1, 15.8
1, 16.2
1, 18.1
1, 19.6
1, 16.9
1, 18.1
1, 16.5
1, 17.7
1, 18.5
1, 21.9
1, 18.9
1, 22.3
1, 630
1, 18.9
1, 120
1, 119
1, 15.0
1, 16.2
1, 101
1, 717
1, 20.4
1, 15.0
1, 406
1, 18.1
1, 16.2
1, 401
1, 16.5
1, 15.0
1, 19.2
1, 44.3
1, 26.9
1, 26.2
1, 23.9
1, 29.6
1, 20.4
1, 40.8
1, 144
1, 91.3
1, 19.6
1, 56.2
1, 89.4
1, 97.4
1, 18.5
1, 23.1
1, 138
1, 87.4
1, 20.4
1, 46.2
1, 18.5
1, 89.4
1, 22.7
1, 23.9
1, 17.7
1, 28.1
1, 16.9
1, 23.1
1, 36.6
1, 37.0
1, 21.6
1, 38.5
1, 33.5
1, 35.0
1, 20.0
1, 20.4
1, 37.7
1, 35.0
1, 21.2
1, 35.8
1, 18.5
1, 30.8
1, 20.8
1, 18.9
1, 71.6
1, 19.2
1, 30.4
1, 26.2
1, 34.7
1, 20.4
1, 32.7
1, 37.7
1, 36.6
1, 20.8
1, 19.2
1, 29.6
1, 38.1
1, 18.5
1, 36.2
1, 20.8
1, 32.0
1, 22.3
1, 19.6
1, 20.8
1, 24.6
1, 23.1
1, 29.6
1, 18.5
1, 25.4
1, 33.5
1, 29.6
1, 23.5
1, 18.9
1, 20.8
1, 31.6
1, 18.9
1, 42.7
1, 30.8
1, 29.3
1, 21.9
1, 21.9
1, 15.8
1, 22.7
1, 22.7
1, 220
1, 23.5
1, 17.3
1, 19.6
1, 25.8
1, 23.5
1, 19.2
1, 18.9
1, 21.6
1, 27.7
1, 26.6
1, 18.5
1, 16.2
1, 22.7
1, 25.0
1, 20.4
1, 20.8
1, 145
1, 20.8
1, 20.8
1, 18.9
1, 19.2
1, 26.2
1, 21.6
1, 17.3
1, 26.2
1, 22.7
1, 20.0
1, 17.7
1, 20.0
1, 16.5
1, 21.2
1, 24.6
1, 17.7
1, 16.2
1, 21.2
1, 33.5
1, 21.9
1, 18.1
1, 17.7
1, 24.6
1, 22.3
1, 15.4
1, 21.6
1, 33.9
1, 23.5
1, 35.8
1, 30.8
1, 33.1
1, 17.7
1, 16.5
1, 23.9
1, 30.4
1, 17.3
1, 28.9
1, 21.9
1, 34.7
1, 117
1, 23.9
1, 48.5
1, 120
1, 120
1, 19.2
1, 21.2
1, 702
1, 119
1, 18.1
1, 45.8
1, 23.5
1, 100
1, 18.9
1, 42.7
1, 451
1, 612
1, 18.5
1, 17.3
1, 109
1, 437
1, 28.9
1, 61.2
1, 19.6
1, 186
1, 32.3
1, 17.3
1, 18.9
1, 24.3
1, 18.9
1, 23.5
1, 19.2
1, 20.0
1, 21.9
1, 26.6
1, 18.1
1, 41.6
1, 43.9
1, 22.7
1, 21.6
1, 44.7
1, 42.0
1, 22.7
1, 37.4
1, 23.5
1, 43.1
1, 454
1, 23.1
1, 17.7
1, 119
1, 525
1, 24.3
1, 62.0
1, 18.9
1, 175
1, 18.9
1, 14.6
1, 116
1, 449
1, 28.5
1, 62.0
1, 20.8
1, 165
1, 28.5
1, 19.6
1, 20.8
1, 24.6
1, 26.9
1, 20.0
1, 21.2
1, 24.3
1, 18.5
1, 17.3
1, 36.6
1, 18.5
1, 14.6
1, 110
1, 16.5
1, 43.9
1, 21.2
1, 98.2
1, 21.9
1, 60.8
1, 20.4
1, 175
1, 18.5
1, 22.7
1, 19.2
1, 32.3
1, 65.5
1, 19.2
1, 364
1, 401
1, 383
1, 29.6
1, 69.7
1, 50.1
1, 41.2
1, 72.0
1, 42.0
1, 54.7
1, 50.1
1, 60.8
1, 92.4
1, 73.2
1, 430
1, 56.6
1, 75.5
1, 33.5
1, 26.6
1, 31.6
1, 40.8
1, 30.8
1, 34.3
1, 28.5
1, 32.3
1, 32.3
1, 41.6
1, 34.7
1, 38.5
1, 35.8
1, 48.9
1, 48.5
1, 65.1
1, 68.6
1, 54.3
1, 56.6
1, 58.5
1, 79.3
1, 60.5
1, 70.5
1, 53.5
1, 60.1
1, 63.5
1, 87.8
1, 57.0
1, 73.6
1, 41.2
1, 54.7
1, 71.2
1, 72.0
1, 55.8
1, 89.7
1, 72.8
1, 88.2
1, 68.9
1, 65.9
1, 44.3
1, 67.8
1, 64.3
1, 73.6
1, 72.4
1, 63.2
1, 65.1
1, 69.7
1, 90.9
1, 39.7
1, 68.9
1, 93.6
1, 101
1, 72.0
1, 75.5
1, 89.7
1, 40.8
1, 43.1
1, 41.6
1, 43.9
1, 45.4
1, 36.2
1, 53.5
1, 38.9
1, 48.5
1, 55.8
1, 62.4
1, 387
1, 60.8
1, 67.4
1, 225
1, 55.5
1, 41.2
1, 44.3
1, 59.7
1, 40.4
1, 45.4
1, 63.5
1, 72.8
1, 59.3
1, 63.5
1, 60.1
1, 69.3
1, 99.8
1, 58.9
1, 75.9
1, 76.3
1, 76.6
1, 236
1, 55.5
1, 74.3
1, 76.3
1, 18.5
1, 22.3
1, 204
1, 40.8
1, 18.9
1, 13.9
1, 16.2
1, 17.7
1, 281
1, 16.2
1, 18.9
1, 17.3
1, 20.4
1, 19.2
1, 101
1, 20.0
1, 530
1, 15.4
1, 206
1, 179
1, 21.2
1, 18.9
1, 536
1, 17.7
1, 20.8
1, 15.8
1, 20.0
1, 15.4
1, 130
1, 16.5
1, 19.6
1, 26.2
1, 23.1
1, 20.4
1, 22.7
1, 20.0
1, 105
1, 16.9
1, 51.6
1, 21.6
1, 25.4
1, 20.8
1, 24.6
1, 18.5
1, 22.7
1, 18.5
1, 18.5
1, 20.4
1, 21.6
1, 18.9
1, 21.6
1, 21.6
1, 20.4
1, 20.0
1, 33.5
1, 21.9
1, 20.8
1, 19.2
1, 218
1, 19.2
1, 26.2
1, 18.1
1, 21.9
1, 20.0
1, 21.9
1, 18.5
1, 22.7
1, 17.7
1, 22.3
1, 20.0
1, 21.9
1, 22.7
1, 21.6
1, 18.1
1, 21.6
1, 20.0
1, 20.0
1, 19.2
1, 21.9
1, 18.9
1, 15.0
1, 18.9
1, 22.7
1, 25.0
1, 19.6
1, 25.4
1, 25.0
1, 38.1
1, 18.5
1, 20.4
1, 22.7
1, 17.7
1, 191
1, 18.5
1, 15.4
1, 19.6
1, 21.9
1, 19.6
1, 93.2
1, 20.4
1, 239
1, 21.2
1, 221
1, 264
1, 22.7
1, 15.8
1, 234
1, 16.9
1, 18.5
1, 16.5
1, 18.1
1, 16.2
1, 125
1, 19.6
1, 23.9
1, 19.2
1, 16.9
1, 27.3
1, 32.7
1, 18.5
1, 17.7
1, 22.3
1, 20.0
1, 21.2
1, 38.1
1, 19.2
1, 43.5
1, 31.2
1, 40.4
1, 56.2
1, 17.7
1, 16.9
1, 33.5
1, 17.7
1, 23.5
1, 20.4
1, 21.6
1, 18.5
1, 52.0
1, 18.9
1, 21.9
1, 15.4
1, 24.6
1, 20.8
1, 20.8
1, 20.4
1, 21.9
