Homolog, Bit Score
1, 35
1, 130
1, 127
1, 40
1, 36
1, 710
1, 176
1, 366
1, 165
1, 181
1, 309
1, 168
1, 180
1, 325
1, 164
1, 173
1, 513
1, 168
1, 161
1, 498
1, 498
1, 165
1, 495
1, 156
1, 196
1, 394
1, 176
1, 180
1, 411
1, 172
1, 180
1, 153
1, 535
1, 550
1, 164
1, 542
1, 180
1, 158
1, 155
1, 185
1, 152
1, 144
1, 155
1, 795
1, 168
1, 670
1, 171
1, 822
1, 173
1, 690
1, 169
1, 833
1, 1032
1, 1124
1, 175
1, 1042
1, 1039
1, 851
1, 800
1, 164
1, 805
1, 814
1, 1031
1, 159
1, 1065
1, 1043
1, 164
1, 1051
1, 1048
1, 167
1, 156
1, 1109
1, 1970
1, 58
1, 68
1, 135
1, 142
1, 70
1, 157
1, 66
1, 149
1, 70
1, 274
1, 73
1, 77
1, 58
1, 67
1, 63
1, 64
1, 59
1, 52
1, 51
1, 67
1, 55
1, 63
1, 48
1, 67
1, 535
1, 60
1, 356
1, 54
1, 349
1, 64
1, 63
1, 370
1, 56
1, 362
1, 64
1, 72
1, 430
1, 74
1, 647
1, 73
1, 526
1, 70
1, 81
1, 438
1, 70
1, 453
1, 477
1, 240
1, 483
1, 242
1, 408
1, 233
1, 433
1, 234
1, 225
1, 492
1, 247
1, 206
1, 335
1, 248
1, 630
1, 627
1, 322
1, 887
1, 528
1, 564
1, 297
1, 690
1, 326
1, 331
1, 663
1, 364
1, 355
1, 225
1, 524
1, 17
1, 524
1, 16
1, 19
1, 19
1, 20
1, 24
1, 16
1, 16
1, 18
1, 658
1, 20
1, 18
1, 18
1, 23
1, 19
1, 19
1, 16
1, 16
1, 22
1, 20
1, 17
1, 14
1, 25
1, 26
1, 19
1, 34
1, 20
1, 27
1, 25
1, 19
1, 31
1, 16
1, 21
1, 34
1, 19
1, 26
1, 23
1, 19
1, 26
1, 21
1, 18
1, 21
1, 21
1, 16
1, 17
1, 16
1, 14
1, 19
1, 519
1, 17
1, 18
1, 18
1, 16
1, 14
1, 21
1, 19
1, 24
1, 19
1, 20
1, 19
1, 16
1, 19
1, 17
1, 25
1, 16
1, 15
1, 18
1, 16
1, 21
1, 19
1, 14
1, 18
1, 17
1, 17
1, 20
1, 18
1, 18
1, 18
1, 31
1, 20
1, 33
1, 18
1, 18
1, 18
1, 29
1, 37
1, 20
1, 21
1, 19
1, 22
1, 19
1, 29
1, 27
1, 18
1, 16
1, 25
1, 17
1, 31
1, 27
1, 17
1, 33
1, 17
1, 23
1, 82
1, 22
1, 28
1, 28
1, 14
1, 85
1, 26
1, 26
1, 29
1, 16
1, 18
1, 18
1, 19
1, 29
1, 19
1, 20
1, 18
1, 19
1, 20
1, 457
1, 16
1, 20
1, 23
1, 23
1, 16
1, 22
1, 19
1, 16
1, 19
1, 20
1, 16
1, 17
1, 18
1, 18
1, 22
1, 17
1, 17
1, 17
1, 22
1, 18
1, 32
1, 18
1, 16
1, 16
1, 20
1, 20
1, 33
1, 16
1, 17
1, 118
1, 17
1, 174
1, 16
1, 16
1, 24
1, 95
1, 115
1, 118
1, 19
1, 21
1, 97
1, 18
1, 109
1, 17
1, 19
1, 23
1, 144
1, 674
1, 676
1, 20
1, 19
1, 392
1, 19
1, 19
1, 21
1, 25
1, 17
1, 17
1, 19
1, 16
1, 21
1, 16
1, 19
1, 20
1, 20
1, 143
1, 113
1, 112
1, 21
1, 18
1, 106
1, 19
