Homolog, Bit Score
1, 30.0
1, 57.6
1, 90.3
1, 21.7
1, 29.3
1, 391.4
1, 121.9
1, 226.3
1, 116.5
1, 95.5
1, 136.2
1, 123.6
1, 118.5
1, 201.1
1, 105.5
1, 86.0
1, 242.1
1, 92.7
1, 64.0
1, 255.6
1, 242.2
1, 87.7
1, 244.6
1, 117.3
1, 104.8
1, 162.2
1, 115.7
1, 123.3
1, 265.3
1, 115.9
1, 95.2
1, 59.0
1, 373.6
1, 333.6
1, 107.1
1, 304.9
1, 65.6
1, 98.7
1, 97.6
1, 97.7
1, 96.0
1, 84.6
1, 89.0
1, 313.1
1, 57.8
1, 470.6
1, 115.2
1, 549.9
1, 120.6
1, 399.9
1, 134.1
1, 432.7
1, 599.7
1, 726.6
1, 68.3
1, 571.9
1, 591.4
1, 456.9
1, 461.7
1, 65.4
1, 452.6
1, 363.2
1, 608.9
1, 65.1
1, 603.0
1, 609.2
1, 65.6
1, 626.7
1, 565.0
1, 72.6
1, 66.9
1, 684.3
1, 1140.9
1, 43.6
1, 40.1
1, 77.4
1, 79.0
1, 49.1
1, 94.8
1, 42.4
1, 99.9
1, 47.5
1, 141.3
1, 33.1
1, 30.5
1, 35.8
1, 34.0
1, 36.6
1, 36.4
1, 38.4
1, 39.5
1, 39.2
1, 33.3
1, 37.8
1, 34.8
1, 44.7
1, 34.3
1, 246.8
1, 39.0
1, 191.8
1, 42.1
1, 218.0
1, 45.1
1, 41.6
1, 182.3
1, 42.9
1, 240.6
1, 47.0
1, 49.2
1, 117.0
1, 51.5
1, 260.5
1, 50.9
1, 286.1
1, 52.5
1, 55.9
1, 138.4
1, 56.9
1, 262.2
1, 299.6
1, 135.8
1, 330.7
1, 144.1
1, 238.6
1, 125.6
1, 249.2
1, 144.8
1, 145.2
1, 319.6
1, 144.9
1, 138.6
1, 201.6
1, 135.0
1, 376.9
1, 325.9
1, 185.9
1, 525.7
1, 240.4
1, 323.7
1, 164.7
1, 433.7
1, 194.4
1, 186.8
1, 429.0
1, 157.5
1, 183.9
1, 116.1
1, 197.7
1, 20.7
1, 230.0
1, 20.9
1, 22.8
1, 21.1
1, 21.3
1, 31.5
1, 19.9
1, 20.4
1, 22.1
1, 394.2
1, 21.5
1, 22.3
1, 23.9
1, 21.7
1, 21.0
1, 22.4
1, 23.2
1, 21.1
1, 22.5
1, 21.7
1, 21.0
1, 20.0
1, 21.5
1, 19.9
1, 20.3
1, 26.5
1, 20.0
1, 20.4
1, 21.8
1, 22.4
1, 20.4
1, 23.7
1, 23.5
1, 26.4
1, 20.0
1, 21.4
1, 21.0
1, 19.3
1, 21.6
1, 22.1
1, 20.7
1, 22.4
1, 22.0
1, 20.1
1, 21.5
1, 20.0
1, 19.9
1, 24.5
1, 226.5
1, 22.9
1, 26.4
1, 23.1
1, 22.2
1, 21.9
1, 22.9
1, 20.0
1, 21.7
1, 20.5
1, 22.2
1, 21.1
1, 21.0
1, 20.0
1, 22.2
1, 27.3
1, 20.2
1, 20.2
1, 20.7
1, 21.8
1, 20.8
1, 23.3
1, 18.9
1, 20.7
1, 22.5
1, 21.0
1, 21.4
1, 21.2
1, 21.9
1, 21.2
1, 27.0
1, 21.6
1, 22.0
1, 21.8
1, 23.6
1, 21.1
1, 19.4
1, 33.1
1, 25.5
1, 23.2
1, 21.6
1, 20.8
1, 21.3
1, 23.1
1, 21.6
1, 21.9
1, 20.5
1, 21.7
1, 19.5
1, 21.4
1, 24.1
1, 22.0
1, 22.3
1, 19.4
1, 28.1
1, 43.0
1, 19.5
1, 21.9
1, 20.9
1, 20.7
1, 51.1
1, 21.7
1, 21.6
1, 22.0
1, 19.6
1, 20.8
1, 21.7
1, 21.4
1, 20.5
1, 22.0
1, 22.5
1, 19.2
1, 21.2
1, 22.4
1, 273.0
1, 21.2
1, 20.1
1, 24.3
1, 21.7
1, 22.1
1, 22.9
1, 23.0
1, 20.3
1, 23.4
1, 23.2
1, 19.3
1, 22.2
1, 22.5
1, 20.6
1, 20.1
1, 22.0
1, 19.6
1, 18.7
1, 24.6
1, 20.1
1, 24.5
1, 22.2
1, 20.0
1, 19.8
1, 22.2
1, 22.5
1, 22.2
1, 20.9
1, 21.5
1, 66.1
1, 20.2
1, 110.3
1, 23.5
1, 22.4
1, 21.6
1, 74.1
1, 73.3
1, 71.8
1, 20.1
1, 19.9
1, 64.1
1, 21.8
1, 75.5
1, 20.5
1, 22.7
1, 21.8
1, 97.1
1, 439.7
1, 431.2
1, 21.9
1, 20.1
1, 215.1
1, 20.3
1, 22.2
1, 24.2
1, 25.9
1, 22.0
1, 21.9
1, 22.9
1, 20.5
1, 20.8
1, 20.7
1, 19.8
1, 21.3
1, 20.8
1, 100.3
1, 72.9
1, 69.6
1, 20.3
1, 23.8
1, 71.0
1, 21.4
1, 20.5
1, 20.1
1, 19.8
1, 20.8
1, 20.0
1, 21.5
1, 23.2
1, 23.8
1, 22.4
1, 22.8
1, 22.2
1, 23.6
1, 23.3
1, 24.2
1, 21.8
1, 22.8
1, 21.4
1, 25.8
1, 321.8
1, 21.8
1, 83.3
1, 97.8
1, 20.2
1, 20.8
1, 82.3
1, 457.0
1, 20.8
