Homolog, Bit Score
1, -4951.0
1, -3967.0
1, -4074.5
1, -4112.0
1, -4241.5
1, -1612.5
1, -3641.5
1, -2083.5
1, -3204.0
1, -5423.5
1, -4173.5
1, -4319.5
1, -3809.5
1, -4114.5
1, -3407.5
1, -3905.0
1, -2739.5
1, -4896.0
1, -3953.0
1, -2938.0
1, -2394.0
1, -3841.0
1, -2294.0
1, -3298.5
1, -5531.0
1, -4316.0
1, -4133.0
1, -3827.0
1, -4242.0
1, -3474.0
1, -5477.5
1, -4395.5
1, -3415.5
1, -2457.5
1, -4322.5
1, -2217.5
1, -3163.0
1, -4814.0
1, -5246.0
1, -3208.0
1, -5056.0
1, -3880.0
1, -4052.0
1, -1590.0
1, -3931.0
1, -2082.0
1, -3722.0
1, -2058.0
1, -3972.0
1, -1544.0
1, -3865.0
1, -1763.5
1, -1505.0
1, -1506.0
1, -4232.0
1, -1433.0
1, -1408.0
1, -1653.5
1, -1804.5
1, -3933.5
1, -1997.5
1, -1811.5
1, -1521.0
1, -4265.0
1, -1794.0
1, -1540.0
1, -4101.0
1, -1563.0
1, -1694.0
1, -4155.0
1, -4105.0
1, -1434.0
1, -2858.0
1, -6172.0
1, -6142.0
1, -5968.5
1, -6121.0
1, -7286.5
1, -5574.5
1, -6912.0
1, -5195.0
1, -7439.0
1, -5301.0
1, -4749.5
1, -4699.0
1, -6280.5
1, -4974.5
1, -6362.0
1, -5527.0
1, -6450.0
1, -5515.5
1, -5553.0
1, -6238.5
1, -5383.5
1, -6264.0
1, -5212.0
1, -6311.0
1, -1431.5
1, -6583.0
1, -2418.0
1, -6659.5
1, -3998.5
1, -6587.5
1, -6639.5
1, -2263.5
1, -6919.0
1, -4049.0
1, -6644.0
1, -6379.0
1, -3427.5
1, -6482.5
1, -1787.5
1, -6571.5
1, -3787.5
1, -6386.5
1, -6306.0
1, -3241.0
1, -6473.0
1, -1791.5
1, -1734.5
1, -6814.0
1, -1932.0
1, -5596.5
1, -1856.0
1, -6942.5
1, -2159.5
1, -5530.0
1, -6615.5
1, -1644.5
1, -5333.0
1, -6773.0
1, -4588.5
1, -5552.5
1, -3436.0
1, -2724.5
1, -1851.5
1, -2435.0
1, -2418.5
1, -4142.5
1, -3540.5
1, -2861.0
1, -3744.5
1, -2583.0
1, -3613.5
1, -3573.0
1, -2801.5
1, -2485.0
1, -2998.5
1, -7698.5
1, -3701.0
1, -7746.0
1, -7784.0
1, -7287.5
1, -7621.0
1, -8234.0
1, -7901.0
1, -7765.5
1, -7549.5
1, -2278.0
1, -8099.0
1, -7412.0
1, -7306.5
1, -7277.5
1, -7802.5
1, -7509.0
1, -7427.0
1, -7964.0
1, -7461.0
1, -7342.5
1, -7085.5
1, -7600.5
1, -6935.5
1, -7286.0
1, -7206.5
1, -7043.5
1, -7265.5
1, -6886.0
1, -6688.0
1, -7557.5
1, -6728.5
1, -6895.5
1, -7322.0
1, -6997.0
1, -6584.0
1, -6657.5
1, -6831.5
1, -7296.5
1, -7018.5
1, -7152.0
1, -7508.0
1, -7355.0
1, -7415.5
1, -6978.0
1, -7467.0
1, -7591.0
1, -7563.5
1, -7644.5
1, -3661.0
1, -7406.0
1, -7431.0
1, -6997.5
1, -7279.5
1, -7543.5
1, -7534.0
1, -7460.0
1, -7203.0
1, -7342.0
1, -7026.5
1, -7455.0
1, -7366.5
1, -6565.0
1, -7840.0
1, -7183.0
1, -7632.5
1, -7729.5
1, -7712.0
1, -7614.0
1, -6753.0
1, -7239.5
1, -7400.5
1, -7748.5
1, -7633.0
1, -7758.0
1, -6576.0
1, -7452.0
1, -7340.5
1, -7499.5
1, -7308.0
1, -8157.0
1, -7647.0
1, -7478.5
1, -7300.5
1, -7642.0
1, -7321.0
1, -7651.0
1, -7206.5
1, -7507.5
1, -7313.5
1, -7334.0
1, -7533.0
1, -7387.0
1, -7616.0
1, -7318.5
1, -7245.5
1, -6954.5
1, -7350.5
1, -7022.0
1, -7538.0
1, -7193.5
1, -7264.5
1, -6802.5
1, -6962.0
1, -4050.0
1, -7181.0
1, -7382.5
1, -7452.5
1, -7523.5
1, -3560.5
1, -7477.0
1, -6950.0
1, -7227.0
1, -7375.5
1, -7286.5
1, -7403.0
1, -7234.0
1, -7043.0
1, -6935.5
1, -7273.5
1, -7342.5
1, -7345.0
1, -7386.0
1, -2147.0
1, -7485.0
1, -7001.5
1, -7779.0
1, -7907.5
1, -8086.5
1, -7983.0
1, -7724.0
1, -7659.0
1, -7704.5
1, -7153.5
1, -7914.5
1, -8034.0
1, -8125.0
1, -7097.0
1, -7148.0
1, -8054.5
1, -7470.5
1, -7663.5
1, -7671.0
1, -7229.0
1, -4388.0
1, -7584.5
1, -7599.5
1, -7503.5
1, -7635.0
1, -7750.0
1, -7323.0
1, -7541.0
1, -7581.5
1, -5656.0
1, -7552.5
1, -2721.5
1, -7163.5
1, -7336.0
1, -7117.0
1, -3031.0
1, -5799.5
1, -5802.5
1, -7568.5
1, -7085.5
1, -6561.0
1, -7315.5
1, -5562.5
1, -7458.5
1, -7077.0
1, -7382.0
1, -4965.0
1, -1980.5
1, -2169.5
1, -7666.5
1, -7652.5
1, -5515.0
1, -7804.0
1, -7388.0
1, -7246.5
1, -7363.5
1, -7723.5
1, -7299.0
1, -7203.0
1, -7663.0
1, -7516.0
1, -7163.5
1, -7007.0
1, -7329.5
1, -7040.5
1, -3281.5
1, -5993.0
1, -6015.0
1, -7242.0
1, -7122.0
1, -6372.5
1, -7450.5
1, -6905.5
1, -7024.5
1, -7572.0
1, -7609.0
1, -7281.0
1, -7014.0
1, -7463.5
1, -7132.0
1, -7051.0
1, -7076.5
1, -7321.5
1, -7074.5
1, -7115.5
1, -6909.0
1, -7136.0
1, -7541.5
1, -7653.5
1, -7430.5
1, -2165.5
1, -7282.0
1, -5480.5
1, -5557.5
1, -7459.5
1, -7177.5
1, -6529.0
1, -1974.0
1, -7649.0
1, -7756.0
1, -5577.5
1, -7682.0
1, -7950.0
1, -5577.5
1, -7611.0
1, -7092.5
1, -7465.5
1, -7538.0
1, -6485.5
1, -8058.0
1, -7864.0
1, -7532.5
1, -7358.5
1, -7723.0
1, -6724.0
1, -6654.5
1, -7586.5
1, -7454.5
1, -6405.5
1, -6470.5
1, -7268.0
1, -7145.0
1, -6789.0
1, -6531.5
1, -7224.0
1, -7200.0
1, -7693.0
1, -6771.0
1, -8304.5
1, -7388.0
1, -7570.0
1, -7464.5
1, -8018.5
1, -7604.0
1, -8647.0
1, -8046.5
1, -7987.5
1, -6409.5
1, -8426.5
1, -8220.5
1, -7873.0
1, -8409.0
1, -8787.0
1, -8278.5
1, -7386.0
1, -8022.0
1, -7474.0
1, -8331.0
1, -8262.5
1, -8230.5
1, -7440.0
1, -7440.0
1, -7576.5
1, -6819.5
1, -6716.0
1, -7946.0
1, -7686.0
1, -6346.0
1, -6543.0
1, -7472.5
1, -7513.5
1, -6800.5
1, -6766.0
1, -7625.5
1, -7470.5
1, -7509.5
1, -7072.5
1, -6983.0
1, -8003.5
1, -7611.5
1, -6724.0
1, -8716.0
1, -8598.5
1, -7313.5
1, -7215.5
1, -8906.5
1, -8581.5
1, -6712.0
1, -8547.0
1, -8941.0
1, -8535.5
1, -7763.0
1, -7839.0
1, -7569.0
1, -8779.0
1, -7774.5
1, -7806.5
1, -7254.0
1, -8328.0
1, -8036.5
1, -4111.5
1, -7497.5
1, -8236.5
1, -8054.5
1, -7736.0
1, -7894.0
1, -8331.0
1, -8127.5
1, -8518.0
1, -7921.0
1, -6370.0
1, -8248.0
1, -8009.0
1, -7819.5
1, -8127.5
1, -7925.0
1, -7376.0
1, -6287.0
1, -7929.0
1, -8018.0
1, -7578.5
1, -8151.5
1, -8311.5
1, -7869.0
1, -8089.5
1, -8146.5
1, -7300.5
1, -8118.5
1, -7433.5
1, -7749.5
1, -7418.0
1, -7761.0
1, -7618.0
1, -7565.0
1, -7299.0
1, -7403.5
1, -7778.5
1, -7665.5
1, -7246.0
1, -7470.5
1, -7279.5
1, -7878.5
1, -7176.5
1, -8344.0
1, -7940.5
1, -7373.5
1, -7280.5
1, -8122.5
1, -7925.5
1, -7126.0
1, -7985.0
1, -8398.0
1, -8012.5
1, -7457.0
1, -7348.0
1, -7621.0
1, -8063.0
1, -6158.5
1, -7870.5
1, -8341.5
1, -5855.5
1, -5842.5
1, -7885.0
1, -7846.0
1, -2259.0
1, -6028.5
1, -7611.0
1, -7615.0
1, -8210.0
1, -6303.0
1, -7577.0
1, -7663.0
1, -2469.0
1, -1700.0
1, -7321.5
1, -7297.5
1, -5863.5
1, -2248.0
1, -7853.5
1, -7123.5
1, -7651.5
1, -3814.5
1, -7854.0
1, -7895.0
1, -7593.0
1, -8135.5
1, -7949.5
1, -7964.5
1, -7718.0
1, -8830.5
1, -7644.5
1, -6374.5
1, -7406.5
1, -7883.0
1, -7706.0
1, -7704.5
1, -7587.5
1, -8245.5
1, -7805.0
1, -8036.5
1, -7630.5
1, -7367.5
1, -7864.5
1, -2588.0
1, -7506.5
1, -7183.5
1, -5646.5
1, -2633.0
1, -7757.5
1, -7310.5
1, -7659.5
1, -4356.5
1, -7253.5
1, -7113.5
1, -5571.5
1, -2009.0
1, -7728.5
1, -6972.5
1, -7542.5
1, -3900.5
1, -7812.0
1, -8036.0
1, -7483.5
1, -7445.0
1, -7253.0
1, -7590.0
1, -7616.0
1, -7617.0
1, -7238.5
1, -7734.0
1, -7931.0
1, -7465.0
1, -7272.0
1, -5744.5
1, -7665.0
1, -7769.0
1, -8151.0
1, -6077.0
1, -8032.5
1, -7112.5
1, -7622.5
1, -3876.5
1, -7263.0
1, -8335.0
1, -8098.0
1, -7956.0
1, -7053.0
1, -7810.0
1, -4045.5
1, -3619.0
1, -3476.5
1, -7378.0
1, -7380.0
1, -7090.0
1, -7243.5
1, -7122.5
1, -7065.0
1, -7267.5
1, -6731.0
