Homolog, Bit Score
1, 37
1, 145
1, 122
1, 17
1, 17
1, 797
1, 184
1, 356
1, 171
1, 179
1, 205
1, 172
1, 186
1, 317
1, 170
1, 164
1, 510
1, 179
1, 79
1, 492
1, 489
1, 134
1, 488
1, 154
1, 190
1, 244
1, 163
1, 177
1, 397
1, 158
1, 188
1, 84
1, 532
1, 547
1, 152
1, 530
1, 110
1, 177
1, 170
1, 191
1, 172
1, 95
1, 116
1, 832
1, 116
1, 676
1, 21
1, 846
1, 170
1, 692
1, 179
1, 847
1, 1045
1, 1164
1, 25
1, 1057
1, 1060
1, 853
1, 814
1, 18
1, 814
1, 826
1, 1051
1, 173
1, 1072
1, 1060
1, 164
1, 1064
1, 1067
1, 168
1, 158
1, 1166
1, 2027
1, 64
1, 92
1, 191
1, 189
1, 107
1, 204
1, 86
1, 188
1, 107
1, 304
1, 0
1, 26
1, 22
1, 44
1, 20
1, 19
1, 0
1, 65
1, 64
1, 37
1, 35
1, 89
1, 51
1, 26
1, 779
1, 82
1, 505
1, 89
1, 452
1, 86
1, 85
1, 515
1, 92
1, 464
1, 86
1, 89
1, 573
1, 84
1, 909
1, 94
1, 646
1, 94
1, 85
1, 317
1, 88
1, 456
1, 501
1, 226
1, 507
1, 231
1, 423
1, 223
1, 446
1, 223
1, 221
1, 518
1, 233
1, 226
1, 360
1, 231
1, 670
1, 659
1, 369
1, 919
1, 393
1, 605
1, 332
1, 714
1, 338
1, 379
1, 693
1, 279
1, 384
1, 237
1, 364
1, 0
1, 535
1, 0
1, 16
1, 14
1, 13
1, 0
1, 0
1, 14
1, 0
1, 658
1, 14
1, 18
1, 14
1, 18
1, 0
1, 0
1, 0
1, 10
1, 17
1, 0
1, 0
1, 14
1, 16
1, 10
1, 18
1, 28
1, 0
1, 11
1, 22
1, 18
1, 0
1, 12
1, 16
1, 0
1, 17
1, 19
1, 18
1, 15
1, 13
1, 14
1, 20
1, 18
1, 17
1, 10
1, 17
1, 13
1, 15
1, 13
1, 519
1, 21
1, 16
1, 15
1, 13
1, 9
1, 0
1, 8
1, 0
1, 13
1, 15
1, 13
1, 0
1, 9
1, 0
1, 0
1, 0
1, 0
1, 20
1, 0
1, 13
1, 10
1, 0
1, 17
1, 15
1, 14
1, 17
1, 12
1, 0
1, 20
1, 15
1, 16
1, 12
1, 11
1, 0
1, 18
1, 13
1, 35
1, 15
1, 14
1, 17
1, 0
1, 10
1, 15
1, 0
1, 14
1, 0
1, 0
1, 16
1, 24
1, 19
1, 13
1, 19
1, 16
1, 17
1, 61
1, 0
1, 22
1, 11
1, 9
1, 23
1, 12
1, 0
1, 0
1, 0
1, 12
1, 15
1, 0
1, 11
1, 12
1, 0
1, 14
1, 11
1, 12
1, 461
1, 0
1, 11
1, 0
1, 0
1, 0
1, 15
1, 0
1, 0
1, 16
1, 15
1, 0
1, 0
1, 0
1, 20
1, 12
1, 0
1, 8
1, 0
1, 0
1, 16
1, 10
1, 14
1, 15
1, 0
1, 13
1, 12
1, 0
1, 12
1, 13
1, 99
1, 12
1, 160
1, 0
1, 13
1, 13
1, 91
1, 83
1, 83
1, 0
1, 9
1, 76
1, 19
1, 95
1, 0
1, 0
1, 0
1, 126
1, 701
1, 697
1, 0
1, 0
1, 385
1, 11
1, 0
1, 12
1, 17
1, 15
1, 12
1, 9
1, 13
1, 19
1, 14
1, 0
1, 11
1, 0
1, 129
1, 91
1, 89
1, 9
1, 0
1, 95
1, 15
1, 12
1, 0
1, 0
1, 0
1, 0
1, 18
1, 12
1, 13
1, 14
1, 0
1, 0
1, 13
1, 16
1, 17
1, 15
1, 0
1, 0
1, 9
1, 609
1, 14
1, 127
1, 124
1, 14
1, 12
1, 20
1, 717
1, 9
1, 0
1, 394
1, 11
1, 0
1, 389
1, 7
1, 0
1, 19
1, 44
1, 16
1, 13
1, 25
1, 20
1, 32
1, 36
1, 151
1, 97
1, 15
1, 35
1, 97
1, 107
1, 19
1, 17
1, 131
1, 96
1, 15
1, 37
1, 16
1, 99
1, 15
1, 12
1, 13
1, 21
1, 17
1, 27
1, 23
1, 12
1, 24
1, 26
1, 19
1, 21
1, 20
1, 0
1, 16
