Homolog, Score
1, 0.201882
1, 0.305941
1, 0.068058
1, 0.289058
1, 0.060941
1, 0.284529
1, 0.069470
1, 0.202294
1, 0.080764
1, 0.309882
1, 0.071529
1, 0.278
1, 0.047294
1, 0.104411
1, 0.158882
1, 0.118529
1, 0.232176
1, 0.082529
1, 0.233941
1, 0.116764
1, 0.201941
1, 0.089823
1, 0.203941
1, 0.075588
1, 0.240764
1, 0.065117
1, 0.143941
1, 0.260058
1, 0.175529
1, 0.453588
1, 0.175647
1, 0.054941
1, 0.164411
1, 0.088294
1, 0.076941
1, 0.169705
1, 0.050823
1, 0.202647
1, 0
1, 0.156705
1, 0.050470
1, 0.092647
1, 0.166470
1, 0.073588
1, 0.188235
1, 0
1, 0.065882
1, 0.269294
1, 0.071588
1, 0.096294
1, 0.258
1, 0.291235
1, 0.068705
1, 0.092941
1, 0.251823
1, 0.175647
1, 0.008058
1, 0.258
1, 0.270823
1, 0.054941
1, 0.007823
1, 0
1, 0.032352
1, 0.120470
1, 0
1, 0.027352
1, 0.185294
1, 0
1, 0.068999
1, 0.031470
1, 0.095882
1, 0.194882
1, 0
1, 0.199705
1, 0.308411
1, 0.179529
1, 0.123588
1, 0.134705
1, 0
1, 0.051705
1, 0.119411
1, 0
1, 0.093352
1, 0.078117
1, 0.057117
1, 0.022235
1, 0
1, 0.054411
1, 0.129470
1, 0
1, 0.044000
1, 0.191823
1, 0
1, 0.061647
1, 0.059882
1, 0.114882
1, 0.180235
1, 0
1, 0.197764
1, 0.294117
1, 0.160294
1, 0.117529
1, 0.139705
1, 0
1, 0.064235
1, 0.141235
1, 0.004235
1, 0.131647
1, 0.118647
1, 0.222352
1, 0.396058
1, 0.465117
1, 0.161294
1, 0.122176
1, 0.456058
1, 0.13
1, 0.407294
1, 0.447764
1, 0.158294
1, 0.140117
1, 0.488352
1, 0.126294
1, 0.419235
1, 0.460529
1, 0.154352
1, 0.133470
1, 0.499705
1, 0.129411
1, 0.433176
1, 0.472117
1, 0.180529
1, 0.139294
1, 0.501882
1, 0.142176
1, 0.374823
1, 0.464823
1, 0.202294
1, 0.156000
1, 0.485058
1, 0.165705
1, 0.418529
1, 0.447823
1, 0.136588
1, 0.119470
1, 0.477235
1, 0.107882
1, 0.436058
1, 0.496529
1, 0.159764
1, 0.129941
1, 0.489705
1, 0.124352
1, 0.142882
1, 0.241882
1, 0.573411
1, 0.045529
1, 0.408411
1, 0.056000
1, 0.330117
1, 0.188411
1, 0.223588
1, 0.308705
1, 0.069470
1, 0.181117
1, 0.132294
1, 0.212294
1, 0.083588
1, 0.297294
1, 0.101647
1, 0.036823
1, 0.183235
1, 0.052000
1, 0.379352
1, 0.072588
1, 0.397647
1, 0.176529
1, 0.152294
1, 0.359176
1, 0.105941
1, 0.148294
1, 0.177352
1, 0.186411
1, 0.144058
1, 0.328235
1, 0.122
1, 0.056823
1, 0.195941
1, 0.039176
1, 0.305117
1, 0.108117
1, 0.413647
1, 0.182411
1, 0.183470
1, 0.368352
1, 0.087705
1, 0.098294
1, 0.129941
1, 0.163823
1, 0.134882
1, 0.341882
1, 0.119764
1, 0.040941
1, 0.205823
1, 0.053882
1, 0.349117
1, 0.117882
1, 0.385294
1, 0.173588
1, 0.200294
1, 0.350823
1, 0.067117
1, 0.127823
1, 0.137470
1, 0.188647
1, 0.142764
1, 0.346117
1, 0.093999
1, 0.052823
1, 0.240647
1, 0.055882
1, 0.324529
1, 0.118705
1, 0.410000
1, 0.187000
1, 0.199470
1, 0.370941
1, 0.099352
1, 0.127941
1, 0.140176
1, 0.184411
1, 0.144764
1, 0.362823
1, 0.127411
1, 0.057647
1, 0.225352
1, 0.050588
1, 0.315705
1, 0.124823
1, 0.400823
1, 0.187352
1, 0.186529
1, 0.372235
1, 0.101941
1, 0.114647
1, 0.141941
1, 0.179117
1, 0.144764
1, 0.352588
1, 0.127058
1, 0.051529
1, 0.218176
1, 0.069058
1, 0.334058
1, 0.127294
1, 0.436941
1, 0.184882
1, 0.193588
1, 0.369411
1, 0.096411
1, 0.130529
1, 0.144294
1, 0.183941
1, 0.155941
1, 0.353764
1, 0.134
1, 0.064235
1, 0.218176
1, 0.007823
1, 0.277
1, 0.177235
1, 0.357588
1, 0.071647
1, 0.266411
1, 0.173470
1, 0.242764
1, 0.081529
1, 0.254882
1, 0.173235
1, 0.318999
1, 0.088588
1, 0.262588
1, 0.202705
1, 0.243764
1, 0.095588
1, 0.250294
1, 0.165823
1, 0.314058
1, 0.098941
1, 0.131529
1, 0.308705
1, 0.425000
1, 0.269294
1, 0.047647
1, 0
1, 0.190470
1, 0.219352
1, 0.176941
1, 0
1, 0
1, 0.266647
1, 0
1, 0.214882
1, 0.225176
1, 0.205941
1, 0
1, 0
1, 0.277294
1, 0
1, 0.204294
1, 0.217411
1, 0.218176
1, 0
1, 0
1, 0.267647
1, 0
1, 0.193470
1, 0.209647
1, 0.170294
1, 0
1, 0
1, 0.251294
1, 0
1, 0.216470
1, 0.221235
1, 0.210352
1, 0
1, 0
1, 0.280529
1, 0
1, 0.383588
1, 0.071647
1, 0.091470
1, 0.260058
1, 0.634941
1, 0.251470
1, 0.616470
1, 0.246117
1, 0.613823
1, 0.198941
1, 0.226529
1, 0.201823
1, 0.196117
1, 0.195176
1, 0.349411
1, 0.126176
1, 0.253117
1, 0.266058
1, 0.190176
1, 0.298411
1, 0.056117
1, 0.415294
1, 0.180588
1, 0.199411
1, 0.323647
1, 0.107470
1, 0.231705
1, 0.238411
1, 0.200999
1, 0.252529
1, 0.024588
1, 0.386823
1, 0.201764
1, 0.193294
1, 0.298000
1, 0.135705
1, 0.206999
1, 0.230999
1, 0.183705
1, 0.259588
1, 0.061529
1, 0.405882
1, 0.180000
1, 0.206941
1, 0.353647
1, 0.127
1, 0.252764
1, 0.262764
1, 0.233705
1, 0.258647
1, 0.035882
1, 0.397764
1, 0.556941
1, 0.200941
1, 0.148235
1, 0.166235
1, 0.150117
1, 0.488647
1, 0.549235
1, 0.289588
1, 0.185705
1, 0.278823
1, 0.182941
1, 0.216352
1, 0.279294
1, 0.282823
1, 0.293411
1, 0.288588
1, 0.183882
1, 0.274176
1, 0.181705
1, 0.215117
1, 0.282058
1, 0.276882
1, 0.287941
1, 0
1, 0
1, 0.058764
1, 0.032294
1, 0.104705
1, 0.158235
1, 0.208352
1, 0.032352
1, 0.277
1, 0.092823
1, 0.403588
1, 0.263647
1, 0.368
1, 0.121235
1, 0.467294
1, 0.257470
1, 0.228529
1, 0.130235
1, 0.123529
1, 0.213235
1, 0.220882
1, 0.127529
1, 0.122705
1, 0.211588
1, 0.219117
1, 0.198941
1, 0.382470
1, 0.390588
1, 0.418411
1, 0.344647
1, 0.389117
1, 0.347117
1, 0.382529
1, 0.388764
1, 0.340823
1, 0.415882
1, 0.348176
1, 0.415470
1, 0.367588
1, 0.404647
1, 0.376941
1, 0.400823
1, 0.382352
1, 0.394705
1, 0.241882
1, 0.179941
1, 0.154647
1, 0.177176
1, 0.205529
1, 0.165352
1, 0.199705
1, 0.132
1, 0.076823
1, 0.150529
1, 0.246176
1, 0.155764
1, 0.253411
1, 0.205294
1, 0.262235
1, 0.167529
1, 0.292941
1, 0.120470
1, 0
1, 0.024823
1, 0.121823
1, 0.054764
1, 0.169941
1, 0.057823
1, 0.074529
1, 0
1, 0.037411
1, 0.059117
1, 0.026411
1, 0.197823
1, 0.109823
1, 0.104764
1, 0
1, 0.186470
1, 0
1, 0.027588
1, 0.330647
1, 0.282764
1, 0.168058
1, 0
1, 0.053470
1, 0.051764
1, 0.030000
1, 0.212823
1, 0.124705
1, 0.102117
1, 0
1, 0.143235
1, 0
1, 0
1, 0.325294
1, 0.223058
1, 0.150705
1, 0.122529
1, 0.160529
1, 0.257647
1, 0.071588
1, 0.164411
1, 0
1, 0.220647
1, 0.231588
1, 0
1, 0
1, 0.163764
1, 0
1, 0.223529
1, 0.239176
1, 0
1, 0
1, 0.524705
1, 0.272588
1, 0.393235
1, 0.262058
1, 0.363529
1, 0.279647
1, 0.351941
1, 0.196117
1, 0.176647
1, 0.213764
1, 0.043823
1, 0.097705
1, 0.210705
1, 0.194647
1, 0.253176
1, 0.087588
1, 0.098529
1, 0.198705
1, 0.185470
1, 0.249882
1, 0.066647
1, 0.101705
1, 0.226941
1, 0.193941
1, 0.260117
1, 0.096882
1, 0.110999
1, 0.096411
1, 0.283647
1, 0.149176
1, 0.270294
1, 0.429941
1, 0.267470
1, 0.445647
1, 0.227294
1, 0.422882
1, 0.268176
1, 0.465176
1, 0.252705
1, 0.460882
1, 0.245705
1, 0.437235
1, 0.259235
1, 0.176352
1, 0.323529
1, 0.104411
1, 0.157176
1, 0.154647
1, 0.081117
1, 0.083705
1, 0.071588
1, 0.072058
1, 0.114294
1, 0.257647
1, 0.152705
1, 0.650941
1, 0.236529
1, 0.201058
1, 0.201882
1, 0.040588
1, 0.125117
1, 0.068411
1, 0.116588
1, 0.065705
1, 0.150882
1, 0.184764
1, 0.348
1, 0.154058
1, 0.025235
1, 0.062705
1, 0.057823
1, 0.105294
1, 0
1, 0.078764
1, 0.050941
1, 0.137705
1, 0.084058
1, 0.131764
1, 0.074294
1, 0.165588
1, 0.200058
1, 0.357882
1, 0.169823
1, 0.033117
1, 0.079999
1, 0.062764
1, 0.119058
1, 0.011823
1, 0.086294
1, 0.151235
1, 0.382941
1, 0.131647
1, 0.125294
1, 0.092823
1, 0.151470
1, 0.110529
1, 0.174117
1, 0.143764
1, 0.027352
1, 0.415647
1, 0.210529
1, 0.461705
1, 0.083882
1, 0.376941
1, 0.227352
1, 0.481705
1, 0.077529
1, 0.387176
1, 0.226999
1, 0.488294
1, 0.094705
1, 0.440999
1, 0.195647
1, 0.470470
1, 0.051117
1, 0.556941
1, 0.045529
1, 0.185294
1, 0.157176
1, 0.281823
1, 0.129352
1, 0.029470
1, 0.360941
1, 0.171588
1, 0.255294
1, 0.138176
1, 0.356941
1, 0.166764
1, 0.382470
1, 0.289588
1, 0.158235
1, 0.332941
1, 0.230352
1, 0.293647
1, 0.482823
1, 0.146294
1, 0.287117
1, 0.086411
1, 0.181647
1, 0.457352
1, 0.182647
1, 0.101705
1, 0.206411
1, 0.265235
1, 0.711117
1, 0.040058
1, 0.279294
1, 0.157000
1, 0.310882
1, 0.218764
1, 0.279
1, 0.478176
1, 0.144823
1, 0.290823
1, 0.077999
1, 0.168529
1, 0.447764
1, 0.149647
1, 0.094352
1, 0.179764
1, 0.253882
1, 0.723764
1, 0.021647
1, 0.279117
1, 0.130470
1, 0.306470
1, 0.201058
1, 0.296823
1, 0.516705
1, 0.124882
1, 0.262411
1, 0.078999
1, 0.178588
1, 0.488176
1, 0.164647
1, 0.075588
1, 0.195588
1, 0.255352
1, 0.697823
1, 0.029235
1, 0.206705
1, 0.182764
1, 0.222882
1, 0.200176
1, 0.276529
1, 0.471
1, 0.195176
1, 0.306352
1, 0.058823
1, 0.083235
1, 0.432941
1, 0.113999
1, 0.094352
1, 0.126117
1, 0.247058
1, 0.579764
1, 0
1, 0.282941
1, 0.158294
1, 0.325705
1, 0.214176
1, 0.292882
1, 0.536647
1, 0.118588
1, 0.281764
1, 0.102941
1, 0.146176
1, 0.482352
1, 0.176000
1, 0.079058
1, 0.195294
1, 0.247882
1, 0.748235
1, 0.029058
1, 0.382941
1, 0.195176
1, 0.276176
1, 0.074352
1, 0.332941
1, 0.099999
1, 0.219882
1, 0.152058
1, 0.316882
1, 0.043000
1, 0.328823
1, 0.125176
1, 0.235470
1, 0.005882
1, 0.090764
1, 0.130705
1, 0.220058
1, 0.328999
1, 0.101411
1, 0.547588
1, 0.324176
1, 0.018823
1, 0.174352
1, 0.293000
1, 0.167470
1, 0.259764
1, 0.067588
1, 0.328764
1, 0.081705
1, 0.199588
1, 0.139294
1, 0.310823
1, 0.060823
1, 0.302411
1, 0.104882
1, 0.240823
1, 0.010764
1, 0.068117
1, 0.146529
1, 0.216117
1, 0.317882
1, 0.094058
1, 0.538470
1, 0.314588
1, 0.059941
1, 0.158411
1, 0.277411
1, 0.192176
1, 0.276823
1, 0.058647
1, 0.317705
1, 0.085117
1, 0.217235
1, 0.138588
1, 0.305529
1, 0.030117
1, 0.330411
1, 0.108294
1, 0.214705
1, 0
1, 0.080705
1, 0.086999
1, 0.213176
1, 0.334588
1, 0.092882
1, 0.547176
1, 0.315411
1, 0.023117
1, 0.184176
1, 0.305176
1, 0.196941
1, 0.279705
1, 0.111058
1, 0.336470
1, 0.111411
1, 0.216823
1, 0.182764
1, 0.313941
1, 0.076058
1, 0.311882
1, 0.141529
1, 0.260294
1, 0.039529
1, 0.100999
1, 0.152235
1, 0.221352
1, 0.318647
1, 0.107294
1, 0.527117
1, 0.317470
1, 0.066235
1, 0.185764
1, 0.278058
1, 0.186117
1, 0.248411
1, 0.098352
1, 0.318352
1, 0.095882
1, 0.209411
1, 0.138058
1, 0.296411
1, 0.074882
1, 0.278470
1, 0.103999
1, 0.258411
1, 0.021176
1, 0.086647
1, 0.170823
1, 0.222058
1, 0.299235
1, 0.097999
1, 0.529117
1, 0.305705
1, 0.077294
1, 0.172470
1, 0.267352
1, 0.197117
1, 0.283294
1, 0.067823
1, 0.334529
1, 0.085588
1, 0.220529
1, 0.142000
1, 0.317764
1, 0.043058
1, 0.334764
1, 0.122294
1, 0.233294
1, 0.000176
1, 0.093882
1, 0.105823
1, 0.221529
1, 0.339058
1, 0.107235
1, 0.552352
1, 0.327058
1, 0.045823
1, 0.177470
1, 0.311764
1, 0.181176
1, 0.368941
1, 0.197176
1, 0.317529
1, 0.200117
1, 0.336352
1, 0.209764
1, 0.334235
1, 0.178823
1, 0.166058
1, 0.408411
1, 0.549235
1, 0.123117
1, 0.437588
1, 0.117882
1, 0.272647
1, 0.135529
1, 0.300823
1, 0.198235
1, 0.314470
1, 0.097294
1, 0.322176
1, 0.067117
1, 0.416588
1, 0.527058
1, 0.132352
1, 0.451882
1, 0.113470
1, 0.269411
1, 0.143000
1, 0.292882
1, 0.186529
1, 0.340176
1, 0.100764
1, 0.301411
1, 0.065764
1, 0.398470
1, 0.517764
1, 0.111176
1, 0.416941
1, 0.113117
1, 0.286705
1, 0.128058
1, 0.270882
1, 0.189235
1, 0.331235
1, 0.086294
1, 0.291647
1, 0.054941
1, 0.374470
1, 0.517176
1, 0.106588
1, 0.395058
1, 0.104176
1, 0.251176
1, 0.141941
1, 0.303823
1, 0.201588
1, 0.322764
1, 0.081117
1, 0.287529
1, 0.055176
1, 0.421588
1, 0.534294
1, 0.119470
1, 0.459117
1, 0.107058
1, 0.286176
1, 0.141882
1, 0.282235
1, 0.189529
1, 0.320705
1, 0.086823
1, 0.315941
1, 0.067823
1, 0.454705
1, 0.519647
1, 0.109764
1, 0.476352
1, 0.117352
1, 0.301882
1, 0.128882
1, 0.275705
1, 0.198764
1, 0.287235
1, 0.085588
1, 0.324823
1, 0.058470
1, 0.406764
1, 0.520294
1, 0.121352
1, 0.444999
1, 0.101529
1, 0.267352
1, 0.140823
1, 0.303176
1, 0.202117
1, 0.332352
1, 0.085411
1, 0.311235
1, 0.064411
1, 0.388529
1, 0.534764
1, 0.124058
1, 0.421117
1, 0.103999
1, 0.284647
1, 0.138117
1, 0.273647
1, 0.189999
1, 0.334352
1, 0.096117
1, 0.302411
1, 0.067705
1, 0.389
1, 0.519823
1, 0.111941
1, 0.416647
1, 0.107647
1, 0.262294
1, 0.134470
1, 0.301529
1, 0.196470
1, 0.333647
1, 0.097882
1, 0.306647
1, 0.065588
1, 0.421764
1, 0.495411
1, 0.112117
1, 0.455999
1, 0.100176
1, 0.284000
1, 0.109705
1, 0.274647
1, 0.188411
1, 0.300764
1, 0.076058
1, 0.301764
1, 0.045882
1, 0.181176
1, 0.293352
