Homolog, Score
1, 0.572824
1, 0.541118
1, 0.511412
1, 0.525765
1, 0.707588
1, 0.480941
1, 0.783235
1, 0.516882
1, 0.626529
1, 0.610353
1, 0.624471
1, 0.562706
1, 0.575765
1, 0.564588
1, 0.637471
1, 0.763765
1, 0.687882
1, 0.523118
1, 0.716412
1, 0.526471
1, 0.832353
1, 0.643706
1, 0.514941
1, 0.727588
1, 0.499706
1, 0.791353
1, 0.501941
1, 0.715294
1, 0.496824
1, 0.710294
1, 0.442294
1, 0.754765
1, 0.529235
1, 0.444059
1, 0.721353
1, 0.509706
1, 0.432765
1, 0.350176
1, 0.325353
1, 0.391471
1, 0.258529
1, 0.321529
1, 0.260765
1, 0.351529
1, 0.246882
1, 0.680118
1, 0.287824
1, 0.184353
1, 0.278059
1, 0.194000
1, 0.348765
1, 0.805647
1, 0.753706
1, 0.832529
1, 0.791824
1, 0.815471
1, 0.817118
1, 0.824529
1, 0.796294
1, 0.779882
1, 0.789529
1, 0.797765
1, 0.763647
1, 0.845235
1, 0.853353
1, 0.823176
1, 0.790235
1, 0.815412
1, 0.780824
1, 0.732353
1, 0.731294
1, 0.730412
1, 0.766588
1, 0.748588
1, 0.753118
1, 0.884647
1, 0.803647
1, 0.813588
1, 0.842118
1, 0.790118
1, 0.706882
1, 0.787647
1, 0.822647
1, 0.803647
1, 0.733412
1, 0.657588
1, 0.949176
1, 0.811529
1, 0.754882
1, 0.809941
1, 0.810529
1, 0.759471
1, 0.809235
1, 0.799765
1, 0.783765
1, 0.756882
1, 0.778941
1, 0.705941
1, 0.803471
1, 0.521882
1, 0.543176
1, 0.568059
1, 0.433647
1, 0.409294
1, 0.242588
1, 0.515353
1, 0.509882
1, 0.299529
1, 0.276294
1, 0.429941
1, 0.312471
1, 0.274176
1, 0.435588
1, 0.490824
1, 0.359059
1, 0.505000
1, 0.572059
1, 0.630353
1, 0.464765
1, 0.495706
1, 0.288941
1, 0.617824
1, 0.578294
1, 0.307235
1, 0.304471
1, 0.448294
1, 0.341353
1, 0.310059
1, 0.525706
1, 0.543000
1, 0.465529
1, 0.710941
1, 0.560588
1, 0.462353
1, 0.464824
1, 0.351765
1, 0.498647
1, 0.628000
1, 0.304941
1, 0.318412
1, 0.340294
1, 0.403882
1, 0.400235
1, 0.436176
1, 0.623294
1, 0.578118
1, 0.563588
1, 0.474647
1, 0.506588
1, 0.337824
1, 0.646588
1, 0.609941
1, 0.351824
1, 0.328941
1, 0.448235
1, 0.373824
1, 0.308412
1, 0.576235
1, 0.575059
1, 0.475941
1, 0.562647
1, 0.561235
1, 0.281706
1, 0.406824
1, 0.482118
1, 0.350588
1, 0.343000
1, 0.366471
1, 0.343941
1, 0.272471
1, 0.442824
1, 0.480118
1, 0.350059
1, 0.393353
1, 0.259294
1, 0.383471
1, 0.487059
1, 0.333882
1, 0.348529
1, 0.365118
1, 0.303412
1, 0.246176
1, 0.398882
1, 0.514706
1, 0.312588
1, 0.481235
1, 0.347235
1, 0.315059
1, 0.269882
1, 0.257941
1, 0.184529
1, 0.583882
1, 0.311706
1, 0.339235
1, 0.424059
1, 0.428118
1, 0.330824
1, 0.648882
1, 0.224765
1, 0.204941
1, 0.435765
1, 0.365824
1, 0.290941
1, 0.639176
1, 0.520706
1, 0.544176
1, 0.579941
1, 0.302588
1, 0.299588
1, 0.386647
1, 0.365765
1, 0.326000
1, 0.528647
1, 0.630706
1, 0.456941
1, 0.508176
1, 0.761941
1, 0.113471
1, 0.401412
1, 0.299235
1, 0.261118
1, 0.281059
1, 0.273647
1, 0.328529
1, 0.089647
1, 0.370294
1, 0.274706
1, 0.258824
1, 0.327000
1, 0.247235
1, 0.325529
1, 0.214882
1, 0.191176
1, 0.397765
1, 0.290706
1, 0.305235
1, 0.365000
1, 0.337059
1, 0.391118
1, 0.388529
1, 0.368941
1, 0.408647
1, 0.279882
1, 0.433235
1, 0.356882
1, 0.333353
1, 0.464941
1, 0.469941
1, 0.466529
1, 0.607000
1, 0.526529
1, 0.537647
1, 0.637588
1, 0.635529
1, 0.688647
1, 0.619176
1, 0.644529
1, 0.653647
1, 0.672176
1, 0.679882
1, 0.684824
1, 0.729000
1, 0.638529
1, 0.617824
1, 0.669647
1, 0.591765
1, 0.626176
1, 0.695412
1, 0.605235
1, 0.615706
1, 0.587647
1, 0.724176
1, 0.745412
1, 0.721882
1, 0.745882
1, 0.699000
1, 0.651471
1, 0.656824
1, 0.638353
1, 0.538647
1, 0.625353
1, 0.527882
1, 0.733059
1, 0.610647
1, 0.532824
1, 0.713176
1, 0.623647
1, 0.605824
1, 0.592471
1, 0.628471
1, 0.677294
1, 0.712824
1, 0.699882
1, 0.742824
1, 0.697882
1, 0.715059
1, 0.674882
1, 0.573941
1, 0.729294
1, 0.681941
1, 0.572824
1, 0.629412
1, 0.593412
1, 0.635765
1, 0.658647
1, 0.757059
1, 0.751176
1, 0.692000
1, 0.658118
1, 0.768000
1, 0.634882
1, 0.593059
1, 0.759059
1, 0.676765
1, 0.772882
1, 0.771294
1, 0.684176
1, 0.722706
1, 0.622941
1, 0.638412
1, 0.581294
1, 0.545588
1, 0.599412
1, 0.585412
1, 0.752176
1, 0.598471
1, 0.607000
1, 0.857471
1, 0.697765
1, 0.728765
1, 0.635824
1, 0.645412
1, 0.592059
1, 0.614118
1, 0.619588
1, 0.605118
1, 0.821588
1, 0.607235
1, 0.605529
1, 0.711706
1, 0.721529
1, 0.651412
1, 0.652529
1, 0.588353
1, 0.565529
1, 0.627765
1, 0.570765
1, 0.804118
1, 0.630235
1, 0.560706
1, 0.727706
1, 0.693588
1, 0.683412
1, 0.670471
1, 0.576647
1, 0.678706
1, 0.575647
1, 0.664824
1, 0.660647
1, 0.584588
1, 0.697529
1, 0.703588
1, 0.695118
1, 0.593412
1, 0.701471
1, 0.607882
1, 0.694294
1, 0.705118
1, 0.632647
1, 0.816647
1, 0.740941
1, 0.674235
1, 0.909412
1, 0.651471
1, 0.600412
1, 0.816941
1, 0.645118
1, 0.724824
1, 0.639118
1, 0.795588
1, 0.613529
1, 0.613882
1, 0.764059
1, 0.637059
1, 0.666647
1, 0.759529
1, 0.657824
1, 0.576941
1, 0.754235
1, 0.635235
1, 0.683765
1, 0.866412
1, 0.583647
1, 0.674706
1, 0.730412
1, 0.661588
1, 0.581706
1, 0.813412
1, 0.662294
1, 0.582412
1, 0.651471
1, 0.777941
1, 0.579294
1, 0.577294
1, 0.686294
1, 0.448706
1, 0.459059
1, 0.404294
1, 0.303765
1, 0.349118
1, 0.420412
1, 0.458000
1, 0.448353
1, 0.509000
1, 0.373588
1, 0.460176
1, 0.338353
1, 0.479706
1, 0.454529
1, 0.421000
1, 0.390000
1, 0.377000
1, 0.419118
1, 0.525941
1, 0.354294
1, 0.475647
1, 0.481118
1, 0.286471
1, 0.282294
1, 0.356294
1, 0.551529
1, 0.395235
1, 0.473118
1, 0.325588
1, 0.344176
1, 0.368765
1, 0.384765
1, 0.433118
1, 0.392353
1, 0.310941
1, 0.500529
1, 0.788294
1, 0.320882
1, 0.404353
1, 0.426765
1, 0.344118
1, 0.381235
1, 0.429824
1, 0.463529
1, 0.381294
1, 0.481588
1, 0.392647
1, 0.382412
1, 0.346000
1, 0.443118
1, 0.505706
1, 0.373471
1, 0.359059
1, 0.470176
1, 0.445000
1, 0.384882
1, 0.317706
1, 0.413882
1, 0.418765
1, 0.415529
1, 0.404824
1, 0.432765
1, 0.415176
1, 0.327471
1, 0.371235
1, 0.512000
1, 0.374118
1, 0.458176
1, 0.426941
1, 0.429882
1, 0.521412
1, 0.418529
1, 0.388059
1, 0.432706
1, 0.596941
1, 0.309706
1, 0.502941
1, 0.329765
1, 0.312882
1, 0.482647
1, 0.481059
1, 0.380412
1, 0.331353
1, 0.454529
1, 0.285941
1, 0.359647
1, 0.385235
1, 0.310941
1, 0.393941
1, 0.267353
1, 0.298824
1, 0.594824
1, 0.271294
1, 0.309176
1, 0.608647
1, 0.517353
1, 0.377824
1, 0.349059
1, 0.368353
1, 0.277824
1, 0.412882
1, 0.379882
1, 0.379529
1, 0.369176
1, 0.323706
1, 0.347471
1, 0.367941
1, 0.452824
1, 0.277353
1, 0.389412
1, 0.381941
1, 0.446706
1, 0.444706
1, 0.331412
1, 0.360647
1, 0.363765
1, 0.375765
1, 0.316471
1, 0.379059
1, 0.353412
1, 0.445941
1, 0.580765
1, 0.542647
1, 0.368706
1, 0.419353
1, 0.495588
1, 0.363235
1, 0.386706
1, 0.465471
1, 0.612765
1, 0.418529
1, 0.324059
1, 0.435471
1, 0.327353
1, 0.373118
1, 0.339412
1, 0.414412
1, 0.430882
1, 0.728059
1, 0.330941
1, 0.369941
1, 0.394118
1, 0.334529
1, 0.492882
1, 0.315529
1, 0.446235
1, 0.315588
1, 0.517882
1, 0.460824
1, 0.451882
1, 0.316294
1, 0.508118
1, 0.408941
1, 0.387529
1, 0.401176
1, 0.541176
1, 0.375765
1, 0.325294
1, 0.323059
1, 0.280000
1, 0.356412
1, 0.331529
1, 0.342588
1, 0.395176
1, 0.306824
1, 0.393824
1, 0.471176
1, 0.437059
1, 0.363529
1, 0.414647
1, 0.391059
1, 0.386824
1, 0.434118
1, 0.366353
1, 0.302176
1, 0.428765
1, 0.299588
1, 0.366118
1, 0.317706
1, 0.371118
1, 0.321588
1, 0.309176
1, 0.474235
1, 0.388471
1, 0.353941
1, 0.404941
1, 0.423294
1, 0.400941
1, 0.402118
1, 0.433529
1, 0.397941
1, 0.467176
1, 0.443059
1, 0.412353
1, 0.352118
1, 0.269941
1, 0.380824
1, 0.390647
1, 0.301882
1, 0.483765
1, 0.358529
1, 0.395588
1, 0.399353
1, 0.238294
1, 0.444824
1, 0.400000
1, 0.366824
1, 0.361765
1, 0.428176
1, 0.227059
1, 0.762529
1, 0.736941
1, 0.767059
1, 0.746647
1, 0.848176
1, 0.876588
1, 0.843353
1, 0.818118
1, 0.933235
1, 0.830059
1, 0.440176
1, 0.425412
1, 0.346529
1, 0.505647
1, 0.575235
1, 0.599529
1, 0.598529
1, 0.412059
1, 0.425412
1, 0.661765
1, 0.748882
1, 0.539765
1, 0.505824
1, 0.483529
1, 0.470294
1, 0.471294
1, 0.706059
1, 0.629941
1, 0.501353
1, 0.475294
1, 0.536941
1, 0.464176
1, 0.455765
1, 0.485471
1, 0.642294
1, 0.750706
1, 0.483412
1, 0.572941
1, 0.375706
1, 0.407765
1, 0.416059
1, 0.591706
1, 0.650059
1, 0.424471
1, 0.480412
1, 0.450235
1, 0.460529
1, 0.508412
1, 0.644824
1, 0.472941
1, 0.577118
1, 0.627882
1, 0.452706
1, 0.476059
1, 0.684176
1, 0.707824
1, 0.463471
1, 0.512118
1, 0.707059
1, 0.470471
1, 0.533941
1, 0.777941
1, 0.675588
1, 0.491941
1, 0.527412
1, 0.607647
1, 0.712000
1, 0.641059
1, 0.631000
1, 0.636647
1, 0.659059
1, 0.582176
1, 0.580588
1, 0.563588
1, 0.604765
1, 0.609824
1, 0.704706
1, 0.726588
1, 0.621412
1, 0.717176
1, 0.640176
1, 0.674412
1, 0.682118
1, 0.638000
1, 0.635941
1, 0.762176
1, 0.849882
1, 0.578529
1, 0.850706
1, 0.594176
1, 0.622353
1, 0.644353
1, 0.625706
1, 0.643000
1, 0.601412
1, 0.672471
1, 0.640471
1, 0.632294
1, 0.601471
1, 0.589235
1, 0.665176
1, 0.611118
1, 0.646353
1, 0.864529
1, 0.881000
1, 0.658882
1, 0.872706
1, 0.659706
1, 0.656176
1, 0.654882
1, 0.642529
1, 0.676765
1, 0.569882
1, 0.679000
1, 0.636118
1, 0.598765
1, 0.583000
1, 0.629588
1, 0.586471
1, 0.769765
1, 0.772000
1, 0.677118
1, 0.677471
1, 0.625765
1, 0.661471
1, 0.797412
1, 0.657353
1, 0.667824
1, 0.764176
1, 0.647412
1, 0.820824
1, 0.658765
1, 0.651471
1, 0.582588
1, 0.619471
1, 0.826706
1, 0.617941
1, 0.636412
1, 0.815588
1, 0.611294
1, 0.644824
1, 0.634941
1, 0.556412
1, 0.604471
1, 0.765941
1, 0.620235
1, 0.627176
1, 0.774647
1, 0.612176
1, 0.760000
1, 0.529706
1, 0.736118
1, 0.647471
1, 0.606706
1, 0.597176
1, 0.664824
1, 0.595353
1, 0.550647
1, 0.860000
1, 0.586882
1, 0.586118
1, 0.594588
1, 0.655529
1, 0.597294
1, 0.546529
1, 0.602353
1, 0.653706
1, 0.653235
1, 0.592176
1, 0.650824
1, 0.563000
1, 0.601471
1, 0.609118
1, 0.638824
1, 0.622176
1, 0.632059
1, 0.646647
1, 0.838882
1, 0.625647
1, 0.867294
1, 0.629765
1, 0.867353
1, 0.653529
1, 0.869471
1, 0.639471
1, 0.585176
1, 0.912412
1, 0.596882
1, 0.774765
1, 0.712941
1, 0.741824
1, 0.697529
1, 0.732412
1, 0.742824
1, 0.765353
1, 0.822059
1, 0.838059
1, 0.776000
1, 0.737353
1, 0.786706
1, 0.979412
1, 0.881765
1, 0.730412
1, 0.774882
1, 0.728412
1, 0.433294
1, 0.746765
1, 0.422529
1, 0.698235
1, 0.630647
1, 0.915647
1, 0.633647
1, 0.680000
1, 0.631294
1, 0.492706
1, 0.684824
1, 0.706941
1, 0.729235
1, 0.539529
1, 0.746824
1, 0.722588
1, 0.563235
1, 0.563882
1, 0.555882
1, 0.523647
1, 0.548059
1, 0.514706
1, 0.718765
1, 0.739235
1, 0.595000
1, 0.691882
1, 0.720706
1, 0.725647
1, 0.603294
1, 0.756294
1, 0.714235
1, 0.578941
1, 0.746529
1, 0.725118
1, 0.583471
1, 0.591529
1, 0.742471
1, 0.875059
1, 0.864471
1, 0.725059
1, 0.722294
1, 0.847000
1, 0.649294
1, 0.863176
1, 0.854882
1, 0.720647
1, 0.873529
1, 0.687176
1, 0.693294
1, 0.836353
1, 0.718000
1, 0.680471
1, 0.663765
1, 0.727529
1, 0.729941
1, 0.855588
1, 0.624706
1, 0.857882
1, 0.857471
1, 0.743353
1, 0.865529
1, 0.665882
1, 0.684118
1, 0.843647
1, 0.745294
1, 0.663294
1, 0.645882
1, 0.891706
1, 0.697706
1, 0.612706
1, 0.723647
1, 0.726765
1, 0.852882
1, 0.733176
1, 0.671059
1, 0.685294
1, 0.737059
1, 0.842000
1, 0.647647
1, 0.637059
1, 0.706941
1, 0.617941
1, 0.732412
1, 0.734235
1, 0.853647
1, 0.739588
1, 0.676059
1, 0.684529
1, 0.743235
1, 0.833588
1, 0.646529
1, 0.637235
1, 0.624647
1, 0.848294
1, 0.847882
1, 0.706588
1, 0.852882
1, 0.658765
1, 0.669000
1, 0.830059
1, 0.703941
1, 0.647000
1, 0.632412
1, 0.655176
1, 0.657824
1, 0.612882
1, 0.658235
1, 0.713059
1, 0.719412
1, 0.662471
1, 0.621294
1, 0.731294
1, 0.720118
1, 0.949235
1, 0.732882
1, 0.922118
1, 0.696706
1, 0.713294
1, 0.902235
1, 0.727294
1, 0.692824
1, 0.676000
1, 0.740118
1, 0.916412
1, 0.697471
1, 0.716176
1, 0.903706
1, 0.734647
1, 0.691353
1, 0.673588
1, 0.737941
1, 0.691176
1, 0.688059
1, 0.752529
1, 0.913000
1, 0.657471
1, 0.674765
1, 0.692706
1, 0.711412
1, 0.907412
1, 0.733412
1, 0.685647
1, 0.671294
1, 0.901647
1, 0.699647
1, 0.680412
1, 0.839647
1, 0.829294
1, 0.721529
1, 0.677412
1, 0.831412
1, 0.822706
1, 0.746353
1, 0.680000
1, 0.670235
1, 0.650235
1, 0.656353
1, 0.910235
1, 0.664588
1, 0.707353
1, 0.694294
1, 0.664824
1, 0.673294
1, 0.654294
1, 0.637235
1, 0.701588
1, 0.619882
1, 0.713118
1, 0.685529
1, 0.677176
1, 0.657824
1, 0.779529
1, 0.649118
1, 0.711118
1, 0.629529
1, 0.814588
1, 0.709706
1, 0.729588
1, 0.666118
1, 0.679059
1, 0.864706
1, 0.728765
1, 0.741353
1, 0.680882
1, 0.702353
1, 0.633647
1, 0.843941
1, 0.691353
1, 0.637176
1, 0.704765
1, 0.595353
1, 0.713471
1, 0.834353
1, 0.648059
1, 0.853529
1, 0.710882
1, 0.673647
1, 0.660941
1, 0.682235
1, 0.606882
1, 0.659882
1, 0.617471
1, 0.720647
1, 0.818824
1, 0.677824
1, 0.508706
1, 0.653824
1, 0.662353
1, 0.663412
1, 0.566529
1, 0.783059
1, 0.777588
1, 0.795000
1, 0.541588
1, 0.536000
1, 0.552353
1, 0.817118
1, 0.923706
1, 0.830000
1, 0.846588
1, 0.682471
1, 0.785412
1, 0.671941
1, 0.772235
1, 0.795647
1, 0.907706
1, 0.691294
1, 0.868294
1, 0.710059
1, 0.864353
1, 0.721824
1, 0.537824
1, 0.673765
1, 0.723118
1, 0.754176
1, 0.636176
1, 0.651706
1, 0.673176
1, 0.570824
1, 0.446118
1, 0.570941
1, 0.498588
1, 0.548235
1, 0.492294
1, 0.584588
1, 0.738059
1, 0.605059
1, 0.694824
1, 0.567824
1, 0.681706
1, 0.584647
1, 0.642824
1, 0.574529
1, 0.651059
1, 0.724235
1, 0.634176
1, 0.617647
1, 0.712529
1, 0.570529
1, 0.527941
1, 0.414294
1, 0.459000
1, 0.879529
1, 0.527118
1, 0.315353
1, 0.413294
1, 0.538765
1, 0.594471
1, 0.648412
1, 0.377353
1, 0.272412
1, 0.421647
1, 0.396235
1, 0.538588
1, 0.775765
1, 0.728706
1, 0.749176
1, 0.798706
1, 0.794176
1, 0.860059
1, 0.775412
1, 0.729118
1, 0.695588
1, 0.712941
1, 0.692118
1, 0.718294
1, 0.717059
1, 0.614176
1, 0.639706
1, 0.896529
1, 0.909588
1, 0.771471
1, 0.651176
1, 0.665294
1, 0.575471
1, 0.574882
1, 0.608941
1, 0.704412
1, 0.619706
1, 0.633235
1, 0.634000
1, 0.583588
1, 0.611706
1, 0.618176
1, 0.619882
1, 0.514882
1, 0.587176
1, 0.585471
1, 0.478412
1, 0.686176
1, 0.669588
1, 0.632471
1, 0.565412
1, 0.599000
1, 0.713647
1, 0.656588
1, 0.648824
1, 0.657706
1, 0.586471
1, 0.616118
1, 0.644588
1, 0.629235
1, 0.554588
1, 0.598765
1, 0.605529
1, 0.511059
1, 0.731647
1, 0.553000
1, 0.591941
1, 0.633294
1, 0.659588
1, 0.600765
1, 0.577118
1, 0.622941
1, 0.516882
1, 0.625118
1, 0.605824
1, 0.581059
1, 0.472882
1, 0.531294
1, 0.572294
1, 0.430176
1, 0.533353
1, 0.555471
1, 0.584118
1, 0.630412
1, 0.584059
1, 0.581824
1, 0.572824
1, 0.499353
1, 0.519471
1, 0.555471
1, 0.533765
1, 0.510765
1, 0.497412
1, 0.532765
1, 0.445824
1, 0.449529
1, 0.509824
1, 0.618000
1, 0.631294
1, 0.623294
1, 0.596294
1, 0.567294
1, 0.559294
1, 0.611647
1, 0.584765
1, 0.458235
1, 0.569471
1, 0.607529
