Homolog, Bit Score
1, 100
1, 11.9
1, 15.4
1, 89.4
1, 152
1, 14.6
1, 186
1, 11.5
1, 28.5
1, 27.7
1, 80.9
1, 119
1, 23.1
1, 107
1, 28.9
1, 211
1, 95.1
1, 26.9
1, 237
1, 28.1
1, 233
1, 79.7
1, 22.7
1, 186
1, 26.2
1, 208
1, 114
1, 89.7
1, 90.1
1, 93.2
1, 27.7
1, 155
1, 24.3
1, 28.9
1, 202
1, 26.9
1, 17.3
1, 26.6
1, 14.6
1, 21.6
1, 18.1
1, 15.0
1, 15.8
1, 11.5
1, 18.1
1, 180
1, 27.3
1, 23.1
1, 16.2
1, 18.9
1, 22.7
1, 238
1, 225
1, 269
1, 236
1, 229
1, 226
1, 275
1, 154
1, 191
1, 214
1, 213
1, 169
1, 508
1, 522
1, 260
1, 169
1, 181
1, 241
1, 212
1, 230
1, 228
1, 314
1, 156
1, 150
1, 527
1, 246
1, 240
1, 281
1, 159
1, 172
1, 219
1, 224
1, 262
1, 131
1, 150
1, 797
1, 268
1, 185
1, 200
1, 269
1, 187
1, 192
1, 197
1, 198
1, 79.3
1, 247
1, 225
1, 420
1, 61.6
1, 53.9
1, 109
1, 59.3
1, 42.4
1, 18.9
1, 129
1, 87.4
1, 8.5
1, 13.9
1, 118
1, 33.1
1, 36.6
1, 129
1, 85.9
1, 93.2
1, 85.1
1, 79.3
1, 106
1, 75.5
1, 55.8
1, 40.8
1, 127
1, 105
1, 28.5
1, 25.4
1, 112
1, 60.1
1, 52.0
1, 125
1, 90.9
1, 107
1, 157
1, 101
1, 62.8
1, 61.6
1, 38.9
1, 112
1, 87.8
1, 20.0
1, 20.0
1, 106
1, 42.0
1, 44.7
1, 111
1, 147
1, 91.7
1, 67.0
1, 87.4
1, 88.2
1, 51.2
1, 190
1, 105
1, 25.0
1, 26.2
1, 175
1, 63.5
1, 48.9
1, 188
1, 115
1, 155
1, 103
1, 88.6
1, 54.3
1, 107
1, 93.6
1, 24.3
1, 23.9
1, 102
1, 47.0
1, 52.0
1, 111
1, 75.1
1, 98.6
1, 81.3
1, 52.8
1, 93.6
1, 70.9
1, 25.4
1, 26.9
1, 86.7
1, 53.1
1, 38.9
1, 92.8
1, 60.8
1, 85.5
1, 69.3
1, 77.0
1, 59.3
1, 28.9
1, 27.3
1, 69.3
1, 157
1, 47.0
1, 79.7
1, 56.6
1, 65.1
1, 55.5
1, 142
1, 35.4
1, 35.4
1, 249
1, 74.3
1, 58.9
1, 261
1, 148
1, 196
1, 136
1, 26.6
1, 26.2
1, 135
1, 61.2
1, 67.4
1, 145
1, 116
1, 135
1, 102
1, 160
1, 29.3
1, 25.4
1, 21.2
1, 28.9
1, 24.6
1, 34.7
1, 28.5
1, 33.1
1, 25.8
1, 17.7
1, 30.4
1, 25.4
1, 37.7
1, 26.6
1, 75.1
1, 57.0
1, 243
1, 139
1, 187
1, 120
1, 47.0
1, 78.6
1, 54.3
1, 67.8
1, 59.3
1, 57.8
1, 47.8
1, 52.8
1, 48.5
1, 146
1, 203
1, 132
1, 132
1, 100
1, 125
1, 99.8
1, 145
1, 241
1, 135
1, 128
1, 149
1, 115
1, 177
1, 303
1, 308
1, 122
1, 116
1, 291
1, 115
1, 141
1, 280
1, 112
1, 155
