Homolog, Bit Score
1, 93
1, 29
1, 20
1, 74
1, 140
1, 28
1, 165
1, 21
1, 36
1, 31
1, 83
1, 108
1, 29
1, 103
1, 32
1, 194
1, 94
1, 36
1, 209
1, 22
1, 215
1, 83
1, 26
1, 172
1, 22
1, 193
1, 102
1, 88
1, 90
1, 93
1, 33
1, 138
1, 33
1, 31
1, 178
1, 33
1, 23
1, 25
1, 27
1, 29
1, 19
1, 19
1, 17
1, 22
1, 16
1, 173
1, 27
1, 22
1, 16
1, 24
1, 38
1, 240
1, 207
1, 253
1, 232
1, 218
1, 225
1, 272
1, 165
1, 193
1, 190
1, 210
1, 171
1, 483
1, 502
1, 258
1, 166
1, 174
1, 245
1, 209
1, 219
1, 223
1, 309
1, 161
1, 147
1, 522
1, 245
1, 243
1, 276
1, 171
1, 172
1, 215
1, 227
1, 250
1, 143
1, 154
1, 743
1, 249
1, 188
1, 183
1, 252
1, 193
1, 176
1, 204
1, 198
1, 81
1, 245
1, 237
1, 414
1, 72
1, 66
1, 102
1, 70
1, 59
1, 55
1, 120
1, 100
1, 23
1, 23
1, 110
1, 51
1, 43
1, 121
1, 88
1, 96
1, 87
1, 86
1, 98
1, 49
1, 69
1, 52
1, 113
1, 102
1, 37
1, 29
1, 102
1, 66
1, 63
1, 116
1, 91
1, 100
1, 130
1, 98
1, 74
1, 76
1, 43
1, 107
1, 96
1, 24
1, 27
1, 104
1, 53
1, 61
1, 111
1, 127
1, 96
1, 80
1, 90
1, 89
1, 39
1, 153
1, 105
1, 29
1, 32
1, 141
1, 71
1, 63
1, 155
1, 115
1, 133
1, 100
1, 100
1, 64
1, 109
1, 101
1, 26
1, 27
1, 104
1, 62
1, 70
1, 112
1, 91
1, 104
1, 92
1, 59
1, 100
1, 86
1, 29
1, 30
1, 96
1, 62
1, 59
1, 100
1, 79
1, 92
1, 83
1, 81
1, 66
1, 31
1, 28
1, 71
1, 147
1, 62
1, 81
1, 60
1, 71
1, 60
1, 132
1, 38
1, 40
1, 191
1, 86
1, 56
1, 201
1, 133
1, 165
1, 124
1, 31
1, 32
1, 124
1, 77
1, 59
1, 133
1, 114
1, 129
1, 105
1, 142
1, 39
1, 30
1, 28
1, 38
1, 32
1, 37
1, 35
1, 39
1, 29
1, 28
1, 39
1, 31
1, 40
1, 34
1, 80
1, 66
1, 183
1, 123
1, 152
1, 109
1, 59
1, 82
1, 63
1, 70
1, 64
1, 56
1, 56
1, 54
1, 48
1, 131
1, 170
1, 123
1, 123
1, 104
1, 119
1, 100
1, 143
1, 222
1, 124
1, 119
1, 139
1, 108
1, 160
1, 271
1, 281
1, 112
1, 127
1, 260
1, 125
1, 133
1, 255
1, 116
1, 146
1, 126
1, 155
1, 134
1, 132
1, 235
1, 141
1, 131
1, 121
1, 121
1, 106
1, 125
1, 106
1, 138
1, 119
1, 109
1, 135
1, 143
1, 165
1, 161
1, 119
1, 154
1, 136
1, 142
1, 129
1, 115
1, 131
1, 116
1, 151
1, 141
1, 100
1, 141
1, 146
1, 152
1, 104
1, 168
1, 256
1, 251
1, 106
1, 133
1, 241
1, 132
1, 154
1, 233
1, 115
1, 153
1, 150
1, 119
1, 187
1, 156
1, 148
1, 133
1, 136
1, 160
1, 141
1, 152
1, 165
1, 113
1, 301
1, 142
1, 164
1, 162
1, 162
1, 115
1, 138
1, 149
1, 143
1, 298
1, 144
1, 117
1, 138
1, 160
1, 165
1, 156
1, 109
1, 141
1, 153
1, 140
1, 272
1, 144
1, 129
1, 136
1, 123
1, 119
1, 113
1, 114
1, 121
1, 106
1, 146
1, 136
1, 101
1, 190
1, 178
1, 141
1, 145
1, 184
1, 142
1, 173
1, 182
1, 129
1, 345
1, 117
1, 155
1, 377
1, 153
1, 151
1, 279
1, 120
1, 107
1, 148
1, 330
1, 144
1, 150
1, 266
1, 122
1, 96
1, 119
1, 100
1, 114
1, 117
1, 112
1, 131
1, 469
1, 133
1, 139
1, 268
1, 139
1, 143
1, 274
1, 115
1, 136
1, 145
1, 283
1, 150
1, 107
1, 120
1, 72
1, 84
1, 96
1, 58
1, 65
1, 98
1, 67
1, 121
1, 105
1, 97
1, 85
1, 97
1, 71
1, 102
1, 111
1, 76
1, 85
1, 79
1, 297
1, 102
1, 120
1, 94
1, 51
1, 44
1, 76
1, 366
1, 86
1, 58
1, 82
1, 86
1, 91
1, 64
1, 101
1, 79
1, 71
1, 108
1, 452
1, 74
1, 70
1, 126
1, 66
1, 77
1, 88
1, 140
1, 92
1, 82
1, 102
1, 74
1, 124
1, 71
1, 135
1, 90
1, 81
1, 159
1, 132
1, 92
1, 67
1, 71
1, 104
1, 117
1, 101
1, 96
1, 92
1, 84
1, 105
1, 159
1, 71
1, 122
1, 101
1, 80
1, 86
1, 99
1, 107
1, 100
1, 85
1, 42
1, 48
1, 51
1, 51
1, 47
1, 31
