Homolog, Bit Score
1, 65.6
1, 15.9
1, 17.2
1, 76.2
1, 134.4
1, 15.4
1, 154.3
1, 15.8
1, 24.2
1, 23.5
1, 53.6
1, 71.6
1, 22.7
1, 76.8
1, 26.6
1, 140.5
1, 78.6
1, 34.3
1, 157.6
1, 37.4
1, 154.8
1, 63.3
1, 20.4
1, 132.2
1, 33.8
1, 137.5
1, 87.3
1, 80.1
1, 87.8
1, 79.1
1, 33.7
1, 136.9
1, 16.9
1, 36.2
1, 140.1
1, 34.4
1, 19.6
1, 33.6
1, 19.8
1, 20.6
1, 18.8
1, 20.8
1, 20.1
1, 19.3
1, 23.3
1, 160.7
1, 19.7
1, 23.1
1, 18.3
1, 19.1
1, 18.0
1, 205.1
1, 214.1
1, 240.6
1, 201.5
1, 191.2
1, 206.0
1, 230.8
1, 151.0
1, 182.5
1, 204.4
1, 203.7
1, 178.1
1, 392.0
1, 478.3
1, 220.6
1, 165.3
1, 187.7
1, 211.7
1, 174.9
1, 209.2
1, 199.5
1, 242.2
1, 156.8
1, 143.0
1, 412.7
1, 218.6
1, 229.2
1, 235.9
1, 151.8
1, 156.8
1, 193.8
1, 194.1
1, 236.4
1, 128.0
1, 136.9
1, 594.0
1, 239.1
1, 163.6
1, 188.5
1, 210.8
1, 161.8
1, 179.4
1, 170.0
1, 187.4
1, 95.9
1, 199.5
1, 179.0
1, 311.1
1, 56.9
1, 54.1
1, 91.6
1, 57.3
1, 37.5
1, 23.0
1, 95.4
1, 75.5
1, 15.8
1, 16.9
1, 93.5
1, 38.1
1, 39.7
1, 101.3
1, 70.0
1, 79.2
1, 70.5
1, 59.6
1, 78.0
1, 53.6
1, 45.4
1, 40.6
1, 82.8
1, 71.5
1, 29.2
1, 27.3
1, 72.9
1, 53.9
1, 43.6
1, 78.1
1, 40.3
1, 80.1
1, 84.9
1, 73.6
1, 37.8
1, 55.1
1, 44.8
1, 82.4
1, 76.9
1, 23.0
1, 22.2
1, 79.5
1, 31.9
1, 48.3
1, 76.1
1, 88.4
1, 73.0
1, 50.9
1, 66.3
1, 43.0
1, 49.7
1, 124.6
1, 81.3
1, 27.2
1, 23.3
1, 120.7
1, 61.6
1, 46.5
1, 130.2
1, 83.1
1, 121.9
1, 46.7
1, 33.2
1, 46.7
1, 80.8
1, 45.7
1, 23.4
1, 24.3
1, 81.7
1, 44.4
1, 36.2
1, 81.9
1, 55.9
1, 40.6
1, 38.5
1, 49.6
1, 68.7
1, 64.8
