Homolog, Bit Score
1, 162.5
1, 49.8
1, 48.4
1, 141.6
1, 229.4
1, 45.0
1, 290.6
1, 54.7
1, 71.0
1, 78.4
1, 145.6
1, 197.2
1, 62.4
1, 170.4
1, 76.9
1, 341.0
1, 197.0
1, 98.3
1, 364.9
1, 90.9
1, 382.2
1, 161.5
1, 91.0
1, 290.0
1, 91.1
1, 326.4
1, 191.2
1, 138.7
1, 146.6
1, 152.3
1, 69.9
1, 227.7
1, 73.2
1, 86.2
1, 316.7
1, 59.3
1, 19.3
1, 23.3
1, 14.2
1, 25.7
1, 15.6
1, 16.7
1, 12.3
1, 11.5
1, 15.0
1, 229.4
1, 29.2
1, 14.2
1, 20.6
1, 16.7
1, 35.3
1, 365.9
1, 316.4
1, 359.6
1, 337.6
1, 350.5
1, 351.0
1, 370.7
1, 254.6
1, 307.5
1, 304.0
1, 348.7
1, 325.3
1, 465.3
1, 463.4
1, 361.7
1, 252.1
1, 301.2
1, 353.3
1, 336.4
1, 352.9
1, 348.7
1, 383.5
1, 256.3
1, 299.7
1, 472.5
1, 365.9
1, 360.5
1, 387.6
1, 261.2
1, 305.2
1, 357.0
1, 360.0
1, 375.2
1, 252.1
1, 303.0
1, 764.9
1, 372.3
1, 271.6
1, 303.9
1, 367.3
1, 275.2
1, 294.7
1, 267.5
1, 298.6
1, 258.6
1, 357.1
1, 326.6
1, 636.6
1, 77.7
1, 82.7
1, 94.2
1, 87.6
1, 85.5
1, 67.1
1, 109.5
1, 99.9
1, 26.4
1, 29.2
1, 98.1
1, 64.5
1, 63.1
1, 112.6
1, 95.7
1, 106.0
1, 87.1
1, 88.0
1, 106.4
1, 95.0
1, 89.0
1, 71.0
1, 115.3
1, 109.9
1, 29.6
1, 31.2
1, 102.1
1, 70.4
1, 68.2
1, 116.9
1, 103.6
1, 112.3
1, 99.2
1, 116.1
1, 102.2
1, 100.3
1, 80.2
1, 136.2
1, 119.2
1, 26.7
1, 31.3
1, 122.3
1, 76.0
1, 71.9
1, 134.8
1, 140.5
1, 123.4
1, 101.4
1, 93.9
1, 89.5
1, 70.8
1, 117.3
1, 107.4
1, 29.2
1, 30.9
1, 104.7
1, 68.3
1, 65.4
1, 117.0
1, 103.8
1, 113.0
1, 93.3
1, 94.0
1, 71.4
1, 112.4
1, 102.8
1, 24.7
1, 28.8
1, 105.8
1, 68.5
1, 70.8
1, 114.1
1, 100.5
1, 111.6
1, 92.7
1, 65.4
1, 108.6
1, 98.1
1, 27.2
1, 28.4
1, 103.6
1, 69.7
1, 68.2
1, 109.0
1, 96.2
1, 106.3
1, 90.5
1, 119.4
1, 103.5
1, 34.4
1, 31.8
1, 106.9
1, 146.6
1, 78.6
1, 120.8
1, 103.1
1, 117.8
1, 98.9
1, 112.5
1, 30.1
1, 31.7
1, 129.8
1, 73.7
1, 69.0
1, 146.8
1, 112.7
1, 129.6
1, 105.7
1, 28.0
1, 29.2
