Homolog, Bit Score
1, 88.9
1, 4.8
1, 1.0
1, 81.5
1, 151.2
1, 9.0
1, 185.9
1, 4.4
1, 14.5
1, 13.7
1, 66.3
1, 108.1
1, 8.5
1, 93.4
1, 13.1
1, 217.9
1, 92.5
1, 14.0
1, 247.4
1, 15.1
1, 243.6
1, 77.0
1, 6.4
1, 190.9
1, 11.7
1, 214.9
1, 112.7
1, 82.9
1, 77.1
1, 86.6
1, 17.3
1, 149.2
1, 11.5
1, 16.1
1, 210.6
1, 15.2
1, -6.9
1, 3.5
1, -7.9
1, -1.5
1, -8.1
1, -5.9
1, 0.6
1, -4.4
1, -2.5
1, 183.4
1, -0.4
1, -4.5
1, -5.0
1, -6.3
1, 4.6
1, 237.8
1, 224.2
1, 266.3
1, 230.8
1, 228.5
1, 225.9
1, 280.7
1, 146.1
1, 190.1
1, 232.0
1, 225.7
1, 181.3
1, 568.9
1, 584.3
1, 276.4
1, 171.7
1, 194.6
1, 236.6
1, 211.5
1, 225.4
1, 226.8
1, 313.5
1, 150.6
1, 147.4
1, 559.4
1, 245.1
1, 238.0
1, 281.9
1, 154.0
1, 167.5
1, 222.7
1, 227.1
1, 266.6
1, 123.5
1, 143.3
1, 868.6
1, 268.5
1, 176.0
1, 198.5
1, 267.5
1, 178.6
1, 189.5
1, 192.8
1, 192.8
1, 68.5
1, 251.6
1, 229.8
1, 434.1
1, 55.5
1, 46.4
1, 104.8
1, 47.4
1, 37.2
1, 29.3
1, 127.5
1, 78.2
1, 1.5
1, 1.8
1, 112.1
1, 20.7
1, 27.5
1, 124.0
1, 78.0
1, 86.0
1, 76.3
1, 69.8
1, 98.2
1, 71.9
1, 62.0
1, 35.1
1, 126.2
1, 97.6
1, 13.1
1, 12.2
1, 107.7
1, 51.2
1, 48.5
1, 119.7
1, 80.7
1, 100.1
1, 155.6
1, 94.5
1, 69.2
1, 55.7
1, 29.4
1, 108.3
1, 81.5
1, 4.4
1, 5.4
1, 100.0
1, 35.6
1, 36.9
1, 108.5
1, 143.8
1, 87.1
1, 69.1
1, 77.8
1, 77.8
1, 41.0
1, 189.2
1, 98.0
1, 12.6
1, 12.8
1, 170.7
1, 56.0
1, 48.2
1, 186.7
1, 107.6
1, 148.6
1, 95.3
1, 84.1
1, 44.6
1, 107.6
1, 94.1
1, 10.1
1, 12.9
1, 100.5
1, 42.8
1, 32.5
1, 110.2
1, 71.9
1, 94.9
1, 86.2
1, 42.3
1, 104.5
1, 77.0
1, 10.1
1, 12.1
1, 96.9
1, 45.1
1, 26.0
1, 99.8
1, 69.0
1, 81.8
1, 68.5
1, 62.5
1, 49.5
1, 13.5
1, 11.9
1, 55.3
1, 159.0
1, 31.8
1, 67.2
1, 46.0
1, 54.2
1, 44.1
1, 140.3
1, 16.2
1, 16.5
1, 258.5
1, 66.7
1, 46.8
1, 271.0
1, 144.5
1, 197.7
1, 132.9
1, 11.6
1, 11.9
1, 130.8
1, 52.1
1, 54.7
1, 144.0
1, 111.1
1, 130.8
1, 92.8
1, 159.3
1, 20.8
1, 22.9
1, 8.8
1, 26.8
1, 17.5
1, 27.4
1, 23.7
1, 25.7
1, 24.9
1, 6.0
1, 30.5
1, 14.7
1, 33.9
1, 20.9
1, 64.5
1, 43.3
1, 252.2
1, 134.4
1, 187.8
1, 116.7
1, 37.1
1, 71.4
1, 51.9
1, 61.2
1, 54.9
1, 50.9
1, 43.3
1, 47.8
1, 43.3
1, 142.5
1, 205.2
1, 128.2
1, 126.4
1, 98.9
1, 120.4
1, 91.7
1, 133.6
1, 240.5
1, 126.9
1, 121.3
1, 139.4
1, 104.5
1, 173.5
1, 309.0
1, 309.1
1, 114.7
1, 107.3
1, 296.5
1, 107.8
1, 132.3
1, 284.6
1, 104.4
1, 146.5
1, 114.9
1, 138.2
1, 125.4
1, 121.3
1, 246.6
1, 138.3
1, 117.6
1, 106.2
1, 114.0
1, 92.2
1, 113.0
1, 95.3
1, 115.1
1, 109.0
1, 90.0
1, 141.5
1, 139.9
1, 176.0
1, 174.8
