Homolog, Bit Score
1, -4598.0
1, -5151.0
1, -4924.5
1, -4745.0
1, -2861.0
1, -4854.5
1, -2635.5
1, -5195.5
1, -4215.0
1, -4065.5
1, -4055.0
1, -4617.0
1, -4356.5
1, -4473.5
1, -4332.5
1, -2030.5
1, -3489.0
1, -4738.0
1, -2464.5
1, -4603.5
1, -1577.5
1, -3753.5
1, -4421.5
1, -2815.0
1, -4614.0
1, -2034.0
1, -4485.0
1, -3584.5
1, -4243.5
1, -3597.5
1, -4614.5
1, -2958.5
1, -4813.5
1, -4479.0
1, -2414.0
1, -4583.0
1, -5288.0
1, -4953.0
1, -5178.0
1, -6442.5
1, -5924.0
1, -5751.0
1, -6051.0
1, -6431.5
1, -6567.0
1, -3387.0
1, -6851.5
1, -6068.0
1, -6817.5
1, -5907.0
1, -5399.5
1, -2242.5
1, -2607.0
1, -2155.0
1, -2635.5
1, -2588.5
1, -2515.0
1, -2138.5
1, -2515.0
1, -2561.5
1, -2384.5
1, -2484.5
1, -2866.0
1, -2393.0
1, -2231.5
1, -2281.0
1, -2478.5
1, -2694.0
1, -2481.0
1, -3211.5
1, -3130.5
1, -3068.0
1, -2462.5
1, -2519.0
1, -2894.5
1, -2603.5
1, -2782.5
1, -2725.0
1, -2303.5
1, -2493.0
1, -3017.5
1, -2383.0
1, -2629.5
1, -2683.0
1, -3133.5
1, -3338.0
1, -1124.5
1, -2736.0
1, -3108.5
1, -3479.0
1, -2582.5
1, -3068.0
1, -3393.5
1, -2532.5
1, -2606.0
1, -2845.5
1, -3034.0
1, -3097.0
1, -1987.0
1, -4312.5
1, -4869.0
1, -3969.5
1, -5124.0
1, -5224.0
1, -5850.5
1, -4038.5
1, -4142.5
1, -6977.0
1, -6986.0
1, -5263.0
1, -6019.0
1, -5988.5
1, -4253.5
1, -5555.5
1, -4446.0
1, -4788.0
1, -4624.5
1, -4239.0
1, -4965.5
1, -4814.5
1, -5801.0
1, -3809.0
1, -3993.0
1, -6782.5
1, -6815.5
1, -5005.5
1, -6013.5
1, -5925.0
1, -4372.0
1, -4855.0
1, -4127.5
1, -3777.5
1, -4671.5
1, -5643.0
1, -5490.0
1, -5294.5
1, -4201.5
1, -4602.5
1, -6749.0
1, -6918.0
1, -5429.0
1, -5666.0
1, -5693.5
1, -4475.5
1, -3871.5
1, -4135.0
1, -4241.0
1, -4608.5
1, -4852.5
1, -5311.0
1, -3241.0
1, -3495.0
1, -6519.5
1, -6775.5
1, -4632.5
1, -5441.5
1, -5417.0
1, -3427.0
1, -4590.0
1, -3887.5
1, -4479.5
1, -4055.0
1, -5790.5
1, -4624.5
1, -4921.5
1, -6910.0
1, -7011.0
1, -5407.0
1, -5544.0
1, -5923.5
1, -4106.5
1, -5704.5
1, -5065.0
1, -5540.0
1, -5728.5
1, -5054.5
1, -4923.5
1, -7076.0
1, -7222.0
1, -5633.0
1, -5335.0
1, -5915.5
1, -4794.5
1, -6065.5
1, -5112.0
1, -5749.0
1, -5448.0
1, -5631.0
1, -6296.5
1, -6682.5
1, -6168.5
1, -3154.5
1, -5732.0
1, -4837.0
1, -5441.0
1, -5294.5
1, -5504.5
1, -3377.0
1, -6552.5
1, -6811.5
1, -4691.5
1, -5898.5
1, -5601.0
1, -2975.0
1, -4158.0
1, -3534.5
1, -4065.5
1, -6751.5
1, -7120.5
1, -4745.5
1, -6041.5
1, -5691.0
1, -3997.0
1, -4655.0
1, -3750.5
1, -4404.5
1, -2645.0
1, -7223.0
1, -6212.0
1, -6286.5
1, -6061.5
1, -6602.5
1, -6462.0
1, -6428.0
1, -7213.0
1, -6487.0
1, -6476.5
1, -6393.5
1, -6672.5
1, -6417.0
1, -6454.0
1, -6526.0
1, -6441.5
1, -4891.5
1, -5647.5
1, -5125.0
1, -5411.0
1, -5170.5
1, -5027.5
1, -5740.5
1, -5588.0
1, -5890.0
1, -5275.0
1, -5742.0
1, -5415.5
1, -5771.5
1, -4344.0
1, -4030.5
1, -4566.5
1, -3945.5
1, -4406.5
1, -4043.0
1, -3353.0
1, -2869.5
1, -2692.0
1, -3981.0
1, -3707.0
1, -3815.0
1, -3396.0
1, -2825.0
1, -2302.5
1, -2306.0
1, -3189.5
1, -3334.5
1, -2273.5
1, -3454.0
1, -3445.5
1, -2384.5
1, -3318.0
1, -3662.5
1, -3953.0
1, -3049.0
1, -2924.0
1, -2966.0
1, -2691.0
1, -2881.0
1, -3574.5
1, -3243.0
1, -4182.5
1, -4353.5
1, -3664.5
1, -4497.0
1, -2856.5
1, -3884.5
1, -4417.0
1, -2939.5
1, -4009.5
1, -4284.5
1, -4304.5
1, -3808.5
1, -3299.5
1, -3353.0
1, -3325.5
1, -2912.0
1, -3386.0
1, -3285.0
1, -3635.5
1, -3816.0
1, -2989.0
1, -3140.5
1, -4159.0
1, -4346.0
1, -4391.0
1, -3969.0
1, -3393.0
1, -2431.5
1, -2700.0
1, -3123.5
1, -3442.5
1, -2324.5
1, -3687.0
1, -3960.5
1, -2198.5
1, -3388.0
1, -3224.0
1, -2977.0
1, -4053.0
1, -3286.0
1, -3933.5
1, -3655.0
1, -4207.5
1, -4731.5
1, -4173.5
1, -5126.0
1, -2766.5
1, -4310.5
1, -4693.0
1, -1813.0
1, -3325.0
1, -3210.0
1, -3940.5
1, -3572.0
1, -4257.5
1, -4712.5
1, -4205.5
1, -4681.0
1, -1889.5
1, -4191.5
1, -4828.0
1, -3418.0
1, -3185.0
1, -3943.5
1, -3747.0
1, -4317.5
1, -4751.5
1, -4236.5
1, -4864.0
1, -2035.5
1, -4194.5
1, -4657.0
1, -3603.0
1, -3665.5
1, -3405.0
1, -3951.5
1, -4399.5
1, -3797.5
1, -4387.0
1, -3469.5
1, -3766.5
1, -4237.0
1, -3250.5
1, -3161.0
1, -3505.5
1, -4057.5
1, -3225.5
1, -4141.0
1, -3124.5
1, -3221.5
1, -3994.0
1, -1627.5
1, -3439.0
1, -3218.0
1, -1088.0
1, -3439.5
1, -3710.0
1, -2196.0
