Homolog, Bit Score
1, 102
1, 0
1, 0
1, 91
1, 151
1, 0
1, 183
1, 22
1, 0
1, 0
1, 86
1, 120
1, 0
1, 106
1, 0
1, 213
1, 93
1, 0
1, 238
1, 0
1, 235
1, 90
1, 30
1, 188
1, 28
1, 209
1, 121
1, 96
1, 87
1, 101
1, 37
1, 154
1, 0
1, 0
1, 205
1, 0
1, 23
1, 32
1, 17
1, 20
1, 12
1, 15
1, 0
1, 0
1, 19
1, 195
1, 15
1, 17
1, 27
1, 27
1, 52
1, 238
1, 222
1, 262
1, 232
1, 230
1, 226
1, 272
1, 10
1, 153
1, 231
1, 230
1, 188
1, 519
1, 528
1, 267
1, 181
1, 12
1, 238
1, 215
1, 210
1, 212
1, 301
1, 159
1, 158
1, 508
1, 245
1, 238
1, 272
1, 162
1, 174
1, 221
1, 225
1, 257
1, 137
1, 151
1, 772
1, 262
1, 182
1, 200
1, 263
1, 190
1, 193
1, 199
1, 199
1, 88
1, 262
1, 237
1, 417
1, 69
1, 64
1, 112
1, 15
1, 28
1, 48
1, 132
1, 92
1, 19
1, 20
1, 121
1, 39
1, 19
1, 131
1, 92
1, 45
1, 91
1, 89
1, 113
1, 86
1, 66
1, 45
1, 137
1, 27
1, 30
1, 27
1, 121
1, 30
1, 43
1, 134
1, 101
1, 113
1, 163
1, 42
1, 74
1, 70
1, 32
1, 117
1, 91
1, 0
1, 11
1, 112
1, 37
1, 28
1, 117
1, 151
1, 95
1, 79
1, 92
1, 91
1, 35
1, 187
1, 96
1, 27
1, 0
1, 173
1, 32
1, 18
1, 185
1, 120
1, 152
1, 111
1, 35
1, 29
1, 119
1, 101
1, 0
1, 29
1, 114
1, 47
1, 0
1, 122
1, 59
1, 112
1, 103
1, 51
1, 98
1, 53
1, 0
1, 0
1, 47
1, 39
1, 44
1, 48
1, 25
1, 40
1, 34
1, 32
1, 42
1, 0
1, 0
1, 33
1, 162
1, 31
1, 30
1, 34
1, 25
1, 35
1, 143
1, 39
1, 38
1, 249
1, 82
1, 17
1, 259
1, 154
1, 196
1, 144
1, 0
1, 0
1, 136
1, 32
1, 18
1, 148
1, 121
1, 135
1, 108
1, 154
1, 32
1, 28
1, 21
1, 31
1, 26
1, 37
1, 31
1, 34
1, 25
1, 20
1, 33
1, 22
1, 39
1, 28
1, 37
1, 59
1, 244
1, 147
1, 188
1, 129
1, 38
1, 86
1, 67
1, 80
1, 72
