Homolog, Bit Score
1, 102
1, 18
1, 14
1, 91
1, 151
1, 23
1, 183
1, 17
1, 35
1, 17
1, 86
1, 120
1, 30
1, 106
1, 33
1, 213
1, 106
1, 33
1, 238
1, 18
1, 235
1, 90
1, 13
1, 188
1, 30
1, 209
1, 121
1, 96
1, 89
1, 82
1, 33
1, 154
1, 30
1, 27
1, 205
1, 16
1, 14
1, 33
1, 18
1, 19
1, 18
1, 18
1, 15
1, 19
1, 24
1, 193
1, 31
1, 25
1, 15
1, 25
1, 43
1, 238
1, 222
1, 262
1, 232
1, 199
1, 217
1, 272
1, 161
1, 193
1, 223
1, 186
1, 188
1, 518
1, 523
1, 267
1, 84
1, 196
1, 225
1, 206
1, 226
1, 227
1, 271
1, 159
1, 158
1, 446
1, 245
1, 238
1, 272
1, 162
1, 161
1, 217
1, 221
1, 257
1, 131
1, 132
1, 769
1, 262
1, 180
1, 200
1, 258
1, 190
1, 162
1, 199
1, 199
1, 86
1, 251
1, 237
1, 417
1, 40
1, 64
1, 112
1, 37
1, 50
1, 25
1, 132
1, 92
1, 14
1, 19
1, 121
1, 39
1, 24
1, 131
1, 92
1, 97
1, 86
1, 22
1, 80
1, 34
1, 35
1, 48
1, 137
1, 96
1, 23
1, 22
1, 33
1, 69
1, 37
1, 52
1, 89
1, 77
1, 163
1, 24
1, 52
1, 39
1, 25
1, 117
1, 91
1, 10
1, 10
1, 112
1, 37
1, 48
1, 117
1, 151
1, 49
1, 45
1, 92
1, 88
1, 59
1, 187
1, 110
1, 22
1, 27
1, 173
1, 40
1, 40
1, 185
1, 52
1, 147
1, 111
1, 91
1, 65
1, 119
1, 54
1, 18
1, 14
1, 62
1, 59
1, 57
1, 122
1, 41
1, 98
1, 103
1, 39
1, 89
1, 35
1, 29
1, 18
1, 84
1, 40
1, 44
1, 89
1, 70
1, 86
1, 81
1, 39
1, 42
1, 22
1, 21
1, 28
1, 162
1, 27
1, 84
1, 31
1, 74
1, 54
1, 143
1, 38
1, 38
1, 249
1, 46
1, 36
1, 259
1, 154
1, 196
1, 144
1, 20
1, 20
1, 136
1, 30
1, 18
1, 111
1, 121
1, 135
1, 105
1, 154
1, 22
1, 22
1, 15
1, 20
1, 26
1, 15
1, 0
1, 14
1, 23
1, 17
1, 26
1, 20
1, 15
1, 22
1, 81
1, 59
1, 244
1, 147
1, 188
1, 74
1, 52
1, 79
1, 43
1, 80
1, 69
1, 52
1, 27
1, 56
1, 37
1, 152
1, 56
1, 140
1, 54
1, 113
1, 43
1, 105
1, 144
1, 232
1, 131
1, 102
1, 146
1, 117
1, 171
1, 289
1, 295
1, 121
1, 116
1, 277
1, 117
1, 138
1, 268
1, 114
1, 153
1, 129
1, 124
1, 133
1, 128
1, 244
1, 145
1, 127
1, 120
1, 120
1, 108
1, 122
1, 109
1, 126
1, 121
1, 104
1, 151
1, 147
1, 179
1, 178
1, 128
1, 181
1, 161
1, 164
1, 134
1, 113
1, 157
1, 122
1, 158
1, 153
1, 104
1, 150
1, 143
1, 158
1, 110
1, 191
1, 290
1, 283
1, 112
1, 18
1, 280
1, 15
1, 157
1, 258
1, 120
1, 160
1, 151
1, 127
1, 195
1, 164
1, 158
1, 133
1, 129
1, 169
1, 137
1, 144
1, 163
1, 121
1, 322
1, 143
1, 171
1, 176
1, 172
1, 113
1, 136
1, 166
1, 144
1, 310
1, 151
1, 110
1, 138
1, 176
1, 176
1, 163
1, 116
1, 135
1, 166
1, 138
1, 288
1, 149
1, 132
1, 144
1, 16
1, 117
1, 118
1, 108
1, 15
1, 91
1, 131
1, 126
1, 99
1, 211
1, 195
1, 147
1, 139
1, 205
1, 139
1, 179
1, 201
1, 120
1, 405
1, 128
1, 142
1, 457
1, 146
1, 163
1, 309
1, 122
1, 119
1, 137
1, 398
1, 138
1, 157
1, 297
1, 122
1, 91
1, 131
1, 100
1, 114
1, 123
1, 110
1, 128
1, 482
1, 85
1, 129
1, 263
1, 134
1, 153
1, 302
1, 116
1, 125
1, 136
1, 283
1, 149
1, 107
1, 117
1, 65
1, 65
1, 80
1, 37
1, 45
1, 83
1, 65
1, 82
1, 54
1, 51
1, 89
1, 67
1, 42
1, 69
1, 83
1, 52
1, 72
1, 71
1, 305
1, 62
1, 119
1, 62
1, 58
1, 33
1, 60
1, 13
1, 45
1, 46
1, 87
1, 55
1, 49
1, 37
1, 55
1, 33
1, 60
1, 111
1, 481
1, 66
1, 33
1, 57
1, 34
1, 79
1, 75
1, 134
1, 54
1, 66
1, 99
1, 59
1, 82
1, 74
1, 134
1, 89
1, 80
1, 88
1, 123
1, 84
1, 23
1, 71
1, 97
1, 119
1, 64
1, 58
1, 87
1, 78
1, 100
1, 144
1, 40
1, 77
1, 65
1, 59
1, 85
1, 82
1, 81
1, 74
1, 94
1, 35
1, 37
1, 56
1, 59
1, 41
1, 40
1, 38
1, 49
1, 37
1, 42
1, 37
1, 49
1, 46
1, 47
1, 36
1, 45
1, 33
1, 61
1, 54
1, 67
1, 72
1, 82
1, 47
1, 59
1, 49
1, 52
1, 48
1, 44
1, 45
1, 43
1, 45
1, 53
1, 65
1, 47
1, 120
1, 59
1, 78
1, 68
1, 63
1, 64
1, 54
1, 70
1, 88
1, 53
1, 90
1, 64
1, 102
1, 102
1, 87
1, 47
1, 44
1, 42
1, 79
1, 105
1, 376
1, 69
1, 42
1, 99
1, 72
1, 71
1, 98
1, 84
1, 39
1, 423
1, 40
1, 81
1, 42
1, 68
1, 299
1, 66
1, 63
1, 74
1, 161
1, 91
1, 66
1, 73
1, 86
1, 70
1, 87
1, 96
1, 71
1, 66
1, 24
1, 70
1, 49
1, 73
1, 40
1, 53
1, 106
1, 72
1, 77
1, 67
1, 63
1, 46
1, 126
1, 75
1, 61
1, 88
1, 57
1, 77
1, 104
1, 45
1, 67
1, 84
1, 77
1, 65
1, 49
1, 97
1, 82
1, 41
1, 70
1, 43
1, 35
1, 71
1, 52
1, 47
1, 124
1, 89
1, 71
1, 80
1, 55
1, 100
1, 52
1, 60
1, 273
1, 55
1, 90
1, 73
1, 35
1, 117
1, 65
1, 61
1, 64
1, 47
1, 55
1, 192
1, 194
1, 191
1, 190
1, 334
1, 325
1, 332
1, 323
1, 360
1, 319
1, 15
1, 22
1, 16
1, 15
1, 64
1, 97
1, 20
1, 18
1, 22
1, 60
1, 212
1, 63
1, 136
1, 28
1, 17
1, 29
1, 90
1, 124
1, 33
1, 51
1, 111
