Homolog, Bit Score
1, 183
1, 40
1, 39
1, 45
1, 46
1, 24
1, 34
1, 38
1, 32
1, 361
1, 38
1, 27
1, 45
1, 41
1, 34
1, 26
1, 35
1, 48
1, 33
1, 39
1, 52
1, 74
1, 37
1, 50
1, 351
1, 40
1, 97
1, 682
1, 117
1, 81
1, 50
1, 114
1, 604
1, 628
1, 38
1, 51
1, 88
1, 34
1, 137
1, 69
1, 149
1, 434
1, 52
1, 151
1, 73
1, 42
1, 35
1, 77
1, 33
1, 168
1, 73
1, 161
1, 498
1, 53
1, 165
1, 78
1, 50
1, 31
1, 50
1, 50
1, 39
1, 35
1, 34
1, 39
1, 27
1, 29
1, 56
1, 40
1, 44
1, 48
1, 60
1, 15
1, 136
1, 57
1, 53
1, 50
1, 98
1, 331
1, 118
1, 86
1, 41
1, 122
1, 301
1, 45
1, 45
1, 24
1, 16
1, 49
1, 39
1, 34
1, 98
1, 180
1, 155
1, 46
1, 185
1, 84
1, 117
1, 83
1, 44
1, 121
1, 661
1, 155
1, 47
1, 795
1, 100
1, 58
1, 173
1, 83
1, 49
1, 43
1, 98
1, 158
1, 98
1, 94
1, 149
1, 95
1, 102
1, 142
1, 801
1, 134
1, 133
1, 108
1, 227
1, 229
1, 1032
1, 208
1, 235
1, 816
1, 175
1, 1042
1, 1039
1, 220
1, 1578
1, 244
1, 1168
1, 1128
1, 219
1, 122
1, 255
1, 234
1, 1082
1, 244
1, 1161
1, 1139
1, 210
1, 107
1, 242
1, 229
1, 1083
1, 214
1, 245
1, 842
1, 159
1, 1065
1, 1043
1, 248
1, 1108
1, 207
1, 100
1, 218
1, 217
1, 1099
1, 194
1, 84
1, 217
1, 210
1, 1121
1, 143
1, 787
1, 798
1, 178
1, 167
1, 156
1, 106
1, 1109
1, 211
1, 198
1, 240
1, 134
1, 94
1, 60
1, 58
1, 69
1, 79
1, 84
1, 60
1, 224
1, 374
1, 367
1, 349
1, 362
1, 183
1, 170
1, 177
1, 205
1, 739
1, 705
1, 730
1, 725
1, 902
1, 699
1, 453
1, 477
1, 240
1, 483
1, 496
1, 408
1, 233
1, 433
1, 434
1, 225
1, 492
1, 498
1, 206
1, 203
1, 690
1, 197
1, 198
1, 224
1, 198
1, 198
1, 198
1, 395
1, 657
1, 600
1, 396
1, 608
1, 422
1, 427
1, 804
1, 417
1, 655
1, 411
1, 688
1, 407
1, 669
1, 415
1, 75
1, 62
1, 66
1, 149
1, 154
1, 32
1, 29
1, 149
1, 72
1, 120
1, 82
1, 89
1, 71
1, 89
1, 22
1, 28
1, 81
1, 52
1, 68
1, 220
1, 52
1, 66
1, 23
1, 33
1, 61
1, 49
1, 58
1, 61
1, 65
1, 23
1, 27
1, 53
1, 38
1, 58
1, 283
1, 23
1, 31
1, 279
1, 76
1, 103
1, 23
1, 22
1, 440
1, 82
1, 111
1, 161
1, 21
1, 21
1, 28
1, 19
1, 22
1, 23
1, 81
1, 106
1, 62
1, 723
1, 890
1, 691
1, 524
1, 605
1, 614
1, 625
1, 658
1, 656
1, 648
1, 535
1, 529
1, 561
1, 519
1, 516
1, 517
1, 888
1, 667
1, 648
1, 606
1, 602
1, 671
1, 648
1, 611
1, 611
1, 658
1, 628
1, 629
1, 774
1, 744
1, 967
1, 369
1, 359
1, 893
1, 467
1, 382
1, 360
1, 472
1, 295
1, 232
1, 304
1, 239
1, 169
1, 304
1, 193
1, 192
1, 490
1, 286
1, 153
1, 146
1, 283
1, 227
1, 307
1, 237
1, 149
1, 259
1, 212
1, 189
1, 738
1, 257
1, 162
1, 163
1, 198
1, 316
1, 215
1, 121
1, 212
1, 196
1, 164
1, 289
1, 224
1, 59
1, 57
1, 174
1, 727
1, 147
1, 155
1, 215
1, 670
1, 222
1, 117
1, 54
1, 55
1, 214
1, 132
1, 198
1, 168
1, 192
1, 299
1, 185
1, 82
1, 80
1, 126
1, 175
1, 222
1, 753
1, 207
1, 155
1, 48
1, 55
1, 265
1, 115
1, 129
1, 159
1, 254
1, 58
1, 53
1, 165
1, 151
1, 287
1, 473
1, 109
1, 111
1, 196
1, 180
1, 155
1, 84
1, 73
1, 183
1, 140
1, 55
1, 53
1, 261
1, 131
1, 130
1, 70
1, 71
1, 1056
1, 352
1, 677
1, 236
1, 821
1, 671
1, 1306
1, 817
1, 583
1, 662
1, 345
1, 696
1, 855
1, 720
1, 313
1, 338
1, 355
1, 0
1, 765
1, 651
1, 709
1, 841
1, 729
1, 713
1, 397
1, 669
1, 817
1, 726
1, 384
1, 384
1, 399
1, 266
1, 233
1, 227
1, 253
1, 277
1, 241
1, 212
1, 271
1, 254
1, 255
1, 211
1, 204
1, 221
1, 705
1, 753
1, 894
1, 704
1, 748
1, 350
1, 681
1, 1093
1, 752
1, 228
1, 348
1, 367
1, 676
1, 719
1, 661
1, 663
1, 317
1, 614
1, 767
1, 681
1, 300
1, 289
1, 321
1, 756
1, 654
1, 659
1, 341
1, 642
1, 778
1, 726
1, 327
1, 308
1, 368
1, 723
1, 713
1, 318
1, 676
1, 903
1, 748
1, 192
1, 330
1, 340
1, 1585
1, 339
1, 684
1, 720
1, 641
1, 206
1, 314
1, 348
1, 330
1, 148
1, 755
1, 610
1, 335
1, 320
1, 323
1, 404
1, 399
1, 226
1, 1341
1, 957
1, 1065
1, 743
1, 671
1, 387
1, 357
1, 415
1, 804
1, 229
1, 368
1, 413
1, 221
1, 196
1, 211
1, 945
1, 1008
1, 977
1, 540
1, 89
1, 134
1, 43
1, 101
1, 103
1, 91
1, 106
1, 47
1, 82
1, 106
1, 136
1, 30
1, 49
1, 71
1, 54
1, 90
1, 102
1, 33
1, 51
1, 91
1, 447
1, 446
1, 437
1, 393
1, 372
1, 457
1, 180
1, 348
1, 480
1, 515
1, 418
1, 379
1, 511
1, 185
1, 348
1, 475
1, 415
1, 368
1, 564
1, 180
1, 329
1, 437
1, 395
1, 618
1, 186
1, 334
1, 496
1, 453
1, 184
1, 321
1, 413
1, 177
1, 309
1, 189
1, 338
1, 239
1, 450
1, 495
1, 86
1, 114
1, 336
1, 671
1, 488
1, 38
1, 378
1, 38
1, 379
1, 102
1, 108
1, 106
1, 33
1, 358
1, 102
1, 50
1, 111
1, 372
1, 82
1, 107
1, 337
1, 465
1, 403
1, 36
1, 392
1, 48
1, 345
1, 99
1, 116
1, 110
1, 39
1, 354
1, 100
1, 48
1, 108
1, 98
1, 125
1, 331
1, 495
1, 509
1, 39
1, 411
1, 42
1, 417
1, 106
1, 117
1, 112
1, 40
1, 410
1, 105
1, 50
1, 111
1, 86
1, 84
1, 107
1, 94
1, 34
1, 102
1, 42
1, 103
