Homolog, Bit Score
1, 66.1
1, 31.4
1, 26.5
1, 32.5
1, 30.5
1, 18.1
1, 36.7
1, 36.4
1, 22.1
1, 240.7
1, 23.4
1, 20.6
1, 31.5
1, 23.9
1, 21.3
1, 26.3
1, 22.7
1, 39.8
1, 37.5
1, 21.6
1, 55.5
1, 52.4
1, 20.8
1, 25.9
1, 212.7
1, 22.4
1, 67.3
1, 387.6
1, 64.6
1, 31.3
1, 50.1
1, 77.5
1, 416.1
1, 377.2
1, 36.0
1, 23.1
1, 59.7
1, 20.4
1, 85.1
1, 35.8
1, 55.4
1, 210.3
1, 22.2
1, 102.6
1, 34.8
1, 38.7
1, 21.5
1, 34.3
1, 21.5
1, 100.7
1, 57.2
1, 66.7
1, 236.1
1, 23.5
1, 93.8
1, 55.2
1, 41.7
1, 35.1
1, 37.0
1, 44.2
1, 25.1
1, 27.0
1, 32.4
1, 40.3
1, 39.1
1, 22.0
1, 45.1
1, 23.0
1, 47.0
1, 42.7
1, 42.0
1, 38.2
1, 97.1
1, 21.7
1, 46.9
1, 21.0
1, 67.5
1, 190.9
1, 39.1
1, 33.9
1, 44.8
1, 77.7
1, 186.6
1, 46.4
1, 39.0
1, 37.4
1, 20.9
1, 58.4
1, 40.2
1, 21.2
1, 79.2
1, 73.0
1, 90.9
1, 48.0
1, 88.1
1, 67.1
1, 38.8
1, 57.0
1, 46.1
1, 81.7
1, 383.3
1, 81.6
1, 21.7
1, 305.3
1, 35.0
1, 21.8
1, 118.2
1, 31.7
1, 21.1
1, 43.2
1, 70.4
1, 98.1
1, 65.2
1, 62.1
1, 81.1
1, 55.1
1, 57.5
1, 89.9
1, 212.6
1, 79.7
1, 71.3
1, 58.2
1, 81.8
1, 81.6
1, 616.7
1, 79.7
1, 80.7
1, 453.7
1, 69.3
1, 579.7
1, 689.3
1, 66.9
1, 953.3
1, 82.8
1, 590.1
1, 589.3
1, 73.6
1, 62.3
1, 85.2
1, 69.1
1, 664.4
1, 74.0
1, 616.6
1, 627.2
1, 72.0
1, 55.1
1, 75.8
1, 78.1
1, 552.3
1, 85.2
1, 80.2
1, 470.8
1, 63.8
1, 636.8
1, 557.1
1, 69.2
1, 601.4
1, 72.5
1, 54.9
1, 74.6
1, 79.5
1, 575.5
1, 71.6
1, 35.1
1, 71.1
1, 80.2
1, 700.2
1, 64.0
1, 403.5
1, 368.6
1, 71.8
1, 77.5
1, 63.0
1, 55.8
1, 659.9
1, 68.8
1, 75.8
1, 148.4
1, 116.7
1, 87.9
1, 50.2
1, 43.8
1, 48.5
1, 60.1
1, 59.7
1, 43.7
1, 97.7
1, 130.4
1, 110.1
1, 124.4
1, 142.4
1, 137.4
1, 136.9
1, 114.7
1, 133.1
1, 462.5
1, 419.6
1, 465.2
1, 413.5
1, 515.6
1, 457.6
1, 287.0
1, 284.2
1, 133.6
1, 299.6
1, 303.0
1, 253.4
1, 138.3
1, 299.8
1, 262.9
1, 131.2
1, 317.1
1, 275.0
1, 140.1
1, 138.5
1, 442.7
1, 73.1
1, 77.5
1, 76.6
1, 67.9
1, 82.0
1, 67.5
1, 88.3
1, 164.0
1, 115.7
1, 97.2
1, 133.2
1, 96.0
1, 105.4
1, 365.2
1, 103.9
1, 235.1
1, 96.1
1, 247.3
1, 103.6
1, 226.8
1, 108.6
1, 39.0
1, 33.0
1, 30.0
1, 71.9
1, 87.6
1, 24.3
1, 23.5
1, 81.6
1, 37.5
1, 47.9
1, 42.8
1, 43.9
1, 43.2
1, 39.6
1, 22.5
1, 22.8
1, 40.7
1, 34.4
1, 46.6
1, 103.2
1, 35.3
1, 38.8
1, 22.6
1, 32.9
1, 37.6
1, 33.1
1, 51.3
1, 34.6
1, 44.5
1, 21.9
1, 22.3
1, 34.5
1, 28.9
1, 37.2
1, 209.0
1, 23.7
1, 23.1
1, 227.0
1, 42.8
1, 50.1
1, 24.5
1, 22.5
1, 300.1
1, 45.2
1, 49.5
1, 70.7
1, 23.9
1, 22.9
1, 22.4
1, 24.1
1, 23.7
1, 31.1
1, 39.5
1, 46.6
1, 41.4
1, 451.7
