Homolog, Bit Score
1, 215.0
1, -4.3
1, -43.2
1, -14.0
1, -9.2
1, -41.1
1, 10.3
1, 11.6
1, 8.4
1, 391.0
1, 7.9
1, 10.0
1, 10.4
1, 15.3
1, 11.3
1, 1.6
1, 9.8
1, 21.3
1, 6.4
1, 8.9
1, 56.5
1, 52.7
1, 10.8
1, 20.8
1, 345.9
1, 16.3
1, 74.7
1, 743.8
1, 80.4
1, 57.3
1, 27.7
1, 94.3
1, 664.9
1, 709.6
1, 12.6
1, 17.3
1, 68.0
1, 3.8
1, 138.8
1, 68.0
1, 110.8
1, 444.2
1, 26.4
1, 119.6
1, 65.2
1, 14.3
1, 12.5
1, 52.2
1, 2.0
1, 162.0
1, 64.0
1, 124.3
1, 521.8
1, 25.2
1, 135.6
1, 57.2
1, 21.6
1, 8.1
1, 23.8
1, 26.3
1, 19.0
1, 8.6
1, 11.3
1, 23.6
1, 12.4
1, 8.0
1, 22.6
1, 13.1
1, 25.8
1, 24.3
1, 22.0
1, 7.0
1, 144.5
1, 21.9
1, 24.7
1, 20.2
1, 78.1
1, 334.0
1, 75.4
1, 56.1
1, 28.7
1, 89.6
1, 303.6
1, 30.7
1, 28.2
1, 19.5
1, 1.1
1, 46.8
1, 25.5
1, 21.3
1, 89.5
1, 169.8
1, 152.4
1, 37.9
1, 180.0
1, 75.3
1, 81.4
1, 57.2
1, 25.2
1, 98.7
1, 721.6
1, 149.5
1, 26.1
1, 923.0
1, 71.0
1, 36.4
1, 153.3
1, 65.3
1, 23.1
1, 24.4
1, 84.5
1, 146.8
1, 90.6
1, 94.3
1, 140.4
1, 88.5
1, 85.6
1, 119.2
1, 888.2
1, 122.3
1, 117.2
1, 82.7
1, 209.0
1, 205.4
1, 1171.7
1, 185.8
1, 199.8
1, 895.7
1, 140.5
1, 1188.3
1, 1188.5
1, 176.2
1, 1810.7
1, 204.7
1, 1285.2
1, 1246.2
1, 181.4
1, 85.2
1, 202.8
1, 192.9
1, 1196.6
1, 202.2
1, 1274.5
1, 1262.1
1, 175.7
1, 76.4
1, 187.1
1, 184.4
1, 1192.8
1, 186.5
1, 196.3
1, 929.9
1, 131.5
1, 1207.3
1, 1184.0
1, 206.2
1, 1238.2
1, 171.9
1, 70.7
1, 165.6
1, 167.6
1, 1210.5
1, 174.5
1, 64.6
1, 175.0
1, 178.1
1, 1286.1
1, 116.0
1, 862.5
1, 886.7
1, 159.1
1, 131.2
1, 119.3
1, 67.7
1, 1317.5
1, 170.5
1, 170.1
1, 284.6
