Homolog, Bit Score
1, 243
1, 0
1, 64
1, 61
1, 75
1, 12
1, 17
1, 0
1, 0
1, 376
1, 13
1, 0
1, 0
1, 13
1, 15
1, 0
1, 0
1, 0
1, 35
1, 12
1, 74
1, 70
1, 12
1, 45
1, 335
1, 45
1, 88
1, 670
1, 81
1, 71
1, 55
1, 107
1, 600
1, 643
1, 13
1, 17
1, 82
1, 19
1, 156
1, 72
1, 90
1, 421
1, 51
1, 147
1, 73
1, 11
1, 34
1, 70
1, 18
1, 179
1, 74
1, 79
1, 489
1, 0
1, 134
1, 77
1, 0
1, 15
1, 52
1, 15
1, 13
1, 21
1, 17
1, 0
1, 0
1, 32
1, 0
1, 23
1, 51
1, 52
1, 16
1, 29
1, 141
1, 18
1, 52
1, 0
1, 84
1, 328
1, 69
1, 68
1, 52
1, 102
1, 303
1, 0
1, 57
1, 19
1, 21
1, 62
1, 13
1, 50
1, 103
1, 110
1, 170
1, 63
1, 191
1, 68
1, 44
1, 75
1, 29
1, 104
1, 651
1, 116
1, 47
1, 832
1, 63
1, 62
1, 170
1, 77
1, 0
1, 19
1, 93
1, 169
1, 85
1, 86
1, 175
1, 114
1, 92
1, 145
1, 810
1, 149
1, 147
1, 114
1, 146
1, 147
1, 1045
1, 211
1, 224
1, 822
1, 25
1, 1057
1, 1060
1, 110
1, 1590
1, 186
1, 1146
1, 1113
1, 136
1, 99
1, 145
1, 136
1, 1071
1, 188
1, 1136
1, 1125
1, 133
1, 90
1, 141
1, 143
1, 1068
1, 150
1, 189
1, 846
1, 173
1, 1072
1, 1060
1, 143
1, 1106
1, 141
1, 111
1, 137
1, 138
1, 1085
1, 131
1, 89
1, 134
1, 143
1, 1142
1, 156
1, 787
1, 814
1, 127
1, 168
1, 158
1, 84
1, 1166
1, 131
1, 65
1, 280
1, 162
1, 130
1, 15
1, 64
1, 72
1, 101
1, 94
1, 61
1, 164
1, 382
1, 385
1, 366
1, 379
1, 192
1, 186
1, 192
1, 181
1, 772
1, 732
1, 767
1, 752
1, 950
1, 744
1, 456
1, 501
1, 226
1, 507
1, 520
1, 423
1, 223
1, 446
1, 454
1, 221
1, 518
1, 521
1, 226
1, 223
1, 721
1, 201
1, 260
1, 272
1, 248
1, 258
1, 249
1, 314
1, 523
1, 574
1, 390
1, 560
1, 470
1, 545
1, 944
1, 539
1, 836
1, 536
1, 899
1, 539
1, 887
1, 537
1, 62
1, 47
1, 48
1, 130
1, 124
1, 18
1, 18
1, 125
1, 44
1, 85
1, 47
1, 73
1, 20
1, 42
1, 26
1, 19
1, 64
1, 43
1, 56
1, 216
1, 28
1, 44
1, 22
1, 25
1, 58
1, 44
1, 59
1, 53
1, 55
1, 10
1, 13
1, 39
1, 30
1, 39
1, 318
1, 22
1, 22
1, 312
1, 38
1, 61
1, 22
1, 15
1, 485
1, 54
1, 60
1, 97
1, 16
1, 16
1, 28
