Homolog, Bit Score
1, 243
1, 73
1, 34
1, 40
1, 71
1, 44
1, 34
1, 29
1, 32
1, 376
1, 28
1, 33
1, 33
1, 34
1, 38
1, 16
1, 31
1, 44
1, 27
1, 35
1, 74
1, 16
1, 17
1, 20
1, 335
1, 33
1, 88
1, 670
1, 81
1, 64
1, 55
1, 102
1, 599
1, 531
1, 39
1, 37
1, 82
1, 31
1, 156
1, 18
1, 90
1, 421
1, 51
1, 147
1, 22
1, 42
1, 25
1, 70
1, 28
1, 179
1, 74
1, 96
1, 488
1, 42
1, 137
1, 75
1, 30
1, 29
1, 38
1, 22
1, 15
1, 33
1, 32
1, 45
1, 38
1, 28
1, 52
1, 29
1, 52
1, 48
1, 15
1, 29
1, 38
1, 15
1, 52
1, 49
1, 84
1, 328
1, 69
1, 59
1, 52
1, 102
1, 302
1, 22
1, 53
1, 30
1, 27
1, 40
1, 43
1, 44
1, 82
1, 105
1, 170
1, 63
1, 191
1, 95
1, 68
1, 75
1, 54
1, 104
1, 651
1, 72
1, 43
1, 832
1, 63
1, 51
1, 160
1, 73
1, 18
1, 39
1, 93
1, 169
1, 85
1, 83
1, 175
1, 114
1, 92
1, 137
1, 810
1, 135
1, 147
1, 49
1, 86
1, 144
1, 1035
1, 213
1, 224
1, 822
1, 176
1, 1057
1, 1060
1, 221
1, 1590
1, 141
1, 1147
1, 1113
1, 131
1, 115
1, 145
1, 136
1, 1071
1, 139
1, 1135
1, 1125
1, 123
1, 49
1, 136
1, 179
1, 1068
1, 154
1, 189
1, 846
1, 173
1, 1072
1, 1058
1, 142
1, 1108
1, 130
1, 94
1, 137
1, 136
1, 1085
1, 121
1, 89
1, 134
1, 143
1, 1142
1, 156
1, 787
1, 814
1, 112
1, 168
1, 158
1, 72
1, 1166
1, 127
1, 127
1, 280
1, 141
1, 130
1, 84
1, 64
1, 72
1, 101
1, 94
1, 61
1, 234
1, 374
1, 385
1, 357
1, 379
1, 192
1, 167
1, 192
1, 146
1, 772
1, 732
1, 767
1, 752
1, 950
1, 744
1, 456
1, 492
1, 172
1, 500
1, 512
1, 423
1, 223
1, 452
1, 460
1, 221
1, 519
1, 521
1, 134
1, 223
1, 721
1, 201
1, 260
1, 272
1, 248
1, 258
1, 249
1, 314
1, 523
1, 574
1, 390
1, 559
1, 470
1, 545
1, 944
1, 539
1, 836
1, 536
1, 899
1, 539
1, 887
1, 537
1, 55
1, 44
1, 24
1, 130
1, 115
1, 29
1, 19
1, 125
1, 40
1, 64
1, 47
1, 73
1, 43
1, 63
1, 21
1, 18
1, 64
1, 40
1, 32
1, 216
1, 42
1, 32
1, 18
1, 16
1, 30
1, 25
1, 54
1, 38
1, 49
1, 22
1, 22
1, 40
1, 30
1, 39
1, 318
1, 18
1, 25
1, 312
1, 62
1, 32
1, 20
1, 18
1, 483
1, 54
1, 28
1, 97
1, 18
1, 21
1, 28
1, 21
1, 21
1, 22
1, 56
1, 71
1, 47
1, 834
1, 1019
1, 789
1, 535
1, 609
1, 620
1, 623
1, 658
1, 659
1, 653
1, 549
1, 539
1, 552
1, 519
1, 522
1, 512
1, 934
1, 691
1, 661
1, 614
1, 611
1, 684
1, 656
1, 627
1, 626
1, 667
1, 624
1, 627
1, 780
1, 750
1, 983
1, 396
1, 389
1, 1090
1, 499
1, 395
1, 382
1, 465
1, 292
1, 88
1, 299
1, 117
1, 156
1, 303
1, 163
1, 80
1, 475
1, 278
1, 106
1, 107
1, 262
1, 179
1, 79
1, 134
1, 145
1, 251
1, 190
1, 63
1, 719
1, 243
1, 64
1, 66
1, 147
1, 303
1, 176
1, 87
1, 154
1, 194
1, 120
1, 278
1, 192
1, 37
1, 54
1, 141
1, 746
1, 113
1, 133
1, 153
1, 709
1, 198
1, 100
1, 47
1, 40
1, 190
1, 64
1, 181
1, 160
1, 179
1, 280
1, 118
1, 39
1, 60
1, 90
1, 57
1, 134
1, 808
1, 141
1, 102
1, 44
1, 51
1, 253
1, 111
1, 98
1, 152
1, 250
1, 50
1, 47
1, 86
1, 58
1, 96
1, 469
1, 58
1, 92
1, 142
1, 146
1, 114
1, 57
1, 27
1, 178
1, 101
1, 39
1, 46
1, 77
1, 143
1, 101
1, 52
1, 61
1, 1087
1, 403
1, 629
1, 184
1, 791
1, 597
1, 1337
1, 796
1, 539
1, 322
1, 138
1, 383
1, 816
1, 329
1, 128
1, 42
1, 263
1, 203
1, 683
1, 575
1, 620
1, 761
1, 362
1, 417
1, 251
1, 584
1, 347
1, 324
1, 212
1, 158
1, 159
1, 220
1, 178
1, 185
1, 196
1, 202
1, 172
1, 132
1, 201
1, 208
1, 157
1, 125
1, 109
1, 146
1, 287
1, 419
1, 839
1, 570
1, 565
1, 146
1, 608
1, 1037
1, 404
1, 146
1, 240
1, 255
1, 91
1, 671
1, 537
1, 65
1, 134
1, 554
1, 301
1, 593
1, 134
1, 142
1, 141
1, 720
1, 552
1, 341
1, 121
1, 610
1, 395
1, 342
1, 236
1, 154
1, 146
1, 595
1, 557
1, 176
1, 637
1, 853
1, 324
1, 157
1, 227
1, 97
1, 1649
1, 161
1, 693
1, 121
1, 320
1, 127
1, 145
1, 132
1, 136
1, 564
1, 576
1, 220
1, 144
1, 105
1, 133
1, 159
1, 113
1, 132
1, 1299
1, 892
1, 1000
1, 446
1, 562
1, 161
1, 166
1, 178
1, 376
1, 161
1, 245
1, 152
1, 98
1, 137
1, 142
1, 857
1, 400
1, 361
1, 575
1, 84
1, 101
1, 33
1, 32
1, 101
1, 80
1, 103
1, 40
1, 61
1, 105
1, 122
1, 29
1, 73
1, 69
1, 33
1, 87
1, 87
