Homolog, Bit Score
1, 32
1, 38
1, 361
1, 445
1, 41
1, 35
1, 35
1, 33
1, 36
1, 39
1, 620
1, 42
1, 37
1, 168
1, 498
1, 498
1, 165
1, 495
1, 78
1, 38
1, 43
1, 137
1, 440
1, 434
1, 151
1, 443
1, 73
1, 384
1, 50
1, 35
1, 34
1, 27
1, 38
1, 29
1, 39
1, 34
1, 37
1, 38
1, 36
1, 34
1, 158
1, 155
1, 185
1, 152
1, 84
1, 670
1, 171
1, 822
1, 73
1, 173
1, 690
1, 83
1, 169
1, 98
1, 84
1, 141
1, 210
1, 203
1, 851
1, 179
1, 188
1, 199
1, 800
1, 947
1, 805
1, 814
1, 205
1, 99
1, 114
1, 142
1, 106
1, 95
1, 96
1, 136
1, 140
1, 130
1, 146
1, 118
1, 1579
1, 244
1, 1161
1, 1141
1, 1139
1, 246
1, 210
1, 242
1, 229
1, 1083
1, 244
1, 1168
1, 1126
1, 1128
1, 245
1, 219
1, 255
1, 234
1, 1082
1, 214
1, 246
1, 245
1, 1031
1, 842
1, 1065
1, 1043
1, 248
1, 1116
1, 1108
1, 218
1, 207
1, 218
1, 217
1, 1099
1, 1548
1, 242
1, 215
1, 232
1, 237
1, 1150
1, 209
1, 194
1, 217
1, 210
1, 1121
1, 820
1, 1051
1, 1048
1, 219
1, 787
1, 798
1, 178
1, 1109
1, 211
1, 198
1, 1970
1, 408
1, 233
1, 433
1, 433
1, 267
1, 434
1, 225
1, 492
1, 497
1, 247
1, 498
1, 206
1, 204
1, 222
1, 203
1, 688
1, 249
1, 690
1, 252
1, 791
1, 243
1, 38
1, 38
1, 495
1, 390
1, 45
1, 43
1, 761
1, 750
1, 469
1, 759
1, 40
1, 756
1, 46
1, 630
1, 30
1, 37
1, 627
1, 322
1, 35
1, 41
1, 36
1, 39
1, 887
1, 40
1, 528
1, 31
1, 36
1, 564
1, 297
1, 32
1, 45
1, 41
1, 33
1, 690
1, 38
1, 326
1, 371
1, 43
1, 47
1, 594
1, 588
1, 697
1, 571
1, 40
1, 581
1, 45
1, 33
1, 54
1, 432
1, 435
1, 408
1, 459
1, 39
1, 428
1, 41
1, 331
1, 45
1, 52
1, 52
1, 55
1, 663
1, 47
1, 364
1, 37
1, 41
1, 57
1, 40
1, 355
1, 35
1, 225
1, 1516
1, 605
1, 1407
1, 43
1, 1503
1, 47
1, 586
1, 1415
1, 46
1, 1762
1, 47
1, 609
1, 53
1, 583
1, 49
1, 47
1, 1381
1, 45
1, 38
1, 524
1, 45
1, 269
1, 35
1, 31
1, 19
1, 23
1, 19
1, 17
1, 169
1, 210
1, 20
1, 19
1, 33
1, 20
1, 37
1, 19
1, 21
1, 22
1, 17
1, 22
1, 193
1, 182
1, 23
1, 23
1, 31
1, 24
1, 20
1, 24
1, 26
1, 19
1, 21
1, 51
1, 33
1, 22
1, 35
1, 71
1, 25
1, 249
1, 132
1, 74
1, 17
1, 23
1, 23
1, 20
1, 23
1, 30
1, 22
1, 132
1, 131
1, 20
1, 23
1, 17
1, 17
1, 24
1, 25
1, 21
1, 150
1, 19
1, 24
1, 24
1, 22
1, 26
1, 24
1, 25
1, 20
1, 17
1, 18
1, 19
1, 22
1, 28
1, 21
1, 21
1, 24
1, 441
1, 21
1, 26
