Homolog, Bit Score
1, 22.0
1, 34.5
1, 218.7
1, 183.9
1, 23.9
1, 21.0
1, 23.1
1, 34.0
1, 37.5
1, 21.7
1, 352.0
1, 38.5
1, 31.3
1, 85.1
1, 267.0
1, 239.9
1, 96.8
1, 270.0
1, 60.7
1, 36.5
1, 43.0
1, 84.1
1, 225.1
1, 231.6
1, 106.3
1, 248.0
1, 37.5
1, 264.0
1, 42.9
1, 40.1
1, 32.9
1, 40.7
1, 37.6
1, 21.7
1, 41.2
1, 34.8
1, 36.7
1, 39.3
1, 34.4
1, 22.1
1, 98.6
1, 102.1
1, 92.6
1, 102.0
1, 66.6
1, 429.2
1, 124.7
1, 556.4
1, 56.7
1, 132.0
1, 441.7
1, 34.4
1, 124.0
1, 71.5
1, 62.0
1, 74.8
1, 78.4
1, 79.6
1, 502.3
1, 80.7
1, 79.1
1, 73.2
1, 448.4
1, 620.9
1, 452.6
1, 420.7
1, 64.1
1, 59.7
1, 61.2
1, 76.8
1, 57.3
1, 55.0
1, 57.2
1, 70.4
1, 75.6
1, 68.2
1, 73.8
1, 66.1
1, 902.3
1, 82.1
1, 643.6
1, 659.2
1, 594.1
1, 80.7
1, 64.2
1, 74.8
1, 81.3
1, 608.3
1, 80.6
1, 744.8
1, 669.5
1, 563.2
1, 75.0
1, 69.5
1, 84.6
1, 75.4
1, 572.6
1, 82.8
1, 79.7
1, 75.3
1, 575.8
1, 460.3
1, 580.9
1, 553.9
1, 71.1
1, 588.8
1, 649.4
1, 70.5
1, 73.7
1, 75.7
1, 79.9
1, 615.0
1, 863.0
1, 73.5
1, 66.0
1, 76.6
1, 71.1
1, 669.7
1, 68.6
1, 72.5
1, 79.2
1, 73.2
1, 665.4
1, 455.9
1, 585.7
1, 609.8
1, 65.9
1, 435.0
1, 353.0
1, 66.7
1, 739.0
1, 66.9
1, 71.3
1, 1069.9
1, 235.1
1, 138.5
1, 255.8
1, 250.7
1, 168.1
1, 264.6
1, 128.3
1, 311.3
1, 310.1
1, 155.2
1, 303.8
1, 146.6
1, 142.4
1, 132.1
1, 138.4
1, 425.9
1, 151.8
1, 415.0
1, 151.5
1, 483.5
1, 158.1
1, 35.0
1, 32.6
1, 256.6
1, 212.6
1, 34.8
1, 35.5
1, 329.6
1, 332.3
1, 178.8
1, 380.7
1, 34.8
1, 331.5
1, 36.8
1, 352.5
1, 25.6
1, 25.9
1, 354.3
1, 171.8
1, 32.2
1, 34.2
1, 33.9
1, 26.3
1, 585.3
1, 32.4
1, 215.7
1, 23.8
1, 30.1
1, 353.6
1, 180.9
1, 24.9
1, 25.1
1, 39.2
1, 33.8
1, 339.1
1, 30.4
1, 189.1
1, 176.5
1, 35.1
1, 38.1
1, 248.6
1, 233.6
1, 312.3
1, 293.2
1, 34.9
1, 248.4
1, 37.7
1, 25.5
1, 27.8
1, 209.8
1, 252.3
1, 186.9
1, 216.2
1, 33.1
1, 241.1
1, 25.8
1, 188.1
1, 37.9
1, 35.6
1, 38.7
1, 22.6
1, 384.4
1, 36.8
1, 173.7
1, 23.1
1, 24.8
1, 42.7
1, 34.1
1, 180.3
1, 25.0
1, 108.6
1, 874.7
1, 233.7
1, 753.3
1, 38.0
1, 860.1
1, 37.8
1, 286.3
1, 693.9
1, 37.6
1, 1023.5
1, 38.2
1, 278.0
1, 41.9
1, 253.7
1, 42.8
1, 25.3
1, 806.1
1, 24.1
1, 32.4
1, 206.6
1, 38.8
1, 189.9
1, 22.0
1, 23.0
1, 20.5
1, 22.9
1, 21.0
1, 20.3
1, 114.2
1, 119.8
1, 24.9
1, 24.1
1, 25.3
1, 22.0
1, 22.1
1, 21.0
1, 22.7
1, 20.9
1, 20.9
1, 20.6
1, 121.7
1, 109.1
1, 24.7
1, 21.7
1, 21.9
1, 22.8
1, 21.0
1, 21.6
1, 21.5
1, 20.0
1, 19.7
1, 27.9
1, 24.6
1, 19.2
1, 22.7
1, 40.0
1, 21.3
1, 78.0
1, 79.8
1, 56.7
1, 20.7
1, 22.7
1, 21.5
1, 20.7
1, 23.3
1, 22.4
1, 22.1
1, 76.5
1, 62.9
1, 19.9
1, 19.9
