Homolog, Bit Score
1, 8.4
1, 11.6
1, 391.0
1, 479.6
1, 15.3
1, 10.4
1, 9.8
1, 6.4
1, 11.6
1, 8.9
1, 708.3
1, 14.3
1, 9.8
1, 162.0
1, 522.6
1, 521.8
1, 135.6
1, 517.3
1, 57.2
1, 12.6
1, 16.5
1, 138.8
1, 454.2
1, 444.2
1, 119.6
1, 456.2
1, 65.2
1, 418.9
1, 26.3
1, 14.0
1, 11.3
1, 12.4
1, 14.1
1, 8.0
1, 20.0
1, 7.9
1, 11.1
1, 9.9
1, 9.2
1, 12.5
1, 165.0
1, 152.4
1, 180.0
1, 158.1
1, 75.3
1, 756.6
1, 159.6
1, 953.4
1, 56.7
1, 153.3
1, 774.5
1, 65.3
1, 164.1
1, 84.5
1, 65.1
1, 128.0
1, 197.6
1, 192.2
1, 936.7
1, 156.1
1, 165.9
1, 166.4
1, 894.3
1, 1086.1
1, 895.0
1, 906.2
1, 166.7
1, 87.3
1, 98.1
1, 128.4
1, 90.3
1, 81.7
1, 78.6
1, 138.7
1, 116.0
1, 126.6
1, 140.1
1, 100.2
1, 1811.1
1, 202.2
1, 1274.5
1, 1253.3
1, 1262.1
1, 201.3
1, 175.7
1, 187.1
1, 184.4
1, 1192.8
1, 204.7
1, 1285.2
1, 1236.0
1, 1246.2
1, 205.9
1, 181.4
1, 202.8
1, 192.9
1, 1196.6
1, 186.5
1, 202.6
1, 196.3
1, 1180.1
1, 929.9
1, 1207.3
1, 1184.0
1, 206.2
1, 1241.0
1, 1238.2
1, 171.8
1, 171.9
1, 165.6
1, 167.6
1, 1210.5
1, 1819.4
1, 184.8
1, 171.4
1, 176.2
1, 183.3
1, 1295.1
1, 178.4
1, 174.5
1, 175.0
1, 178.1
1, 1286.1
1, 899.0
1, 1199.3
1, 1199.1
1, 172.7
1, 862.5
1, 886.7
1, 159.1
1, 1317.5
1, 170.5
1, 170.1
1, 2292.9
1, 440.5
1, 229.6
1, 475.9
1, 487.4
1, 270.0
1, 486.2
1, 227.3
1, 561.9
1, 564.3
1, 246.6
1, 564.4
1, 235.2
1, 228.6
1, 236.2
1, 230.0
1, 806.6
1, 257.1
1, 803.7
1, 247.4
1, 945.7
1, 250.9
1, 13.0
1, 10.4
1, 525.0
1, 405.2
1, 14.0
1, 18.8
1, 834.5
1, 809.5
1, 465.5
1, 810.9
1, 13.1
1, 836.8
1, 17.9
1, 705.1
1, 10.1
1, 9.4
1, 697.3
1, 338.5
1, 7.9
1, 7.9
1, 8.7
1, 4.3
1, 1006.2
1, 8.2
1, 620.2
1, 10.1
1, 6.8
1, 629.8
1, 297.9
1, 12.6
1, 12.8
1, 18.1
1, 12.7
1, 760.2
1, 10.6
1, 468.2
1, 396.4
1, 14.1
1, 18.8
1, 659.9
1, 650.0
1, 766.4
1, 623.9
1, 15.2
1, 644.1
1, 13.3
1, 7.0
1, 19.7
1, 447.8
1, 439.2
1, 412.6
1, 470.1
1, 9.7
1, 440.0
1, 11.1
1, 352.7
1, 18.6
1, 17.6
1, 22.3
1, 20.3
1, 734.7
1, 15.2
1, 425.5
1, 11.5
1, 12.1
1, 28.6
1, 11.8
1, 374.4
1, 11.8
1, 233.5
1, 1802.9
1, 669.0
1, 1646.7
1, 15.6
1, 1803.1
1, 19.9
1, 639.0
1, 1664.3
1, 15.6
1, 2146.4
1, 20.2
1, 659.3
1, 26.3
1, 644.8
1, 23.4
1, 13.0
1, 1652.5
1, 17.1
1, 11.7
1, 589.5
1, 17.6
1, 285.9
1, -1.2
1, 2.6
1, -3.8
1, 3.0
1, -10.2
1, -1.8
1, 145.8
1, 199.1
1, -0.8
1, -1.5
1, 1.2
1, -3.3
1, -2.8
1, -1.7
1, -0.6
1, -4.2
1, 0
1, 1.4
1, 157.0
1, 161.8
1, 0.8
1, -2.0
1, -7.2
1, -0.4
1, -1.5
1, -0.1
1, -3.7
1, 1.6
1, -2.6
1, 4.0
1, -4.1
1, -10.0
1, 2.1
1, 20.6
1, 1.6
1, 214.2
1, 131.9
1, 71.2
1, -2.3
1, -1.1
1, -1.0
1, -1.7
1, 0
1, 0.4
1, -0.4
1, 104.3
1, 94.0
1, -2.9
1, 1.6
1, -2.0
1, -5.5
1, -1.7
1, -3.4
1, -1.9
1, 134.9
1, -0.1
1, -1.5
1, -0.8
1, -5.9
1, 2.3
1, 0
1, -4.7
1, -0.7
1, -4.8
1, -2.7
1, -6.8
1, -0.7
1, 1.7
1, -4.4
1, -10.5
1, -1.4
1, 563.3
1, -0.7
1, -1.3
1, -3.3
1, 244.2
1, -1.4
1, 0.9
1, 0.8
1, -2.7
1, -1.6
1, -1.0
1, -1.6
1, -2.7
1, 1.3
1, 2.2
1, -0.1
1, 3.3
1, -0.6
1, -3.1
1, -1.2
1, -4.8
1, -5.4
1, -3.5
1, -3.1
1, -12.4
1, -2.1
1, -3.0
1, 0
1, 0
1, -6.3
1, -3.8
1, -1.6
1, -2.7
1, -2.4
1, -23.2
1, 0
1, 16.7
1, 64.8
1, 59.0
1, -0.3
1, -2.3
1, -5.3
1, -2.7
1, -1.5
1, -4.1
1, -3.6
1, -6.2
1, -4.2
1, -3.6
1, 0
1, -1.7
1, -1.2
1, -2.2
1, -8.1
1, 0
1, -3.1
1, -2.1
1, -2.7
1, -0.5
1, -3.1
1, -11.9
1, -1.9
1, -1.9
1, -15.0
1, -14.7
1, -20.1
1, -35.0
1, 5.9
1, 14.4
1, 15.2
1, 11.7
1, 12.1
1, 20.7
1, 4.9
1, 12.9
1, 6.7
1, -11.9
1, 1822.6
1, 2.2
1, -5.1
1, -4.4
1, -3.0
1, 0.2
1, -3.3
1, -2.0
1, -2.7
1, -1.1
1, 12.6
1, -7.3
1, -8.7
1, -5.6
1, -6.1
1, -1.6
1, -1.1
1, -2.2
1, -2.4
1, -0.8
1, 0.6
1, 12.7
1, -1.0
1, -10.8
1, 13.6
1, 0.7
1, 13.1
1, 12.6
1, 16.0
1, -13.9
1, 12.9
1, -2.5
1, -37.5
1, 107.2
1, 16.2
1, 102.2
1, 111.8
1, 85.2
1, 777.9
1, 108.9
1, -6.6
1, -38.8
1, 15.5
1, 490.9
1, 759.1
1, 427.7
1, 95.8
1, 511.3
1, 4.0
1, 0
1, 10.1
1, 13.3
1, 9.5
1, 15.5
1, 8.0
1, 531.0
1, -11.5
1, 476.5
1, 647.5
1, 105.7
1, 503.8
1, 1.1
1, 0
1, 415.6
1, 102.9
1, 565.7
1, 1.8
1, -13.3
1, 86.1
1, 426.1
1, 1.5
1, 0
1, 100.1
1, -3.9
1, -6.5
1, 1.6
1, -16.1
1, -2.3
1, 1264.6
1, 2194.2
1, 643.6
1, 563.0
1, 847.4
1, 853.0
1, 707.3
1, 917.2
1, 613.0
1, 868.5
1, 689.3
1, 901.3
1, 690.5
1, 267.9
1, 237.0
1, 558.4
1, 697.4
1, 771.9
1, 589.1
1, 751.5
1, 550.8
1, 744.8
1, 550.5
1, 742.7
1, 551.7
1, 251.8
1, 253.2
1, 645.2
1, 652.8
1, 523.9
1, 755.2
1, 520.6
1, 699.0
1, 594.7
1, 728.6
1, 604.3
1, 243.5
1, 210.2
1, 896.0
1, 710.2
1, 1035.9
1, 636.4
1, 1052.3
1, 685.2
1, 1143.6
1, 678.1
1, 250.1
1, 269.6
1, 725.7
1, 982.1
1, 620.3
1, 988.0
1, 695.0
1, 951.4
1, 690.4
1, 240.7
1, 232.0
1, 764.2
1, 531.9
1, 758.3
1, 623.8
1, 747.7
1, 622.1
1, 224.9
1, 232.0
1, 674.9
1, 1134.9
1, 780.6
1, 1233.5
1, 775.6
1, 288.5
1, 261.8
1, 676.3
1, 570.5
1, 678.8
1, 568.5
1, 242.5
1, 234.4
1, 736.8
1, 1520.9
1, 735.7
1, 290.5
1, 282.3
1, 808.3
1, 3393.6
1, 233.5
1, 233.0
1, 816.9
1, 284.5
1, 280.1
1, 232.2
1, 228.5
1, 1009.7
1, 166.1
1, 32.5
1, 61.4
1, 5.7
1, 66.8
1, 50.6
1, 135.3
1, 1.9
1, 94.8
1, 44.0
1, 87.3
1, 83.9
1, 12.2
1, 83.4
1, 14.8
1, 0
1, -3.6
1, -3.8
1, 0
1, -5.1
1, 0
1, -4.9
1, 0
1, -5.1
1, 0
1, 0
1, -4.3
1, -3.9
1, 0
1, 0
1, 0
1, 24.9
1, 0
1, -5.5
1, 0
1, 0
1, 0
1, 99.6
1, 13.2
1, 15.7
1, 42.6
1, 17.2
1, 63.1
1, 41.4
1, 17.0
1, -4.2
1, 121.3
1, 96.7
1, 42.7
1, 55.7
1, 26.2
1, 17.4
1, -15.8
1, 37.8
1, -6.9
1, 13.8
1, 15.7
1, 27.9
1, 16.7
1, 57.8
1, 83.3
1, 44.0
1, 80.7
1, 72.3
1, 51.6
1, 0
1, 190.8
1, 155.3
1, 70.3
1, 104.8
1, 61.9
1, 46.8
1, -9.2
1, 90.2
1, 14.9
1, 11.7
1, 32.6
1, 67.8
1, 14.6
1, 20.9
1, 15.6
1, 30.6
1, 15.9
1, 51.1
1, 6.7
1, 38.3
1, 52.7
1, 18.1
1, 14.8
1, 24.7
1, 46.6
1, 0
1, 22.3
1, 20.4
1, 18.5
1, 4.1
1, 26.2
1, 178.1
1, 27.5
1, 133.1
1, 150.4
1, 38.4
1, 0.8
1, 223.7
1, 216.4
1, 135.3
1, 41.1
1, 56.8
1, 42.7
1, -5.1
1, 87.8
1, 24.0
1, 13.5
1, 1.8
1, 134.0
1, 47.4
1, 255.3
1, 307.3
1, 47.4
1, -2.0
1, 283.1
1, 275.5
1, 302.8
1, 69.9
1, 65.1
1, 41.8
1, -14.2
1, 101.5
1, 17.3
1, 14.1
1, 3.4
1, 143.5
1, 43.5
1, 24.3
1, 34.3
1, 0
1, 69.0
1, 52.5
1, 20.6
1, 27.0
1, 15.3
1, 37.9
1, -10.2
1, 36.3
1, 3.4
1, 8.2
1, 15.4
1, 4.6
1, 221.1
1, 50.9
1, 2.2
1, 224.0
1, 231.2
1, 203.2
1, 53.8
1, 55.5
1, 46.9
1, 3.5
1, 80.6
1, 42.2
1, 14.2
1, 8.8
1, 109.8
1, 39.3
1, 1.4
1, 244.6
1, 236.9
1, 938.4
1, 61.5
1, 54.3
1, 35.4
1, -2.2
1, 92.3
1, 26.3
1, 13.7
1, 1.4
1, 115.6
1, 10.8
1, 102.2
1, 93.3
1, 41.5
1, 52.6
1, 48.9
1, 614.8
1, -0.1
1, 40.3
1, 14.4
1, 11.2
1, 15.6
1, 41.5
1, 11.1
1, 20.1
1, 1.0
1, -2.8
1, -1.2
1, 5.6
1, 0
1, -0.3
1, -2.5
1, -3.0
1, 0
1, -0.9
1, 615.6
1, 181.7
1, 93.8
1, 73.6
1, 55.9
1, 3.8
1, 131.5
1, 18.5
1, 21.9
1, 22.1
1, 126.9
1, 173.5
1, 56.3
1, 75.6
1, 43.8
1, -3.8
1, 127.5
1, 11.9
1, 25.6
1, 28.9
1, 113.2
1, 54.3
1, 55.6
1, 35.5
1, -1.7
1, 84.6
1, 15.7
1, 14.1
1, 8.1
1, 116.0
1, 109.7
1, 53.3
