Homolog, Bit Score
1, 0
1, 0
1, 376
1, 446
1, 13
1, 15
1, 0
1, 35
1, 16
1, 12
1, 643
1, 11
1, 36
1, 179
1, 492
1, 489
1, 134
1, 488
1, 77
1, 13
1, 11
1, 156
1, 433
1, 421
1, 147
1, 436
1, 73
1, 393
1, 15
1, 0
1, 17
1, 0
1, 20
1, 32
1, 13
1, 0
1, 34
1, 38
1, 20
1, 0
1, 177
1, 170
1, 191
1, 172
1, 68
1, 676
1, 21
1, 846
1, 72
1, 170
1, 692
1, 77
1, 179
1, 93
1, 76
1, 15
1, 137
1, 138
1, 853
1, 202
1, 130
1, 132
1, 814
1, 973
1, 814
1, 826
1, 123
1, 115
1, 127
1, 144
1, 116
1, 39
1, 40
1, 45
1, 150
1, 46
1, 154
1, 42
1, 1590
1, 188
1, 1136
1, 1119
1, 1125
1, 125
1, 133
1, 141
1, 143
1, 1068
1, 186
1, 1146
1, 1106
1, 1113
1, 146
1, 136
1, 145
1, 136
1, 1071
1, 150
1, 143
1, 189
1, 1051
1, 846
1, 1072
1, 1060
1, 143
1, 1109
1, 1106
1, 134
1, 141
1, 137
1, 138
1, 1085
1, 1593
1, 144
1, 129
1, 122
1, 146
1, 1150
1, 139
1, 131
1, 134
1, 143
1, 1142
1, 827
1, 1064
1, 1067
1, 220
1, 787
1, 814
1, 127
1, 1166
1, 131
1, 65
1, 2027
1, 423
1, 223
1, 446
1, 457
1, 264
1, 454
1, 221
1, 518
1, 520
1, 245
1, 521
1, 226
1, 224
1, 240
1, 223
1, 725
1, 253
1, 721
1, 248
1, 842
1, 249
1, 21
1, 30
1, 518
1, 404
1, 22
1, 23
1, 635
1, 613
1, 458
1, 754
1, 18
1, 636
1, 20
1, 670
1, 22
1, 19
1, 659
1, 369
1, 23
1, 22
1, 17
1, 17
1, 919
1, 22
1, 393
1, 25
1, 17
1, 605
1, 332
1, 21
1, 15
1, 25
1, 15
1, 714
1, 17
1, 338
1, 416
1, 14
1, 58
1, 634
1, 621
1, 721
1, 602
1, 23
1, 617
1, 18
1, 17
1, 25
1, 449
1, 386
1, 426
1, 468
1, 18
1, 386
1, 14
1, 379
1, 19
1, 20
1, 52
1, 18
1, 693
1, 29
1, 279
1, 24
1, 17
1, 65
1, 15
1, 384
1, 19
1, 237
1, 1587
1, 643
1, 1456
1, 20
1, 1587
1, 18
1, 506
1, 1471
1, 19
1, 1878
1, 19
1, 630
1, 50
1, 514
1, 16
1, 20
1, 1462
1, 19
1, 39
1, 364
1, 17
1, 298
1, 12
1, 21
1, 18
1, 20
1, 15
1, 17
1, 184
1, 213
1, 19
1, 15
1, 17
1, 18
1, 25
1, 15
1, 15
1, 20
1, 12
1, 17
1, 54
1, 190
1, 17
1, 19
1, 17
1, 17
1, 17
1, 16
1, 22
1, 17
1, 15
1, 51
1, 22
1, 23
1, 17
1, 17
1, 21
1, 253
1, 161
1, 81
1, 19
1, 16
1, 22
1, 13
1, 14
1, 16
1, 15
1, 129
1, 91
1, 13
1, 17
1, 14
1, 21
1, 18
1, 13
1, 17
1, 95
1, 25
1, 27
1, 20
1, 17
1, 27
1, 19
1, 20
1, 15
1, 24
1, 14
1, 21
1, 15
1, 17
1, 32
1, 17
1, 16
1, 531
1, 15
1, 15
1, 16
1, 21
1, 15
1, 21
1, 21
1, 15
1, 19
1, 20
1, 13
1, 18
1, 13
1, 15
1, 24
1, 29
1, 29
1, 22
1, 18
1, 18
1, 16
1, 18
1, 18
1, 26
1, 17
1, 0
1, 15
1, 19
1, 0
1, 0
1, 19
1, 17
1, 13
1, 24
1, 15
1, 19
1, 84
1, 73
1, 21
1, 14
1, 27
1, 18
1, 18
1, 30
1, 15
1, 24
1, 30
1, 20
1, 21
1, 14
1, 15
1, 16
1, 13
1, 13
1, 20
1, 14
1, 20
1, 0
1, 12
1, 0
1, 20
1, 14
1, 27
1, 22
1, 23
1, 26
1, 17
1, 15
1, 20
1, 0
1, 14
