Homolog, Bit Score
1, 32
1, 29
1, 376
1, 445
1, 34
1, 32
1, 31
1, 27
1, 37
1, 35
1, 643
1, 42
1, 26
1, 179
1, 492
1, 488
1, 137
1, 488
1, 75
1, 39
1, 38
1, 156
1, 433
1, 421
1, 147
1, 436
1, 22
1, 389
1, 22
1, 21
1, 32
1, 38
1, 40
1, 28
1, 24
1, 31
1, 37
1, 16
1, 18
1, 18
1, 161
1, 170
1, 191
1, 172
1, 95
1, 676
1, 167
1, 823
1, 15
1, 160
1, 683
1, 73
1, 179
1, 93
1, 18
1, 148
1, 25
1, 132
1, 853
1, 202
1, 124
1, 117
1, 814
1, 973
1, 814
1, 826
1, 122
1, 105
1, 127
1, 144
1, 111
1, 104
1, 80
1, 56
1, 150
1, 141
1, 154
1, 90
1, 1553
1, 139
1, 1135
1, 1119
1, 1125
1, 142
1, 123
1, 136
1, 179
1, 1068
1, 141
1, 1147
1, 1106
1, 1113
1, 140
1, 131
1, 145
1, 136
1, 1071
1, 154
1, 142
1, 189
1, 1051
1, 846
1, 1072
1, 1058
1, 142
1, 1111
1, 1108
1, 134
1, 130
1, 137
1, 136
1, 1085
1, 1593
1, 144
1, 114
1, 136
1, 145
1, 1150
1, 139
1, 121
1, 134
1, 143
1, 1142
1, 827
1, 1063
1, 1067
1, 134
1, 787
1, 814
1, 112
1, 1166
1, 127
1, 127
1, 2027
1, 423
1, 223
1, 452
1, 463
1, 263
1, 460
1, 221
1, 519
1, 520
1, 245
1, 521
1, 134
1, 224
1, 234
1, 223
1, 725
1, 251
1, 721
1, 199
1, 842
1, 238
1, 25
1, 21
1, 518
1, 404
1, 43
1, 27
1, 635
1, 613
1, 458
1, 754
1, 22
1, 636
1, 36
1, 665
1, 37
1, 38
1, 659
1, 369
1, 40
1, 45
1, 17
1, 21
1, 919
1, 30
1, 393
1, 33
1, 33
1, 605
1, 303
1, 20
1, 46
1, 18
1, 20
1, 525
1, 36
1, 338
1, 416
1, 44
1, 50
1, 634
1, 621
1, 683
1, 602
1, 44
1, 617
1, 40
1, 37
1, 29
1, 449
1, 386
1, 426
1, 468
1, 18
1, 381
1, 44
1, 379
1, 50
1, 22
1, 47
1, 53
1, 693
1, 57
1, 279
1, 23
1, 51
1, 65
1, 25
1, 384
1, 46
1, 237
1, 1562
1, 643
1, 1456
1, 35
1, 1567
1, 42
1, 506
1, 1471
1, 22
1, 1878
1, 42
1, 630
1, 45
1, 514
1, 20
1, 22
1, 1434
1, 20
1, 23
1, 364
1, 40
1, 283
1, 29
1, 27
1, 21
1, 17
1, 20
1, 18
1, 158
1, 213
1, 23
1, 20
1, 21
1, 25
1, 26
1, 18
1, 16
1, 18
1, 18
1, 20
1, 198
1, 188
1, 25
1, 20
1, 18
1, 23
1, 18
1, 23
1, 28
1, 17
1, 20
1, 17
1, 28
1, 20
1, 24
1, 22
1, 15
1, 253
1, 138
1, 81
1, 15
1, 22
1, 22
1, 20
1, 22
1, 27
1, 23
1, 56
1, 139
1, 20
1, 29
1, 17
1, 17
1, 19
1, 25
1, 18
1, 131
1, 22
1, 23
1, 22
1, 20
1, 25
1, 17
1, 23
1, 19
1, 22
1, 15
1, 24
1, 18
1, 30
1, 29
1, 16
1, 20
1, 531
1, 21
1, 22
1, 18
1, 257
1, 19
1, 20
1, 22
1, 17
1, 21
1, 20
1, 17
1, 18
1, 27
1, 27
1, 22
1, 18
1, 33
1, 17
1, 22
1, 22
1, 22
1, 21
1, 25
1, 23
1, 18
1, 23
1, 18
1, 19
1, 25
1, 19
1, 21
1, 17
1, 25
1, 23
1, 18
1, 41
1, 31
1, 40
1, 63
1, 32
1, 28
1, 22
1, 20
1, 20
1, 21
1, 28
1, 18
1, 18
1, 22
1, 23
1, 21
1, 18
1, 22
1, 17
1, 30
1, 20
1, 17
1, 18
1, 20
1, 20
1, 23
1, 22
1, 17
1, 21
1, 21
1, 30
1, 22
1, 22
1, 33
1, 25
1, 43
1, 22
1, 23
1, 34
1, 29
1, 19
1, 1640
1, 34
1, 35
1, 20
1, 33
1, 19
1, 20
1, 18
1, 30
1, 18
1, 25
1, 26
1, 33
1, 33
1, 20
1, 36
1, 21
1, 22
1, 18
1, 30
1, 20
1, 37
1, 21
1, 37
1, 30
1, 40
1, 29
1, 28
1, 26
1, 39
1, 18
1, 23
1, 24
1, 129
1, 28
1, 106
1, 36
1, 107
1, 726
1, 27
1, 27
1, 29
1, 33
1, 480
1, 714
1, 430
1, 31
1, 498
1, 17
1, 20
1, 25
1, 30
1, 25
1, 42
1, 19
1, 499
1, 30
1, 479
1, 602
1, 122
1, 501
1, 30
1, 16
1, 428
1, 124
1, 532
1, 17
1, 16
1, 20
1, 430
1, 23
1, 20
1, 22
1, 36
1, 22
1, 22
1, 13
1, 22
1, 1140
1, 1503
1, 629
1, 597
1, 791
1, 792
1, 661
1, 480
1, 504
1, 808
1, 472
1, 816
1, 547
1, 159
1, 42
1, 575
1, 683
1, 738
1, 596
1, 353
1, 361
1, 420
1, 565
1, 347
1, 575
1, 139
1, 158
1, 288
1, 671
1, 559
1, 444
1, 473
1, 401
1, 78
1, 301
1, 505
1, 226
1, 142
1, 864
1, 377
1, 508
1, 75
1, 964
1, 395
1, 1037
1, 400
1, 133
1, 240
1, 705
1, 490
1, 519
1, 901
1, 554
1, 877
1, 551
1, 154
1, 221
1, 387
1, 346
1, 396
1, 522
1, 392
1, 520
1, 132
1, 161
1, 428
1, 527
1, 429
1, 579
1, 425
1, 143
1, 147
1, 542
1, 473
1, 552
1, 472
1, 135
1, 156
1, 413
1, 1322
1, 413
1, 163
1, 235
1, 485
1, 2960
1, 142
1, 220
1, 639
1, 129
1, 245
1, 231
1, 209
1, 514
1, 91
1, 60
1, 42
1, 25
1, 89
1, 66
1, 117
1, 32
1, 105
1, 36
1, 86
1, 45
1, 27
1, 70
1, 30
1, 21
1, 35
1, 24
1, 19
1, 22
1, 22
1, 23
1, 26
1, 19
1, 22
1, 21
1, 27
1, 23
1, 18
1, 20
1, 19
1, 32
1, 20
1, 26
1, 20
1, 20
1, 22
1, 120
1, 44
1, 39
1, 79
1, 63
1, 74
1, 32
1, 42
1, 16
1, 78
1, 71
1, 60
1, 79
1, 51
1, 52
1, 21
1, 63
1, 37
1, 40
1, 47
1, 47
1, 44
1, 61
1, 115
1, 86
1, 88
1, 76
1, 64
1, 17
1, 114
1, 115
1, 28
1, 125
1, 30
1, 61
1, 19
1, 114
1, 46
1, 35
1, 71
1, 28
1, 24
1, 47
1, 40
1, 23
1, 38
1, 68
1, 20
1, 30
1, 41
1, 26
1, 43
1, 50
1, 66
1, 18
1, 49
1, 38
1, 17
1, 27
1, 47
1, 79
1, 56
1, 86
1, 97
1, 45
1, 18
1, 94
1, 101
1, 86
1, 33
1, 77
1, 53
1, 22
1, 52
1, 16
1, 44
1, 30
1, 154
1, 22
1, 255
1, 183
1, 82
1, 15
1, 69
1, 217
1, 180
1, 56
1, 90
1, 75
1, 21
1, 75
1, 27
1, 39
1, 37
1, 161
1, 78
1, 44
1, 60
1, 20
1, 73
1, 57
1, 22
1, 53
1, 40
1, 62
1, 21
1, 71
1, 26
1, 29
1, 59
1, 32
1, 115
1, 71
1, 23
1, 174
1, 140
1, 143
1, 67
1, 48
1, 73
1, 20
1, 101
1, 60
1, 40
1, 50
1, 123
1, 54
1, 20
1, 80
1, 124
1, 870
1, 48
1, 61
1, 62
1, 23
1, 70
1, 44
1, 35
1, 28
1, 92
1, 29
1, 70
1, 58
1, 62
1, 65
1, 79
1, 554
1, 17
1, 77
1, 34
1, 30
1, 27
1, 59
1, 31
1, 27
1, 22
1, 23
1, 18
1, 18
1, 15
1, 24
1, 18
1, 19
1, 18
1, 23
1, 574
1, 139
1, 82
1, 65
1, 82
1, 27
1, 152
1, 29
1, 57
1, 61
1, 106
1, 126
1, 69
1, 77
1, 69
1, 32
1, 148
1, 40
1, 53
1, 61
1, 112
1, 44
1, 60
1, 65
1, 23
1, 82
1, 39
1, 38
1, 37
1, 90
1, 137
1, 94
1, 23
1, 84
1, 35
1, 22
1, 43
1, 33
1, 62
1, 22
1, 82
1, 44
1, 22
1, 27
1, 61
1, 16
1, 64
1, 30
1, 21
1, 38
1, 54
1, 30
1, 24
1, 20
1, 19
1, 26
1, 32
1, 42
1, 51
1, 107
1, 29
1, 30
1, 31
1, 18
1, 41
1, 43
1, 213
1, 251
1, 282
1, 450
1, 371
1, 212
1, 35
1, 288
1, 37
1, 295
1, 33
1, 46
1, 37
1, 766
1, 137
1, 363
1, 263
1, 357
1, 352
1, 302
1, 154
1, 364
1, 287
1, 216
1, 753
1, 567
1, 213
1, 214
1, 292
1, 18
1, 780
1, 20
1, 562
1, 23
1, 24
1, 40
1, 250
1, 123
1, 207
1, 166
1, 209
1, 132
1, 524
1, 124
1, 211
1, 595
1, 324
1, 252
1, 225
1, 239
1, 313
1, 27
1, 662
1, 27
1, 602
1, 27
1, 17
1, 41
1, 289
1, 161
1, 239
1, 159
1, 236
1, 224
1, 613
1, 160
1, 239
1, 597
1, 385
1, 293
1, 302
1, 197
1, 18
1, 237
1, 17
1, 252
1, 20
1, 32
1, 30
1, 495
1, 111
1, 295
1, 222
1, 291
1, 307
1, 232
1, 108
1, 290
1, 235
1, 149
1, 503
1, 210
1, 22
1, 252
1, 20
1, 265
1, 20
1, 33
1, 42
1, 373
1, 131
1, 696
1, 508
1, 668
1, 634
1, 248
1, 122
1, 693
1, 243
1, 185
1, 384
1, 15
1, 328
1, 22
1, 342
1, 35
1, 33
1, 35
1, 222
1, 141
1, 52
1, 59
1, 211
1, 217
1, 347
1, 139
1, 198
1, 319
1, 244
1, 218
1, 25
1, 370
1, 30
1, 250
1, 244
1, 309
1, 23
1, 27
1, 29
1, 28
1, 19
1, 33
1, 23
1, 22
1, 29
1, 17
1, 20
1, 27
1, 28
1, 631
1, 16
1, 29
1, 41
1, 288
1, 155
1, 245
1, 165
1, 244
1, 228
1, 620
1, 153
1, 247
1, 684
1, 368
1, 290
1, 18
1, 252
1, 241
1, 283
1, 32
1, 21
1, 17
1, 19
1, 15
1, 25
1, 32
1, 16
1, 17
1, 19
1, 23
1, 34
1, 31
1, 19
1, 38
1, 304
1, 143
1, 254
1, 179
1, 253
1, 246
1, 594
1, 143
1, 252
1, 578
1, 357
1, 310
1, 205
1, 223
1, 30
1, 27
1, 17
1, 27
1, 31
1, 28
1, 39
1, 28
1, 24
1, 22
1, 23
1, 29
1, 301
1, 23
1, 28
1, 15
1, 30
1, 29
1, 33
1, 26
1, 28
1, 29
1, 36
1, 19
1, 22
1, 35
1, 17
1, 25
1, 29
1, 27
1, 37
1, 41
1, 17
1, 25
1, 39
1, 19
1, 40
1, 134
1, 373
1, 263
1, 356
1, 361
1, 304
1, 144
1, 371
1, 287
1, 226
1, 840
1, 121
1, 74
1, 125
1, 113
1, 146
1, 801
1, 119
1, 150
1, 125
1, 145
1, 615
1, 787
1, 679
1, 245
1, 105
1, 889
1, 243
1, 180
1, 383
1, 616
1, 500
1, 140
1, 49
1, 619
1, 151
1, 120
1, 265
1, 658
1, 256
1, 113
1, 787
1, 206
1, 177
1, 369
1, 250
1, 106
1, 677
1, 230
1, 193
1, 367
1, 142
1, 253
1, 587
1, 347
1, 307
1, 102
1, 151
1, 115
1, 120
1, 239
1, 182
1, 384
1, 340
1, 283
1, 236
1, 559
1, 25
1, 27
1, 20
1, 16
1, 20
1, 22
1, 29
1, 22
1, 22
1, 20
1, 21
1, 18
1, 21
1, 22
1, 23
1, 18
1, 18
1, 22
1, 18
1, 18
1, 18
1, 20
1, 19
1, 20
1, 17
1, 18
1, 18
1, 31
1, 17
1, 17
1, 21
1, 17
1, 23
1, 15
1, 17
1, 38
1, 18
1, 19
1, 22
1, 30
1, 18
1, 16
1, 18
1, 17
1, 24
1, 28
1, 17
1, 20
1, 17
1, 22
1, 18
1, 21
1, 21
1, 24
1, 20
1, 23
1, 20
1, 74
1, 34
1, 25
1, 164
1, 18
1, 28
1, 45
1, 41
1, 27
1, 21
1, 20
1, 17
1, 20
1, 19
1, 22
1, 18
1, 20
1, 18
1, 18
1, 16
1, 23
1, 17
1, 16
1, 20
1, 23
1, 24
1, 22
1, 23
1, 17
1, 17
1, 19
1, 26
1, 17
1, 19
1, 19
1, 20
1, 19
1, 16
1, 21
1, 16
1, 16
1, 17
1, 14
1, 18
1, 20
1, 21
1, 20
1, 17
1, 20
1, 15
1, 15
1, 12
1, 20
1, 17
1, 17
1, 22
1, 15
1, 16
1, 17
