Homolog, Bit Score
1, 18
1, 145
1, 149
1, 41
1, 48
1, 797
1, 183
1, 351
1, 171
1, 175
1, 205
1, 167
1, 178
1, 310
1, 163
1, 164
1, 480
1, 179
1, 96
1, 492
1, 488
1, 137
1, 488
1, 152
1, 189
1, 244
1, 149
1, 177
1, 379
1, 146
1, 188
1, 84
1, 532
1, 547
1, 152
1, 530
1, 105
1, 161
1, 170
1, 191
1, 172
1, 111
1, 72
1, 832
1, 116
1, 676
1, 167
1, 823
1, 160
1, 683
1, 179
1, 846
1, 1035
1, 1164
1, 176
1, 1057
1, 1060
1, 853
1, 814
1, 180
1, 814
1, 826
1, 1051
1, 173
1, 1072
1, 1058
1, 164
1, 1063
1, 1067
1, 168
1, 158
1, 1166
1, 2027
1, 64
1, 92
1, 191
1, 189
1, 104
1, 204
1, 85
1, 188
1, 107
1, 304
1, 66
1, 94
1, 56
1, 39
1, 63
1, 35
1, 23
1, 65
1, 61
1, 40
1, 61
1, 89
1, 60
1, 28
1, 779
1, 55
1, 505
1, 89
1, 452
1, 59
1, 59
1, 515
1, 92
1, 464
1, 59
1, 89
1, 573
1, 30
1, 909
1, 94
1, 646
1, 61
1, 44
1, 563
1, 55
1, 456
1, 492
1, 172
1, 500
1, 231
1, 423
1, 223
1, 452
1, 223
1, 221
1, 519
1, 233
1, 134
1, 360
1, 231
1, 665
1, 659
1, 369
1, 919
1, 393
1, 605
1, 303
1, 525
1, 338
1, 379
1, 693
1, 279
1, 384
1, 237
1, 364
1, 17
1, 535
1, 17
1, 17
1, 17
1, 18
1, 23
1, 15
1, 20
1, 17
1, 658
1, 16
1, 23
1, 15
1, 18
1, 16
1, 15
1, 19
1, 16
1, 18
1, 15
1, 15
1, 13
1, 18
1, 15
1, 18
1, 28
1, 14
1, 19
1, 13
1, 18
1, 17
1, 18
1, 15
1, 25
1, 18
1, 20
1, 15
1, 14
1, 20
1, 21
1, 21
1, 18
1, 17
1, 21
1, 20
1, 15
1, 16
1, 17
1, 519
1, 18
1, 22
1, 19
1, 17
1, 16
1, 15
1, 15
1, 20
1, 20
1, 18
1, 16
1, 19
1, 15
1, 17
1, 22
1, 17
1, 16
1, 15
1, 16
1, 18
1, 15
1, 14
1, 16
1, 19
1, 14
1, 16
1, 17
1, 15
1, 21
1, 17
1, 15
1, 32
1, 21
1, 18
1, 24
1, 20
1, 35
1, 17
1, 19
1, 27
1, 19
1, 19
1, 17
1, 21
1, 19
1, 15
1, 24
1, 17
1, 22
1, 15
1, 19
1, 20
1, 15
1, 20
1, 79
1, 17
1, 15
1, 16
1, 15
1, 82
1, 24
1, 21
1, 26
1, 15
1, 17
1, 17
1, 15
1, 18
1, 15
1, 15
1, 18
1, 13
1, 16
1, 459
1, 15
1, 22
1, 18
1, 17
1, 15
1, 15
1, 23
1, 14
1, 17
1, 18
1, 15
1, 15
1, 17
1, 14
1, 17
1, 18
1, 14
1, 15
1, 22
1, 15
1, 23
1, 20
1, 17
1, 16
1, 18
1, 15
1, 20
1, 17
1, 16
1, 79
1, 15
1, 160
1, 14
1, 17
1, 18
1, 90
1, 82
1, 102
1, 12
1, 18
1, 80
1, 16
1, 95
1, 16
1, 19
1, 16
1, 119
1, 701
1, 697
1, 17
1, 17
1, 385
1, 14
1, 15
1, 17
1, 18
1, 18
1, 17
1, 22
1, 15
1, 18
1, 17
1, 19
1, 15
1, 16
1, 122
1, 94
1, 91
1, 14
1, 17
1, 95
1, 15
1, 17
1, 22
1, 17
1, 15
1, 17
1, 17
1, 18
1, 17
1, 17
1, 20
1, 15
1, 20
1, 17
1, 16
1, 19
1, 19
1, 15
1, 21
1, 609
1, 16
1, 120
1, 116
1, 15
1, 16
1, 111
1, 717
1, 18
1, 17
1, 394
1, 20
1, 17
1, 389
1, 18
1, 17
1, 18
1, 44
1, 25
1, 28
1, 29
1, 30
1, 35
1, 28
1, 207
1, 22
1, 28
1, 33
1, 29
1, 24
1, 24
1, 23
1, 115
1, 92
1, 20
1, 52
1, 18
1, 55
1, 21
1, 22
1, 18
1, 28
1, 20
1, 26
1, 39
1, 21
1, 23
1, 36
1, 31
1, 24
1, 23
1, 19
1, 23
1, 22
1, 28
1, 33
1, 18
1, 31
1, 19
1, 20
1, 78
1, 33
1, 44
1, 22
1, 24
1, 20
1, 28
1, 30
1, 23
1, 23
1, 17
1, 32
1, 25
1, 19
1, 39
1, 22
1, 23
1, 23
1, 25
1, 27
1, 14
1, 18
1, 24
1, 16
1, 24
1, 23
1, 33
1, 26
1, 15
1, 17
1, 14
1, 22
1, 37
1, 23
1, 27
1, 22
1, 19
1, 20
1, 18
1, 20
1, 239
1, 19
1, 24
1, 25
1, 23
1, 24
1, 20
1, 27
1, 24
1, 25
1, 21
1, 25
1, 19
1, 33
1, 33
1, 20
1, 23
1, 149
1, 15
1, 22
1, 22
1, 15
1, 30
1, 20
1, 20
1, 25
1, 28
1, 24
1, 59
1, 20
1, 18
1, 22
1, 23
1, 23
1, 16
1, 25
1, 35
1, 24
1, 20
1, 19
1, 28
1, 19
1, 20
1, 37
1, 30
1, 28
1, 34
1, 35
1, 28
1, 18
1, 14
1, 39
1, 18
1, 20
1, 30
1, 26
1, 44
1, 129
1, 20
1, 59
1, 60
1, 36
1, 19
1, 20
1, 726
1, 27
1, 20
1, 61
1, 27
1, 102
1, 23
1, 25
1, 471
1, 714
1, 18
1, 21
1, 31
1, 498
1, 31
1, 68
1, 20
1, 219
1, 32
1, 19
1, 22
1, 27
1, 15
1, 20
1, 15
1, 23
1, 25
1, 30
1, 18
1, 53
1, 52
1, 28
1, 27
1, 45
1, 25
1, 24
1, 34
1, 28
1, 45
1, 357
1, 19
1, 19
1, 126
1, 535
1, 22
1, 69
1, 23
1, 191
1, 28
1, 16
1, 124
1, 532
1, 29
1, 20
1, 26
1, 181
1, 26
1, 17
1, 28
1, 21
1, 21
1, 31
1, 20
1, 25
1, 17
1, 17
1, 25
1, 15
1, 20
1, 22
1, 19
1, 47
1, 19
1, 23
1, 22
1, 70
1, 18
1, 193
1, 27
1, 17
1, 21
1, 33
1, 71
1, 23
1, 379
1, 426
1, 403
1, 26
1, 67
1, 49
1, 36
1, 77
1, 38
1, 42
1, 49
1, 47
1, 75
1, 51
1, 432
1, 43
1, 80
1, 48
1, 26
1, 33
1, 32
1, 30
1, 33
1, 30
1, 24
1, 37
1, 33
1, 30
1, 44
1, 29
1, 44
1, 41
1, 45
1, 35
1, 40
1, 67
1, 50
1, 67
1, 58
1, 41
1, 53
1, 67
1, 63
1, 80
1, 63
1, 81
1, 44
1, 37
1, 46
1, 76
1, 59
1, 77
1, 64
1, 42
1, 68
1, 61
1, 24
1, 65
1, 44
1, 54
1, 42
1, 46
1, 65
1, 54
1, 92
1, 40
1, 55
1, 73
1, 80
1, 37
1, 61
1, 69
1, 49
1, 41
1, 42
1, 25
1, 57
1, 32
1, 66
1, 47
1, 36
1, 54
1, 52
1, 432
1, 29
1, 57
1, 237
1, 56
1, 46
1, 36
1, 22
1, 28
1, 41
1, 62
1, 54
1, 54
1, 49
1, 47
1, 54
1, 92
1, 53
1, 75
1, 22
1, 62
1, 84
1, 41
1, 57
1, 62
1, 18
1, 25
1, 218
1, 30
1, 17
1, 15
1, 16
1, 18
1, 276
1, 17
1, 18
1, 20
1, 15
1, 15
1, 50
1, 20
1, 514
1, 17
1, 203
1, 180
1, 22
1, 17
1, 520
1, 18
1, 27
1, 18
1, 17
1, 14
1, 136
1, 15
1, 21
1, 27
1, 23
1, 24
1, 19
1, 16
1, 109
1, 20
1, 68
1, 22
1, 24
1, 22
1, 25
1, 24
1, 23
1, 27
1, 22
1, 20
1, 21
1, 18
1, 23
1, 25
1, 19
1, 20
1, 41
1, 21
1, 17
1, 18
1, 263
1, 17
1, 27
1, 21
1, 20
