Homolog, Bit Score
1, 59
1, 161
1, 57
1, 147
1, 60
1, 159
1, 57
1, 134
1, 18
1, 166
1, 55
1, 119
1, 55
1, 79
1, 17
1, 91
1, 28
1, 80
1, 20
1, 78
1, 26
1, 80
1, 23
1, 80
1, 20
1, 80
1, 17
1, 17
1, 47
1, 16
1, 44
1, 38
1, 48
1, 30
1, 19
1, 38
1, 33
1, 40
1, 20
1, 48
1, 21
1, 21
1, 39
1, 28
1, 32
1, 21
1, 33
1, 24
1, 27
1, 44
1, 16
1, 18
1, 20
1, 25
1, 20
1, 44
1, 113
1, 114
1, 97
1, 26
1, 21
1, 85
1, 21
1, 17
1, 53
1, 32
1, 22
1, 57
1, 34
1, 47
1, 18
1, 19
1, 62
1, 67
1, 91
1, 28
1, 46
1, 157
1, 79
1, 26
1, 30
1, 52
1, 37
1, 23
1, 44
1, 22
1, 83
1, 29
1, 19
1, 23
1, 30
1, 21
1, 63
1, 23
1, 27
1, 66
1, 24
1, 19
1, 34
1, 22
1, 28
1, 21
1, 67
1, 75
1, 19
1, 29
1, 44
1, 39
1, 29
1, 148
1, 182
1, 22
1, 26
1, 24
1, 179
1, 29
1, 179
1, 179
1, 60
1, 20
1, 23
1, 41
1, 176
1, 26
1, 65
1, 22
1, 20
1, 50
1, 176
1, 24
1, 44
1, 20
1, 187
1, 49
1, 173
1, 23
1, 65
1, 20
1, 42
1, 57
1, 164
1, 155
1, 60
1, 24
1, 25
1, 49
1, 131
1, 166
1, 20
1, 23
1, 202
1, 45
1, 16
1, 95
1, 146
1, 21
1, 436
1, 22
1, 330
1, 28
1, 28
1, 522
1, 20
1, 262
1, 26
1, 504
1, 20
1, 406
1, 23
1, 39
1, 32
1, 23
1, 178
1, 21
1, 405
1, 17
1, 27
1, 164
1, 25
1, 213
1, 30
1, 276
1, 21
1, 405
1, 54
1, 65
1, 28
1, 40
1, 456
1, 33
1, 83
1, 55
1, 31
1, 530
1, 24
1, 214
1, 44
1, 523
1, 28
1, 503
1, 50
1, 32
1, 52
1, 50
1, 454
1, 31
1, 383
1, 58
1, 32
1, 491
1, 23
1, 253
1, 32
1, 498
1, 26
1, 430
1, 44
1, 59
1, 63
1, 19
1, 451
1, 36
1, 213
1, 49
1, 35
1, 414
1, 21
1, 123
1, 26
1, 517
1, 28
1, 482
1, 35
1, 28
1, 65
1, 40
1, 454
1, 28
1, 175
1, 54
1, 28
1, 535
1, 25
1, 144
1, 26
1, 528
1, 32
1, 498
1, 35
1, 44
1, 65
1, 47
1, 443
1, 25
1, 221
1, 43
1, 23
1, 564
1, 23
1, 189
1, 31
1, 531
1, 24
1, 491
1, 37
1, 35
1, 74
1, 34
1, 126
1, 33
1, 139
1, 22
1, 143
1, 31
1, 119
1, 20
1, 127
1, 27
1, 18
1, 24
1, 144
1, 33
1, 122
1, 18
1, 129
1, 22
1, 24
1, 25
1, 20
1, 70
1, 52
1, 25
1, 50
1, 20
1, 76
1, 23
1, 77
1, 30
1, 25
1, 54
1, 22
1, 89
1, 34
1, 83
1, 22
1, 27
1, 40
1, 22
1, 69
1, 50
1, 100
1, 18
1, 30
1, 59
1, 18
1, 77
1, 22
1, 68
1, 20
1, 22
1, 55
1, 28
1, 78
1, 24
1, 91
1, 21
1, 25
1, 67
1, 23
1, 21
1, 19
1, 161
1, 21
1, 247
1, 22
1, 242
1, 23
1, 248
1, 29
1, 178
1, 134
1, 39
1, 52
1, 53
1, 41
1, 75
1, 22
1, 44
1, 81
1, 38
1, 103
1, 55
1, 50
1, 88
1, 41
1, 79
1, 23
1, 53
1, 54
1, 43
1, 107
1, 63
1, 22
1, 25
1, 40
1, 61
1, 72
1, 25
1, 92
1, 28
1, 87
1, 57
1, 33
1, 79
1, 54
1, 76
1, 18
1, 47
1, 51
1, 43
1, 117
1, 193
1, 46
1, 52
1, 96
1, 36
1, 42
1, 559
1, 59
1, 39
1, 72
1, 62
1, 17
1, 64
1, 77
1, 81
1, 74
1, 59
1, 69
1, 54
1, 31
1, 45
1, 72
1, 78
1, 137
1, 132
1, 100
1, 126
1, 84
1, 19
1, 25
1, 18
1, 79
1, 43
1, 128
1, 32
1, 139
1, 46
1, 87
1, 41
1, 75
1, 37
1, 225
1, 32
1, 42
1, 36
1, 224
1, 27
1, 47
1, 23
1, 287
1, 516
1, 288
1, 510
1, 328
1, 524
1, 315
1, 538
1, 287
1, 518
1, 193
1, 530
1, 282
1, 457
1, 256
1, 488
1, 248
1, 395
1, 71
1, 49
1, 22
1, 26
1, 22
1, 20
1, 55
1, 16
1, 132
1, 278
1, 270
1, 299
1, 268
1, 304
1, 268
1, 144
1, 239
1, 17
1, 21
1, 262
1, 20
1, 18
1, 88
1, 286
1, 121
1, 24
1, 272
1, 16
1, 32
1, 100
1, 292
1, 18
1, 21
1, 278
1, 23
1, 20
1, 106
1, 306
1, 26
1, 31
1, 280
1, 19
1, 19
1, 95
1, 289
1, 26
1, 36
1, 285
1, 19
1, 19
1, 102
1, 308
1, 117
1, 41
1, 16
1, 86
1, 27
1, 48
1, 61
1, 71
1, 21
1, 18
1, 18
1, 48
1, 62
1, 68
1, 17
1, 18
1, 19
1, 436
1, 23
1, 62
1, 14
1, 66
1, 19
1, 67
1, 31
1, 384
1, 24
1, 56
1, 20
1, 28
1, 366
1, 30
1, 38
1, 32
1, 31
1, 376
1, 33
1, 45
1, 18
1, 28
1, 367
1, 30
1, 40
1, 33
1, 47
1, 53
1, 130
1, 96
1, 181
