Homolog, Score
1, 0.215176
1, 0.234470
1, 0.190999
1, 0.405764
1, 0.148058
1, 0.488529
1, 0.275176
1, 0.243294
1, 0.257176
1, 0.230529
1, 0.241764
1, 0.201705
1, 0.297941
1, 0.330823
1, 0.252588
1, 0.208764
1, 0.238117
1, 0.256647
1, 0.198411
1, 0.233882
1, 0.316647
1, 0.164117
1, 0.353235
1, 0.240176
1, 0.371882
1, 0.155588
1, 0.289294
1, 0.179294
1, 0.301705
1, 0.182529
1, 0.399823
1, 0.216588
1, 0.179058
1, 0.240529
1, 0.277117
1, 0.395941
1, 0.445764
1, 0.447294
1, 0.421823
1, 0.324235
1, 0.257823
1, 0.294529
1, 0.304352
1, 0.235117
1, 0.710235
1, 0.269235
1, 0.241764
1, 0.291000
1, 0.255764
1, 0.294647
1, 0.785235
1, 0.856176
1, 0.821352
1, 0.784117
1, 0.766117
1, 0.759882
1, 0.832294
1, 0.842647
1, 0.779117
1, 0.766588
1, 0.830470
1, 0.806647
1, 0.804058
1, 0.800764
1, 0.840352
1, 0.727882
1, 0.675764
1, 0.801411
1, 0.762294
1, 0.737235
1, 0.736058
1, 0.806941
1, 0.812588
1, 0.789647
1, 0.889
1, 0.817235
1, 0.814764
1, 0.852470
1, 0.769411
1, 0.691294
1, 0.849882
1, 0.849647
1, 0.831117
1, 0.750882
1, 0.662529
1, 0.919529
1, 0.819
1, 0.717470
1, 0.646529
1, 0.817235
1, 0.716294
1, 0.649352
1, 0.772
1, 0.71
1, 0.787764
1, 0.675882
1, 0.758294
1, 0.792176
1, 0.526235
1, 0.418823
1, 0.521941
1, 0.362058
1, 0.361352
1, 0.342647
1, 0.527058
1, 0.516941
1, 0.276588
1, 0.299176
1, 0.409705
1, 0.334176
1, 0.314352
1, 0.455352
1, 0.370470
1, 0.456705
1, 0.493705
1, 0.432235
1, 0.430411
1, 0.351705
1, 0.328176
1, 0.253705
1, 0.465647
1, 0.440705
1, 0.236705
1, 0.267411
1, 0.402176
1, 0.237117
1, 0.248705
1, 0.440058
1, 0.342352
1, 0.435647
1, 0.596058
1, 0.349705
1, 0.234529
1, 0.276647
1, 0.343941
1, 0.425764
1, 0.438588
1, 0.243058
1, 0.262823
1, 0.329941
1, 0.313352
1, 0.382117
1, 0.410294
