Homolog, Bit Score
1, 315.6
1, 65.8
1, 47.6
1, 52.2
1, 47.7
1, 18.4
1, 36.2
1, 36.8
1, 31.0
1, 539.4
1, 30.4
1, 29.9
1, 34.3
1, 43.1
1, 39.7
1, 20.9
1, 31.6
1, 45.7
1, 27.4
1, 32.2
1, 99.6
1, 82.8
1, 26.7
1, 47.4
1, 481.3
1, 36.4
1, 96.7
1, 1087.9
1, 141.0
1, 92.5
1, 59.2
1, 146.2
1, 947.2
1, 1035.8
1, 32.4
1, 32.5
1, 100.5
1, 27.8
1, 191.8
1, 99.0
1, 185.3
1, 660.1
1, 49.3
1, 186.4
1, 98.4
1, 36.3
1, 20.4
1, 84.5
1, 17.8
1, 227.1
1, 93.0
1, 198.5
1, 787.8
1, 46.1
1, 197.4
1, 92.3
1, 42.9
1, 40.9
1, 41.4
1, 48.3
1, 38.1
1, 35.0
1, 36.9
1, 46.2
1, 39.1
1, 28.2
1, 56.0
1, 38.9
1, 49.7
1, 60.5
1, 55.9
1, 27.5
1, 220.4
1, 53.0
1, 53.4
1, 42.6
1, 85.7
1, 457.7
1, 117.5
1, 83.4
1, 56.8
1, 139.5
1, 400.4
1, 52.0
1, 52.6
1, 45.9
1, 18.5
1, 62.3
1, 54.4
1, 37.4
1, 123.4
1, 259.6
1, 243.7
1, 63.7
1, 257.8
1, 103.1
1, 133.0
1, 107.0
1, 52.5
1, 147.0
1, 1056.0
1, 214.6
1, 45.1
1, 1533.0
1, 106.6
1, 66.3
1, 222.5
1, 107.0
1, 50.3
1, 49.3
1, 112.2
1, 211.7
1, 148.0
1, 148.8
1, 214.3
1, 144.8
1, 154.8
1, 198.0
1, 1435.7
1, 196.9
1, 173.2
1, 166.2
1, 323.0
1, 324.0
1, 1802.0
1, 303.3
1, 339.3
1, 1316.0
1, 206.0
1, 1835.8
1, 1830.0
1, 295.9
1, 3021.0
1, 319.3
1, 1998.8
1, 1910.8
1, 268.8
1, 160.9
1, 339.1
1, 310.8
1, 1822.6
1, 318.7
1, 1986.7
1, 1929.5
1, 264.3
1, 145.4
1, 312.6
1, 296.6
1, 1822.6
1, 305.6
1, 335.1
1, 1373.8
1, 204.7
1, 1881.0
1, 1821.5
1, 330.5
1, 1874.7
1, 263.1
1, 134.9
1, 284.1
1, 273.6
1, 1853.4
1, 279.3
1, 132.5
1, 307.5
1, 304.8
1, 1987.3
1, 181.2
1, 1288.6
1, 1299.2
1, 258.2
1, 217.3
1, 197.6
1, 177.6
1, 2097.1
1, 284.1
1, 287.5
1, 369.5
1, 181.7
1, 151.5
1, 126.1
1, 109.2
1, 120.1
1, 136.3
1, 144.5
1, 125.1
1, 299.6
1, 540.4
1, 537.0
1, 507.7
1, 526.4
1, 299.2
1, 305.5
1, 304.6
1, 301.9
1, 1378.9
1, 1294.8
1, 1363.2
1, 1344.8
1, 1841.5
1, 1316.0
1, 590.0
1, 670.4
1, 301.0
1, 702.7
1, 737.5
1, 543.7
1, 303.1
1, 608.9
1, 616.3
1, 353.9
1, 836.9
1, 853.3
1, 306.5
1, 314.0
1, 1054.9
1, 406.3
1, 387.3
1, 436.1
1, 389.6
1, 387.3
1, 389.9
1, 826.8
1, 1404.0
1, 1260.8
1, 826.0
1, 1303.7
1, 852.7
1, 867.7
1, 1762.1
1, 855.9
1, 1462.9
1, 851.7
1, 1620.2
1, 858.1
1, 1574.3
1, 848.0
1, 78.8
1, 68.2
1, 63.6
1, 191.1
1, 175.5
1, 34.2
1, 15.8
1, 169.2
1, 72.6
1, 141.2
1, 99.8
1, 97.7
1, 71.2
1, 97.2
1, 15.5
1, 17.1
1, 95.2
1, 48.1
1, 68.9
1, 324.8
1, 65.6
1, 89.2
1, 22.1
1, 23.4
1, 74.5
1, 48.8
1, 77.5
1, 66.9
1, 64.2
1, 21.1
1, 24.4
1, 46.1
1, 37.0
1, 56.6
1, 518.5
1, 16.7
1, 21.1
1, 488.0
1, 109.8
1, 160.1
1, 22.8
1, 19.8
1, 824.1
1, 108.3
1, 153.1
1, 200.7
1, 15.0
1, 16.0
1, 34.3
1, 22.8
1, 18.9
1, 25.2
1, 96.2
1, 138.1
1, 131.5
1, 1485.7
1, 1878.7
1, 1391.5
1, 853.2
1, 1008.5
1, 1041.7
1, 1017.8
1, 1112.7
1, 1095.2
1, 1076.3
1, 891.7
1, 871.6
1, 901.5
1, 849.0
1, 834.5
1, 822.0
1, 1807.4
1, 1150.6
1, 1114.4
1, 990.5
1, 986.7
1, 1138.8
1, 1103.8
1, 1024.2
1, 1020.9
1, 1108.6
1, 1011.6
1, 1025.9
1, 1362.5
1, 1302.3
1, 1890.8
1, 625.6
1, 591.6
1, 1951.2
1, 774.7
1, 608.7
1, 598.1
1, 669.4
1, 420.9
1, 332.6
1, 508.0
1, 361.9
1, 238.0
1, 424.7
1, 324.7
1, 322.3
1, 681.6
1, 410.2
1, 224.8
1, 230.3
1, 387.6
1, 307.9
1, 438.0
1, 327.7
1, 215.7
1, 356.5
1, 306.1
1, 281.5
1, 1016.2
1, 337.4
1, 201.9
1, 207.9
1, 306.1
1, 466.8
1, 322.1
1, 195.3
1, 336.1
1, 293.8
1, 292.8
1, 439.1
1, 305.5
1, 142.1
1, 134.9
1, 329.4
1, 1029.8
1, 217.6
1, 282.9
1, 326.9
1, 944.2
1, 369.3
1, 240.5
1, 153.4
1, 153.8
1, 335.0
1, 200.6
1, 326.9
1, 286.2
1, 296.8
1, 472.7
1, 310.5
1, 168.3
1, 167.7
1, 208.2
1, 315.6
1, 345.9
1, 1118.9
1, 363.3
1, 269.4
1, 146.0
1, 147.9
1, 381.9
1, 192.7
1, 181.6
1, 248.1
1, 323.9
1, 92.9
1, 89.3
1, 268.7
1, 257.0
1, 414.3
1, 617.3
1, 179.9
1, 181.9
1, 339.4
1, 341.8
1, 267.8
1, 147.1
1, 142.3
1, 337.6
1, 228.2
1, 123.7
1, 127.5
1, 374.0
1, 205.9
1, 217.3
1, 150.4
1, 148.0
1, 2070.9
1, 579.3
1, 862.0
1, 727.2
1, 1042.2
1, 814.6
1, 1622.8
1, 1031.5
1, 892.8
1, 859.5
1, 574.2
1, 943.4
1, 1061.1
1, 890.1
1, 562.3
1, 565.3
1, 585.6
1, 659.5
1, 895.9
1, 743.9
1, 826.7
1, 945.8
1, 858.5
1, 829.9
1, 508.3
1, 912.7
1, 917.3
1, 802.5
1, 495.8
1, 480.5
1, 517.2
1, 754.0
1, 659.0
1, 637.5
1, 695.7
1, 725.5
1, 696.8
1, 248.4
1, 712.4
1, 792.4
1, 637.3
1, 333.6
1, 242.7
1, 369.7
1, 853.0
1, 950.9
1, 1072.5
1, 890.3
1, 913.2
1, 537.5
1, 992.4
1, 1349.5
1, 861.4
1, 515.7
1, 541.0
1, 566.6
1, 851.3
1, 887.1
1, 831.7
1, 821.2
1, 583.2
1, 911.8
1, 944.1
1, 780.0
1, 557.9
1, 531.4
1, 573.9
1, 993.7
1, 875.6
1, 861.4
1, 595.6
1, 942.3
1, 1004.0
1, 904.5
1, 571.9
1, 539.6
1, 584.2
1, 907.0
1, 901.8
1, 532.0
1, 1008.7
1, 1139.8
1, 911.2
1, 541.6
1, 514.7
1, 525.7
1, 2348.8
1, 513.2
1, 954.6
1, 986.1
1, 805.6
1, 507.6
1, 485.1
1, 523.4
1, 542.7
1, 916.5
1, 962.9
1, 762.0
1, 541.9
1, 513.3
1, 532.2
1, 584.8
1, 577.7
1, 526.1
1, 1365.5
1, 1020.0
1, 1132.1
1, 999.3
1, 863.3
1, 557.3
1, 549.5
1, 566.4
1, 896.1
1, 572.9
1, 577.9
1, 621.3
1, 538.0
1, 485.7
1, 526.8
1, 927.3
1, 950.7
1, 1146.0
1, 843.2
1, 109.1
1, 202.2
1, 59.2
1, 118.2
1, 168.9
1, 111.2
1, 206.2
1, 63.6
1, 105.8
1, 191.9
1, 245.6
1, 59.6
1, 113.9
1, 139.3
1, 81.0
1, 144.1
1, 201.9
1, 85.0
1, 167.6
1, 130.8
1, 924.6
1, 944.7
1, 927.1
1, 775.6
1, 722.2
1, 941.9
1, 243.9
1, 637.9
1, 1021.7
1, 1085.2
1, 828.0
1, 747.1
1, 1069.7
1, 244.7
1, 618.6
1, 1051.8
1, 847.2
1, 748.0
1, 1266.8
1, 247.6
1, 610.5
1, 881.7
1, 768.4
1, 1355.0
1, 249.6
1, 598.7
1, 1040.6
1, 883.3
1, 237.7
1, 537.6
1, 753.2
1, 228.0
1, 519.2
1, 246.9
1, 604.8
1, 361.0
1, 517.1
1, 622.3
1, 152.3
1, 203.5
1, 410.5
1, 976.0
1, 635.0
1, 78.7
1, 462.6
1, 116.4
1, 466.4
1, 181.3
1, 206.7
1, 185.4
1, 92.9
1, 441.7
1, 173.0
1, 102.1
1, 199.6
1, 431.2
1, 181.2
1, 217.5
1, 361.4
1, 457.3
1, 411.8
1, 96.1
1, 404.9
1, 137.8
1, 403.7
1, 195.8
1, 228.4
1, 207.6
1, 121.4
1, 382.0
1, 193.4
1, 125.6
1, 206.2
1, 162.1
1, 205.3
1, 397.0
1, 636.8
1, 652.1
1, 69.3
1, 498.7
1, 110.0
1, 539.6
1, 190.4
1, 210.7
1, 193.0
1, 100.9
1, 509.6
1, 179.1
1, 103.2
1, 188.9
1, 185.4
1, 153.7
1, 171.1
1, 158.8
1, 93.4
1, 169.7
1, 118.1
1, 174.0
1, 205.8
1, 249.6
1, 186.4
1, 116.5
1, 158.2
1, 198.5
1, 121.1
1, 185.5
1, 165.1
1, 200.9
1, 182.5
1, 113.4
1, 185.2
1, 147.3
1, 187.2
1, 179.7
1, 211.9
1, 415.8
1, 131.4
1, 182.3
1, 171.6
1, 135.5
1, 356.3
1, 446.6
1, 381.0
1, 77.5
1, 385.3
1, 115.4
1, 387.6
1, 165.3
1, 198.7
1, 174.1
1, 97.2
1, 386.2
1, 160.6
1, 94.1
1, 164.9
1, 652.0
1, 73.7
1, 478.0
1, 120.3
1, 475.4
1, 184.0
1, 207.8
1, 192.5
1, 93.4
1, 450.3
1, 164.4
1, 99.0
1, 209.7
1, 103.0
1, 414.3
1, 139.9
1, 429.0
1, 188.7
1, 224.5
1, 207.4
1, 123.0
1, 391.3
1, 183.6
1, 126.9
1, 201.5
1, 126.0
1, 132.1
1, 138.0
1, 136.5
1, 143.3
1, 134.7
1, 282.4
1, 119.8
1, 112.4
1, 273.1
1, 144.6
1, 118.7
1, 644.6
1, 190.6
1, 219.4
1, 190.6
1, 120.3
1, 725.6
1, 177.6
1, 115.0
1, 192.4
1, 115.8
1, 125.8
1, 125.7
1, 146.3
1, 119.4
1, 123.1
1, 115.2
1, 129.1
1, 144.7
1, 198.6
1, 238.0
1, 199.1
1, 133.1
1, 552.8
1, 189.6
1, 131.2
1, 207.7
1, 369.6
1, 197.6
1, 115.6
1, 201.9
1, 658.7
1, 126.9
1, 186.2
1, 184.3
1, 95.9
1, 188.1
1, 338.0
1, 101.8
1, 193.4
1, 130.7
1, 174.7
1, 164.9
1, 134.7
1, 328.2
1, 136.1
1, 133.7
1, 306.8
1, 166.4
1, 190.6
1, 106.4
1, 198.4
1, 123.8
1, 190.4
1, 152.2
1, 419.8
1, 494.1
1, 40.6
1, 520.1
1, 265.7
1, 35.2
1, 41.7
1, 34.6
1, 394.0
1, 1286.6
1, 41.6
1, 44.5
