Homolog, Score
1, 0.515529
1, 0.338235
1, 0.526353
1, 0.336765
1, 0.533176
1, 0.287941
1, 0.501882
1, 0.244059
1, 0.540647
1, 0.384471
1, 0.615412
1, 0.259765
1, 0.615529
1, 0.329118
1, 0.374176
1, 0.198471
1, 0.390471
1, 0.234824
1, 0.408412
1, 0.236118
1, 0.400412
1, 0.214588
1, 0.397647
1, 0.224765
1, 0.408353
1, 0.246529
1, 0.397941
1, 0.230059
1, 0.224882
1, 0.470882
1, 0.616588
1, 0.194059
1, 0.504941
1, 0.471235
1, 0.447647
1, 0.461529
1, 0.370647
1, 0.440294
1, 0.512059
1, 0.320588
1, 0.438353
1, 0.526882
1, 0.532176
1, 0.452588
1, 0.522941
1, 0.481294
1, 0.329588
1, 0.454647
1, 0.289471
1, 0.305176
1, 0.503412
1, 0.277706
1, 0.300647
1, 0.371588
1, 0.521176
1, 0.321765
1, 0.194059
1, 0.644000
1, 0.312529
1, 0.393882
1, 0.504941
1, 0.290824
1, 0.359529
1, 0.394471
1, 0.379118
1, 0.398059
1, 0.421235
1, 0.384941
1, 0.423353
1, 0.426176
1, 0.373176
1, 0.628882
1, 0.401941
1, 0.547118
1, 0.372471
1, 0.316000
1, 0.406176
1, 0.296941
1, 0.712941
1, 0.536059
1, 0.369235
1, 0.269882
1, 0.327059
1, 0.391294
1, 0.249235
1, 0.548824
1, 0.369882
1, 0.382588
1, 0.476353
1, 0.419588
1, 0.425235
1, 0.356824
1, 0.307059
1, 0.474647
1, 0.287588
1, 0.438118
1, 0.623941
1, 0.408118
1, 0.512294
1, 0.396529
1, 0.275588
1, 0.514176
1, 0.413294
1, 0.647647
1, 0.496529
1, 0.409235
1, 0.460353
1, 0.403765
1, 0.462824
1, 0.523529
1, 0.495471
1, 0.632647
1, 0.338765
1, 0.195882
1, 0.382353
1, 0.718824
1, 0.295176
1, 0.639000
1, 0.352647
1, 0.342765
1, 0.432000
1, 0.749765
1, 0.299176
1, 0.474000
1, 0.346765
1, 0.341235
1, 0.426647
1, 0.755588
1, 0.295824
1, 0.535882
1, 0.413588
1, 0.255294
1, 0.371000
1, 0.751353
1, 0.310294
1, 0.645118
1, 0.367882
1, 0.310059
1, 0.446235
1, 0.744000
1, 0.292941
1, 0.784529
1, 0.383412
1, 0.251765
1, 0.266706
1, 0.734000
1, 0.222588
1, 0.513294
1, 0.408765
1, 0.325706
1, 0.482471
1, 0.757353
1, 0.273412
1, 0.279706
1, 0.446941
1, 0.455000
1, 0.241118
1, 0.596000
1, 0.178765
1, 0.641059
1, 0.531941
1, 0.213588
1, 0.620941
1, 0.195059
1, 0.695235
1, 0.187529
1, 0.599706
1, 0.158471
1, 0.644529
1, 0.208000
1, 0.406647
1, 0.206882
1, 0.206353
1, 0.377059
1, 0.226000
1, 0.567059
1, 0.532059
1, 0.239353
1, 0.742765
1, 0.178412
1, 0.477176
1, 0.215353
1, 0.626176
1, 0.190706
1, 0.726882
1, 0.214235
1, 0.318000
1, 0.206176
1, 0.237941
1, 0.553294
1, 0.199471
1, 0.564765
1, 0.547294
1, 0.249941
1, 0.653941
1, 0.176059
1, 0.668882
1, 0.198235
1, 0.575882
1, 0.166647
1, 0.570118
1, 0.213235
1, 0.294353
1, 0.231176
1, 0.277529
1, 0.581765
1, 0.188471
1, 0.535882
1, 0.555882
1, 0.260235
1, 0.663647
1, 0.174882
1, 0.671000
1, 0.183882
1, 0.588412
1, 0.164176
1, 0.604824
1, 0.209412
1, 0.330588
1, 0.206294
1, 0.241588
1, 0.528059
1, 0.194941
1, 0.576059
1, 0.553941
1, 0.249941
1, 0.674059
1, 0.177647
1, 0.557941
1, 0.196765
1, 0.596824
1, 0.165471
1, 0.602353
1, 0.219000
1, 0.317235
1, 0.200941
1, 0.224647
1, 0.553471
1, 0.214059
1, 0.566471
1, 0.540588
1, 0.248235
1, 0.657647
1, 0.168824
1, 0.664882
1, 0.200294
1, 0.580647
1, 0.164412
1, 0.574118
1, 0.220059
1, 0.294471
1, 0.200941
1, 0.236647
1, 0.512765
1, 0.214647
1, 0.560706
1, 0.569294
1, 0.244706
1, 0.651647
1, 0.172588
1, 0.573412
1, 0.179941
1, 0.558059
1, 0.164294
1, 0.605824
1, 0.212294
1, 0.335294
1, 0.200706
1, 0.290824
1, 0.633294
1, 0.349471
1, 0.635235
1, 0.349059
1, 0.665294
1, 0.385588
1, 0.595176
1, 0.385176
1, 0.689471
1, 0.384353
1, 0.603529
1, 0.367529
1, 0.684765
1, 0.391176
1, 0.614176
1, 0.377941
1, 0.687353
1, 0.380941
1, 0.603353
1, 0.368706
