Homolog, Bit Score
1, 193.3
1, 387.0
1, 402.5
1, 239.6
1, 216.1
1, 690.4
1, 204.0
1, 519.6
1, 196.8
1, 218.8
1, 437.0
1, 226.9
1, 237.7
1, 463.6
1, 211.2
1, 209.5
1, 809.8
1, 227.1
1, 198.5
1, 791.2
1, 787.8
1, 197.4
1, 780.1
1, 193.5
1, 253.0
1, 563.8
1, 222.8
1, 230.1
1, 588.4
1, 207.7
1, 224.7
1, 176.6
1, 870.7
1, 904.3
1, 184.4
1, 861.0
1, 259.6
1, 248.4
1, 243.7
1, 257.8
1, 240.2
1, 210.1
1, 214.6
1, 1533.0
1, 212.7
1, 1157.7
1, 221.6
1, 1552.9
1, 222.5
1, 1194.1
1, 220.1
1, 1378.9
1, 1802.0
1, 2035.2
1, 206.0
1, 1835.8
1, 1830.0
1, 1432.4
1, 1322.9
1, 203.9
1, 1347.0
1, 1354.6
1, 1831.9
1, 204.7
1, 1881.0
1, 1821.5
1, 199.6
1, 1861.3
1, 1851.6
1, 217.3
1, 197.6
1, 2097.1
1, 3529.8
1, 109.2
1, 126.7
1, 240.8
1, 241.9
1, 153.9
1, 269.9
1, 130.5
1, 249.0
1, 155.8
1, 359.0
1, 150.3
1, 145.0
1, 139.2
1, 137.1
1, 147.0
1, 128.1
1, 138.3
1, 164.6
1, 162.0
1, 144.5
1, 153.2
1, 154.4
1, 155.7
1, 146.0
1, 1145.1
1, 143.2
1, 619.4
1, 141.6
1, 545.6
1, 144.9
1, 146.0
1, 636.9
1, 144.4
1, 558.8
1, 149.0
1, 128.6
1, 796.3
1, 120.8
1, 1391.9
1, 154.8
1, 882.6
1, 157.1
1, 129.5
1, 787.3
1, 151.8
1, 590.0
1, 670.4
1, 301.0
1, 702.7
1, 273.9
1, 543.7
1, 303.1
1, 608.9
1, 281.7
1, 353.9
1, 836.9
1, 369.5
1, 306.5
1, 447.7
1, 256.1
1, 567.7
1, 614.3
1, 436.5
1, 748.0
1, 474.2
1, 616.3
1, 420.6
1, 692.1
1, 444.4
1, 407.6
1, 620.6
1, 395.0
1, 535.1
1, 336.9
1, 489.0
1, 16.7
1, 853.2
1, 16.9
1, 15.0
1, 13.6
1, 13.0
1, 27.3
1, 14.8
1, 16.4
1, 17.8
1, 1112.7
1, 19.7
1, 22.4
1, 15.4
1, 19.8
1, 14.2
1, 19.4
1, 18.9
1, 13.2
1, 22.0
1, 17.9
1, 17.9
1, 18.2
1, 19.2
1, 22.3
1, 17.4
1, 33.5
1, 14.6
1, 20.2
1, 18.6
1, 14.9
1, 24.5
