Homolog, Score
1, 0.526529
1, 0.789588
1, 0.784823
1, 0.539647
1, 0.517882
1, 0.508882
1, 0.562882
1, 0.522294
1, 0.538235
1, 0.846705
1, 0.538647
1, 0.459470
1, 0.743764
1, 0.809235
1, 0.818529
1, 0.663235
1, 0.829470
1, 0.594294
1, 0.538
1, 0.495588
1, 0.728352
1, 0.811176
1, 0.816764
1, 0.710235
1, 0.806529
1, 0.555529
1, 0.735882
1, 0.571117
1, 0.515823
1, 0.514588
1, 0.530294
1, 0.534235
1, 0.588058
1, 0.486117
1, 0.476823
1, 0.445823
1, 0.599647
1, 0.455470
1, 0.487823
1, 0.745294
1, 0.744411
1, 0.753529
1, 0.724764
1, 0.659294
1, 0.895941
1, 0.728705
1, 0.905764
1, 0.612823
1, 0.732647
1, 0.893176
1, 0.617058
1, 0.715470
1, 0.526117
1, 0.593941
1, 0.635352
1, 0.731117
1, 0.719705
1, 0.863
1, 0.713117
1, 0.724235
1, 0.719823
1, 0.872588
1, 0.870705
1, 0.859176
1, 0.879176
1, 0.714705
1, 0.691000
1, 0.698058
1, 0.645529
1, 0.730823
1, 0.733058
1, 0.689176
1, 0.604235
1, 0.586764
1, 0.614823
1, 0.609352
1, 0.690235
1, 0.934764
1, 0.763352
1, 0.812294
1, 0.847529
1, 0.802999
1, 0.730941
1, 0.709764
1, 0.748882
1, 0.762470
1, 0.854764
1, 0.699117
1, 0.906823
1, 0.895941
1, 0.889352
1, 0.726470
1, 0.704176
1, 0.741705
1, 0.748352
1, 0.880117
1, 0.714058
1, 0.707647
1, 0.728823
1, 0.897235
1, 0.893058
1, 0.904411
1, 0.905470
1, 0.707470
1, 0.888647
1, 0.899588
1, 0.707411
1, 0.63
1, 0.733352
1, 0.731294
1, 0.888764
1, 0.919352
1, 0.752411
1, 0.669294
1, 0.763764
1, 0.741823
1, 0.895235
1, 0.748705
1, 0.672764
1, 0.764058
1, 0.738117
1, 0.888647
1, 0.866764
1, 0.911529
1, 0.892705
1, 0.758529
1, 0.878647
1, 0.886647
1, 0.646470
1, 0.912352
1, 0.764352
1, 0.754176
1, 0.865941
1, 0.895117
1, 0.787647
1, 0.899176
1, 0.899705
1, 0.786176
1, 0.900352
1, 0.784764
1, 0.889470
1, 0.890823
1, 0.800823
1, 0.890294
1, 0.791058
1, 0.782764
1, 0.785823
1, 0.780823
1, 0.947470
1, 0.784411
1, 0.943411
1, 0.783529
1, 0.985
1, 0.779705
1, 0.524470
1, 0.560529
1, 0.752411
1, 0.797705
1, 0.534058
1, 0.550235
1, 0.858941
1, 0.854588
1, 0.842470
1, 0.856176
1, 0.602235
1, 0.849588
1, 0.534999
1, 0.821882
1, 0.542058
1, 0.488235
1, 0.838764
1, 0.756823
1, 0.522235
1, 0.521058
1, 0.526941
1, 0.515647
1, 0.754
1, 0.524058
1, 0.764117
1, 0.551764
1, 0.538294
1, 0.818176
1, 0.750411
1, 0.564000
1, 0.556823
1, 0.575764
1, 0.539705
1, 0.832647
1, 0.557588
1, 0.706882
1, 0.776941
1, 0.553117
1, 0.614058
1, 0.791647
1, 0.789647
1, 0.743294
1, 0.801764
1, 0.571470
1, 0.776411
1, 0.577941
1, 0.526411
1, 0.517
1, 0.813117
1, 0.798647
1, 0.781941
1, 0.810235
1, 0.574470
1, 0.787647
1, 0.54
1, 0.747411
1, 0.541588
1, 0.531705
1, 0.554294
1, 0.521176
1, 0.772352
1, 0.540941
1, 0.816705
1, 0.559176
1, 0.551470
1, 0.550058
1, 0.558176
1, 0.749764
1, 0.566705
1, 0.685705
1, 0.941294
1, 0.846588
1, 0.894764
1, 0.580882
1, 0.924882
1, 0.533588
1, 0.833058
1, 0.882294
1, 0.575294
1, 0.953823
1, 0.521235
1, 0.849352
1, 0.590705
1, 0.818294
1, 0.529235
1, 0.561294
1, 0.872764
1, 0.525176
1, 0.570176
1, 0.727882
1, 0.523588
1, 0.798882
1, 0.517470
1, 0.348294
1, 0.326705
1, 0.325764
1, 0.394764
1, 0.361647
1, 0.732235
1, 0.760294
1, 0.368294
1, 0.315705
1, 0.417411
1, 0.393
1, 0.504058
1, 0.344058
1, 0.284823
1, 0.323411
1, 0.383470
1, 0.343470
1, 0.715764
1, 0.780941
1, 0.352352
1, 0.288941
1, 0.361235
1, 0.379705
1, 0.281058
1, 0.325058
1, 0.318647
1, 0.313647
1, 0.288000
1, 0.492647
1, 0.500529
1, 0.314294
1, 0.345117
1, 0.445882
1, 0.339764
1, 0.579882
1, 0.685117
1, 0.592882
1, 0.349352
1, 0.318117
1, 0.353176
1, 0.273470
1, 0.361117
1, 0.323470
1, 0.368764
1, 0.604117
1, 0.679294
1, 0.319176
1, 0.320352
1, 0.303941
1, 0.348529
1, 0.334764
1, 0.366705
1, 0.323705
1, 0.652294
1, 0.323117
1, 0.309117
1, 0.381823
1, 0.332705
1, 0.353647
1, 0.358352
1, 0.433411
1, 0.338882
1, 0.331882
1, 0.423823
1, 0.383117
1, 0.379
1, 0.352058
1, 0.421529
1, 0.358117
