Homolog, Bit Score
1, 0
1, 186
1, 32
1, 179
1, 55
1, 159
1, 30
1, 151
1, 20
1, 166
1, 70
1, 166
1, 43
1, 79
1, 16
1, 91
1, 24
1, 80
1, 16
1, 78
1, 18
1, 80
1, 17
1, 80
1, 16
1, 80
1, 19
1, 10
1, 25
1, 62
1, 44
1, 26
1, 48
1, 19
1, 22
1, 20
1, 28
1, 19
1, 38
1, 48
1, 21
1, 22
1, 23
1, 25
1, 20
1, 39
1, 39
1, 16
1, 15
1, 20
1, 15
1, 17
1, 12
1, 17
1, 16
1, 44
1, 121
1, 114
1, 97
1, 24
1, 34
1, 84
1, 18
1, 19
1, 20
1, 27
1, 17
1, 47
1, 34
1, 45
1, 74
1, 21
1, 62
1, 20
1, 107
1, 28
1, 18
1, 169
1, 17
1, 17
1, 22
1, 59
1, 19
1, 51
1, 44
1, 22
1, 77
1, 33
1, 18
1, 62
1, 31
1, 16
1, 40
1, 23
1, 17
1, 17
1, 44
1, 74
1, 19
1, 16
1, 15
1, 39
1, 148
1, 75
1, 16
1, 15
1, 58
1, 55
1, 24
1, 154
1, 182
1, 159
1, 64
1, 17
1, 69
1, 22
1, 179
1, 179
1, 28
1, 18
1, 28
1, 51
1, 176
1, 22
1, 65
1, 18
1, 206
1, 20
1, 23
1, 159
1, 62
1, 16
1, 187
1, 49
1, 173
1, 156
1, 65
1, 20
1, 32
1, 31
1, 23
1, 21
1, 60
1, 15
1, 170
1, 49
1, 23
1, 166
1, 57
1, 21
1, 23
1, 45
1, 19
1, 22
1, 150
1, 15
1, 436
1, 22
1, 395
1, 17
1, 26
1, 522
1, 19
1, 264
1, 34
1, 504
1, 15
1, 123
1, 23
1, 19
1, 46
1, 17
1, 341
1, 18
1, 405
1, 16
1, 24
1, 426
1, 17
1, 96
1, 34
1, 201
1, 18
1, 207
1, 25
1, 65
1, 35
1, 63
1, 456
1, 20
1, 393
1, 18
1, 35
1, 581
1, 18
1, 210
1, 42
1, 523
1, 34
1, 476
1, 46
1, 41
1, 65
1, 50
1, 454
1, 19
1, 387
1, 46
1, 30
1, 568
1, 24
1, 253
1, 21
1, 498
1, 22
1, 430
1, 33
1, 38
1, 60
1, 65
1, 451
1, 20
1, 389
1, 18
1, 37
1, 419
1, 22
1, 144
1, 38
1, 517
1, 29
1, 482
1, 35
1, 33
1, 58
1, 62
1, 454
1, 19
1, 398
1, 21
1, 18
1, 567
1, 21
1, 138
1, 33
1, 528
1, 38
1, 476
1, 50
1, 47
1, 60
1, 22
1, 443
1, 20
1, 225
1, 20
1, 25
1, 564
1, 27
1, 220
1, 28
1, 531
1, 30
1, 113
1, 20
1, 28
1, 73
1, 34
1, 110
1, 16
1, 25
1, 16
1, 146
1, 0
1, 121
1, 17
1, 134
1, 14
1, 107
1, 22
1, 146
1, 0
1, 125
1, 17
1, 135
1, 14
1, 108
1, 19
1, 25
1, 63
1, 56
1, 15
1, 20
1, 25
1, 76
1, 22
1, 86
1, 23
1, 22
1, 16
1, 15
1, 89
1, 20
1, 87
1, 21
1, 33
1, 22
1, 17
1, 69
1, 21
1, 100
1, 28
1, 21
1, 50
1, 17
1, 77
1, 35
1, 97
1, 18
1, 26
1, 55
1, 16
1, 78
1, 31
1, 66
1, 15
1, 25
1, 72
1, 16
1, 28
1, 0
1, 161
1, 10
1, 257
1, 11
1, 253
1, 10
1, 253
1, 29
1, 178
1, 134
1, 26
1, 52
1, 80
1, 42
1, 75
1, 20
1, 39
1, 22
1, 40
1, 99
1, 30
1, 52
1, 88
1, 53
1, 79
1, 17
1, 48
1, 26
1, 26
1, 25
1, 28
1, 21
1, 87
1, 54
1, 80
1, 26
1, 60
1, 32
1, 27
1, 146
1, 30
1, 56
1, 86
1, 54
1, 125
1, 16
1, 52
1, 56
1, 37
1, 121
1, 201
1, 48
1, 57
1, 21
1, 16
1, 29
1, 559
1, 59
1, 67
1, 72
1, 15
1, 17
1, 57
1, 15
1, 77
1, 74
1, 59
1, 0
1, 20
1, 18
1, 52
1, 64
1, 14
1, 133
1, 105
1, 113
1, 124
1, 95
1, 0
1, 15
1, 31
1, 79
1, 43
1, 127
1, 20
1, 17
1, 13
1, 91
1, 12
1, 75
1, 35
1, 234
1, 17
1, 41
1, 18
1, 166
1, 21
1, 47
1, 8
1, 134
1, 394
1, 288
1, 510
1, 246
1, 524
1, 307
1, 538
1, 280
1, 518
1, 169
1, 530
1, 282
1, 550
1, 247
1, 488
1, 145
1, 395
1, 98
1, 0
1, 17
1, 21
1, 50
1, 20
1, 50
1, 23
1, 121
1, 164
1, 270
1, 299
1, 268
1, 304
1, 268
1, 165
1, 239
1, 19
1, 28
1, 262
1, 13
1, 23
1, 88
1, 286
1, 21
1, 23
1, 270
1, 15
1, 22
1, 100
1, 305
1, 23
1, 17
1, 278
1, 13
1, 17
1, 106
1, 306
1, 124
1, 21
1, 280
1, 15
1, 24
1, 22
1, 290
1, 19
1, 31
1, 285
1, 10
1, 26
1, 102
1, 308
1, 22
1, 41
1, 13
1, 86
1, 15
1, 48
1, 20
1, 88
1, 84
1, 14
1, 107
1, 48
1, 17
1, 86
1, 84
1, 15
1, 112
1, 436
1, 15
1, 65
1, 15
1, 67
1, 17
1, 69
1, 33
1, 384
1, 47
1, 54
1, 16
1, 38
1, 366
1, 30
1, 40
1, 16
1, 25
1, 376
1, 29
1, 43
1, 17
1, 36
1, 367
1, 33
1, 40
1, 16
1, 24
1, 59
1, 130
1, 100
1, 180
1, 79
1, 188
1, 107
1, 195
1, 82
1, 169
1, 70
1, 176
1, 67
1, 70
1, 76
1, 94
1, 22
1, 79
1, 14
1, 22
1, 18
1, 125
1, 17
1, 19
1, 0
1, 17
1, 12
1, 102
1, 16
1, 20
1, 0
1, 93
1, 73
1, 12
1, 43
1, 15
1, 77
1, 28
1, 1088
1, 16
1, 30
1, 51
1, 33
1, 46
1, 21
1, 57
1, 92
1, 21
1, 27
1, 49
1, 99
1, 18
1, 20
1, 1140
1, 19
1, 18
1, 54
1, 25
1, 45
1, 57
1, 59
1, 39
1, 54
1, 99
1, 14
1, 43
1, 50
1, 17
1, 16
1, 90
1, 27
1, 97
1, 42
1, 93
1, 22
1, 91
1, 39
1, 92
1, 18
1, 88
1, 39
1, 13
1, 13
1, 100
1, 42
1, 88
1, 15
1, 154
1, 18
1, 17
1, 37
1, 21
1, 16
1, 19
1, 102
1, 0
1, 57
1, 14
1, 86
1, 0
1, 133
1, 59
1, 0
1, 32
