Homolog, Score
1, 0.346176
1, 0.161882
1, 0.284118
1, 0.052588
1, 0.283235
1, 0.068176
1, 0.281412
1, 0.066471
1, 0.183882
1, 0.058118
1, 0.277882
1, 0.066353
1, 0.276471
1, 0.065882
1, 0.195353
1, 0.152941
1, 0.193588
1, 0.186471
1, 0.217471
1, 0.188471
1, 0.174706
1, 0.144529
1, 0.188294
1, 0.179765
1, 0.213294
1, 0.201000
1, 0.185765
1, 0.192529
1, 0.075765
1, 0.128647
1, 0.365235
1, 0.134000
1, 0.016353
1, 0.138294
1, 0.046235
1, 0.000000
1, 0.127412
1, 0.000000
1, 0.141824
1, 0.052118
1, 0.134471
1, 0.039471
1, 0.000000
1, 0.109824
1, 0.000000
1, 0.136118
1, 0.049471
1, 0.050412
1, 0.248294
1, 0.136941
1, 0.190765
1, 0.189882
1, 0.244059
1, 0.102118
1, 0.159235
1, 0.162588
1, 0.134000
1, 0.000000
1, 0.312529
1, 0.358941
1, 0.016353
1, 0.087000
1, 0.049882
1, 0.059118
1, 0.124471
1, 0.045118
1, 0.089471
1, 0.123824
1, 0.014529
1, 0.102471
1, 0.036059
1, 0.084471
1, 0.158824
1, 0.004706
1, 0.146941
1, 0.316000
1, 0.123412
1, 0.139588
1, 0.055000
1, 0.030941
1, 0.052588
1, 0.099765
1, 0.000000
1, 0.061353
1, 0.045529
1, 0.021118
1, 0.074118
1, 0.012882
1, 0.051647
1, 0.078294
1, 0.000000
1, 0.072118
1, 0.101412
1, 0.000000
1, 0.076882
1, 0.011412
1, 0.044176
1, 0.111118
1, 0.000000
1, 0.095471
1, 0.275588
1, 0.132294
1, 0.080353
1, 0.004118
1, 0.000000
1, 0.057353
1, 0.110176
1, 0.000000
1, 0.082471
1, 0.000000
1, 0.181294
1, 0.425588
1, 0.338765
1, 0.168059
1, 0.117059
1, 0.398765
1, 0.177706
1, 0.443706
1, 0.352647
1, 0.189824
1, 0.126588
1, 0.411941
1, 0.207706
1, 0.446412
1, 0.346765
1, 0.178059
1, 0.121529
1, 0.409941
1, 0.200059
1, 0.380529
1, 0.313941
1, 0.166176
1, 0.099294
1, 0.375471
1, 0.178765
1, 0.360353
1, 0.284000
1, 0.149412
1, 0.111353
1, 0.356941
1, 0.183882
1, 0.413706
1, 0.335941
1, 0.164529
1, 0.106941
1, 0.391824
1, 0.178529
1, 0.461353
1, 0.408765
1, 0.164294
1, 0.103882
1, 0.433118
1, 0.156529
1, 0.164941
1, 0.096059
1, 0.455000
1, 0.000000
1, 0.408647
1, 0.093294
1, 0.313824
1, 0.201588
1, 0.089882
1, 0.256353
1, 0.100941
1, 0.124235
1, 0.052529
1, 0.135882
1, 0.004588
1, 0.391294
1, 0.058765
1, 0.044941
1, 0.206059
1, 0.000000
1, 0.316588
1, 0.090294
1, 0.376588
1, 0.162824
1, 0.066765
1, 0.324647
1, 0.071588
1, 0.062412
1, 0.006471
1, 0.079118
1, 0.000000
1, 0.409471
1, 0.060353
1, 0.052765
1, 0.172235
1, 0.000000
1, 0.240588
1, 0.072647
1, 0.379882
1, 0.164471
1, 0.092059
1, 0.321706
1, 0.079588
1, 0.014647
1, 0.000000
1, 0.084529
1, 0.008647
1, 0.475941
1, 0.098588
1, 0.023000
1, 0.157765
1, 0.000000
1, 0.254059
1, 0.087176
1, 0.363353
1, 0.169824
1, 0.097294
1, 0.288824
1, 0.066706
1, 0.040118
1, 0.000000
1, 0.096118
1, 0.001647
1, 0.495647
1, 0.095235
1, 0.018235
1, 0.186882
1, 0.000000
1, 0.244353
1, 0.077000
1, 0.380706
1, 0.167294
1, 0.098294
1, 0.321588
1, 0.081000
1, 0.021706
1, 0.000000
1, 0.090412
1, 0.006412
1, 0.482176
1, 0.092588
1, 0.025588
1, 0.161059
1, 0.000000
1, 0.238118
1, 0.073588
1, 0.377412
1, 0.168000
1, 0.096882
1, 0.319235
1, 0.081000
1, 0.013000
1, 0.000000
1, 0.082647
1, 0.007824
1, 0.478882
1, 0.094824
1, 0.023588
1, 0.159176
1, 0.000000
1, 0.235882
1, 0.069000
1, 0.389529
1, 0.162588
1, 0.086882
1, 0.313824
1, 0.076529
1, 0.018882
1, 0.000000
1, 0.089000
1, 0.001941
1, 0.469824
1, 0.091412
1, 0.021706
1, 0.153882
1, 0.087000
1, 0.331882
1, 0.112235
1, 0.328588
1, 0.123412
1, 0.291412
1, 0.165412
1, 0.209176
1, 0.110706
1, 0.322118
1, 0.125176
1, 0.335765
1, 0.163176
1, 0.189941
1, 0.140059
1, 0.089118
1, 0.079471
1, 0.339882
1, 0.129059
1, 0.331294
1, 0.159529
1, 0.094235
1, 0.279294
1, 0.367059
1, 0.248294
1, 0.041824
1, 0.041588
1, 0.115471
1, 0.088706
1, 0.217471
1, 0.053765
1, 0.000000
1, 0.251235
1, 0.000000
1, 0.142176
1, 0.097529
1, 0.204765
1, 0.041176
1, 0.000000
1, 0.265941
1, 0.000000
1, 0.139294
1, 0.110059
1, 0.218353
1, 0.057588
1, 0.000000
1, 0.269882
1, 0.000000
1, 0.111824
1, 0.099765
1, 0.225588
1, 0.051294
1, 0.000000
1, 0.262412
1, 0.000000
1, 0.150235
1, 0.102176
1, 0.205412
1, 0.048059
1, 0.000000
1, 0.274353
1, 0.000000
1, 0.333647
1, 0.163000
1, 0.303882
1, 0.075765
1, 0.511824
1, 0.074235
1, 0.466412
1, 0.075059
1, 0.497353
1, 0.125000
1, 0.191471
1, 0.091176
1, 0.177118
1, 0.178529
1, 0.365471
1, 0.172000
1, 0.330353
1, 0.202529
1, 0.165000
1, 0.306412
1, 0.161118
1, 0.416235
1, 0.174647
1, 0.158529
1, 0.358765
1, 0.142235
1, 0.327059
1, 0.179588
1, 0.147706
1, 0.285353
1, 0.127235
1, 0.382941
1, 0.152765
1, 0.136412
1, 0.340765
1, 0.164000
1, 0.286235
1, 0.170294
1, 0.148294
1, 0.233588
1, 0.137353
1, 0.455882
1, 0.182882
1, 0.161588
1, 0.343824
1, 0.142118
1, 0.316824
1, 0.179353
1, 0.163588
1, 0.302059
1, 0.138647
1, 0.370353
1, 0.499941
1, 0.212706
1, 0.027824
1, 0.141882
1, 0.184706
1, 0.428824
1, 0.485412
1, 0.311765
1, 0.194882
1, 0.272824
1, 0.142412
1, 0.217235
1, 0.298353
1, 0.274706
1, 0.300471
1, 0.289706
1, 0.204588
1, 0.266529
1, 0.149765
1, 0.219529
1, 0.298412
1, 0.265824
1, 0.289353
1, 0.084765
1, 0.085765
1, 0.044176
1, 0.088118
1, 0.061118
1, 0.223941
1, 0.170000
1, 0.059118
1, 0.331882
1, 0.049353
1, 0.423882
1, 0.149882
1, 0.341471
1, 0.101294
1, 0.365588
1, 0.100647
1, 0.198824
1, 0.127882
1, 0.097824
1, 0.111353
1, 0.120529
1, 0.126176
1, 0.090941
1, 0.103412
1, 0.115059
1, 0.125000
1, 0.345941
1, 0.393706
1, 0.384529
1, 0.427471
1, 0.337706
1, 0.423353
1, 0.369647
1, 0.400353
1, 0.319765
1, 0.409647
1, 0.328529
1, 0.406882
1, 0.335647
1, 0.412353
1, 0.357235
1, 0.416294
1, 0.345765
1, 0.419059
1, 0.096059
1, 0.178941
1, 0.063294
1, 0.185118
1, 0.376294
1, 0.204824
1, 0.385529
1, 0.112824
1, 0.171000
1, 0.106529
1, 0.248059
1, 0.110176
1, 0.251941
1, 0.149118
1, 0.278647
1, 0.131353
1, 0.263941
1, 0.124471
1, 0.041588
1, 0.000000
1, 0.130588
1, 0.006824
1, 0.066412
1, 0.016000
1, 0.098706
1, 0.000000
1, 0.031882
1, 0.145647
1, 0.000000
1, 0.099118
1, 0.050706
1, 0.100588
1, 0.030529
1, 0.241059
1, 0.069647
1, 0.042235
1, 0.251706
1, 0.202706
1, 0.101882
1, 0.000000
1, 0.042235
1, 0.143059
1, 0.000000
1, 0.098059
1, 0.039176
1, 0.085412
1, 0.001471
1, 0.194824
1, 0.078353
1, 0.000000
1, 0.185588
1, 0.136471
1, 0.111059
1, 0.107941
1, 0.127471
1, 0.174765
1, 0.136941
1, 0.138294
1, 0.045118
1, 0.280882
1, 0.216059
1, 0.033529
1, 0.064412
1, 0.139941
1, 0.052412
1, 0.283353
1, 0.218882
1, 0.041176
1, 0.066765
1, 0.478118
1, 0.219765
1, 0.263118
1, 0.184471
1, 0.239118
1, 0.175059
1, 0.207118
1, 0.177118
1, 0.160647
1, 0.173529
1, 0.097294
1, 0.095353
1, 0.161529
1, 0.171412
1, 0.183941
1, 0.091824
1, 0.084235
1, 0.172176
1, 0.161000
1, 0.188941
1, 0.091882
1, 0.063941
1, 0.164471
1, 0.150588
1, 0.191941
1, 0.099706
1, 0.082941
1, 0.167824
1, 0.179294
1, 0.093824
1, 0.304882
1, 0.470588
1, 0.289235
1, 0.459765
1, 0.289471
1, 0.490412
1, 0.233294
1, 0.498000
1, 0.247000
1, 0.466765
1, 0.282471
1, 0.439824
1, 0.298824
1, 0.211882
1, 0.290294
1, 0.195353
1, 0.075118
1, 0.063294
1, 0.142059
1, 0.120294
1, 0.143118
1, 0.129471
1, 0.120824
1, 0.147647
1, 0.130235
1, 0.605294
1, 0.119471
1, 0.171588
1, 0.161882
1, 0.100412
1, 0.071059
1, 0.024529
1, 0.088529
1, 0.095176
1, 0.214235
1, 0.145412
1, 0.326941
1, 0.226706
1, 0.000000
1, 0.083000
1, 0.030941
1, 0.084824
1, 0.105941
1, 0.095765
1, 0.097176
1, 0.084529
1, 0.028588
1, 0.085647
1, 0.097706
1, 0.206294
1, 0.152294
1, 0.328882
1, 0.219706
1, 0.015412
1, 0.077059
1, 0.026882
1, 0.086765
1, 0.102941
1, 0.095824
1, 0.093294
1, 0.262118
1, 0.218824
1, 0.187353
1, 0.049353
1, 0.124353
1, 0.166294
1, 0.114588
1, 0.112529
1, 0.089471
1, 0.418706
1, 0.168235
1, 0.353765
1, 0.112353
1, 0.386706
1, 0.173412
1, 0.342941
1, 0.112824
1, 0.364059
1, 0.165588
1, 0.345706
1, 0.109824
1, 0.410353
1, 0.163176
1, 0.335412
1, 0.092235
1, 0.499941
1, 0.000000
1, 0.123824
1, 0.075118
1, 0.202000
1, 0.121412
1, 0.076118
1, 0.349706
1, 0.162235
1, 0.225294
1, 0.182647
1, 0.311471
1, 0.151176
1, 0.345941
1, 0.311765
1, 0.223941
1, 0.260647
1, 0.226882
1, 0.225882
1, 0.459941
1, 0.037588
1, 0.313824
1, 0.000000
1, 0.158765
1, 0.356176
1, 0.079588
1, 0.033353
1, 0.143294
1, 0.262588
1, 0.717882
1, 0.037118
1, 0.296294
1, 0.202000
1, 0.235059
1, 0.230235
1, 0.168647
1, 0.453882
1, 0.049059
1, 0.325412
1, 0.000000
1, 0.149176
1, 0.359059
1, 0.087294
1, 0.029882
1, 0.150882
1, 0.267000
1, 0.686176
1, 0.047294
1, 0.282118
1, 0.196882
1, 0.226529
1, 0.240647
1, 0.194000
1, 0.498765
1, 0.041824
1, 0.311824
1, 0.000000
1, 0.155471
1, 0.386294
1, 0.063118
1, 0.032294
1, 0.141412
1, 0.268000
1, 0.683529
1, 0.037588
1, 0.195588
1, 0.212706
1, 0.161412
1, 0.233294
1, 0.207588
1, 0.351882
1, 0.035765
1, 0.324235
1, 0.000000
1, 0.072588
1, 0.314824
1, 0.000000
1, 0.038000
1, 0.150059
1, 0.289941
1, 0.480529
1, 0.063412
1, 0.287647
1, 0.192647
1, 0.249588
1, 0.228882
1, 0.210588
1, 0.479353
1, 0.038294
1, 0.296529
1, 0.000000
1, 0.167471
1, 0.385824
1, 0.076294
1, 0.033706
1, 0.142588
1, 0.257765
1, 0.706706
1, 0.032765
1, 0.262118
1, 0.178529
1, 0.241941
1, 0.050471
1, 0.260647
1, 0.177176
1, 0.218353
1, 0.076059
1, 0.215353
1, 0.057059
1, 0.295882
1, 0.076706
1, 0.161882
1, 0.008882
1, 0.138294
1, 0.071176
1, 0.186706
1, 0.145824
1, 0.166824
1, 0.519000
1, 0.229882
1, 0.037000
1, 0.090294
1, 0.254882
1, 0.152647
1, 0.212059
1, 0.057412
1, 0.239000
1, 0.167176
1, 0.209294
1, 0.042059
1, 0.205588
1, 0.055294
1, 0.276471
1, 0.052824
1, 0.136353
1, 0.000000
1, 0.133588
1, 0.072235
1, 0.188941
1, 0.120176
1, 0.149882
1, 0.511118
1, 0.220941
1, 0.019118
1, 0.085941
1, 0.229706
1, 0.141059
1, 0.194824
1, 0.038412
1, 0.219059
1, 0.141471
1, 0.180176
1, 0.015882
1, 0.172471
1, 0.032059
1, 0.258412
1, 0.024882
1, 0.109235
1, 0.000000
1, 0.103294
1, 0.015471
1, 0.155471
1, 0.104941
1, 0.130882
1, 0.459647
1, 0.195471
1, 0.022235
1, 0.061412
1, 0.212588
1, 0.172824
1, 0.221059
1, 0.037941
1, 0.271412
1, 0.178647
1, 0.236294
1, 0.067412
1, 0.236353
1, 0.064294
1, 0.226176
1, 0.073471
1, 0.150412
1, 0.000000
1, 0.125294
1, 0.097118
1, 0.163706
1, 0.101647
1, 0.155824
1, 0.471176
1, 0.244059
1, 0.037059
1, 0.093176
1, 0.266706
1, 0.153941
1, 0.206176
1, 0.050824
1, 0.245353
1, 0.155647
1, 0.230000
1, 0.051706
1, 0.210529
1, 0.058706
1, 0.268471
1, 0.066824
1, 0.167294
1, 0.000000
1, 0.128412
1, 0.079765
1, 0.186471
1, 0.115235
1, 0.163647
1, 0.525588
1, 0.212471
1, 0.017353
1, 0.086176
1, 0.244059
1, 0.151588
1, 0.204529
1, 0.048824
1, 0.226647
1, 0.143059
1, 0.191529
1, 0.025000
1, 0.180765
1, 0.039647
1, 0.250471
1, 0.022118
1, 0.116118
1, 0.000000
1, 0.109588
1, 0.021765
1, 0.173765
1, 0.098647
1, 0.140588
1, 0.463235
1, 0.200353
1, 0.020529
1, 0.068412
1, 0.227118
1, 0.138235
1, 0.292706
1, 0.128765
1, 0.301529
1, 0.140765
1, 0.285882
1, 0.119706
1, 0.297471
1, 0.128588
1, 0.132353
1, 0.408647
1, 0.485412
1, 0.039824
1, 0.339882
1, 0.007824
1, 0.181000
1, 0.105353
1, 0.212647
1, 0.035647
1, 0.110765
1, 0.000000
1, 0.274647
1, 0.000000
1, 0.423706
1, 0.480824
1, 0.080647
1, 0.348941
1, 0.035235
1, 0.203588
1, 0.144059
1, 0.283118
1, 0.068118
1, 0.150176
1, 0.000000
1, 0.277353
1, 0.018706
1, 0.414941
1, 0.491118
1, 0.057412
1, 0.347824
1, 0.002824
1, 0.180471
1, 0.121294
1, 0.248824
1, 0.048765
1, 0.115059
1, 0.000000
1, 0.281765
1, 0.000882
1, 0.386588
1, 0.475588
1, 0.061176
1, 0.325235
1, 0.000000
1, 0.172000
1, 0.127882
1, 0.251529
1, 0.033941
1, 0.100824
1, 0.000000
1, 0.273647
1, 0.000000
1, 0.444706
1, 0.484765
1, 0.057529
1, 0.383941
1, 0.003412
1, 0.186353
1, 0.110706
1, 0.209176
1, 0.044412
1, 0.119647
1, 0.000000
1, 0.289059
1, 0.000000
1, 0.489765
1, 0.509353
1, 0.049059
1, 0.438765
1, 0.024000
1, 0.212353
1, 0.111294
1, 0.202235
1, 0.050059
1, 0.133765
1, 0.000000
1, 0.310000
1, 0.000000
1, 0.450706
1, 0.500647
1, 0.044706
1, 0.394529
1, 0.000000
1, 0.192000
1, 0.095294
1, 0.225647
1, 0.048176
1, 0.122824
1, 0.000000
1, 0.287176
1, 0.000000
1, 0.423176
1, 0.489235
1, 0.069765
1, 0.355941
1, 0.020471
1, 0.200588
1, 0.131412
1, 0.268941
1, 0.068647
1, 0.138000
1, 0.000000
1, 0.285765
1, 0.016294
1, 0.408176
1, 0.476235
1, 0.039353
1, 0.345529
1, 0.000000
1, 0.170765
1, 0.105118
1, 0.229000
1, 0.036353
1, 0.106647
1, 0.000000
1, 0.270647
1, 0.000000
1, 0.482000
1, 0.506647
1, 0.038118
1, 0.424529
1, 0.003529
1, 0.199294
1, 0.101059
1, 0.201647
1, 0.044765
1, 0.114471
1, 0.000000
1, 0.302118
1, 0.000000
1, 0.138235
1, 0.203118
1, 0.218824
1, 0.333647
1, 0.110882
1, 0.125647
1, 0.232882
1, 0.181529
1, 0.370941
1, 0.166765
1, 0.207412
1, 0.144412
1, 0.138235
1, 0.049941
1, 0.339471
1, 0.093294
1, 0.153824
1, 0.421647
1, 0.441941
1, 0.266647
1, 0.119176
1, 0.214353
1, 0.077235
1, 0.472000
1, 0.245235
1, 0.120235
1, 0.053294
1, 0.326882
1, 0.112353
1, 0.420471
1, 0.439588
1, 0.284176
1, 0.122706
1, 0.206118
1, 0.083118
1, 0.482118
1, 0.251706
1, 0.118235
1, 0.067529
1, 0.333588
1, 0.134941
1, 0.426353
1, 0.198824
1, 0.049529
1, 0.114588
1, 0.393706
1, 0.000000
1, 0.339882
1, 0.077000
1, 0.324706
1, 0.189412
1, 0.069471
1, 0.292176
1, 0.084176
1, 0.101118
1, 0.014588
1, 0.122294
1, 0.000000
1, 0.431235
1, 0.062471
1, 0.042176
1, 0.193176
1, 0.402529
1, 0.000000
1, 0.314353
1, 0.055588
1, 0.327529
1, 0.161412
1, 0.061706
1, 0.295941
1, 0.074294
1, 0.073353
1, 0.000000
1, 0.107941
1, 0.000000
1, 0.436059
1, 0.051059
1, 0.025235
1, 0.172000
1, 0.483235
1, 0.038353
1, 0.207059
1, 0.072412
1, 0.353176
1, 0.189529
1, 0.096765
1, 0.307941
1, 0.098294
1, 0.022882
1, 0.000000
1, 0.078294
1, 0.009824
1, 0.456765
1, 0.098000
1, 0.055471
1, 0.140471
1, 0.178412
1, 0.219824
1, 0.015000
1, 0.372118
1, 0.208588
1, 0.222471
1, 0.012588
1, 0.326765
1, 0.169471
1, 0.209765
1, 0.011765
1, 0.334529
1, 0.173235
1, 0.217824
1, 0.012059
1, 0.323059
1, 0.163412
1, 0.071824
1, 0.055294
1, 0.108176
1, 0.067000
1, 0.058353
1, 0.095118
1, 0.143118
1, 0.121000
1, 0.086471
1, 0.237647
1, 0.217529
1, 0.079059
1, 0.059118
1, 0.131176
1, 0.075647
1, 0.072529
1, 0.070824
1, 0.166118
1, 0.143294
1, 0.119588
1, 0.291706
