Homolog, Score
1, 0.572824
1, 0.522647
1, 0.506529
1, 0.525765
1, 0.707588
1, 0.480941
1, 0.771176
1, 0.516882
1, 0.637706
1, 0.610118
1, 0.616353
1, 0.579294
1, 0.584000
1, 0.564588
1, 0.625824
1, 0.763765
1, 0.687882
1, 0.523118
1, 0.716412
1, 0.520882
1, 0.832353
1, 0.643706
1, 0.514941
1, 0.727588
1, 0.489353
1, 0.800882
1, 0.501941
1, 0.715294
1, 0.515765
1, 0.701765
1, 0.442294
1, 0.724176
1, 0.541471
1, 0.443882
1, 0.727412
1, 0.509706
1, 0.409824
1, 0.350176
1, 0.325353
1, 0.377529
1, 0.258529
1, 0.321529
1, 0.305647
1, 0.359235
1, 0.246882
1, 0.680118
1, 0.287824
1, 0.184353
1, 0.278059
1, 0.194000
1, 0.348765
1, 0.805647
1, 0.792471
1, 0.832529
1, 0.797235
1, 0.815471
1, 0.817118
1, 0.824529
1, 0.796294
1, 0.779882
1, 0.804941
1, 0.797765
1, 0.800059
1, 0.845235
1, 0.853353
1, 0.823176
1, 0.790235
1, 0.815412
1, 0.795235
1, 0.798647
1, 0.786294
1, 0.791588
1, 0.797412
1, 0.759765
1, 0.758235
1, 0.861176
1, 0.803647
1, 0.813588
1, 0.842118
1, 0.790118
1, 0.760412
1, 0.802588
1, 0.822647
1, 0.803647
1, 0.781941
1, 0.776882
1, 0.949176
1, 0.811529
1, 0.754882
1, 0.809941
1, 0.810529
1, 0.759471
1, 0.809235
1, 0.799765
1, 0.783765
1, 0.756882
1, 0.778941
1, 0.705941
1, 0.803471
1, 0.521882
1, 0.543176
1, 0.568059
1, 0.439706
1, 0.409294
1, 0.242588
1, 0.573588
1, 0.509882
1, 0.299529
1, 0.276294
1, 0.429941
1, 0.282647
1, 0.274176
1, 0.504765
1, 0.490824
1, 0.530118
1, 0.505000
1, 0.572059
1, 0.630353
1, 0.530941
1, 0.486529
1, 0.288941
1, 0.633118
1, 0.578294
1, 0.307235
1, 0.304471
1, 0.448294
1, 0.321647
1, 0.310059
1, 0.591294
1, 0.543000
1, 0.518059
1, 0.710941
1, 0.560588
1, 0.469235
1, 0.472353
1, 0.351765
1, 0.670294
1, 0.628000
1, 0.304941
1, 0.318412
1, 0.403824
1, 0.379235
1, 0.399353
1, 0.491706
1, 0.623294
1, 0.618235
1, 0.563588
1, 0.498941
1, 0.494235
1, 0.337824
1, 0.744882
1, 0.609941
1, 0.351824
1, 0.328941
1, 0.448235
1, 0.373824
1, 0.313882
1, 0.742824
1, 0.575059
1, 0.579059
1, 0.562647
1, 0.611118
1, 0.281706
1, 0.520588
1, 0.505235
1, 0.316882
1, 0.303412
1, 0.378235
1, 0.343941
1, 0.272471
1, 0.461529
1, 0.481941
1, 0.447353
1, 0.439176
1, 0.259294
1, 0.546176
1, 0.479882
1, 0.316588
1, 0.330059
1, 0.387294
1, 0.303412
1, 0.246176
1, 0.425588
