Homolog, Bit Score
1, 46.7
1, 112.2
1, 43.4
1, 122.7
1, 44.7
1, 106.8
1, 42.8
1, 110.9
1, 23.4
1, 109.0
1, 47.5
1, 109.3
1, 48.4
1, 52.6
1, 20.1
1, 61.2
1, 21.0
1, 58.2
1, 20.2
1, 52.3
1, 20.4
1, 57.2
1, 20.2
1, 56.4
1, 19.5
1, 54.8
1, 20.6
1, 26.2
1, 42.0
1, 43.7
1, 38.1
1, 38.0
1, 41.5
1, 29.7
1, 28.0
1, 42.5
1, 33.4
1, 24.1
1, 39.0
1, 42.8
1, 25.6
1, 26.7
1, 40.2
1, 34.0
1, 23.7
1, 38.5
1, 36.6
1, 28.3
1, 23.2
1, 31.0
1, 23.0
1, 32.3
1, 23.4
1, 35.0
1, 21.1
1, 40.9
1, 69.6
1, 68.3
1, 69.6
1, 41.0
1, 25.9
1, 65.0
1, 24.8
1, 23.4
1, 50.4
1, 22.9
1, 23.5
1, 48.0
1, 34.2
1, 25.2
1, 70.9
1, 48.9
1, 50.2
1, 51.8
1, 79.2
1, 26.8
1, 26.1
1, 113.2
1, 61.1
1, 25.9
1, 26.1
1, 23.4
1, 42.9
1, 30.2
1, 28.5
1, 29.5
1, 60.3
1, 22.5
1, 23.0
1, 52.2
1, 23.9
1, 23.7
1, 52.6
1, 27.7
1, 23.1
1, 26.6
1, 40.8
1, 55.9
1, 41.9
1, 64.0
1, 25.4
1, 34.7
1, 89.8
1, 58.4
1, 25.8
1, 22.6
1, 38.2
1, 46.6
1, 34.9
1, 101.1
1, 100.7
1, 103.3
1, 46.0
1, 24.7
1, 95.4
1, 42.8
1, 96.3
1, 98.3
1, 47.6
1, 24.3
1, 113.6
1, 42.0
1, 107.3
1, 99.1
1, 44.9
1, 24.8
1, 121.4
1, 42.7
1, 108.6
1, 91.8
1, 52.7
1, 25.7
1, 102.5
1, 40.3
1, 93.1
1, 88.4
1, 51.9
1, 24.5
1, 117.7
1, 46.0
1, 106.7
1, 89.6
1, 48.8
1, 25.7
1, 97.5
1, 42.8
1, 101.5
1, 112.9
1, 45.4
1, 26.6
1, 116.7
1, 40.0
1, 23.6
1, 67.4
1, 77.9
1, 27.2
1, 198.4
1, 26.7
1, 119.6
1, 24.6
1, 25.6
1, 199.8
1, 20.7
1, 94.4
1, 24.6
1, 197.8
1, 20.7
1, 205.4
1, 24.1
1, 25.8
1, 46.4
1, 27.9
1, 91.1
1, 27.3
1, 107.8
1, 28.9
1, 24.9
1, 95.8
1, 21.1
1, 93.2
1, 24.1
1, 98.4
1, 23.2
1, 152.9
1, 25.1
1, 47.2
1, 46.8
1, 26.6
1, 169.1
1, 27.7
1, 104.7
1, 42.4
1, 32.2
1, 230.8
1, 22.4
1, 102.3
1, 39.7
1, 238.9
1, 24.7
1, 138.3
1, 31.6
1, 29.2
1, 58.2
1, 40.9
1, 211.6
1, 30.5
1, 121.4
1, 43.3
1, 26.2
1, 235.2
1, 23.9
1, 50.2
1, 31.5
1, 272.6
1, 23.0
1, 181.2
1, 30.1
1, 28.8
1, 47.2
1, 26.6
1, 186.9
1, 32.8
1, 107.0
1, 43.5
1, 31.2
1, 273.6
1, 23.4
1, 111.5
1, 38.5
1, 233.9
1, 25.3
1, 132.6
1, 30.0
1, 24.5
1, 52.3
1, 26.9
1, 175.0
1, 27.1
1, 108.9
1, 44.6
1, 31.3
1, 249.8
1, 22.6
1, 101.9
1, 36.7
1, 197.9
1, 24.3
1, 143.5
1, 25.8
1, 27.9
1, 46.9
1, 39.8
1, 170.4
1, 28.4
1, 100.5
1, 26.7
1, 26.4
1, 108.4
1, 26.7
1, 119.2
1, 38.8
1, 189.9
1, 29.3
1, 131.1
1, 33.9
1, 25.0
1, 49.5
1, 25.7
1, 59.2
