Homolog, Bit Score
1, 56.2
1, 182
1, 57.4
1, 187
1, 58.9
1, 160
1, 57.8
1, 140
1, 20.8
1, 167
1, 63.2
1, 167
1, 49.3
1, 77.4
1, 20.8
1, 88.6
1, 23.1
1, 83.6
1, 20.0
1, 82.8
1, 23.5
1, 83.2
1, 18.9
1, 83.6
1, 20.0
1, 83.6
1, 18.9
1, 18.9
1, 45.4
1, 51.2
1, 45.1
1, 33.1
1, 49.3
1, 44.3
1, 38.5
1, 47.0
1, 31.2
1, 36.6
1, 39.3
1, 52.4
1, 43.5
1, 39.3
1, 49.7
1, 31.2
1, 36.2
1, 39.3
1, 38.9
1, 24.3
1, 23.1
1, 40.8
1, 19.6
1, 22.3
1, 21.6
1, 32.3
1, 17.7
1, 45.1
1, 197
1, 119
1, 111
1, 33.1
1, 29.6
1, 82.8
1, 26.6
1, 18.9
1, 55.1
1, 32.7
1, 18.5
1, 57.0
1, 32.3
1, 43.9
1, 89.4
1, 63.2
1, 58.2
1, 67.8
1, 103
1, 30.0
1, 59.3
1, 176
1, 70.9
1, 22.3
1, 22.7
1, 57.0
1, 50.8
1, 48.9
1, 42.4
1, 24.6
1, 71.2
1, 28.9
1, 20.8
1, 56.6
1, 29.6
1, 20.0
1, 60.1
1, 23.5
1, 27.7
1, 49.7
1, 39.3
1, 63.9
1, 41.2
1, 80.5
1, 32.7
1, 33.5
1, 130
1, 65.1
1, 20.4
1, 24.6
1, 48.1
1, 53.1
1, 29.6
1, 147
1, 184
1, 174
1, 65.9
1, 22.3
1, 191
1, 50.1
1, 197
1, 177
1, 66.6
1, 21.9
1, 199
1, 58.2
1, 193
1, 187
1, 67.4
1, 21.6
1, 207
1, 55.5
1, 176
1, 160
1, 74.3
1, 24.6
1, 182
1, 50.1
1, 170
1, 154
1, 69.3
1, 19.6
1, 193
1, 55.8
1, 172
1, 167
1, 60.5
1, 22.3
1, 182
1, 49.7
1, 175
1, 161
1, 58.5
1, 21.9
1, 199
1, 48.5
1, 20.4
1, 76.6
1, 105
1, 31.2
1, 418
1, 20.4
1, 379
1, 29.6
1, 20.8
1, 524
1, 18.5
1, 234
1, 24.3
1, 492
1, 17.3
1, 469
1, 28.9
1, 33.5
1, 50.1
1, 28.9
1, 407
1, 18.5
1, 402
1, 42.0
1, 21.6
1, 528
1, 17.7
1, 208
1, 23.5
1, 480
1, 17.3
1, 523
1, 19.6
1, 55.8
1, 43.9
1, 59.3
1, 447
1, 21.6
1, 399
1, 47.8
1, 33.1
1, 594
1, 24.6
1, 187
1, 42.4
1, 521
1, 27.7
1, 512
1, 46.6
1, 59.7
1, 70.1
1, 45.1
1, 429
1, 26.6
1, 385
1, 55.5
1, 24.6
1, 558
1, 23.9
1, 226
1, 35.0
1, 493
1, 21.6
1, 496
1, 31.6
1, 48.1
1, 57.4
1, 57.0
1, 444
1, 22.7
1, 393
1, 45.8
1, 33.9
1, 585
1, 23.9
1, 181
1, 40.8
1, 517
1, 28.5
1, 504
1, 38.5
1, 57.0
1, 73.6
1, 59.3
1, 446
1, 24.6
1, 403
1, 47.4
1, 28.1
1, 586
1, 25.4
1, 182
1, 41.2
1, 524
1, 26.6
1, 511
1, 44.7
1, 59.3
1, 70.9
1, 46.2
1, 432
1, 24.3
1, 402
1, 44.3
1, 26.6
1, 576
1, 26.9
1, 191
1, 23.5
1, 532
1, 20.0
1, 522
1, 35.0
1, 56.2
1, 62.4
1, 31.6
1, 129
1, 30.8
1, 135
1, 20.4
1, 133
1, 29.3
1, 114
1, 19.2
1, 108
1, 25.0
1, 90.5
1, 25.0
1, 135
1, 35.0
1, 120
1, 20.8
1, 109
1, 25.0
1, 90.9
1, 25.0
1, 36.2
1, 65.5
1, 53.9
1, 24.3
1, 52.4
1, 24.3
1, 75.1
1, 39.7
1, 82.4
1, 26.9
1, 25.0
1, 47.4
1, 20.4
1, 75.9
1, 30.8
1, 78.6
1, 25.8
1, 26.2
1, 57.0
1, 23.1
1, 69.7
1, 43.1
1, 87.4
1, 28.5
1, 26.2
1, 51.6
1, 18.1
1, 73.6
1, 26.9
1, 85.1
1, 21.6
1, 21.6
1, 51.6
1, 20.4
1, 63.2
1, 34.3
1, 77.0
1, 23.5
1, 22.3
1, 54.3
1, 21.2
1, 27.7
1, 17.3
1, 159
1, 18.5
1, 245
1, 15.4
1, 243
1, 21.6
1, 242
1, 28.1
1, 181
1, 141
1, 32.3
1, 54.3
1, 112
1, 42.0
1, 77.8
1, 50.4
1, 54.7
1, 55.5
1, 40.0
1, 100
1, 48.5
1, 51.2
1, 117
1, 50.1
1, 78.2
1, 67.0
1, 53.1
1, 50.8
1, 42.0
1, 100
1, 33.5
1, 57.0
1, 122
1, 52.4
1, 86.3
1, 75.1
1, 55.8
1, 68.9
1, 51.6
1, 104
1, 47.4
1, 50.1
1, 132
1, 49.3
1, 111
1, 65.5
1, 52.8
1, 47.4
1, 42.0
1, 99.8
1, 152
1, 37.7
1, 57.4
1, 89.7
1, 21.2
1, 42.7
1, 559
1, 39.3
1, 58.2
1, 60.8
1, 67.8
1, 27.3
1, 73.2
1, 67.8
1, 73.2
1, 57.4
1, 57.8
1, 57.8
1, 57.0
1, 32.0
1, 72.4
1, 58.5
1, 75.9
1, 51.6
1, 72.4
1, 48.9
1, 81.3
1, 51.6
1, 22.7
1, 66.6
1, 26.6
1, 127
1, 40.8
1, 119
1, 34.3
1, 149
1, 43.9
1, 87.8
1, 38.5
1, 67.0
1, 34.7
1, 196
1, 35.0
1, 40.8
1, 37.7
1, 196
1, 32.7
1, 41.2
1, 26.9
1, 430
1, 495
1, 407
1, 487
1, 516
1, 491
1, 466
1, 493
1, 417
1, 483
1, 407
1, 493
1, 434
1, 517
1, 325
1, 466
1, 337
1, 475
1, 77.8
1, 42.0
1, 84.0
1, 21.9
1, 45.4
1, 22.7
1, 44.7
1, 21.2
1, 18.9
1, 282
1, 271
1, 286
1, 278
1, 278
1, 272
1, 259
1, 223
1, 18.5
1, 24.6
1, 259
1, 18.9
1, 19.6
1, 81.3
1, 281
1, 115
1, 23.9
1, 274
1, 20.0
1, 24.3
1, 94.0
1, 313
1, 122
1, 26.6
1, 275
1, 20.4
1, 20.4
1, 97.8
1, 313
1, 120
1, 21.6
1, 280
1, 17.7
1, 24.6
1, 91.7
1, 298
1, 120
1, 26.6
1, 278
1, 20.0
1, 21.6
1, 98.2
1, 314
1, 119
1, 40.4
1, 16.5
1, 84.0
1, 23.1
1, 48.9
1, 55.1
1, 82.0
1, 71.2
1, 16.9
1, 101
1, 48.1
1, 57.4
1, 79.3
1, 70.9
1, 18.5
1, 105
1, 445
1, 29.6
1, 80.5
1, 18.1
1, 76.6
1, 20.4
1, 80.1
1, 30.4
1, 379
1, 40.4
1, 33.5
1, 18.1
1, 27.3
1, 374
1, 42.4
