Homolog, Bit Score
1, 190
1, 35.8
1, 28.9
1, 25.4
1, 30.4
1, 18.1
1, 30.8
1, 32.0
1, 30.0
1, 365
1, 30.8
1, 28.9
1, 30.8
1, 22.3
1, 38.9
1, 21.6
1, 34.3
1, 42.4
1, 25.4
1, 35.0
1, 73.9
1, 66.6
1, 33.9
1, 45.1
1, 333
1, 37.7
1, 84.0
1, 684
1, 100
1, 69.7
1, 49.7
1, 107
1, 605
1, 655
1, 32.3
1, 36.6
1, 80.5
1, 25.0
1, 147
1, 69.3
1, 139
1, 431
1, 45.4
1, 146
1, 69.3
1, 36.2
1, 32.0
1, 63.9
1, 20.4
1, 167
1, 70.5
1, 152
1, 503
1, 46.6
1, 158
1, 70.9
1, 44.3
1, 30.0
1, 48.9
1, 47.4
1, 38.5
1, 25.0
1, 32.7
1, 44.3
1, 29.3
1, 29.6
1, 47.4
1, 38.9
1, 43.9
1, 48.5
1, 46.6
1, 34.3
1, 162
1, 45.1
1, 47.0
1, 40.4
1, 82.8
1, 323
1, 99.4
1, 70.5
1, 48.1
1, 108
1, 299
1, 36.6
1, 39.3
1, 31.2
1, 19.6
1, 50.8
1, 38.1
1, 31.6
1, 86.7
1, 164
1, 146
1, 50.8
1, 171
1, 82.4
1, 99.4
1, 72.4
1, 47.4
1, 113
1, 664
1, 162
1, 37.7
1, 842
1, 95.1
1, 57.0
1, 166
1, 79.3
1, 42.4
1, 48.1
1, 90.1
1, 146
1, 88.6
1, 89.7
1, 139
1, 90.5
1, 94.4
1, 125
1, 805
1, 125
1, 125
1, 99.0
1, 223
1, 219
1, 1061
1, 204
1, 226
1, 837
1, 163
1, 1077
1, 1079
1, 204
1, 1638
1, 223
1, 1178
1, 1142
1, 191
1, 111
1, 222
1, 213
1, 1100
1, 223
1, 1165
1, 1153
1, 190
1, 99.8
1, 208
1, 201
1, 1092
1, 208
1, 228
1, 866
1, 160
1, 1094
1, 1078
1, 229
1, 1139
1, 186
1, 99.4
1, 194
1, 186
1, 1112
1, 169
1, 87.4
1, 189
1, 190
1, 1145
1, 134
1, 795
1, 815
1, 178
1, 159
1, 147
1, 97.4
1, 1159
1, 184
1, 174
1, 265
1, 135
1, 97.4
1, 70.1
1, 55.5
1, 67.8
1, 85.1
1, 78.6
1, 55.5
1, 238
1, 382
1, 382
1, 363
1, 378
1, 196
1, 188
1, 193
1, 184
1, 794
1, 753
1, 790
1, 775
1, 981
1, 764
1, 466
1, 513
1, 240
1, 521
1, 528
1, 427
1, 235
1, 452
1, 455
1, 223
1, 523
1, 524
1, 212
1, 207
1, 748
1, 204
1, 225
1, 243
1, 216
1, 224
1, 219
1, 458
1, 749
1, 679
1, 459
1, 702
1, 478
1, 490
1, 954
1, 483
1, 736
1, 468
1, 790
1, 464
1, 768
1, 480
1, 57.4
1, 48.5
1, 47.0
1, 129
1, 122
1, 22.3
1, 17.7
1, 122
1, 47.8
1, 89.0
1, 69.7
1, 68.2
1, 48.5
1, 71.2
1, 22.3
1, 18.5
1, 67.4
1, 37.0
1, 49.7
1, 214
1, 41.6
1, 58.5
1, 18.5
1, 27.3
1, 56.6
1, 43.1
1, 50.4
1, 50.4
1, 51.2
1, 18.5
1, 25.8
1, 42.4
1, 28.9
1, 43.9
1, 296
1, 17.3
1, 21.9
1, 293
1, 60.1
1, 86.7
1, 21.6
1, 20.4
1, 477
1, 63.2
1, 97.4
1, 137
1, 19.2
1, 20.8
1, 27.7
1, 18.9
1, 18.9
1, 19.6
1, 63.5
1, 88.6
1, 55.1
1, 783
1, 967
1, 736
1, 551
1, 627
1, 642
1, 647
1, 678
1, 678
1, 670
1, 555
1, 546
1, 566
1, 528
1, 541
1, 529
1, 965
1, 708
1, 682
1, 640
1, 634
1, 702
1, 674
1, 650
1, 648
1, 687
1, 656
1, 657
1, 808
1, 776
1, 1005
1, 393
1, 371
1, 986
1, 479
1, 394
1, 382
1, 459
1, 277
1, 199
1, 281
1, 211
1, 162
1, 301
1, 194
1, 183
1, 470
1, 275
1, 140
1, 137
1, 256
1, 194
1, 276
1, 206
1, 136
1, 246
1, 183
1, 161
1, 738
1, 235
1, 147
1, 151
1, 177
1, 302
1, 179
1, 113
1, 198
1, 184
1, 152
1, 276
1, 207
1, 59.7
1, 57.0
1, 164
1, 757
1, 140
1, 151
1, 217
1, 717
1, 194
1, 153
1, 62.4
1, 67.8
1, 180
1, 118
1, 169
1, 154
1, 167
1, 277
1, 179
1, 59.3
1, 60.5
1, 120
1, 162
1, 223
1, 806
1, 199
1, 153
1, 45.8
1, 49.3
1, 277
1, 110
1, 118
