Homolog, Bit Score
1, 54
1, 193
1, 53
1, 197
1, 60
1, 175
1, 56
1, 153
1, 24
1, 178
1, 62
1, 181
1, 50
1, 83
1, 21
1, 86
1, 23
1, 89
1, 18
1, 88
1, 22
1, 88
1, 17
1, 89
1, 18
1, 88
1, 17
1, 22
1, 45
1, 55
1, 59
1, 36
1, 51
1, 45
1, 38
1, 55
1, 28
1, 31
1, 32
1, 49
1, 44
1, 39
1, 55
1, 28
1, 33
1, 32
1, 37
1, 21
1, 29
1, 41
1, 18
1, 19
1, 18
1, 31
1, 20
1, 66
1, 222
1, 113
1, 128
1, 41
1, 31
1, 94
1, 30
1, 18
1, 56
1, 38
1, 0
1, 58
1, 30
1, 44
1, 104
1, 61
1, 62
1, 65
1, 110
1, 36
1, 56
1, 170
1, 81
1, 26
1, 25
1, 55
1, 55
1, 38
1, 46
1, 31
1, 80
1, 25
1, 18
1, 54
1, 32
1, 20
1, 53
1, 23
1, 31
1, 64
1, 42
1, 67
1, 47
1, 78
1, 35
1, 35
1, 129
1, 61
1, 24
1, 24
1, 53
1, 65
1, 29
1, 151
1, 174
1, 172
1, 67
1, 24
1, 182
1, 51
1, 182
1, 170
1, 67
1, 24
1, 188
1, 52
1, 178
1, 178
1, 69
1, 24
1, 192
1, 51
1, 172
1, 158
1, 74
1, 28
1, 180
1, 51
1, 168
1, 161
1, 68
1, 25
1, 185
1, 61
1, 167
1, 168
1, 64
1, 24
1, 174
1, 51
1, 177
1, 165
1, 63
1, 25
1, 185
1, 49
1, 20
1, 71
1, 176
1, 22
1, 415
1, 24
1, 392
1, 22
1, 21
1, 504
1, 19
1, 232
1, 32
1, 505
1, 20
1, 455
1, 30
1, 37
1, 55
1, 26
1, 413
1, 0
1, 392
1, 24
1, 23
1, 505
1, 17
1, 215
1, 26
1, 492
1, 19
1, 494
1, 22
1, 59
1, 52
1, 58
1, 445
1, 27
1, 373
1, 45
1, 31
1, 582
1, 22
1, 209
1, 48
1, 559
1, 25
1, 498
1, 46
1, 68
1, 83
1, 50
1, 419
1, 30
1, 369
1, 54
1, 23
1, 540
1, 21
1, 242
1, 38
1, 520
1, 30
1, 509
1, 37
1, 59
1, 78
1, 58
1, 443
1, 24
1, 372
1, 45
1, 36
1, 567
1, 22
1, 207
1, 46
1, 559
1, 24
1, 497
1, 43
1, 66
1, 88
1, 58
1, 444
1, 28
1, 378
1, 45
1, 29
1, 571
1, 21
1, 203
1, 43
1, 561
1, 25
1, 498
1, 45
1, 67
1, 79
1, 46
1, 444
1, 26
1, 381
1, 44
1, 25
1, 561
1, 27
1, 220
1, 47
1, 565
1, 21
1, 493
1, 38
1, 73
1, 81
1, 28
1, 145
1, 27
1, 145
1, 20
1, 150
1, 34
1, 138
1, 22
1, 131
1, 26
1, 106
1, 22
1, 158
1, 34
1, 143
1, 26
1, 132
1, 26
1, 106
1, 21
1, 41
1, 65
1, 73
1, 29
1, 70
1, 24
1, 69
1, 38
1, 78
1, 21
1, 26
1, 49
1, 20
1, 68
1, 25
1, 89
1, 24
1, 23
1, 53
1, 23
1, 56
1, 45
1, 95
1, 26
1, 24
1, 53
1, 17
1, 66
1, 34
1, 81
1, 24
1, 22
1, 53
1, 18
1, 57
1, 31
1, 93
1, 23
1, 21
1, 53
1, 18
1, 27
1, 17
1, 155
1, 20
1, 256
1, 17
1, 248
1, 22
1, 251
1, 29
1, 173
1, 112
1, 35
1, 63
1, 119
1, 41
1, 108
1, 53
1, 63
1, 56
1, 45
1, 98
1, 52
1, 60
1, 124
1, 50
1, 112
1, 66
1, 62
1, 50
1, 42
1, 188
1, 37
1, 52
1, 125
1, 50
1, 80
1, 77
1, 62
1, 74
1, 50
1, 197
1, 57
1, 60
1, 127
1, 54
1, 113
1, 68
1, 62
1, 52
1, 41
1, 175
1, 143
1, 45
1, 57
1, 90
1, 25
1, 54
1, 561
1, 63
1, 74
1, 77
1, 81
1, 36
1, 82
1, 79
1, 79
1, 75
1, 70
1, 77
1, 67
1, 41
1, 87
1, 80
1, 91
1, 87
1, 76
1, 72
1, 84
1, 79
1, 25
1, 64
1, 28
1, 163
1, 44
1, 142
1, 33
1, 170
1, 44
1, 124
1, 41
1, 80
1, 35
1, 223
1, 40
1, 46
1, 35
1, 227
1, 38
1, 46
1, 27
1, 424
1, 487
1, 405
1, 500
1, 498
1, 489
1, 482
1, 484
1, 421
1, 486
1, 409
1, 491
1, 442
1, 509
1, 353
1, 447
1, 344
1, 455
1, 85
1, 50
1, 93
1, 24
1, 61
1, 25
1, 54
1, 27
1, 33
1, 318
1, 279
1, 329
1, 286
1, 317
1, 282
1, 288
1, 207
1, 18
1, 25
1, 244
1, 19
1, 18
1, 72
1, 275
1, 115
1, 25
1, 266
1, 17
1, 28
1, 91
1, 304
1, 122
1, 21
1, 264
1, 19
1, 24
1, 92
1, 308
1, 119
1, 23
1, 269
1, 18
1, 23
1, 87
1, 293
1, 115
1, 22
1, 266
1, 18
1, 24
1, 90
1, 307
1, 115
1, 61
1, 18
1, 92
1, 26
1, 58
1, 63
1, 81
1, 79
1, 20
1, 100
1, 59
1, 63
1, 81
1, 79
1, 20
1, 108
1, 414
1, 32
1, 92
1, 30
1, 73
1, 30
1, 83
1, 34
1, 373
1, 40
1, 33
1, 19
1, 30
1, 371
1, 51
1, 30
1, 34
1, 29
1, 373
1, 49
1, 29
1, 28
1, 32
1, 371
1, 50
1, 29
1, 34
1, 34
1, 49
1, 130
1, 121
1, 176
1, 121
1, 182
1, 106
1, 190
1, 119
1, 165
1, 113
1, 178
1, 110
1, 74
1, 121
1, 87
1, 21
1, 81
1, 42
1, 80
1, 34
1, 114
1, 34
1, 117
1, 30
1, 16
1, 18
1, 72
1, 17
1, 28
1, 61
1, 87
1, 62
1, 29
1, 49
1, 79
1, 71
1, 24
1, 1057
1, 85
1, 32
1, 53
1, 33
1, 43
1, 46
1, 51
1, 88
1, 69
1, 26
1, 55
1, 85
1, 65
1, 25
1, 1108
1, 76
1, 31
1, 50
1, 20
1, 40
1, 58
1, 56
1, 55
1, 57
1, 85
1, 43
1, 44
1, 67
1, 18
1, 26
1, 82
1, 31
1, 182
1, 50
1, 93
1, 35
1, 166
1, 46
1, 103
1, 19
1, 171
1, 48
1, 104
1, 18
1, 180
1, 48
1, 97
1, 35
1, 153
1, 29
1, 21
1, 36
1, 18
1, 22
1, 40
1, 162
1, 28
1, 152
1, 16
1, 161
1, 14
1, 405
1, 58
1, 22
1, 39
1, 120
1, 36
1, 55
1, 16
1, 74
1, 21
1, 65
1, 37
1, 29
1, 26
1, 21
1, 116
1, 84
1, 19
1, 85
1, 26
1, 63
1, 152
1, 47
1, 39
1, 17
1, 130
1, 20
1, 75
1, 43
1, 20
1, 19
1, 26
1, 175
1, 102
1, 20
1, 65
1, 22
1, 34
1, 124
1, 27
1, 38
1, 20
1, 104
1, 18
1, 80
1, 39
1, 35
1, 23
1, 28
1, 171
1, 80
1, 16
1, 27
1, 17
1, 19
1, 69
1, 26
1, 31
1, 16
1, 33
1, 20
1, 42
1, 41
1, 31
1, 21
1, 19
1, 74
1, 60
1, 18
1, 77
1, 24
1, 46
1, 108
1, 28
1, 43
1, 18
1, 71
1, 18
1, 68
1, 45
1, 18
1, 28
1, 22
1, 111
1, 77
1, 22
1, 53
1, 62
1, 92
1, 42
1, 32
1, 100
1, 54
1, 40
1, 48
1, 47
1, 87
1, 52
1, 121
1, 52
1, 101
1, 41
1, 53
1, 26
1, 48
1, 310
1, 53
1, 48
1, 54
1, 93
1, 62
1, 95
1, 53
1, 32
1, 103
1, 57
1, 38
1, 53
1, 36
1, 87
1, 54
1, 121
1, 50
1, 102
1, 48
1, 51
1, 26
1, 48
1, 313
1, 53
1, 48
1, 55
1, 93
1, 62
1, 84
1, 44
1, 34
1, 122
1, 65
1, 42
1, 40
1, 63
1, 84
1, 64
1, 119
1, 60
1, 114
1, 49
1, 66
1, 26
1, 56
1, 279
1, 39
1, 59
1, 61
1, 60
1, 59
1, 81
1, 46
1, 35
1, 105
1, 42
1, 34
1, 45
1, 45
1, 94
1, 55
1, 117
1, 48
1, 110
1, 50
1, 61
1, 28
1, 49
