Homolog, Score
1, 0.346176
1, 0.403059
1, 0.678706
1, 0.327118
1, 0.636882
1, 0.384118
1, 0.644765
1, 0.399529
1, 0.561824
1, 0.264176
1, 0.643000
1, 0.229588
1, 0.662765
1, 0.380588
1, 0.397471
1, 0.192176
1, 0.402235
1, 0.204059
1, 0.394059
1, 0.188471
1, 0.381059
1, 0.207118
1, 0.336882
1, 0.212176
1, 0.394176
1, 0.210882
1, 0.390059
1, 0.192529
1, 0.193941
1, 0.470882
1, 0.608471
1, 0.181176
1, 0.478824
1, 0.276059
1, 0.434294
1, 0.504882
1, 0.512529
1, 0.471118
1, 0.500412
1, 0.329294
1, 0.338706
1, 0.380824
1, 0.471529
1, 0.495529
1, 0.433412
1, 0.469176
1, 0.319706
1, 0.520353
1, 0.293765
1, 0.304882
1, 0.365529
1, 0.288824
1, 0.307765
1, 0.324118
1, 0.365353
1, 0.311824
1, 0.181176
1, 0.579647
1, 0.423529
1, 0.723294
1, 0.478824
1, 0.340882
1, 0.588647
1, 0.288294
1, 0.465118
1, 0.476588
1, 0.303000
1, 0.223059
1, 0.495176
1, 0.468412
1, 0.225294
1, 0.624118
1, 0.490235
1, 0.632882
1, 0.465647
1, 0.513235
1, 0.363412
1, 0.359471
1, 0.759235
1, 0.650529
1, 0.360529
1, 0.479059
1, 0.419059
1, 0.408706
1, 0.537824
1, 0.510647
1, 0.464588
1, 0.580235
1, 0.443882
1, 0.433941
1, 0.465647
1, 0.425412
1, 0.196353
1, 0.484059
1, 0.390294
1, 0.342176
1, 0.631000
1, 0.352235
1, 0.626941
1, 0.346059
1, 0.503882
1, 0.502294
1, 0.442882
1, 0.739412
1, 0.640588
1, 0.410588
1, 0.406941
1, 0.410765
1, 0.409353
1, 0.399824
1, 0.675176
1, 0.717882
1, 0.506706
1, 0.201941
1, 0.284118
1, 0.420176
1, 0.478824
1, 0.716353
1, 0.518529
1, 0.265294
1, 0.349882
1, 0.722647
1, 0.486353
1, 0.542706
1, 0.601882
1, 0.373235
1, 0.341882
1, 0.733588
1, 0.239529
1, 0.726647
1, 0.421118
1, 0.239824
1, 0.291471
1, 0.434118
1, 0.489706
1, 0.714882
1, 0.510882
1, 0.242118
1, 0.357412
1, 0.731941
1, 0.474765
1, 0.707529
1, 0.377294
1, 0.224882
1, 0.279294
1, 0.460706
1, 0.477765
1, 0.714176
1, 0.408765
1, 0.298647
1, 0.264294
1, 0.585412
1, 0.459706
1, 0.184882
1, 0.660588
1, 0.455000
1, 0.323647
1, 0.690882
1, 0.194824
1, 0.549176
1, 0.229941
1, 0.214765
1, 0.664529
1, 0.216412
1, 0.581529
1, 0.208588
1, 0.712412
1, 0.183588
1, 0.732353
1, 0.199765
1, 0.210235
1, 0.306235
1, 0.316529
1, 0.562412
1, 0.192765
1, 0.504294
1, 0.221941
1, 0.192706
1, 0.615000
1, 0.171235
1, 0.510294
1, 0.200000
1, 0.711235
1, 0.182176
1, 0.736000
1, 0.199824
1, 0.250941
1, 0.218824
1, 0.281647
1, 0.538647
1, 0.193529
1, 0.465941
1, 0.257235
1, 0.247647
1, 0.580765
1, 0.182588
1, 0.559588
1, 0.191471
1, 0.520588
1, 0.171118
1, 0.593706
1, 0.202118
1, 0.254235
1, 0.288176
1, 0.294765
1, 0.602294
1, 0.217588
1, 0.705529
1, 0.273529
1, 0.228412
1, 0.607471
1, 0.191706
1, 0.511059
1, 0.214529
1, 0.626882
1, 0.169706
1, 0.660000
1, 0.231941
1, 0.288765
1, 0.382941
1, 0.272294
1, 0.514588
1, 0.198000
1, 0.526824
1, 0.251176
1, 0.252412
1, 0.569529
1, 0.210118
1, 0.572529
1, 0.188471
1, 0.479412
1, 0.180118
1, 0.603647
1, 0.210235
1, 0.252059
1, 0.317353
1, 0.274765
1, 0.572706
1, 0.184588
1, 0.497647
1, 0.250235
1, 0.248059
1, 0.537176
1, 0.168824
1, 0.551294
1, 0.207765
1, 0.461647
1, 0.177765
1, 0.602294
1, 0.188235
1, 0.223706
1, 0.353059
1, 0.395882
1, 0.624000
1, 0.218176
1, 0.481000
1, 0.285824
1, 0.254647
1, 0.547941
1, 0.173941
1, 0.637941
1, 0.220647
1, 0.406176
1, 0.160529
1, 0.552588
1, 0.219647
1, 0.235882
1, 0.355588
1, 0.340882
1, 0.656765
1, 0.399353
1, 0.643882
1, 0.396824
1, 0.686176
1, 0.369529
1, 0.604294
1, 0.366824
1, 0.663765
1, 0.395706
1, 0.611176
1, 0.388588
1, 0.669765
1, 0.377706
1, 0.604824
1, 0.360235
1, 0.601059
1, 0.332941
1, 0.662647
1, 0.377706
1, 0.433235
1, 0.562588
1, 0.524529
1, 0.293765
1, 0.189118
1, 0.404176
1, 0.697588
1, 0.497941
1, 0.551000
1, 0.505647
1, 0.536765
1, 0.632765
1, 0.475353
1, 0.657824
1, 0.474412
1, 0.573529
1, 0.493941
1, 0.529588
1, 0.596765
1, 0.521765
1, 0.685765
1, 0.480235
1, 0.558000
1, 0.506588
1, 0.535059
1, 0.607059
1, 0.465882
1, 0.652294
1, 0.511235
1, 0.576412
1, 0.501941
1, 0.515118
1, 0.609588
1, 0.486176
1, 0.681353
1, 0.487471
1, 0.564529
1, 0.503118
1, 0.537118
1, 0.611706
1, 0.505000
1, 0.333647
1, 0.202118
1, 0.673471
1, 0.193941
1, 0.661882
1, 0.201588
1, 0.694412
1, 0.197588
1, 0.663412
1, 0.286000
1, 0.242176
1, 0.347647
1, 0.478471
1, 0.369000
1, 0.576529
1, 0.463647
1, 0.524588
1, 0.317765
1, 0.379647
1, 0.370824
1, 0.466647
1, 0.768118
1, 0.403235
1, 0.290294
1, 0.575118
1, 0.344882
1, 0.601294
1, 0.440176
1, 0.411588
1, 0.355235
1, 0.443941
1, 0.767529
1, 0.315765
1, 0.545824
1, 0.546588
1, 0.413765
1, 0.597471
1, 0.337647
1, 0.418471
1, 0.267412
1, 0.478824
1, 0.766765
1, 0.419529
1, 0.372471
1, 0.597882
1, 0.345294
1, 0.503765
1, 0.455176
1, 0.434588
1, 0.453588
1, 0.474235
1, 0.705588
1, 0.504294
1, 0.459706
1, 0.216765
1, 0.224294
1, 0.522118
1, 0.567588
1, 0.711471
1, 0.522412
1, 0.462588
1, 0.446765
1, 0.454235
1, 0.399647
1, 0.443647
1, 0.497118
1, 0.472706
1, 0.550941
1, 0.456412
1, 0.467412
1, 0.449471
1, 0.381176
1, 0.464176
1, 0.500471
1, 0.499235
1, 0.257529
1, 0.567824
1, 0.177882
1, 0.592118
1, 0.201765
1, 0.449353
1, 0.443118
1, 0.288294
1, 0.656765
1, 0.470941
1, 0.712471
1, 0.463706
1, 0.676176
1, 0.193471
1, 0.636000
1, 0.388294
1, 0.535353
1, 0.508706
1, 0.652118
1, 0.413059
1, 0.309412
1, 0.496294
1, 0.659412
1, 0.410059
1, 0.309941
1, 0.286000
1, 0.655765
1, 0.691059
1, 0.631000
1, 0.644412
1, 0.614353
1, 0.710882
1, 0.613706
1, 0.659882
1, 0.659824
1, 0.553235
1, 0.647353
1, 0.552765
1, 0.614000
1, 0.603412
1, 0.616235
1, 0.673000
1, 0.614882
1, 0.660647
1, 0.660588
1, 0.268765
1, 0.585706
1, 0.319000
1, 0.548471
1, 0.319412
1, 0.553118
1, 0.184000
