Homolog, Score
1, 0.526529
1, 0.738588
1, 0.784823
1, 0.519647
1, 0.477058
1, 0.445235
1, 0.562882
1, 0.454529
1, 0.483352
1, 0.635882
1, 0.437588
1, 0.459470
1, 0.478411
1, 0.809235
1, 0.812352
1, 0.652352
1, 0.816470
1, 0.559294
1, 0.530176
1, 0.495588
1, 0.678882
1, 0.618529
1, 0.605058
1, 0.710235
1, 0.595294
1, 0.555529
1, 0.735882
1, 0.530352
1, 0.447647
1, 0.426058
1, 0.530294
1, 0.426764
1, 0.498647
1, 0.486117
1, 0.476823
1, 0.445823
1, 0.529235
1, 0.455470
1, 0.471
1, 0.491294
1, 0.454647
1, 0.679
1, 0.446294
1, 0.449235
1, 0.822176
1, 0.666764
1, 0.858529
1, 0.525588
1, 0.613411
1, 0.872117
1, 0.512705
1, 0.621058
1, 0.526117
1, 0.513294
1, 0.635352
1, 0.537470
1, 0.690823
1, 0.863
1, 0.705058
1, 0.706529
1, 0.716176
1, 0.827941
1, 0.809176
1, 0.833470
1, 0.833411
1, 0.705294
1, 0.420705
1, 0.594058
1, 0.645529
1, 0.599
1, 0.607529
1, 0.617058
1, 0.604235
1, 0.586764
1, 0.614823
1, 0.609352
1, 0.610058
1, 0.497823
1, 0.534352
1, 0.513
1, 0.499176
1, 0.509529
1, 0.572823
1, 0.593705
1, 0.558705
1, 0.575235
1, 0.517235
1, 0.699117
1, 0.906823
1, 0.895941
1, 0.889352
1, 0.675823
1, 0.608117
1, 0.712411
1, 0.648235
1, 0.880117
1, 0.714058
1, 0.707647
1, 0.728823
1, 0.848
1, 0.780882
1, 0.846352
1, 0.849470
1, 0.707470
1, 0.888647
1, 0.899588
1, 0.694176
1, 0.63
1, 0.725117
1, 0.667999
1, 0.886823
1, 0.914235
1, 0.676588
1, 0.623470
1, 0.712941
1, 0.650411
1, 0.895235
1, 0.701176
1, 0.638411
1, 0.731764
1, 0.674294
1, 0.888647
1, 0.831588
1, 0.830117
1, 0.889235
1, 0.688294
1, 0.767470
1, 0.859764
1, 0.630352
1, 0.822647
1, 0.716058
1, 0.661176
1, 0.696823
1, 0.807235
1, 0.294529
1, 0.802705
1, 0.783411
1, 0.518294
1, 0.769764
1, 0.307294
1, 0.790058
1, 0.828176
1, 0.533529
1, 0.808764
1, 0.279823
1, 0.281941
1, 0.420235
1, 0.276764
1, 0.847647
1, 0.501
1, 0.831058
1, 0.526058
1, 0.927882
1, 0.527117
1, 0.524470
1, 0.540941
1, 0.716705
1, 0.638411
1, 0.525588
1, 0.546411
1, 0.764352
1, 0.790705
1, 0.761647
1, 0.763411
1, 0.567882
1, 0.784058
1, 0.517058
1, 0.644
1, 0.536941
1, 0.424764
1, 0.804529
1, 0.751705
1, 0.522235
1, 0.521058
1, 0.526941
1, 0.515647
1, 0.700588
1, 0.524058
1, 0.666117
1, 0.543647
1, 0.537352
1, 0.635117
1, 0.600411
1, 0.545176
1, 0.541647
1, 0.575764
1, 0.526352
1, 0.809176
1, 0.540529
1, 0.591058
1, 0.597235
1, 0.550882
1, 0.567823
1, 0.791647
1, 0.789647
1, 0.743294
1, 0.801764
1, 0.569058
1, 0.776411
1, 0.547764
1, 0.425294
1, 0.444941
1, 0.612529
1, 0.624411
1, 0.637823
1, 0.611235
1, 0.538647
1, 0.610470
1, 0.440647
1, 0.744470
1, 0.541588
1, 0.525352
1, 0.554294
1, 0.519823
1, 0.685
1, 0.540941
1, 0.658294
1, 0.553235
1, 0.545352
1, 0.550058
1, 0.558176
1, 0.644411
1, 0.566705
1, 0.673588
1, 0.876705
1, 0.757058
1, 0.854
1, 0.577764
1, 0.848058
1, 0.530823
1, 0.781764
1, 0.855647
1, 0.575294
1, 0.915
1, 0.517176
1, 0.754470
1, 0.590705
1, 0.784647
1, 0.517529
1, 0.556352
1, 0.853352
1, 0.525176
1, 0.570176
1, 0.634588
1, 0.523588
1, 0.790235
1, 0.517470
1, 0.348294
1, 0.277882
1, 0.325764
1, 0.394764
1, 0.236294
1, 0.657117
1, 0.737529
1, 0.281294
1, 0.246705
1, 0.317352
1, 0.393
1, 0.504058
1, 0.344058
1, 0.284823
1, 0.323411
1, 0.383470
1, 0.224176
1, 0.711235
1, 0.778470
1, 0.267058
1, 0.226588
1, 0.319352
1, 0.379705
1, 0.281058
1, 0.275235
1, 0.318647
1, 0.313647
1, 0.233647
1, 0.472470
1, 0.500529
1, 0.229352
1, 0.168882
1, 0.255529
1, 0.339764
1, 0.541352
1, 0.568294
1, 0.501176
1, 0.233294
1, 0.318117
1, 0.323823
1, 0.238647
1, 0.201823
1, 0.317999
1, 0.354588
1, 0.604117
1, 0.424529
1, 0.280882
1, 0.270058
1, 0.267058
1, 0.265058
1, 0.148470
1, 0.259941
1, 0.323705
1, 0.506882
1, 0.323117
1, 0.309117
1, 0.305411
1, 0.332705
1, 0.202941
1, 0.271588
1, 0.362764
1, 0.290352
1, 0.331882
1, 0.361352
1, 0.383117
1, 0.301352
1, 0.311529
1, 0.421529
1, 0.180000
1, 0.212999
1, 0.587705
1, 0.236529
1, 0.259058
1, 0.344941
1, 0.735941
1, 0.211705
1, 0.181823
1, 0.294000
1, 0.342470
1, 0.256588
1, 0.225294
1, 0.285588
1, 0.372647
1, 0.355882
1, 0.255470
1, 0.411352
1, 0.229941
1, 0.295117
1, 0.332588
1, 0.133764
1, 0.141294
1, 0.144705
1, 0.111588
1, 0.146352
1, 0.128588
1, 0.231117
1, 0.153294
1, 0.117058
1, 0.118294
1, 0.160294
1, 0.141411
1, 0.188999
1, 0.112352
1, 0.166470
1, 0.178294
1, 0.149882
1, 0.295529
1, 0.441588
1, 0.471411
1, 0.105294
1, 0.117352
1, 0.177294
1, 0.022823
1, 0.181705
1, 0.185941
1, 0.193647
1, 0.102764
1, 0.167176
1, 0.007176
1, 0.062882
1, 0.334941
1, 0.143705
1, 0.153411
1, 0.329294
1, 0.068294
1, 0
1, 0.279529
1, 0
1, 0
1, 0
1, 0.045470
1, 0
1, 0.299058
1, 0.112882
1, 0.275117
1, 0.329764
1, 0.236470
1, 0.022176
1, 0.009529
1, 0.114352
1, 0.005941
1, 0.027705
1, 0.016352
1, 0.018411
1, 0
1, 0.134941
1, 0.063705
1, 0.740294
1, 0.125470
1, 0.028705
1, 0.146411
1, 0.020058
1, 0.164823
1, 0.161176
1, 0.173941
1, 0.047294
1, 0.131705
1, 0.015705
1, 0.060705
1, 0.136941
1, 0.041588
1, 0.130823
1, 0.008941
1, 0.139470
1, 0.145705
1, 0.147882
1, 0.043588
1, 0.116235
1, 0.025058
1, 0.036058
