Homolog, Score
1, 0.265
1, 0.253235
1, 0.249588
1, 0.262882
1, 0.250823
1, 0.384352
1, 0.333999
1, 0.305529
1, 0.781705
1, 0.500705
1, 0.389764
1, 0.579823
1, 0.418117
1, 0.289000
1, 0.425941
1, 0.271764
1, 0.553470
1, 0.384294
1, 0.393882
1, 0.502470
1, 0.518
1, 0.387705
1, 0.387647
1, 0.688117
1, 0.324411
1, 0.427529
1, 0.617705
1, 0.489470
1, 0.520470
1, 0.300176
1, 0.473705
1, 0.804
1, 0.639647
1, 0.363
1, 0.315411
1, 0.528470
1, 0.361941
1, 0.612235
1, 0.394411
1, 0.663470
1, 0.569294
1, 0.332294
1, 0.641235
1, 0.527764
1, 0.317941
1, 0.378823
1, 0.537411
1, 0.295235
1, 0.499411
1, 0.493470
1, 0.601
1, 0.780352
1, 0.264058
1, 0.632764
1, 0.541411
1, 0.511
1, 0.409470
1, 0.561647
1, 0.452882
1, 0.284941
1, 0.442352
1, 0.282058
1, 0.570000
1, 0.405647
1, 0.403823
1, 0.366823
1, 0.414176
1, 0.362352
1, 0.345470
1, 0.391
1, 0.352
1, 0.489352
1, 0.377352
1, 0.396235
1, 0.325117
1, 0.485294
1, 0.527235
1, 0.510411
1, 0.514470
1, 0.297823
1, 0.493470
1, 0.758235
1, 0.414882
1, 0.249058
1, 0.396941
1, 0.268176
1, 0.509882
1, 0.361882
1, 0.346176
1, 0.313235
1, 0.623352
1, 0.441647
1, 0.385705
1, 0.600529
1, 0.469529
1, 0.386470
1, 0.518294
1, 0.220823
1, 0.388117
1, 0.581705
1, 0.544529
1, 0.356470
1, 0.814823
1, 0.505117
1, 0.223705
1, 0.579823
1, 0.525176
1, 0.319999
1, 0.319117
1, 0.489470
1, 0.632
1, 0.528294
1, 0.420764
1, 0.647882
1, 0.532588
1, 0.532
1, 0.619705
1, 0.703823
1, 0.628470
1, 0.642058
1, 0.535705
1, 0.664764
1, 0.542999
1, 0.885411
1, 0.651294
1, 0.656823
1, 0.844529
1, 0.639235
1, 0.894705
1, 0.901470
1, 0.660882
1, 0.538117
1, 0.666647
1, 0.895352
1, 0.888176
1, 0.645058
1, 0.543529
1, 0.657705
1, 0.648470
1, 0.892
1, 0.538176
1, 0.534999
1, 0.518529
1, 0.591764
1, 0.521294
1, 0.566058
1, 0.552705
1, 0.519058
1, 0.653882
1, 0.663999
1, 0.829588
1, 0.639588
1, 0.854235
1, 0.877470
1, 0.665
1, 0.901647
1, 0.639
1, 0.537941
1, 0.649647
1, 0.639705
1, 0.896764
1, 0.634882
1, 0.531
1, 0.649411
1, 0.640647
