Homolog, Bit Score
1, -7602.5
1, -5877.0
1, -7836.5
1, -5973.5
1, -8025.0
1, -5707.5
1, -7708.0
1, -6389.0
1, -8050.5
1, -5846.0
1, -7707.5
1, -5788.5
1, -7765.0
1, -6856.0
1, -7834.0
1, -6492.5
1, -7179.5
1, -6418.5
1, -7427.5
1, -6652.5
1, -7352.5
1, -6517.5
1, -7482.5
1, -6394.5
1, -7391.5
1, -6384.0
1, -7360.0
1, -6832.5
1, -6890.5
1, -4762.5
1, -6834.5
1, -7895.0
1, -7111.0
1, -7672.0
1, -8198.5
1, -7143.0
1, -7893.5
1, -6972.5
1, -7752.0
1, -7536.5
1, -7782.5
1, -7885.0
1, -7575.5
1, -7691.0
1, -7012.0
1, -7760.5
1, -7733.5
1, -6513.5
1, -7952.0
1, -6844.0
1, -6976.0
1, -6432.0
1, -7762.5
1, -6832.5
1, -7040.5
1, -6834.5
1, -8774.0
1, -5764.5
1, -5318.5
1, -7895.0
1, -7494.0
1, -7496.0
1, -7763.5
1, -7558.0
1, -8011.0
1, -7558.5
1, -7365.0
1, -7511.0
1, -7848.5
1, -7656.0
1, -7103.5
1, -7337.5
1, -7832.5
1, -7374.0
1, -5867.0
1, -7064.5
1, -7820.0
1, -6562.5
1, -7978.0
1, -7663.5
1, -7312.0
1, -7941.5
1, -7251.5
1, -7299.0
1, -8209.5
1, -7297.5
1, -7684.5
1, -7819.0
1, -7609.5
1, -8164.5
1, -7517.0
1, -7585.5
1, -7575.5
1, -7999.0
1, -7595.5
1, -7132.0
1, -7279.0
1, -8175.0
1, -7347.5
1, -6054.5
1, -6726.0
1, -8129.5
1, -6756.0
1, -8193.5
1, -7771.0
1, -7492.5
1, -8128.0
1, -7161.0
1, -7367.5
1, -6698.5
1, -4847.0
1, -5080.0
1, -6963.0
1, -7532.0
1, -5041.5
1, -6668.0
1, -5031.0
1, -5156.0
1, -6928.0
1, -7708.0
1, -5263.5
1, -6867.0
1, -4940.5
1, -5088.5
1, -6765.5
1, -7643.5
1, -5145.0
1, -6771.5
1, -5090.5
1, -5365.5
1, -6847.5
1, -7438.5
1, -5271.0
1, -6725.5
1, -5487.5
1, -5243.5
1, -6856.5
1, -7666.5
1, -5483.0
1, -6673.5
1, -5159.5
1, -5253.5
1, -6871.5
1, -7655.5
1, -5425.0
1, -6779.5
1, -5021.0
1, -5047.0
1, -7158.0
1, -7804.0
1, -5228.5
1, -6892.0
1, -7443.0
1, -6940.5
1, -4864.5
1, -7734.5
1, -5105.5
1, -7295.5
1, -6061.5
1, -7291.5
1, -7096.0
1, -6368.0
1, -8154.5
1, -6952.5
1, -7699.5
1, -6877.0
1, -7395.5
1, -6056.5
1, -7891.0
1, -7905.5
1, -7374.0
1, -7781.5
1, -6142.5
1, -7394.5
1, -5645.5
1, -7700.5
1, -7497.0
1, -6049.0
1, -7973.5
1, -7529.5
1, -8080.5
1, -7317.0
1, -7408.5
1, -5248.5
1, -7613.0
1, -7692.5
1, -6941.0
1, -7879.0
1, -6519.0
1, -7362.0
1, -5346.0
1, -7489.0
1, -7064.5
1, -5443.5
1, -8560.0
1, -8020.0
1, -8276.0
1, -7524.5
1, -7596.0
1, -5143.0
1, -7386.5
1, -7861.0
1, -7336.5
1, -7807.5
1, -6547.5
1, -7191.5
1, -5619.5
1, -7468.5
1, -7445.0
1, -5651.0
1, -8429.5
1, -7812.5
1, -8168.5
1, -7186.0
1, -7504.5
1, -4817.5
1, -7473.0
1, -7844.5
1, -7223.0
1, -7831.5
1, -6393.5
1, -7325.5
1, -5356.5
1, -7469.5
1, -7107.0
1, -5428.0
1, -8360.5
1, -7913.5
1, -8201.5
1, -7339.0
1, -7498.5
1, -5011.5
1, -7340.0
1, -7736.5
1, -7218.0
1, -7897.0
1, -6483.0
1, -7381.0
1, -5379.0
1, -7566.0
1, -7164.5
1, -5467.5
1, -8506.0
1, -7973.0
1, -8278.0
1, -7511.5
1, -7580.0
1, -5216.0
1, -7439.5
1, -7852.0
1, -7382.5
1, -7736.0
1, -6222.0
1, -7348.0
1, -5447.0
1, -7363.0
1, -7048.5
1, -5408.5
1, -8357.0
1, -7698.0
1, -8152.0
1, -7237.5
1, -7446.0
1, -4998.0
1, -7320.5
1, -7844.0
1, -7221.5
1, -7494.0
1, -6206.5
1, -7462.0
1, -6708.5
1, -7172.0
1, -6438.0
1, -7654.5
1, -7711.0
1, -7509.5
1, -5816.0
1, -7433.5
1, -6969.0
1, -7277.5
1, -6817.0
1, -7695.5
1, -7825.0
1, -7444.5
1, -5892.5
1, -7510.0
1, -7093.5
1, -7407.0
1, -8256.0
1, -6323.0
1, -5131.5
1, -6513.5
1, -6761.5
1, -7869.0
1, -7547.0
1, -7625.5
1, -7160.5
1, -8790.5
1, -8574.0
1, -6606.5
1, -8556.5
1, -7184.5
1, -7351.0
1, -7173.0
1, -8389.0
1, -8427.5
1, -6436.0
1, -8381.0
1, -7159.5
1, -7256.0
1, -6988.0
1, -8387.0
1, -8480.5
1, -6379.0
1, -8480.0
1, -7620.0
1, -7596.5
1, -6994.5
1, -8764.5
1, -8765.0
1, -6715.5
1, -8696.5
1, -7036.0
1, -7198.5
1, -6917.5
1, -8166.5
1, -8339.0
1, -6232.5
1, -8267.5
1, -5260.5
1, -7426.0
1, -6890.0
1, -6832.5
1, -4888.0
1, -6938.5
1, -4994.0
1, -7113.0
1, -4992.5
1, -7087.5
1, -7269.0
1, -7616.0
1, -6675.5
1, -7349.5
1, -5982.0
1, -7389.5
1, -6090.0
1, -6606.5
1, -7231.5
1, -6713.0
1, -8030.0
1, -5208.5
1, -6794.5
1, -7646.5
1, -5971.0
1, -7735.5
1, -6109.0
1, -7064.5
1, -7486.5
1, -7134.0
1, -8180.0
1, -5460.5
1, -7230.0
1, -7583.0
1, -6105.5
1, -7658.0
1, -6231.5
1, -6772.0
1, -7478.0
1, -7064.5
1, -7856.5
1, -5340.0
1, -6538.5
1, -7508.5
1, -5924.0
1, -7448.5
1, -5986.0
1, -6859.5
1, -7213.5
1, -6944.0
1, -8088.0
1, -5307.5
1, -3909.0
1, -6652.5
1, -7407.0
1, -7536.5
1, -7105.5
1, -5370.5
1, -4732.5
1, -6301.0
1, -6939.5
1, -6211.5
1, -7345.5
1, -6645.5
1, -6318.5
1, -6681.5
1, -6165.0
1, -6168.5
1, -6897.0
1, -6023.0
1, -7335.0
1, -6740.0
1, -6386.0
1, -6420.0
1, -6225.5
1, -7956.5
1, -7745.5
1, -7257.0
1, -7672.5
1, -7388.0
1, -6941.0
1, -7273.0
1, -7763.5
1, -6206.5
1, -7686.5
1, -5108.0
1, -7103.5
1, -6719.5
1, -7907.5
1, -6094.0
1, -7171.5
1, -7117.0
1, -7647.5
1, -7286.5
1, -7634.5
1, -6918.5
1, -7621.0
1, -7254.0
1, -7592.0
1, -6856.0
1, -7087.5
1, -5960.0
1, -5350.0
1, -5856.0
1, -5488.0
1, -5566.5
1, -5459.5
1, -5563.0
1, -5402.0
1, -5732.5
1, -5339.5
1, -5827.5
1, -5450.5
1, -5803.5
1, -5282.5
1, -6096.0
1, -5336.0
1, -5730.5
1, -5323.5
1, -6940.5
1, -7068.0
1, -7046.0
1, -6703.5
1, -5892.0
1, -6861.0
1, -5976.5
1, -6878.0
1, -7567.5
1, -7977.0
1, -6799.0
1, -8061.5
1, -6716.5
1, -8008.5
1, -6437.5
1, -7931.5
1, -6597.5
1, -7558.0
1, -7869.0
1, -7779.0
1, -7364.0
1, -7626.5
1, -7489.0
1, -7536.5
1, -7043.5
1, -8262.5
1, -7828.5
1, -7513.5
1, -7802.0
1, -7086.5
1, -7706.0
1, -7150.0
1, -8655.0
1, -6970.0
1, -7307.0
1, -7303.5
1, -6267.0
1, -6702.5
1, -7037.5
1, -8252.0
1, -7708.0
1, -7316.0
1, -7685.5
1, -7075.0
1, -7340.5
1, -6938.5
1, -8428.0
1, -7414.0
1, -7425.0
1, -7644.5
1, -6390.0
1, -7184.5
1, -7114.5
1, -7070.5
1, -7119.5
1, -6342.0
1, -7952.0
1, -7111.0
1, -8011.0
1, -6586.0
1, -6909.5
1, -7681.5
1, -7989.0
1, -7202.5
1, -8231.5
1, -6736.5
1, -7051.0
1, -7786.0
1, -8130.5
1, -4041.0
1, -6577.0
1, -6499.5
1, -6214.5
1, -6541.0
1, -6412.5
1, -6596.0
1, -6675.5
1, -6940.0
1, -6163.5
1, -7706.0
1, -7711.0
1, -6765.0
1, -6664.5
1, -6177.0
1, -7664.5
1, -7880.5
1, -6647.0
1, -6428.5
1, -5997.0
1, -7463.5
1, -7559.5
1, -6765.0
1, -6723.5
1, -6130.0
1, -7602.5
1, -7807.5
1, -7352.0
1, -6499.0
1, -6785.5
1, -6514.0
1, -5301.0
1, -6384.5
1, -5190.0
1, -6075.5
1, -4918.0
1, -6415.5
1, -5159.5
1, -6591.0
1, -5300.0
1, -6328.5
1, -5823.5
1, -6293.0
1, -7139.0
1, -6004.5
1, -6856.0
1, -6360.0
1, -7046.0
1, -8065.5
1, -7311.0
1, -8041.0
1, -7337.5
1, -7695.0
1, -6318.0
1, -7564.5
1, -3169.0
1, -6976.5
1, -7270.0
1, -7602.5
1, -7750.0
1, -7452.5
1, -7687.0
1, -6997.5
1, -7283.5
1, -6175.5
1, -7145.5
1, -6334.5
1, -6254.5
1, -7693.0
1, -7500.0
1, -7279.0
1, -6992.0
1, -8028.5
1, -7867.5
1, -7995.0
1, -7676.5
1, -7970.0
1, -7257.5
1, -7606.5
1, -6231.5
1, -7338.5
1, -6475.5
1, -6381.5
1, -7933.0
1, -7770.0
1, -7478.0
1, -7250.0
1, -8269.5
1, -8051.5
1, -7189.0
1, -5774.5
1, -7343.0
1, -7185.0
1, -7686.5
1, -6966.5
1, -7669.0
1, -7408.5
1, -7915.5
1, -7558.5
1, -5428.5
1, -7110.5
1, -6097.0
1, -7032.5
1, -5434.5
1, -7004.5
1, -5577.0
1, -7029.5
1, -5439.0
1, -7009.0
1, -5526.5
1, -7094.0
1, -5473.0
1, -7135.0
1, -5949.5
1, -7117.0
1, -3909.0
1, -7734.5
1, -7365.0
1, -6360.0
1, -7444.0
1, -7435.5
1, -6892.5
1, -5224.0
1, -7274.5
1, -5792.0
1, -7578.5
1, -5584.5
1, -7792.0
1, -5960.0
1, -6301.0
1, -6941.0
1, -7061.0
1, -6849.0
1, -6116.5
1, -4790.5
1, -7508.0
1, -5516.0
1, -8086.0
1, -7283.5
1, -5315.5
1, -7915.5
1, -8091.5
1, -7873.5
1, -6844.5
1, -2706.0
1, -7770.5
1, -6133.0
1, -6867.0
1, -6874.0
1, -6458.0
1, -6099.5
1, -4803.5
1, -7314.0
1, -5588.0
1, -7915.0
1, -7000.5
1, -5383.5
1, -7713.5
1, -7886.5
1, -7421.5
1, -6476.5
1, -3254.0
1, -7725.5
1, -6346.5
1, -7200.5
1, -7011.5
1, -6715.5
1, -6115.0
1, -4676.0
1, -7434.5
1, -5786.5
1, -7897.5
1, -7220.0
1, -5133.0
1, -7851.0
1, -8093.0
1, -7520.0
1, -6803.0
1, -3133.5
1, -7811.0
1, -6824.0
1, -7308.0
1, -7449.0
1, -6414.0
1, -6114.5
1, -5527.5
1, -7481.0
1, -5257.0
1, -8235.0
1, -7662.5
1, -5933.5
1, -8502.5
1, -8564.5
1, -7880.5
1, -6499.5
1, -4692.0
1, -7876.5
1, -6355.0
1, -7190.0
1, -7154.0
1, -6492.0
1, -5877.5
1, -4598.5
1, -7213.0
1, -5340.0
1, -7824.0
1, -7194.5
1, -4950.5
1, -7951.5
1, -8002.5
1, -7326.5
1, -6758.5
1, -4083.0
1, -7689.5
1, -5774.5
1, -7349.5
1, -6464.0
1, -7994.0
1, -7061.0
1, -7339.5
1, -7180.5
1, -7462.0
1, -6766.5
1, -8211.0
1, -5957.5
1, -7781.5
1, -7245.0
1, -8833.0
1, -7221.5
1, -8769.0
1, -6932.0
1, -7688.5
1, -7934.5
1, -4581.5
1, -7175.0
1, -8331.5
1, -7168.0
1, -7210.5
1, -6999.0
1, -6600.5
1, -7473.5
1, -6777.5
1, -7123.0
1, -6978.0
1, -7310.5
1, -6556.0
1, -7957.5
1, -5825.0
1, -7608.0
1, -6783.5
1, -8495.5
1, -7124.0
1, -8406.5
1, -6561.5
1, -7640.0
1, -7712.0
1, -4851.0
1, -6759.5
1, -8093.0
1, -7089.5
1, -6875.0
1, -7360.5
1, -6661.0
1, -7998.0
1, -7537.0
1, -7654.5
1, -7611.5
1, -7854.0
1, -7135.5
1, -8486.0
1, -5950.5
1, -7881.5
1, -7347.0
1, -9195.0
1, -7555.5
1, -8939.0
1, -7242.0
1, -7902.5
1, -8082.5
1, -4807.5
1, -7546.0
1, -8515.5
1, -7246.0
1, -7577.5
1, -7399.0
1, -6711.5
1, -7659.5
1, -7143.5
1, -7305.0
1, -7186.0
1, -7266.5
1, -6853.0
1, -8091.5
1, -6203.0
1, -7791.0
1, -6994.5
1, -8898.5
1, -7177.0
1, -8508.5
1, -7042.5
1, -7707.0
1, -7861.0
1, -4981.0
1, -7256.5
1, -8435.0
1, -7189.5
1, -7121.0
1, -7237.0
1, -6842.5
1, -7758.5
1, -7055.5
1, -7336.0
1, -7099.0
1, -7485.5
1, -6840.0
1, -8134.5
1, -5972.0
1, -7853.0
1, -6863.5
1, -8830.5
1, -7233.0
1, -8455.5
1, -6679.5
1, -7714.0
1, -7765.0
1, -4876.0
1, -6998.5
1, -8212.0
1, -7263.5
1, -7122.0
1, -7422.0
1, -6722.5
1, -8001.5
1, -7639.5
1, -7730.0
1, -7696.0
1, -7868.5
1, -7218.0
1, -8487.5
1, -6000.0
1, -7967.0
1, -7350.5
1, -9270.5
1, -7650.0
1, -8955.5
1, -7311.5
1, -7903.0
1, -8075.0
1, -4836.0
1, -7618.5
1, -8583.0
1, -7235.5
1, -7676.0
1, -6826.0
1, -6245.5
1, -7333.0
1, -6294.5
1, -7577.0
1, -6175.5
1, -7409.0
1, -6213.0
1, -7321.5
1, -7312.5
1, -5105.5
1, -4732.5
1, -7516.0
1, -5859.0
1, -7587.5
1, -6652.5
1, -7557.0
1, -5806.0
1, -7025.0
1, -6625.5
1, -7557.0
1, -6514.0
1, -7754.5
1, -5087.5
1, -4499.5
1, -7538.0
1, -5681.0
1, -7512.5
1, -6588.5
1, -7469.0
1, -5897.0
1, -6899.0
1, -6414.5
1, -7439.0
1, -6247.0
1, -7501.5
1, -5461.5
1, -4744.5
1, -7509.0
1, -5619.0
1, -7546.5
1, -6730.5
1, -7313.0
1, -5759.0
1, -6852.0
1, -6528.5
1, -7468.0
1, -6204.0
1, -7504.5
1, -5473.5
1, -4838.5
1, -7342.0
1, -5764.0
1, -7451.5
1, -6598.5
1, -7009.0
1, -5787.0
1, -6806.0
1, -6407.5
1, -7325.0
1, -6257.0
1, -7410.5
1, -5217.0
1, -4922.0
1, -7415.5
1, -5553.5
1, -7696.0
1, -6646.0
1, -7059.5
1, -5957.5
1, -6877.5
1, -6322.0
1, -7376.5
1, -6349.5
1, -7464.0
1, -5033.5
1, -4616.5
1, -7368.0
1, -5279.0
1, -7626.5
1, -6390.5
1, -7378.0
1, -5916.0
1, -6957.0
1, -6208.5
1, -7620.0
1, -6128.0
1, -7643.5
1, -5082.0
1, -4666.0
1, -7487.5
1, -5695.5
1, -7522.0
1, -6621.0
1, -7475.5
1, -5924.5
1, -6850.5
1, -6273.0
1, -7531.5
1, -6455.5
1, -7451.0
1, -5159.5
1, -4709.5
1, -7430.0
1, -5601.0
1, -7533.5
1, -6635.5
1, -7332.0
1, -5875.0
1, -6810.0
1, -6446.5
1, -7328.0
1, -6288.0
1, -7531.5
1, -5289.5
1, -4707.5
1, -7420.0
1, -5749.0
1, -7480.5
1, -6676.5
1, -7285.0
1, -5785.0
1, -6800.0
1, -6372.5
1, -7404.0
1, -6397.0
1, -7452.5
1, -5119.5
1, -4678.5
1, -7407.0
1, -5435.0
1, -7643.5
1, -6437.5
1, -7226.0
1, -5866.0
1, -6821.0
1, -6205.5
1, -7487.0
1, -6138.0
1, -7422.5
1, -6826.0
1, -7178.5
1, -7343.0
1, -5260.5
1, -7191.5
1, -6710.0
1, -5294.5
1, -7506.0
1, -5523.5
1, -7658.0
1, -5671.5
1, -6949.0
1, -8040.5
1, -7552.5
1, -5653.0
1, -7295.5
1, -7151.0
1, -5214.0
1, -5076.0
1, -6130.0
1, -7673.0
1, -6252.5
1, -8391.0
1, -4860.5
1, -7002.5
1, -7816.5
1, -8224.0
1, -6351.0
1, -7481.0
1, -4824.5
1, -4912.5
1, -6301.5
1, -7761.5
1, -6469.0
1, -8512.5
1, -4759.0
1, -7122.0
1, -7973.0
1, -8231.5
1, -6083.5
1, -7580.5
1, -5061.0
1, -7117.0
1, -7655.0
1, -7408.5
1, -5350.0
1, -8148.0
1, -5859.0
1, -7315.0
1, -5699.0
1, -7567.0
1, -7225.5
1, -6256.5
1, -8361.0
1, -7238.0
1, -7773.0
1, -6899.5
1, -7616.0
1, -5245.0
1, -7834.5
1, -8045.0
1, -6958.5
1, -5244.0
1, -7948.0
1, -5885.0
1, -7457.0
1, -5793.0
1, -7649.0
1, -7368.5
1, -6076.5
1, -8621.0
1, -7481.0
1, -7976.0
1, -7075.5
1, -7710.0
1, -5348.0
1, -7788.5
1, -8036.0
1, -7259.5
1, -4771.5
1, -7979.5
1, -7067.5
1, -7512.5
1, -5418.5
1, -7629.5
1, -7604.0
1, -5792.0
1, -8254.5
1, -8111.5
1, -8359.5
1, -7777.0
1, -6866.5
1, -5154.5
1, -7610.0
1, -8063.5
1, -7986.0
1, -7038.0
1, -6829.5
1, -7729.0
1, -6359.0
1, -6968.5
1, -6620.0
1, -7351.5
1, -6126.5
1, -6702.0
1, -6879.0
1, -7531.5
1, -6379.5
1, -7006.0
1, -6653.5
1, -7441.0
1, -6147.0
1, -6614.5
1, -7614.0
1, -7817.5
1, -7754.5
1, -7931.5
1, -8225.5
1, -8091.5
1, -7117.0
1, -7638.0
1, -8134.5
1, -6570.5
1, -6919.5
1, -7265.5
1, -7813.0
1, -7345.0
1, -8230.0
1, -7560.0
1, -7792.0
1, -6886.5
1, -7595.5
1, -7099.0
1, -5849.0
1, -6888.0
1, -7569.0
1, -7745.5
1, -7687.5
1, -7945.5
1, -8180.5
1, -8121.5
1, -7079.0
1, -7642.0
1, -8055.5
1, -6577.5
1, -7054.5
1, -7307.5
1, -7956.0
1, -7495.0
1, -8292.0
1, -7612.0
1, -7856.0
1, -7075.5
1, -7672.5
1, -7087.0
1, -6072.0
1, -7750.0
1, -5839.5
1, -7520.0
1, -5677.5
1, -7420.0
1, -5654.0
1, -7418.5
1, -5783.5
1, -7437.0
1, -5667.0
1, -7419.5
1, -5825.5
1, -7449.0
1, -7541.0
1, -6061.5
1, -7700.0
1, -5699.0
1, -7205.5
1, -5980.5
1, -8396.0
1, -7802.0
1, -8134.0
1, -7700.5
1, -6978.0
1, -5593.0
1, -7108.5
1, -5529.0
1, -7345.5
1, -5160.5
1, -7112.0
1, -5825.0
1, -8137.5
1, -7313.5
1, -7780.5
1, -7383.0
1, -7092.5
1, -5638.5
1, -7315.0
1, -5902.0
1, -7682.5
1, -5692.5
1, -7172.0
1, -5894.0
1, -8449.5
1, -7762.5
1, -8087.5
1, -7636.0
1, -6935.5
1, -5721.5
1, -7178.0
1, -5589.5
1, -7380.0
1, -5209.0
1, -7191.5
1, -6080.5
1, -8143.0
1, -7382.0
1, -7783.0
1, -7437.5
1, -7265.0
1, -5699.0
1, -7465.5
1, -5341.0
1, -7546.5
1, -3169.0
1, -7615.5
1, -6729.0
1, -7851.0
1, -6948.5
1, -7914.5
1, -7097.0
1, -7949.0
1, -7089.5
1, -8012.5
1, -6830.0
1, -7864.0
1, -6892.5
1, -7819.5
1, -6868.0
1, -7879.0
1, -7332.0
1, -7511.0
1, -7501.0
1, -7695.0
1, -7207.0
1, -6493.5
1, -6456.5
1, -7429.5
1, -7272.0
1, -7934.5
1, -6770.5
1, -7695.0
1, -6866.5
1, -7466.5
1, -8073.5
1, -7662.0
1, -7070.5
1, -6354.0
1, -6258.0
1, -7278.0
1, -7153.5
1, -7915.0
1, -6771.0
1, -7672.5
1, -6693.0
1, -7289.0
1, -7946.0
1, -7519.5
1, -7419.5
1, -2140.0
1, -7452.5
1, -6831.5
1, -6879.0
1, -5611.5
1, -6548.0
1, -8182.0
1, -8193.0
1, -6815.0
1, -8325.0
1, -6158.5
1, -7271.5
1, -7047.0
1, -7337.0
1, -7088.0
1, -6189.5
1, -6265.0
1, -6808.5
1, -7753.5
1, -8407.5
1, -7537.5
1, -8387.5
1, -7109.0
1, -7574.0
1, -6981.5
1, -7128.5
1, -6794.0
1, -6067.5
1, -6124.0
1, -6380.5
1, -8131.5
1, -8193.5
1, -7488.5
1, -8559.5
1, -6412.0
1, -7431.0
1, -6615.5
1, -7195.5
1, -7743.5
1, -7785.0
1, -7093.5
1, -7158.0
1, -7703.0
1, -6873.0
1, -7025.0
1, -6997.0
1, -6965.5
1, -6878.5
1, -7250.0
1, -7629.0
1, -6728.5
1, -5638.0
1, -7009.5
1, -6626.5
1, -7275.0
1, -5303.0
1, -7279.5
1, -5031.0
1, -7305.5
1, -6428.5
1, -6892.5
1, -4532.0
1, -7142.5
1, -5987.5
1, -6500.5
1, -4678.0
1, -7151.5
1, -6896.5
1, -7449.5
1, -3725.0
1, -6566.5
1, -5584.5
1, -6658.5
1, -4486.5
1, -7172.0
1, -6045.0
1, -6740.0
1, -3414.0
1, -6543.5
1, -5795.5
1, -6660.5
1, -4301.5
1, -6831.0
1, -6119.0
1, -6589.0
1, -7935.0
1, -7947.5
1, -6526.5
1, -7433.0
1, -7935.0
1, -8002.5
1, -7138.5
1, -7742.0
1, -7114.0
1, -8246.5
1, -7403.5
1, -7238.0
1, -7602.0
1, -7222.0
1, -7876.0
1, -7505.0
1, -7624.0
1, -7395.0
1, -6987.5
1, -7735.0
1, -6812.5
1, -7189.5
1, -7437.5
1, -7109.5
1, -8128.5
1, -7681.5
1, -7900.0
1, -7056.0
1, -7041.5
1, -7223.5
1, -7806.0
1, -7104.0
1, -7335.5
1, -7455.5
1, -6786.5
1, -8122.5
1, -7443.5
1, -7220.5
1, -7491.5
1, -7425.0
