Homolog, Bit Score
1, 78.8
1, 214.1
1, 77.2
1, 233.3
1, 75.8
1, 213.1
1, 70.6
1, 194.6
1, 45.8
1, 189.6
1, 88.0
1, 195.0
1, 74.4
1, 126.0
1, 20.6
1, 125.4
1, 25.9
1, 129.3
1, 23.9
1, 126.1
1, 22.3
1, 126.0
1, 16.2
1, 129.3
1, 23.6
1, 126.0
1, 14.8
1, 16.5
1, 62.5
1, 46.2
1, 75.9
1, 30.3
1, 61.5
1, 44.8
1, 32.6
1, 55.6
1, 29.8
1, 24.0
1, 48.2
1, 66.2
1, 43.6
1, 32.8
1, 63.5
1, 29.9
1, 28.9
1, 48.4
1, 91.8
1, 90.5
1, 17.2
1, 110.8
1, 17.9
1, 101.5
1, 16.4
1, 128.1
1, 17.3
1, 65.8
1, 269.3
1, 206.9
1, 252.8
1, 29.5
1, 53.4
1, 107.4
1, 59.5
1, 39.4
1, 67.0
1, 64.1
1, 25.2
1, 69.1
1, 63.2
1, 71.5
1, 101.0
1, 89.8
1, 64.2
1, 88.2
1, 126.6
1, 56.8
1, 85.8
1, 370.0
1, 78.0
1, 38.3
1, 47.6
1, 61.4
1, 78.1
1, 80.2
1, 49.8
1, 40.8
1, 100.8
1, 44.8
1, 43.9
1, 71.8
1, 51.3
1, 21.8
1, 69.9
1, 55.7
1, 54.0
1, 59.8
1, 84.2
1, 76.4
1, 84.6
1, 101.7
1, 51.5
1, 72.4
1, 261.1
1, 77.8
1, 33.6
1, 47.7
1, 63.9
1, 76.4
1, 68.4
1, 251.8
1, 303.2
1, 265.9
1, 95.2
1, 30.1
1, 302.9
1, 96.9
1, 301.2
1, 267.7
1, 99.9
1, 28.0
1, 284.0
1, 104.4
1, 312.9
1, 292.4
1, 104.7
1, 29.1
1, 300.3
1, 102.5
1, 272.5
1, 264.3
1, 112.7
1, 27.6
1, 293.3
1, 93.2
1, 284.9
1, 263.6
1, 105.6
1, 31.4
1, 37.7
1, 109.4
1, 273.1
1, 249.7
1, 91.9
1, 29.5
1, 284.5
1, 98.1
1, 276.2
1, 243.4
