Homolog, Bit Score
1, 30.0
1, 32.0
1, 365
1, 452
1, 22.3
1, 32.0
1, 34.3
1, 25.4
1, 32.7
1, 35.0
1, 655
1, 36.2
1, 31.6
1, 167
1, 511
1, 503
1, 158
1, 506
1, 70.9
1, 32.3
1, 35.8
1, 147
1, 446
1, 431
1, 146
1, 452
1, 69.3
1, 390
1, 47.4
1, 33.9
1, 32.7
1, 29.3
1, 32.7
1, 29.6
1, 41.6
1, 29.3
1, 36.6
1, 29.6
1, 33.5
1, 28.9
1, 155
1, 146
1, 171
1, 145
1, 82.4
1, 690
1, 165
1, 858
1, 69.7
1, 166
1, 707
1, 79.3
1, 158
1, 90.1
1, 82.8
1, 135
1, 207
1, 198
1, 858
1, 179
1, 181
1, 187
1, 818
1, 985
1, 815
1, 823
1, 188
1, 103
1, 111
1, 134
1, 100
1, 84.3
1, 99.8
1, 144
1, 127
1, 128
1, 138
1, 112
1, 1634
1, 223
1, 1165
1, 1147
1, 1153
1, 223
1, 190
1, 208
1, 201
1, 1092
1, 223
1, 1178
1, 1135
1, 1142
1, 226
1, 191
1, 222
1, 213
1, 1100
1, 208
1, 231
1, 228
1, 1072
1, 866
1, 1094
1, 1078
1, 229
1, 1139
1, 1139
1, 194
1, 186
1, 194
1, 186
1, 1112
1, 1638
1, 218
1, 185
1, 208
1, 218
1, 1180
1, 188
1, 169
1, 189
1, 190
1, 1145
1, 838
1, 1086
1, 1090
1, 206
1, 795
1, 815
1, 178
1, 1159
1, 184
1, 174
1, 2051
1, 427
1, 235
1, 452
1, 456
1, 267
1, 455
1, 223
1, 523
1, 524
1, 249
1, 524
1, 212
1, 205
1, 217
1, 207
1, 750
1, 254
1, 748
1, 250
1, 872
1, 250
1, 35.8
1, 32.0
1, 502
1, 391
1, 33.9
1, 38.1
1, 786
1, 765
1, 458
1, 775
1, 33.5
1, 787
1, 39.3
1, 659
1, 29.3
1, 32.3
1, 657
1, 344
1, 29.3
1, 34.7
1, 32.7
1, 33.9
1, 928
1, 32.7
1, 399
1, 26.9
1, 28.5
1, 595
1, 300
1, 33.1
1, 33.9
1, 38.1
1, 34.7
1, 710
1, 32.3
1, 342
1, 371
1, 31.6
1, 39.7
1, 602
1, 588
1, 695
1, 572
1, 34.7
1, 587
1, 36.6
1, 29.3
1, 37.4
1, 429
1, 421
1, 405
1, 454
1, 31.6
1, 424
1, 32.0
1, 359
1, 40.8
1, 44.3
1, 42.0
1, 49.7
1, 692
1, 42.0
1, 282
1, 33.1
1, 32.3
1, 49.7
1, 33.5
1, 365
1, 30.8
1, 225
1, 1587
1, 616
1, 1462
1, 35.4
1, 1583
1, 40.8
1, 575
1, 1470
1, 36.2
1, 1874
1, 40.4
1, 608
1, 46.2
1, 597
1, 44.3
1, 34.3
1, 1461
1, 38.9
1, 33.5
1, 539
1, 39.3
1, 281
1, 22.3
1, 25.8
1, 17.7
1, 20.8
1, 18.5
1, 16.9
1, 160
1, 189
1, 18.1
1, 18.5
1, 23.1
1, 20.8
1, 20.8
1, 18.5
1, 20.4
1, 19.6
1, 17.7
1, 23.9
1, 173
1, 173
1, 22.3
1, 17.3
1, 20.0
1, 19.2
1, 16.5
1, 16.5
1, 17.3
1, 16.2
1, 20.4
1, 25.4
1, 22.3
1, 19.6
1, 19.2
1, 33.5
1, 18.5
1, 246
1, 150
1, 88.6
1, 16.9
1, 19.2
1, 18.5
1, 21.9
1, 19.2
1, 20.8
1, 22.7
1, 129
1, 121
1, 15.4
1, 16.5
1, 18.1
1, 20.0
1, 19.6
1, 18.1
1, 15.4
1, 147
1, 18.9
1, 18.9
1, 16.5
1, 22.3
1, 20.0
1, 18.5
1, 22.3
1, 16.9
1, 19.6
1, 17.7
1, 18.5
1, 17.7
1, 25.0
1, 25.8
1, 20.0
1, 21.2
1, 513
1, 19.6
1, 16.9
1, 16.9
1, 242
1, 21.9
1, 25.4
1, 16.5
1, 16.9
1, 18.5
1, 19.2
1, 16.2
1, 20.8
1, 22.3
1, 23.1
1, 18.9
1, 27.3
1, 24.6
1, 25.8
1, 20.8
1, 19.6
1, 26.9
1, 18.5
1, 20.0
1, 23.5
1, 18.9
1, 16.9
1, 17.3
1, 17.3
1, 19.2
1, 18.1
1, 18.5
1, 19.6
1, 16.9
1, 24.3
1, 18.5
1, 40.4
1, 79.0
1, 73.6
1, 52.4
1, 25.8
1, 20.4
1, 24.3
1, 24.3
1, 22.3
1, 18.5
1, 20.4
1, 20.8
1, 24.6
1, 23.1
1, 18.1
1, 20.8
1, 20.8
1, 19.6
1, 17.7
1, 21.2
1, 17.7
1, 17.7
1, 20.8
1, 19.6
1, 18.9
1, 17.7
1, 18.5
1, 26.9
1, 22.3
1, 21.2
1, 35.8
1, 33.9
1, 40.0
1, 34.7
1, 38.1
1, 41.6
1, 40.4
1, 32.7
1, 39.7
1, 27.3
1, 19.2
1, 1617
1, 24.6
1, 25.4
1, 20.0
1, 30.0
1, 21.6
1, 18.5
1, 18.5
1, 26.2
1, 23.1
1, 39.3
1, 22.7
1, 22.7
1, 25.0
1, 20.4
1, 30.8
1, 20.4
1, 20.8
1, 18.5
1, 26.2
1, 21.6
1, 39.7
1, 22.3
1, 21.6
1, 33.9
1, 35.4
1, 33.1
1, 33.1
1, 34.3
1, 23.9
1, 30.4
1, 25.4
1, 19.6
1, 117
1, 38.1
1, 112
1, 120
1, 101
1, 702
1, 119
1, 25.8
1, 21.6
1, 33.5
1, 416
1, 612
1, 370
1, 109
1, 437
1, 32.7
