#prot1 prot2 sim-domain sim-global
Q9T0N8 P39976 0.5265294117647059 0.5265294117647059
Q9T0N8 Q9FUJ1 0.7895882352941177 0.7385882352941177
Q9T0N8 Q9LTS3 0.7848235294117647 0.7848235294117647
Q9T0N8 O29853 0.5396470588235294 0.5196470588235294
Q9T0N8 Q8N465 0.5178823529411765 0.47705882352941176
Q9T0N8 A1L258 0.5088823529411765 0.44523529411764706
Q9T0N8 Q7TNG8 0.5628823529411764 0.5628823529411764
Q9T0N8 Q8CIM3 0.5222941176470588 0.45452941176470585
Q9T0N8 O45218 0.538235294117647 0.48335294117647054
P46681 P39976 0.8467058823529412 0.6358823529411765
P46681 Q9FUJ1 0.5386470588235295 0.4375882352941176
P46681 Q9LTS3 0.4594705882352941 0.4594705882352941
P46681 O29853 0.7437647058823529 0.4784117647058823
P46681 Q8N465 0.809235294117647 0.809235294117647
P46681 A1L258 0.818529411764706 0.8123529411764706
P46681 Q7TNG8 0.663235294117647 0.6523529411764706
P46681 Q8CIM3 0.8294705882352942 0.8164705882352941
P46681 O45218 0.5942941176470589 0.5592941176470588
P39976 Q9FUJ1 0.538 0.5301764705882352
P39976 Q9LTS3 0.49558823529411766 0.49558823529411766
P39976 O29853 0.7283529411764706 0.6788823529411765
P39976 Q8N465 0.8111764705882353 0.6185294117647059
P39976 A1L258 0.816764705882353 0.6050588235294118
P39976 Q7TNG8 0.7102352941176471 0.7102352941176471
P39976 Q8CIM3 0.8065294117647059 0.5952941176470588
P39976 O45218 0.5555294117647058 0.5555294117647058
Q9FUJ1 Q9LTS3 0.7358823529411764 0.7358823529411764
Q9FUJ1 O29853 0.5711176470588235 0.5303529411764706
Q9FUJ1 Q8N465 0.5158235294117647 0.4476470588235294
Q9FUJ1 A1L258 0.5145882352941176 0.4260588235294117
Q9FUJ1 Q7TNG8 0.5302941176470588 0.5302941176470588
Q9FUJ1 Q8CIM3 0.5342352941176471 0.42676470588235293
Q9FUJ1 O45218 0.5880588235294117 0.49864705882352944
Q9LTS3 O29853 0.48611764705882354 0.48611764705882354
Q9LTS3 Q8N465 0.47682352941176476 0.47682352941176476
Q9LTS3 A1L258 0.44582352941176473 0.44582352941176473
Q9LTS3 Q7TNG8 0.5996470588235294 0.529235294117647
Q9LTS3 Q8CIM3 0.45547058823529407 0.45547058823529407
Q9LTS3 O45218 0.48782352941176466 0.471
O29853 Q8N465 0.7452941176470589 0.49129411764705877
O29853 A1L258 0.7444117647058823 0.4546470588235294
O29853 Q7TNG8 0.7535294117647059 0.679
O29853 Q8CIM3 0.724764705882353 0.44629411764705884
O29853 O45218 0.6592941176470588 0.44923529411764707
Q8N465 A1L258 0.8959411764705882 0.8221764705882353
Q8N465 Q7TNG8 0.7287058823529412 0.6667647058823529
Q8N465 Q8CIM3 0.9057647058823529 0.8585294117647059
Q8N465 O45218 0.6128235294117648 0.5255882352941177
A1L258 Q7TNG8 0.7326470588235294 0.6134117647058823
A1L258 Q8CIM3 0.8931764705882352 0.8721176470588236
A1L258 O45218 0.6170588235294118 0.5127058823529411
Q7TNG8 Q8CIM3 0.7154705882352941 0.6210588235294118
Q7TNG8 O45218 0.5261176470588236 0.5261176470588236
Q8CIM3 O45218 0.5939411764705882 0.5132941176470589
P39533 P07264 0.6353529411764706 0.6353529411764706
P39533 Q9SIB9 0.7311176470588235 0.5374705882352941
P39533 Q42560 0.7197058823529412 0.6908235294117647
P39533 Q54XS2 0.863 0.863
P39533 Q54X73 0.7131176470588235 0.7050588235294117
P39533 P21399 0.7242352941176471 0.7065294117647059
P39533 Q90875 0.7198235294117648 0.7161764705882353
P39533 C8VG90 0.8725882352941177 0.8279411764705882
P39533 Q5B6D6 0.8707058823529412 0.8091764705882353
P39533 Q99KI0 0.8591764705882353 0.8334705882352942
P39533 P34455 0.8791764705882353 0.8334117647058823
P39533 Q23500 0.7147058823529412 0.7052941176470588
P07264 Q9SIB9 0.6910000000000001 0.42070588235294115
P07264 Q42560 0.6980588235294118 0.5940588235294118
P07264 Q54XS2 0.6455294117647059 0.6455294117647059
P07264 Q54X73 0.7308235294117646 0.599
P07264 P21399 0.7330588235294118 0.6075294117647059
P07264 Q90875 0.6891764705882353 0.6170588235294118
P07264 C8VG90 0.604235294117647 0.604235294117647
P07264 Q5B6D6 0.586764705882353 0.586764705882353
P07264 Q99KI0 0.6148235294117648 0.6148235294117648
P07264 P34455 0.6093529411764707 0.6093529411764707
P07264 Q23500 0.6902352941176471 0.6100588235294118
Q9SIB9 Q42560 0.9347647058823529 0.49782352941176466
