Homolog, Bit Score
1, 34.7
1, 315.5
1, 46.2
1, 312.9
1, 41.1
1, 286.6
1, 46.7
1, 275.5
1, 0.4
1, 301.4
1, 50.9
1, 301.2
1, 55.4
1, 60.2
1, 1.6
1, 63.9
1, 4.8
1, 65.6
1, -0.9
1, 62.8
1, 3.5
1, 62.1
1, 0.6
1, 65.5
1, 1.0
1, 62.6
1, -5.9
1, -1.2
1, 21.0
1, 30.5
1, 21.4
1, 6.6
1, 23.0
1, 11.7
1, 8.1
1, 22.1
1, 3.1
1, 4.5
1, 10.0
1, 22.9
1, 11.6
1, 6.5
1, 21.9
1, 1.9
1, 4.3
1, 10.2
1, 18.4
1, -1.2
1, 3.0
1, 18.5
1, -3.1
1, 4.3
1, -3.1
1, 9.8
1, -3.5
1, 22.0
1, 182.4
1, 103.9
1, 118.9
1, 7.8
1, 6.4
1, 68.4
1, 5.1
1, -100.0
1, 36.8
1, 9.7
1, -100.0
1, 61.7
1, 6.9
1, 17.4
1, 65.9
1, 82.6
1, 36.7
1, 82.7
1, 81.1
1, 7.3
1, 34.6
1, 234.6
1, 51.7
1, -2.9
1, 6.4
1, 25.5
1, 27.0
1, 29.4
1, 11.6
1, -0.6
1, 56.0
1, 6.7
1, -3.8
1, 36.6
1, 5.7
1, -100.0
1, 52.7
1, -1.9
1, 3.3
1, 37.6
1, 15.9
1, 48.8
1, 26.4
1, 66.4
1, 7.1
1, 10.9
1, 167.4
1, 49.7
1, -2.1
1, 0.8
1, 20.1
1, 31.0
1, -100.0
1, 138.8
1, 166.6
1, 153.6
1, 38.8
1, -4.9
1, 175.4
1, 22.2
1, 171.6
1, 154.3
1, 35.3
1, -100.0
1, 182.0
1, 33.5
1, 172.5
1, 166.9
1, 36.7
1, -100.0
1, 191.2
1, 23.2
1, 164.7
1, 154.9
1, 40.7
1, -3.7
1, 170.3
1, 25.8
1, 166.5
1, 143.8
1, 37.9
1, -4.6
1, 186.9
1, 29.7
1, 174.2
1, 142.6
1, 33.0
1, -4.7
1, 166.3
1, 25.0
1, 151.9
1, 147.9
1, 30.3
1, -4.6
1, 176.9
1, 21.8
1, -3.7
1, 59.5
1, 144.7
1, -0.9
1, 429.1
1, -100.0
1, 454.6
1, -2.3
1, -1.8
1, 521.1
1, -2.6
1, 216.6
1, -1.9
1, 513.4
1, -100.0
1, 478.8
1, 3.4
1, 11.5
1, -39.6
1, -2.6
1, 374.0
1, -100.0
1, 437.7
1, 7.1
1, -2.3
1, 495.1
1, 2.5
1, 179.8
1, -1.2
1, 453.0
1, -10.3
1, 468.6
1, -10.4
1, 28.8
1, 22.7
1, 19.0
1, 452.4
1, -7.1
1, 487.0
1, 15.2
1, -2.6
1, 574.1
1, 0.4
1, 192.7
1, 14.0
1, 542.6
1, -14.2
1, 490.4
1, 14.2
1, 19.2
1, 151.0
1, 14.0
1, 453.0
1, -11.9
1, 476.1
1, 28.4
1, -2.9
1, 570.8
1, -2.9
1, 216.4
1, 4.2
1, 514.6
1, -12.5
