#prot1 prot2 sim-domain sim-global
Q6UY11 Q9WVJ9 0.30594117647058827 0.265
Q6UY11 Q8BH27 0.38894117647058823 0.2532352941176471
P80370 Q9WVJ9 0.3244117647058824 0.24958823529411767
P80370 Q8BH27 0.4131176470588235 0.26288235294117646
Q9WVJ9 Q8BH27 0.25082352941176467 0.25082352941176467
Q9T0N8 Q9V778 0.3981176470588236 0.38435294117647056
Q9T0N8 P39976 0.33399999999999996 0.33399999999999996
Q9T0N8 P46681 0.3055294117647058 0.3055294117647058
Q9T0N8 Q9FUJ1 0.7898823529411765 0.7817058823529411
Q9T0N8 Q9SU56 0.5847058823529412 0.5007058823529411
Q9T0N8 O96759 0.43552941176470583 0.3897647058823529
Q9T0N8 Q54H55 0.6262941176470589 0.5798235294117646
Q9T0N8 O29853 0.5108823529411765 0.4181176470588235
Q9T0N8 O00116 0.4071176470588236 0.28900000000000003
Q9T0N8 Q86WU2 0.42594117647058827 0.42594117647058827
Q9T0N8 A1L258 0.29847058823529415 0.2717647058823529
Q9T0N8 P58710 0.5534705882352942 0.5534705882352942
Q9T0N8 Q7TNG8 0.3842941176470588 0.3842941176470588
Q9T0N8 O45218 0.41217647058823526 0.39388235294117646
Q9V778 P39976 0.6480588235294118 0.5024705882352941
Q9V778 P46681 0.6767647058823529 0.518
Q9V778 Q9FUJ1 0.40623529411764703 0.3877058823529411
Q9V778 Q9SU56 0.38764705882352946 0.38764705882352946
Q9V778 O96759 0.7667058823529411 0.6881176470588235
Q9V778 Q54H55 0.3244117647058824 0.3244117647058824
Q9V778 O29853 0.42752941176470594 0.42752941176470594
Q9V778 O00116 0.8984705882352941 0.6177058823529411
Q9V778 Q86WU2 0.5441764705882353 0.4894705882352941
Q9V778 A1L258 0.6647058823529413 0.5204705882352941
Q9V778 P58710 0.30017647058823527 0.30017647058823527
Q9V778 Q7TNG8 0.6783529411764706 0.4737058823529412
Q9V778 O45218 0.8969411764705882 0.804
P39976 P46681 0.8860588235294118 0.6396470588235295
P39976 Q9FUJ1 0.363 0.363
P39976 Q9SU56 0.3154117647058824 0.3154117647058824
P39976 O96759 0.6888823529411765 0.5284705882352941
P39976 Q54H55 0.3619411764705882 0.3619411764705882
P39976 O29853 0.612235294117647 0.612235294117647
P39976 O00116 0.6428823529411765 0.39441176470588235
P39976 Q86WU2 0.6634705882352941 0.6634705882352941
P39976 A1L258 0.8080588235294117 0.5692941176470588
P39976 P58710 0.33229411764705885 0.33229411764705885
P39976 Q7TNG8 0.7208823529411765 0.6412352941176471
P39976 O45218 0.6645294117647058 0.5277647058823529
P46681 Q9FUJ1 0.3311764705882353 0.3179411764705883
