Homolog, Score
1, 0.656647
1, 0.292353
1, 0.431294
1, 0.318294
1, 0.437824
1, 0.267529
1, 0.383647
1, 0.375765
1, 0.363706
1, 0.725118
1, 0.541176
1, 0.347706
1, 0.591412
1, 0.495059
1, 0.396588
1, 0.382412
1, 0.341235
1, 0.496294
1, 0.387588
1, 0.401882
1, 0.644765
1, 0.643882
1, 0.362588
1, 0.367588
1, 0.769294
1, 0.314294
1, 0.374765
1, 0.840765
1, 0.516059
1, 0.654176
1, 0.285353
1, 0.646824
1, 0.868235
1, 0.846059
1, 0.387412
1, 0.334059
1, 0.658765
1, 0.384765
1, 0.628176
1, 0.685412
1, 0.680176
1, 0.825647
1, 0.348412
1, 0.743706
1, 0.668059
1, 0.342118
1, 0.396941
1, 0.658118
1, 0.341882
1, 0.478000
1, 0.683824
1, 0.606000
1, 0.863353
1, 0.295647
1, 0.748235
1, 0.666235
1, 0.459647
1, 0.343647
1, 0.584471
1, 0.493059
1, 0.383882
1, 0.396176
1, 0.300059
1, 0.492000
1, 0.395235
1, 0.363529
1, 0.327824
1, 0.453176
1, 0.479529
1, 0.350353
1, 0.338000
1, 0.386353
1, 0.707000
1, 0.348824
1, 0.360412
1, 0.340176
1, 0.412882
1, 0.745941
1, 0.503412
1, 0.661353
1, 0.265941
1, 0.647176
1, 0.773529
1, 0.492235
1, 0.216353
1, 0.397412
1, 0.323529
1, 0.464824
1, 0.397882
1, 0.311471
1, 0.266294
1, 0.604941
1, 0.441059
1, 0.422529
1, 0.608471
1, 0.391588
1, 0.522824
1, 0.690118
1, 0.340353
1, 0.698176
1, 0.871471
1, 0.608941
1, 0.365059
1, 0.839882
1, 0.519824
1, 0.288824
1, 0.746294
1, 0.673588
1, 0.349882
1, 0.297588
1, 0.674235
1, 0.630765
1, 0.517824
1, 0.511824
1, 0.605353
1, 0.461882
1, 0.493412
1, 0.644059
1, 0.835412
1, 0.602765
1, 0.618882
1, 0.491353
1, 0.652824
1, 0.608706
1, 0.890059
1, 0.670824
1, 0.648235
1, 0.807765
1, 0.622765
1, 0.877706
1, 0.860412
1, 0.637235
1, 0.869118
1, 0.653765
1, 0.889471
1, 0.883882
1, 0.597412
1, 0.499941
1, 0.619176
1, 0.626882
1, 0.866176
1, 0.566471
1, 0.744294
1, 0.861529
1, 0.611882
1, 0.499471
1, 0.589059
1, 0.606824
1, 0.850412
1, 0.665412
1, 0.645529
1, 0.774588
1, 0.622176
1, 0.865471
1, 0.906941
1, 0.647000
1, 0.864765
1, 0.567118
1, 0.468353
1, 0.679471
1, 0.659647
1, 0.858235
1, 0.613235
1, 0.469235
1, 0.624647
1, 0.618412
1, 0.910059
1, 0.643882
1, 0.802941
1, 0.825235
1, 0.616353
1, 0.615588
1, 0.649471
1, 0.465000
1, 0.872176
1, 0.620941
1, 0.621176
1, 0.790235
1, 0.713941
1, 0.726529
1, 0.473471
1, 0.496294
1, 0.628412
1, 0.503647
1, 0.546059
1, 0.498765
1, 0.763235
1, 0.820588
1, 0.811118
1, 0.817706
1, 0.811000
1, 0.736471
1, 0.752118
1, 0.769000
1, 0.758412
1, 0.909882
1, 0.893706
1, 0.904412
1, 0.893235
1, 0.971353
1, 0.894588
1, 0.821235
1, 0.859647
1, 0.592000
1, 0.795882
1, 0.809882
1, 0.816059
1, 0.701000
1, 0.778647
1, 0.817235
1, 0.740294
1, 0.824941
1, 0.836000
1, 0.692588
1, 0.676706
1, 0.910706
1, 0.774059
1, 0.777882
1, 0.777412
1, 0.800647
1, 0.777000
1, 0.801059
1, 0.820294
1, 0.848412
1, 0.852706
1, 0.820000
1, 0.849471
1, 0.845882
1, 0.879941
1, 0.987118
1, 0.880588
1, 0.854412
1, 0.844059
1, 0.862000
1, 0.881059
1, 0.956765
1, 0.880647
1, 0.235529
1, 0.249588
1, 0.544059
1, 0.686353
1, 0.708294
1, 0.243294
1, 0.273882
1, 0.704176
1, 0.560529
1, 0.597706
1, 0.510471
1, 0.512824
1, 0.309529
1, 0.341235
1, 0.220588
1, 0.310882
1, 0.368235
1, 0.514353
1, 0.257941
1, 0.636353
1, 0.275471
1, 0.270235
1, 0.250294
1, 0.337059
1, 0.289529
1, 0.475706
1, 0.355118
1, 0.499353
1, 0.510353
1, 0.281294
1, 0.366529
1, 0.483529
1, 0.420588
1, 0.480647
1, 0.716765
1, 0.253882
1, 0.259824
1, 0.717941
1, 0.513471
1, 0.605824
1, 0.236412
1, 0.240118
1, 0.866235
1, 0.466824
1, 0.620000
1, 0.524059
1, 0.253941
1, 0.195412
1, 0.215412
1, 0.236588
1, 0.265706
1, 0.248941
1, 0.484000
1, 0.659882
1, 0.469176
1, 0.787824
1, 0.905412
1, 0.814765
1, 0.807941
1, 0.821176
1, 0.803529
1, 0.794059
1, 0.837412
1, 0.846765
1, 0.857118
1, 0.813000
1, 0.832176
1, 0.815824
1, 0.818294
1, 0.786941
1, 0.811765
1, 0.909765
1, 0.827706
1, 0.809647
1, 0.824647
1, 0.824059
1, 0.849176
1, 0.824588
1, 0.836294
1, 0.836059
1, 0.810176
1, 0.793765
1, 0.822588
1, 0.858647
1, 0.868412
1, 0.902824
1, 0.730118
1, 0.735471
1, 0.976706
1, 0.724529
1, 0.728706
1, 0.732059
1, 0.795529
1, 0.607176
1, 0.630765
1, 0.683412
1, 0.632353
1, 0.662529
1, 0.747647
1, 0.545765
1, 0.639353
1, 0.822235
1, 0.622059
1, 0.589941
1, 0.593941
1, 0.634471
1, 0.649353
1, 0.695294
1, 0.642471
1, 0.677235
1, 0.742588
1, 0.536176
1, 0.646647
1, 0.780000
1, 0.560235
1, 0.535471
1, 0.522000
1, 0.673706
1, 0.674824
1, 0.650471
1, 0.626059
1, 0.661471
1, 0.711118
1, 0.659824
1, 0.610824
1, 0.729647
1, 0.590176
1, 0.611000
1, 0.693471
1, 0.850529
1, 0.661412
1, 0.658412
1, 0.641765
1, 0.862235
1, 0.648647
1, 0.675118
1, 0.518647
1, 0.540412
1, 0.650000
1, 0.648647
1, 0.719412
1, 0.612529
1, 0.676176
1, 0.667412
1, 0.607882
1, 0.506059
1, 0.502824
1, 0.637824
1, 0.638706
1, 0.686882
1, 0.833059
1, 0.641765
1, 0.676824
1, 0.560824
1, 0.576471
1, 0.695706
1, 0.589294
1, 0.649765
1, 0.657000
1, 0.676765
1, 0.475824
1, 0.501000
1, 0.701235
1, 0.653353
1, 0.726235
1, 0.770824
1, 0.629412
1, 0.641059
1, 0.659353
1, 0.556765
1, 0.710294
1, 0.608176
1, 0.614529
1, 0.650882
1, 0.676824
1, 0.552588
1, 0.562353
1, 0.640941
1, 0.529176
1, 0.546118
1, 0.601882
1, 0.608588
1, 0.890353
1, 0.755000
1, 0.765118
1, 0.623765
1, 0.840176
1, 0.776824
1, 0.852882
1, 0.836941
1, 0.747353
1, 0.724529
1, 0.636176
1, 0.813882
1, 0.859824
1, 0.805882
1, 0.652118
1, 0.681176
1, 0.677471
1, 0.598765
1, 0.772471
1, 0.789471
1, 0.804765
1, 0.796235
1, 0.748000
1, 0.734000
1, 0.585765
1, 0.744824
1, 0.743412
1, 0.769941
1, 0.598353
1, 0.653118
1, 0.630000
1, 0.648353
1, 0.624176
1, 0.619706
1, 0.665882
1, 0.631412
1, 0.570471
1, 0.583059
1, 0.655941
1, 0.634882
1, 0.636882
1, 0.636059
1, 0.660765
1, 0.636824
1, 0.815235
1, 0.791353
1, 0.805059
1, 0.743647
1, 0.750294
1, 0.630235
1, 0.806647
1, 0.844765
1, 0.791706
1, 0.639118
1, 0.666059
1, 0.666824
1, 0.779647
1, 0.804647
1, 0.750059
1, 0.738294
1, 0.629118
1, 0.756824
1, 0.783647
1, 0.765588
1, 0.625059
1, 0.690765
1, 0.656765
1, 0.839824
1, 0.715941
1, 0.758647
1, 0.606882
1, 0.772000
1, 0.834706
1, 0.792471
1, 0.621176
1, 0.671882
1, 0.677353
1, 0.769882
1, 0.750000
1, 0.578412
1, 0.760765
1, 0.821824
1, 0.782588
1, 0.602412
1, 0.670235
1, 0.628588
1, 0.863529
1, 0.614941
1, 0.768941
1, 0.781412
1, 0.741176
1, 0.623000
1, 0.695941
1, 0.645235
1, 0.566235
1, 0.732294
1, 0.759235
1, 0.710882
1, 0.599706
1, 0.630765
1, 0.603824
1, 0.624059
1, 0.634529
1, 0.624412
1, 0.806941
1, 0.705588
1, 0.734000
1, 0.790941
1, 0.801294
1, 0.646824
1, 0.694235
1, 0.693706
1, 0.801706
1, 0.658588
1, 0.691294
1, 0.679118
1, 0.635176
1, 0.676000
1, 0.679941
1, 0.733118
1, 0.760588
1, 0.795941
1, 0.768000
1, 0.665529
1, 0.636353
1, 0.443471
1, 0.556353
1, 0.439647
1, 0.605353
1, 0.652294
1, 0.466471
1, 0.531882
1, 0.438353
1, 0.649176
1, 0.469176
1, 0.549294
1, 0.485059
1, 0.444412
1, 0.522765
1, 0.411235
1, 0.357765
1, 0.403941
1, 0.424471
1, 0.370765
1, 0.831588
1, 0.466647
1, 0.638471
1, 0.423588
1, 0.447824
1, 0.518765
1, 0.467529
1, 0.435647
1, 0.748647
1, 0.461706
1, 0.710824
1, 0.702529
1, 0.375176
1, 0.721412
1, 0.499235
1, 0.638059
1, 0.448765
1, 0.444059
1, 0.507294
1, 0.366824
1, 0.549765
1, 0.633059
1, 0.799059
1, 0.467353
1, 0.518765
1, 0.682471
1, 0.542706
1, 0.485588
1, 0.513824
1, 0.535588
1, 0.474176
1, 0.664588
1, 0.465941
1, 0.582941
1, 0.687765
1, 0.864471
1, 0.877000
1, 0.606353
1, 0.664588
1, 0.860647
1, 0.930412
1, 0.883000
1, 0.526471
1, 0.863176
1, 0.557647
1, 0.873529
1, 0.720647
1, 0.744471
1, 0.693294
1, 0.476000
1, 0.861118
1, 0.718000
1, 0.529176
1, 0.663765
1, 0.852412
1, 0.659588
1, 0.645294
1, 0.841000
1, 0.875941
1, 0.877588
1, 0.510353
1, 0.857882
1, 0.544824
1, 0.865529
1, 0.743353
1, 0.734000
1, 0.684118
1, 0.457294
1, 0.869000
1, 0.745294
1, 0.507176
1, 0.645882
1, 0.679118
1, 0.662647
1, 0.831529
1, 0.877294
1, 0.890706
1, 0.532059
1, 0.876882
1, 0.552647
1, 0.890176
1, 0.730706
1, 0.731000
1, 0.697588
1, 0.461235
1, 0.870471
1, 0.725118
1, 0.519235
1, 0.665588
1, 0.535412
1, 0.582529
1, 0.580294
1, 0.625765
1, 0.444824
1, 0.622941
1, 0.474235
1, 0.638765
1, 0.691647
1, 0.653647
1, 0.591588
1, 0.419529
1, 0.614706
1, 0.689000
1, 0.429176
1, 0.554529
1, 0.628294
1, 0.661118
1, 0.651235
1, 0.615294
1, 0.666706
1, 0.612235
1, 0.666941
1, 0.646588
1, 0.645412
1, 0.804471
1, 0.563412
1, 0.661353
1, 0.646941
1, 0.614941
1, 0.855588
1, 0.845529
1, 0.841294
1, 0.513765
1, 0.837235
1, 0.530882
1, 0.838412
1, 0.706824
1, 0.725824
1, 0.666176
1, 0.517353
1, 0.839882
1, 0.706647
1, 0.525176
1, 0.641471
1, 0.891294
1, 0.516294
1, 0.861235
1, 0.552059
1, 0.875000
1, 0.730588
1, 0.751000
1, 0.690294
1, 0.493706
1, 0.866000
1, 0.727706
1, 0.513706
1, 0.655941
1, 0.519824
1, 0.885588
1, 0.559471
1, 0.890882
1, 0.737059
1, 0.738176
1, 0.688529
1, 0.452000
1, 0.884706
1, 0.733235
1, 0.512882
1, 0.657235
1, 0.522706
1, 0.646941
1, 0.529294
1, 0.534176
1, 0.517294
1, 0.617765
1, 0.795176
1, 0.519235
1, 0.528941
1, 0.808353
1, 0.620471
1, 0.570000
1, 0.922118
1, 0.732882
1, 0.729176
1, 0.713294
1, 0.470882
1, 0.935824
1, 0.727294
1, 0.513765
1, 0.676000
1, 0.569059
1, 0.558294
1, 0.580588
1, 0.647412
1, 0.661000
1, 0.561235
1, 0.553059
1, 0.664588
1, 0.627176
1, 0.737941
1, 0.734706
1, 0.711412
1, 0.459882
1, 0.916647
1, 0.733412
1, 0.518824
1, 0.671294
1, 0.815824
1, 0.688059
1, 0.481176
1, 0.729412
1, 0.913000
1, 0.519941
1, 0.674765
1, 0.698824
1, 0.464000
1, 0.722765
1, 0.805176
1, 0.524588
1, 0.664294
1, 0.534235
1, 0.705118
1, 0.677412
1, 0.610588
1, 0.822706
1, 0.457941
1, 0.473235
1, 0.785294
1, 0.574294
1, 0.727235
1, 0.511941
1, 0.664765
1, 0.520000
1, 0.656353
1, 0.628353
1, 0.800824
1, 0.831882
1, 0.430412
1, 0.863176
1, 0.827353
1, 0.355235
1, 0.346176
1, 0.343941
1, 0.801118
1, 0.897588
1, 0.350412
1, 0.365824
1, 0.903647
1, 0.897176
1, 0.854353
1, 0.574176
1, 0.551235
1, 0.795824
1, 0.860882
1, 0.445882
1, 0.885412
1, 0.899647
1, 0.859706
1, 0.846176
1, 0.804647
1, 0.774941
1, 0.404882
1, 0.813765
1, 0.797176
1, 0.252235
1, 0.233647
1, 0.196059
1, 0.873294
1, 0.782529
1, 0.275353
1, 0.244118
1, 0.818941
1, 0.821412
1, 0.796941
1, 0.537941
1, 0.522176
1, 0.870706
1, 0.818176
1, 0.420824
1, 0.816706
1, 0.818000
1, 0.870824
1, 0.810235
1, 0.773941
1, 0.473706
1, 0.850706
1, 0.816059
1, 0.346176
1, 0.340176
1, 0.345706
1, 0.750647
1, 0.837118
1, 0.346529
1, 0.340529
1, 0.835294
1, 0.822941
1, 0.855059
1, 0.759059
1, 0.742824
1, 0.792059
1, 0.862412
1, 0.488471
1, 0.814235
1, 0.818588
1, 0.782294
1, 0.854294
1, 0.798529
1, 0.448176
1, 0.451118
1, 0.190824
1, 0.191471
1, 0.215176
1, 0.403412
1, 0.434118
1, 0.176882
1, 0.202353
1, 0.432059
1, 0.424176
1, 0.443000
1, 0.321059
1, 0.315765
1, 0.421294
1, 0.455176
1, 0.799353
1, 0.419471
1, 0.424176
1, 0.415353
1, 0.458765
1, 0.436471
1, 0.830412
1, 0.333118
1, 0.326294
1, 0.335235
1, 0.789118
1, 0.857706
1, 0.335588
1, 0.337588
1, 0.869647
1, 0.863882
1, 0.905882
1, 0.728588
1, 0.728000
1, 0.837118
1, 0.889706
1, 0.465765
1, 0.863765
1, 0.865059
1, 0.840176
1, 0.879118
1, 0.834412
1, 0.373765
1, 0.374000
1, 0.385765
1, 0.801941
1, 0.822824
1, 0.363765
1, 0.383529
1, 0.835353
1, 0.828647
1, 0.831235
1, 0.529647
1, 0.522471
1, 0.811235
1, 0.848000
1, 0.455529
1, 0.832412
1, 0.830529
1, 0.817059
1, 0.824941
1, 0.799765
1, 0.824353
1, 0.800471
1, 0.273235
1, 0.340353
1, 0.805118
1, 0.735176
1, 0.352882
1, 0.352765
1, 0.350176
1, 0.180235
1, 0.170588
1, 0.273118
1, 0.358235
1, 0.250294
1, 0.352412
1, 0.352294
1, 0.343059
1, 0.342471
1, 0.336235
1, 0.832941
1, 0.252941
1, 0.330471
1, 0.821941
1, 0.749529
1, 0.351000
1, 0.350176
1, 0.349706
1, 0.207529
1, 0.196471
1, 0.261294
1, 0.363294
1, 0.277588
1, 0.348529
1, 0.348059
1, 0.345882
1, 0.338471
1, 0.339529
1, 0.232353
1, 0.330118
1, 0.798882
1, 0.786471
1, 0.349706
1, 0.345941
1, 0.355706
1, 0.171412
1, 0.164118
1, 0.242706
1, 0.368824
1, 0.290882
1, 0.346294
1, 0.344647
1, 0.345647
1, 0.346706
1, 0.345176
1, 0.804588
1, 0.290353
1, 0.259588
1, 0.816529
1, 0.820882
1, 0.790294
1, 0.612941
1, 0.592941
1, 0.872000
1, 0.790941
1, 0.423118
1, 0.824529
1, 0.820765
1, 0.820647
1, 0.785588
1, 0.744941
1, 0.336000
1, 0.352353
1, 0.901471
1, 0.897118
1, 0.843588
1, 0.534471
1, 0.538118
1, 0.768824
1, 0.855176
1, 0.455118
1, 0.895353
1, 0.898647
1, 0.826941
1, 0.846588
1, 0.815765
1, 0.566000
1, 0.344059
1, 0.341588
1, 0.352647
1, 0.200412
1, 0.194412
1, 0.304706
1, 0.354235
1, 0.209882
1, 0.342412
1, 0.342176
1, 0.342824
1, 0.345059
1, 0.337176
1, 0.360647
1, 0.357471
1, 0.352882
1, 0.169353
1, 0.157471
1, 0.277824
1, 0.364353
1, 0.303824
1, 0.358529
1, 0.357235
1, 0.367176
1, 0.353765
1, 0.339294
1, 0.956941
1, 0.862471
1, 0.569647
1, 0.567647
1, 0.818176
1, 0.868176
1, 0.443647
1, 0.966941
1, 0.958588
1, 0.845941
1, 0.853353
1, 0.821706
1, 0.858000
1, 0.575824
1, 0.568294
1, 0.816176
1, 0.863118
1, 0.440118
1, 0.966235
1, 0.980471
1, 0.835118
1, 0.853118
1, 0.824647
1, 0.830235
1, 0.811412
1, 0.806059
1, 0.913118
1, 0.453765
1, 0.858471
1, 0.858118
1, 0.831588
1, 0.904882
1, 0.823941
1, 0.954118
1, 0.594000
1, 0.707824
1, 0.339412
1, 0.601176
1, 0.590059
1, 0.474941
1, 0.773529
1, 0.552882
1, 0.587647
1, 0.704529
1, 0.372824
1, 0.590118
1, 0.570647
1, 0.472353
1, 0.767294
1, 0.548176
1, 0.830118
1, 0.444882
1, 0.801824
1, 0.811588
1, 0.824765
1, 0.822882
1, 0.784706
1, 0.464647
1, 0.865235
1, 0.863471
1, 0.831176
1, 0.908176
1, 0.817529
1, 0.434588
1, 0.437882
1, 0.425294
1, 0.475059
1, 0.447824
1, 0.965412
1, 0.841000
1, 0.855824
1, 0.822412
1, 0.839824
1, 0.853824
1, 0.821118
1, 0.820824
1, 0.792353
1, 0.832235
1, 0.701412
1, 0.720000
1, 0.662059
1, 0.708647
1, 0.730118
1, 0.808294
1, 0.809059
1, 0.823588
1, 0.823588
1, 0.757824
1, 0.802118
1, 0.842941
1, 0.810412
1, 0.764294
1, 0.811059
1, 0.880941
1, 0.695235
1, 0.659588
1, 0.661529
1, 0.683941
1, 0.662941
1, 0.642471
1, 0.702941
1, 0.652529
1, 0.649824
1, 0.678765
1, 0.677294
1, 0.622235
1, 0.568471
1, 0.686294
1, 0.705529
1, 0.725353
1, 0.609882
1, 0.597235
1, 0.619235
1, 0.596235
1, 0.851176
1, 0.711529
1, 0.678647
1, 0.617647
1, 0.717471
1, 0.632765
1, 0.600824
1, 0.903588
1, 0.926824
1, 0.893118
1, 0.872647
1, 0.566000
1, 0.731647
1, 0.591000
1, 0.568824
1, 0.811765
1, 0.598471
1, 0.869471
1, 0.560882
1, 0.865176
1, 0.874529
1, 0.868059
1, 0.875588
1, 0.733765
1, 0.835118
1, 0.558000
1, 0.459000
1, 0.475765
1, 0.540471
1, 0.498235
1, 0.567000
1, 0.487294
1, 0.562118
1, 0.562824
1, 0.567706
1, 0.566529
1, 0.540588
1, 0.552647
1, 0.546118
1, 0.554588
1, 0.726471
1, 0.586353
1, 0.746176
1, 0.555353
1, 0.734588
1, 0.747765
1, 0.733471
1, 0.739941
1, 0.695529
1, 0.715471
1, 0.788765
1, 0.553529
1, 0.497176
1, 0.537471
1, 0.503706
1, 0.531647
1, 0.591294
1, 0.528824
1, 0.536529
1, 0.513059
1, 0.535118
1, 0.551059
1, 0.464824
1, 0.570294
1, 0.521529
1, 0.555765
1, 0.573647
1, 0.555000
1, 0.558294
1, 0.550353
1, 0.562059
1, 0.599294
1, 0.818647
1, 0.562059
1, 0.814235
1, 0.801412
1, 0.800765
1, 0.813353
1, 0.721529
1, 0.813588
1, 0.601824
1, 0.659118
1, 0.600824
1, 0.586353
1, 0.607118
1, 0.598176
1, 0.589882
1, 0.612882
1, 0.529529
1, 0.896294
1, 0.931824
1, 0.901176
1, 0.922706
1, 0.726765
1, 0.827059
1, 0.530882
1, 0.525824
1, 0.538706
1, 0.536706
1, 0.560882
1, 0.567059
1, 0.891529
1, 0.964471
1, 0.919118
1, 0.704000
1, 0.810529
1, 0.899824
1, 0.903824
1, 0.719529
1, 0.808647
1, 0.917882
1, 0.722059
1, 0.804706
1, 0.716647
1, 0.822941
1, 0.779235
1, 0.591647
1, 0.720412
1, 0.562588
1, 0.692706
1, 0.504235
1, 0.697412
1, 0.511941
1, 0.518941
1, 0.827412
1, 0.521824
1, 0.932824
1, 0.640824
1, 0.633824
1, 0.788882
1, 0.759647
1, 0.795059
1, 0.836941
1, 0.782588
1, 0.781824
1, 0.969941
1, 0.672176
1, 0.710882
1, 0.793647
1, 0.733941
1, 0.777059
1, 0.671294
1, 0.713294
1, 0.805000
1, 0.352529
1, 0.507176
1, 0.473000
1, 0.529824
1, 0.800294
1, 0.358294
1, 0.328176
1, 0.535176
1, 0.423882
1, 0.463471
1, 0.483235
1, 0.480706
1, 0.353471
1, 0.534000
1, 0.451824
1, 0.420588
1, 0.476647
1, 0.495941
1, 0.645588
