Homolog, Score
1, 0.572824
1, 0.522647
1, 0.506529
1, 0.525765
1, 0.707588
1, 0.480941
1, 0.771176
1, 0.516882
1, 0.608882
1, 0.602294
1, 0.614118
1, 0.513824
1, 0.574588
1, 0.564588
1, 0.613235
1, 0.763765
1, 0.650765
1, 0.505176
1, 0.716412
1, 0.520882
1, 0.832353
1, 0.643706
1, 0.466235
1, 0.727588
1, 0.489353
1, 0.783647
1, 0.501941
1, 0.715294
1, 0.490706
1, 0.660765
1, 0.442294
1, 0.724176
1, 0.495882
1, 0.443882
1, 0.721353
1, 0.509706
1, 0.379294
1, 0.350176
1, 0.325353
1, 0.327706
1, 0.258529
1, 0.270176
1, 0.260765
1, 0.316882
1, 0.246882
1, 0.680118
1, 0.198824
1, 0.184353
1, 0.185412
1, 0.194000
1, 0.281176
1, 0.799471
1, 0.753706
1, 0.832529
1, 0.791824
1, 0.773706
1, 0.788000
1, 0.824529
1, 0.796294
1, 0.714471
1, 0.789529
1, 0.797765
1, 0.763647
1, 0.818235
1, 0.811824
1, 0.808824
1, 0.790235
1, 0.740765
1, 0.780824
1, 0.731765
1, 0.731294
1, 0.730412
1, 0.766588
1, 0.748588
1, 0.753118
1, 0.854118
1, 0.803647
1, 0.813588
1, 0.842118
1, 0.790118
1, 0.706882
1, 0.787647
1, 0.822647
1, 0.803647
1, 0.733412
1, 0.656412
1, 0.882294
1, 0.811529
1, 0.742353
1, 0.659235
1, 0.809235
1, 0.736059
1, 0.665765
1, 0.799765
1, 0.713353
1, 0.756882
1, 0.674824
1, 0.584529
1, 0.739941
1, 0.521882
1, 0.438706
1, 0.568059
1, 0.376529
1, 0.409294
1, 0.242588
1, 0.515353
1, 0.476471
1, 0.214824
1, 0.203353
1, 0.429941
1, 0.277882
1, 0.274176
1, 0.435588
1, 0.370529
1, 0.359059
1, 0.463529
1, 0.500000
1, 0.576647
1, 0.464765
1, 0.444118
1, 0.288941
1, 0.617824
1, 0.570118
1, 0.228941
1, 0.216059
1, 0.448294
1, 0.309412
1, 0.310059
1, 0.525706
1, 0.462294
1, 0.465529
1, 0.606118
1, 0.470059
1, 0.342294
1, 0.344353
1, 0.351765
1, 0.498647
1, 0.453059
1, 0.242941
1, 0.236882
1, 0.340294
1, 0.329294
1, 0.353118
1, 0.436176
1, 0.541588
1, 0.578118
1, 0.546235
1, 0.441647
1, 0.425000
1, 0.337824
1, 0.646588
1, 0.575588
1, 0.265824
1, 0.234235
1, 0.448235
1, 0.373824
1, 0.300235
1, 0.576235
1, 0.469647
1, 0.475941
1, 0.527000
1, 0.561235
1, 0.281706
1, 0.406824
1, 0.385000
1, 0.254882
1, 0.243059
1, 0.366471
1, 0.343941
1, 0.272471
1, 0.442824
1, 0.309647
1, 0.350059
1, 0.333824
1, 0.259294
1, 0.383471
1, 0.356000
1, 0.215176
1, 0.207353
1, 0.365118
1, 0.303412
1, 0.246176
1, 0.398882
